hold,rsi,dist,maxdist,minatr,exitbuf,train_pf,test_pf,all_pf,train_tpd,test_tpd,all_tpd,trades,net,dd,score
10,35.0,1.35,2.5,0.0002,0.2,1.0690216542895945,2.244704866769197,1.4591142402260233,0.4165633523431689,0.7239212400502724,0.4694199954863462,130,4973.595714285776,1731.3971428571858,1.5407245371523435
8,37.0,1.35,2.5,0.0,0.3,1.1472284265413462,2.1591006150743857,1.501784452968055,0.49394553043765754,0.8338848444738584,0.5524712254570074,153,5547.231428571466,1528.242857142885,1.5405355495709847
8,37.0,1.35,2.5,0.0002,0.3,1.1472284265413462,2.1591006150743857,1.501784452968055,0.49394553043765754,0.8338848444738584,0.5524712254570074,153,5547.231428571466,1528.242857142885,1.5405355495709847
10,42.0,1.35,2.5,0.0003,0.2,1.0531032905477358,2.3129430107867117,1.412558182042022,0.6151697508677525,0.8815354070152217,0.6427443015120741,178,5945.902857142912,2657.0171428571794,1.5390385146892471
10,35.0,1.35,2.5,0.0003,0.2,1.064174044258241,2.244704866769197,1.4558750708976325,0.41061244730969504,0.7239212400502724,0.46580907244414355,129,4938.505714285777,1731.3971428571858,1.5386842546267168
10,35.0,1.35,2.5,0.0004,0.2,1.064174044258241,2.244704866769197,1.4558750708976325,0.41061244730969504,0.7239212400502724,0.46580907244414355,129,4938.505714285777,1731.3971428571858,1.5386842546267168
8,37.0,1.35,2.5,0.0003,0.3,1.1423421771072944,2.1591006150743857,1.4986103260758616,0.48799437946852914,0.8338848444738584,0.5488603024148048,152,5512.141428571467,1528.242857142885,1.5384986156819231
8,45.0,1.35,2.5,0.0,0.2,1.3785602370370702,1.9881185669894246,1.5802915835666793,0.6861790621726539,0.9410986101919259,0.7041299932295193,195,8000.582857142894,1756.29000000001,1.5378695307793202
8,45.0,1.35,2.5,0.0002,0.2,1.3785602370370702,1.9881185669894246,1.5802915835666793,0.6861790621726539,0.9410986101919259,0.7041299932295193,195,8000.582857142894,1756.29000000001,1.5378695307793202
8,45.0,1.35,2.5,0.0003,0.3,1.366740012186397,1.9870685879467527,1.57131982938287,0.6802916709458766,0.9291859695565851,0.696908147145114,193,7684.632857142919,1756.29000000001,1.5322865408564674
10,45.0,1.35,2.5,0.0,0.2,1.1952702324375661,2.1631798505169746,1.4908126611887584,0.6743206884511902,0.9410986101919259,0.696908147145114,193,7300.825714285772,2481.390000000016,1.5308147304370372
10,45.0,1.35,2.5,0.0002,0.2,1.1952702324375661,2.1631798505169746,1.4908126611887584,0.6743206884511902,0.9410986101919259,0.696908147145114,193,7300.825714285772,2481.390000000016,1.5308147304370372
10,42.0,1.35,2.5,0.0004,0.2,1.0531032905477358,2.2972818423204155,1.408089769496132,0.6151697508677525,0.8672521957340026,0.6355224554276687,176,5881.502857142927,2657.0171428571794,1.5307362140660157
12,37.0,1.35,2.5,0.0,0.2,0.8453941447030654,2.4447744800744897,1.3297157350496331,0.4820033885697756,0.8338848444738584,0.5452493793726021,151,4560.102857142851,2541.322857142912,1.5284629824735563
12,37.0,1.35,2.5,0.0002,0.2,0.8453941447030654,2.4447744800744897,1.3297157350496331,0.4820033885697756,0.8338848444738584,0.5452493793726021,151,4560.102857142851,2541.322857142912,1.5284629824735563
8,37.0,1.35,2.5,0.0004,0.3,1.1423421771072944,2.1424753885427705,1.4927849122298313,0.48799437946852914,0.8190715181932247,0.5416384563303994,150,5447.741428571483,1592.6428571428692,1.5275590886692705
12,37.0,1.35,2.5,0.0003,0.2,0.8417549741725983,2.4447744800744897,1.3271785718528055,0.47605272945163024,0.8338848444738584,0.5416384563303994,150,4525.012857142851,2561.7228571428996,1.5262532110494644
8,45.0,1.35,2.5,0.0004,0.3,1.366740012186397,1.9725507801228561,1.5665319627799719,0.6802916709458766,0.9154328732747805,0.6896863010607086,191,7620.232857142939,1756.29000000001,1.5244348617109142
8,45.0,1.5,2.5,0.0003,0.2,1.3720448816654423,2.004184609504888,1.5779560395366525,0.5560416538295643,0.7266710787557908,0.5596930715414128,155,6791.381428571466,2179.4500000000276,1.5230866561779604
8,42.0,1.35,2.5,0.0003,0.2,1.1870842738059286,2.11679335961807,1.4702610523331037,0.6270256947439768,0.8815354070152217,0.6499661475964793,180,6387.422857142887,1977.5399999999954,1.5165523981260585
12,37.0,1.35,2.5,0.0004,0.2,0.8417549741725983,2.42939757885437,1.322522165187782,0.47605272945163024,0.8190715181932247,0.5344166102459942,148,4460.612857142866,2626.1228571428837,1.5161092318631857
10,42.0,1.35,2.5,0.0,0.2,1.0565100219316192,2.2613917784024116,1.4058490210761847,0.6210848446260963,0.8934480476505625,0.6499661475964793,180,5887.25285714291,2657.0171428571794,1.5157114030733359
10,42.0,1.35,2.5,0.0002,0.2,1.0565100219316192,2.2613917784024116,1.4058490210761847,0.6210848446260963,0.8934480476505625,0.6499661475964793,180,5887.25285714291,2657.0171428571794,1.5157114030733359
8,45.0,1.5,2.5,0.0003,0.3,1.3651151626678921,1.9935959954010727,1.572531240275031,0.5560644962514122,0.7266710787557908,0.5596930715414128,155,6591.591428571487,2179.4500000000276,1.5155043902295318
8,45.0,1.5,2.5,0.0004,0.2,1.3720448816654423,1.9873595830618331,1.5724755096418706,0.5560416538295643,0.7106649937264743,0.5524712254570074,153,6726.981428571481,2179.4500000000276,1.5140581959954091
8,45.0,1.35,2.5,0.0,0.3,1.3706325278532063,1.9437369560937316,1.5624414714661252,0.686207250693232,0.9410986101919259,0.7041299932295193,195,7620.832857142923,1756.29000000001,1.5123458561601817
8,45.0,1.35,2.5,0.0002,0.3,1.3706325278532063,1.9437369560937316,1.5624414714661252,0.686207250693232,0.9410986101919259,0.7041299932295193,195,7620.832857142923,1756.29000000001,1.5123458561601817
8,42.0,1.35,2.5,0.0004,0.2,1.1870842738059286,2.101226943022368,1.4655197329547602,0.6270256947439768,0.8672521957340026,0.6427443015120741,178,6323.022857142902,1977.5399999999954,1.5082381544781034
8,45.0,1.5,2.5,0.0004,0.3,1.3651151626678921,1.9766469830532634,1.566937596877492,0.5560644962514122,0.7106649937264743,0.5524712254570074,153,6527.191428571501,2179.4500000000276,1.5063975136892895
8,40.0,1.35,2.5,0.0003,0.2,1.0384061837973388,2.2238099492873573,1.3957073429650824,0.5737876640581674,0.8577101257445401,0.61024599413225,169,5184.521428571437,2142.337142857179,1.5056996771425593
8,35.0,1.35,2.5,0.0,0.3,1.1848699845981034,2.0788102660021153,1.5019904780053037,0.4225317188081167,0.7239212400502724,0.47303091852854884,131,4911.155714285762,1682.7471428571507,1.5052493430922516
8,35.0,1.35,2.5,0.0002,0.3,1.1848699845981034,2.0788102660021153,1.5019904780053037,0.4225317188081167,0.7239212400502724,0.47303091852854884,131,4911.155714285762,1682.7471428571507,1.5052493430922516
8,35.0,1.35,2.5,0.0003,0.3,1.179311409211891,2.0788102660021153,1.4984037772574603,0.4165805678389883,0.7239212400502724,0.4694199954863462,130,4876.0657142857635,1682.7471428571507,1.5029618129440194
8,35.0,1.35,2.5,0.0004,0.3,1.179311409211891,2.0788102660021153,1.4984037772574603,0.4165805678389883,0.7239212400502724,0.4694199954863462,130,4876.0657142857635,1682.7471428571507,1.5029618129440194
10,40.0,1.35,2.5,0.0003,0.2,0.9088636298898316,2.3657181255340882,1.3279810419543256,0.5619339070426586,0.8577101257445401,0.6030241480478448,167,4595.371428571474,2865.687142857182,1.5015658654703397
8,45.0,1.5,2.5,0.0,0.2,1.3764737276736567,1.9537089353899397,1.5677485817759675,0.561956990572432,0.7385837193911318,0.5669149176258181,157,6727.581428571468,2179.4500000000276,1.4997994150803706
8,45.0,1.5,2.5,0.0002,0.2,1.3764737276736567,1.9537089353899397,1.5677485817759675,0.561956990572432,0.7385837193911318,0.5669149176258181,157,6727.581428571468,2179.4500000000276,1.4997994150803706
8,40.0,1.35,2.5,0.0004,0.2,1.0384061837973388,2.207502607257502,1.3907920285550563,0.5737876640581674,0.8431618569636136,0.6030241480478448,167,5120.121428571455,2142.337142857179,1.4970172180428987
8,42.0,1.35,2.5,0.0,0.2,1.190799228787262,2.067376545468595,1.4621988331571336,0.6329410314868446,0.8934480476505625,0.6571879936808847,182,6323.622857142888,1977.5399999999954,1.4939922189731543
8,42.0,1.35,2.5,0.0002,0.2,1.190799228787262,2.067376545468595,1.4621988331571336,0.6329410314868446,0.8934480476505625,0.6571879936808847,182,6323.622857142888,1977.5399999999954,1.4939922189731543
10,45.0,1.35,2.5,0.0003,0.4,1.2211495266905565,2.0778204958239757,1.4759251080564175,0.6684605114511657,0.929224405377456,0.6896949484057826,191,6673.472857142952,2556.0700000000115,1.4932942738250004
10,40.0,1.35,2.5,0.0004,0.2,0.9088636298898316,2.34974115392157,1.3233846824586537,0.5619339070426586,0.8431618569636136,0.5958023019634394,165,4530.971428571491,2865.687142857182,1.4930958640413514
12,45.0,1.35,2.5,0.0003,0.2,1.017626473478139,2.2834134471791114,1.3741273966736471,0.6624632889034935,0.9291859695565851,0.6860753780185059,190,6226.577142857166,3278.4671428571864,1.4927179035500742
8,45.0,1.5,2.5,0.0,0.3,1.3696643667840485,1.943026385461171,1.5621611021445796,0.5619800759987676,0.7385837193911318,0.5669149176258181,157,6527.791428571487,2179.4500000000276,1.492172431463745
8,45.0,1.5,2.5,0.0002,0.3,1.3696643667840485,1.943026385461171,1.5621611021445796,0.5619800759987676,0.7385837193911318,0.5669149176258181,157,6527.791428571487,2179.4500000000276,1.492172431463745
10,37.0,1.35,2.5,0.0,0.3,0.9833625961898306,2.2292294978967946,1.3934087038450547,0.48202330771138113,0.8338848444738584,0.5452493793726021,151,4758.891428571501,2109.302857142894,1.4916590471243694
10,37.0,1.35,2.5,0.0002,0.3,0.9833625961898306,2.2292294978967946,1.3934087038450547,0.48202330771138113,0.8338848444738584,0.5452493793726021,151,4758.891428571501,2109.302857142894,1.4916590471243694
10,45.0,1.35,3.0,0.0003,0.3,1.292453097591623,2.0738818474648744,1.5176980307926191,0.7394474684194311,0.9530112508272667,0.7402392236515459,205,8028.262857142983,3539.9057142857114,1.490714501669629
10,37.0,1.35,2.5,0.0003,0.3,0.9790386526716626,2.2292294978967946,1.3905078788052057,0.4760724026779073,0.8338848444738584,0.5416384563303994,150,4723.801428571504,2109.302857142894,1.4898173500847476
8,45.0,1.35,3.0,0.0003,0.2,1.3892354427843088,1.9364230513658474,1.5580773380831947,0.7571631030870664,0.9530112508272667,0.751071992778154,208,8515.482857142924,2692.725714285703,1.4870865296376843
