feature,label,episodes,clusters,mean,median,q10,q25,q75,q90
ema_alignment_m5,NEUTRAL_TIMEOUT,28,28,-0.21428571428571427,-1.0,-1.0,-1.0,1.0,1.0
ema_alignment_m5,REVERSAL,9,9,-0.5555555555555556,-1.0,-1.0,-1.0,-1.0,1.0
ema_alignment_m15,CONTINUATION,11,11,-0.2727272727272727,-1.0,-1.0,-1.0,1.0,1.0
ema_alignment_m15,NEUTRAL_TIMEOUT,28,28,-0.2857142857142857,-1.0,-1.0,-1.0,1.0,1.0
ema_alignment_m15,REVERSAL,9,9,-0.5555555555555556,-1.0,-1.0,-1.0,-1.0,1.0
shock_alignment_m5,CONTINUATION,11,11,-0.2727272727272727,-1.0,-1.0,-1.0,1.0,1.0
shock_alignment_m5,NEUTRAL_TIMEOUT,28,28,0.14285714285714285,1.0,-1.0,-1.0,1.0,1.0
shock_alignment_m5,REVERSAL,9,9,-0.1111111111111111,-1.0,-1.0,-1.0,1.0,1.0
shock_alignment_m15,CONTINUATION,11,11,-0.09090909090909091,-1.0,-1.0,-1.0,1.0,1.0
shock_alignment_m15,NEUTRAL_TIMEOUT,28,28,0.21428571428571427,1.0,-1.0,-1.0,1.0,1.0
shock_alignment_m15,REVERSAL,9,9,-0.5555555555555556,-1.0,-1.0,-1.0,-1.0,1.0
return_1m,CONTINUATION,11,11,0.00014985524272727272,-1.6985859e-05,-0.000240526721,-0.0001813998085,0.00011149283399999998,0.000788880519
return_1m,NEUTRAL_TIMEOUT,28,28,0.00011074472189285713,1.69557495e-05,-0.00028268453239999996,-0.000142530377,0.00029512795675000003,0.0005830010596
return_1m,REVERSAL,9,9,0.00021617403177777775,0.000121497193,-0.00020331512139999997,4.7626499e-05,0.000600701515,0.000701869012
return_5m,CONTINUATION,11,11,0.0002473577287272727,0.000279520103,-0.000864367993,-5.23302849999999e-06,0.0007310588285,0.000987037658
return_5m,NEUTRAL_TIMEOUT,28,28,0.00012090104942857145,-8.9799625e-06,-0.00044810544779999995,-0.00020313750250000001,0.0005062839515,0.0007881536480000002
return_5m,REVERSAL,9,9,0.0005720989965555556,0.0008021544,-2.006277979999999e-05,0.000246337397,0.000851949267,0.0009944260400000001
return_15m,CONTINUATION,11,11,0.00011600129072727269,7.134376e-05,-0.001625119279,-0.0008284416970000001,0.001135402783,0.00122004608
return_15m,NEUTRAL_TIMEOUT,28,28,0.00036664464675,0.000387822381,-0.0009047882404999999,-0.000404774686,0.00079626391275,0.0017282098098000001
return_15m,REVERSAL,9,9,-6.884498533333335e-05,-1.6930758e-05,-0.0009307414514,-0.000583183316,0.000438930039,0.0007343449690000001
shock_pre_momentum_5m,CONTINUATION,11,11,-0.000159935096,-0.000279520103,-0.000965144804,-0.0006766362925,-5.23302849999999e-06,0.000987037658
shock_pre_momentum_5m,NEUTRAL_TIMEOUT,28,28,0.0002443040406428572,0.0002216264475,-0.00029584356579999996,-7.908507325e-05,0.0006408796755,0.0009846849214000001
shock_pre_momentum_5m,REVERSAL,9,9,0.00038479804033333324,0.000477565441,-0.00037092168879999997,-4.0699903e-05,0.000851949267,0.0009944260400000001
trend_efficiency_15m,CONTINUATION,11,11,0.30460669539190904,0.314186248912,0.116432700248,0.1625846749365,0.4116947542255,0.439090416892
trend_efficiency_15m,NEUTRAL_TIMEOUT,28,28,0.2685550274775,0.195307098613,0.056629033726000005,0.09686783281400001,0.3667093088795,0.6139300057374
trend_efficiency_15m,REVERSAL,9,9,0.14994435520233332,0.170860927152,0.0165688870426,0.027777777778,0.245392822502,0.2636314642364
daily_range_position,CONTINUATION,11,11,0.40317462281454547,0.370205394704,0.091393078971,0.1276806728175,0.5896859066955,0.830543078808
daily_range_position,NEUTRAL_TIMEOUT,28,28,0.44251786143428573,0.388164878146,0.0946107915338,0.22906733580299998,0.6595245322484999,0.8468384198483
daily_range_position,REVERSAL,9,9,0.42290260535711105,0.461766889384,0.2184957504444,0.302524604193,0.557247066286,0.5816237544671999
atr14_m1,CONTINUATION,11,11,0.07633104473454545,0.071965697177,0.05951712882,0.064183821955,0.09066388233799999,0.096460536213
atr14_m1,NEUTRAL_TIMEOUT,28,28,0.027744042472250003,0.00043874086,0.0002205741486,0.00024501190225,0.060880124691249995,0.0865426308571
atr14_m1,REVERSAL,9,9,0.06128906815588889,0.068992001333,0.0435353996228,0.06088339585,0.071354608053,0.0772719634638
atr14_m5,CONTINUATION,11,11,0.15460190863827272,0.152914486461,0.133515950782,0.1426214795265,0.16410746402499998,0.181750941454
atr14_m5,NEUTRAL_TIMEOUT,28,28,0.05391818143589285,0.0007723683755000001,0.0004715131632,0.0005472007835,0.135816423146,0.1545965765124
atr14_m5,REVERSAL,9,9,0.14633699980688888,0.178850105646,0.09213330320520001,0.134280416449,0.182952354475,0.1845076388162
atr14_m15,CONTINUATION,11,11,0.21493770265109094,0.207644805595,0.186680443558,0.2033346544925,0.23459665363249999,0.239486280431
atr14_m15,NEUTRAL_TIMEOUT,28,28,0.07552524738185716,0.001117685265,0.0006309210211,0.0007217038635,0.18840578346975,0.2354362103849
atr14_m15,REVERSAL,9,9,0.203251084034,0.241267684218,0.13164707856400001,0.186681714797,0.246172005733,0.24921029254979998
realized_vol_1m,CONTINUATION,11,11,0.00034325413181818183,0.000156127495,1.6985859e-05,9.26850235e-05,0.0002830309535,0.000788880519
realized_vol_1m,NEUTRAL_TIMEOUT,28,28,0.0003376381255357143,0.0002529653275,5.2182797200000006e-05,0.00012428508875,0.000386437515,0.0007433647268
realized_vol_1m,REVERSAL,9,9,0.00036758791688888887,0.000350925739,6.914104940000001e-05,0.000111737708,0.000600701515,0.000701869012
realized_vol_5m,CONTINUATION,11,11,0.0003453378718181818,0.000317221866,0.000168529235,0.00023379837850000002,0.0003845621595,0.000566342372
realized_vol_5m,NEUTRAL_TIMEOUT,28,28,0.00028690656046428573,0.00021914604199999997,0.0001501289362,0.00018661750875,0.0003294943935,0.0005147274583
realized_vol_5m,REVERSAL,9,9,0.0003302224186666667,0.000320896996,0.00021883586960000001,0.00024585019,0.000402704971,0.0004636725376
realized_vol_15m,CONTINUATION,11,11,0.00032405593118181814,0.000318322657,0.000245009378,0.000256290134,0.0003583757655,0.000468724835
realized_vol_15m,NEUTRAL_TIMEOUT,28,28,0.0003121374543571428,0.0002493647095,0.0001699360463,0.00020852842024999998,0.00039519013625,0.0005002168435
realized_vol_15m,REVERSAL,9,9,0.0003390654688888888,0.00033750813,0.0002502101182,0.000295171951,0.000357011457,0.00040473815720000006
short_long_vol_ratio,CONTINUATION,11,11,0.9043670876055454,0.581845023627,0.062645323901,0.3525596969605,0.6748029412025001,2.460911017884
short_long_vol_ratio,NEUTRAL_TIMEOUT,28,28,1.1231141991581073,0.976258018146,0.08895524092490001,0.472540321479,1.78446495278475,2.2048050202932
short_long_vol_ratio,REVERSAL,9,9,1.0897881828621112,1.373434039493,0.2255329118204,0.252461951454,1.687736455969,1.9954266979034
shock_pre_vol_ratio,CONTINUATION,11,11,0.22759974667781824,0.165820052689,0.039087909829,0.075825090514,0.2038373784095,0.350218690449
shock_pre_vol_ratio,NEUTRAL_TIMEOUT,28,28,0.2698840591706072,0.1885194121265,0.0357382198809,0.055110506939,0.333866747994,0.5365451444151002
shock_pre_vol_ratio,REVERSAL,9,9,0.14676300316066668,0.157572374828,0.030704603484,0.076133537372,0.180300084795,0.24254400180580005
volatility_percentile,CONTINUATION,11,11,0.5923295454545454,0.6171875,0.2734375,0.55859375,0.76171875,0.8515625
volatility_percentile,NEUTRAL_TIMEOUT,28,28,0.69140625,0.80078125,0.3,0.498046875,0.900390625,0.984375
volatility_percentile,REVERSAL,9,9,0.5954861111111112,0.546875,0.409375,0.453125,0.625,0.9625
entry_spread,CONTINUATION,11,11,0.01936363636363636,0.019,0.018,0.019,0.0205,0.021
entry_spread,NEUTRAL_TIMEOUT,28,28,0.006792499999999999,0.00025,0.00021,0.00022,0.018,0.0193
entry_spread,REVERSAL,9,9,0.01703111111111111,0.019,0.013656000000000001,0.018,0.02,0.0202
spread_atr_ratio,CONTINUATION,11,11,0.2608427809051818,0.267198713992,0.217705611274,0.2260820804855,0.289655462401,0.307643077916
spread_atr_ratio,NEUTRAL_TIMEOUT,28,28,0.5988664512050356,0.6010578166705001,0.2080137735173,0.31427556815325,0.898390829996,0.9915257869456999
spread_atr_ratio,REVERSAL,9,9,0.29477422884233334,0.289888677143,0.2360648495344,0.2505179658,0.328496788343,0.3724161283352
spread_prevol_ratio,CONTINUATION,11,11,0.4696103889157273,0.413980124126,0.35311335186,0.3869708524855,0.510244235897,0.622419965387
spread_prevol_ratio,NEUTRAL_TIMEOUT,28,28,1.0731375447716072,0.947966853404,0.2774425824537,0.5933932017597501,1.5361078227705,1.863696531291
spread_prevol_ratio,REVERSAL,9,9,0.41520329044411114,0.413296345732,0.31431155654480003,0.31665072349,0.504393663975,0.519545124838
tick_activity,CONTINUATION,11,11,207.0909090909091,203.0,184.0,192.0,228.0,231.0
tick_activity,NEUTRAL_TIMEOUT,28,28,169.60714285714286,160.0,125.8,138.0,208.25,219.5
tick_activity,REVERSAL,9,9,208.88888888888889,210.0,192.4,208.0,213.0,222.0
quote_age_ms,CONTINUATION,11,11,154.72727272727272,134.0,37.0,89.0,227.0,271.0
quote_age_ms,NEUTRAL_TIMEOUT,28,28,332.2142857142857,245.5,125.2,169.75,431.25,678.3000000000001
quote_age_ms,REVERSAL,9,9,139.88888888888889,139.0,6.6000000000000005,53.0,171.0,271.0
severity,CONTINUATION,11,11,1.6363636363636365,2.0,1.0,1.0,2.0,2.0
severity,NEUTRAL_TIMEOUT,28,28,1.1785714285714286,1.0,1.0,1.0,1.0,2.0
severity,REVERSAL,9,9,1.4444444444444444,1.0,1.0,1.0,2.0,2.2
initial_shock_spread_ratio,CONTINUATION,11,11,0.5882693917788182,0.500000000001,0.075,0.171875,0.6544117647059999,0.882352941176
initial_shock_spread_ratio,NEUTRAL_TIMEOUT,28,28,0.29749843245174995,0.235119047619,0.042142857142,0.08818181818250001,0.40625000000075,0.7474117647059
initial_shock_spread_ratio,REVERSAL,9,9,0.3712475633531111,0.368421052632,0.0850000000006,0.194444444445,0.399999999999,0.6011111111110001
confirmation_delay_ms,CONTINUATION,11,11,250.0,250.0,250.0,250.0,250.0,250.0
confirmation_delay_ms,NEUTRAL_TIMEOUT,28,28,250.0,250.0,250.0,250.0,250.0,250.0
confirmation_delay_ms,REVERSAL,9,9,250.0,250.0,250.0,250.0,250.0,250.0
repeat_count,CONTINUATION,11,11,4.818181818181818,1.0,0.0,0.0,4.0,7.0
repeat_count,NEUTRAL_TIMEOUT,28,28,3.392857142857143,1.0,0.0,0.0,4.25,7.5000000000000036
repeat_count,REVERSAL,9,9,7.333333333333333,1.0,0.0,0.0,5.0,16.200000000000006
repeat_direction_balance,CONTINUATION,11,11,0.2975206611570909,0.0,-0.333333333333,0.0,1.0,1.0
repeat_direction_balance,NEUTRAL_TIMEOUT,28,28,0.5506493506493572,0.909090909091,0.0,0.0,1.0,1.0
repeat_direction_balance,REVERSAL,9,9,0.5530864197531111,0.6,0.0,0.0,1.0,1.0
origin_recross_available,CONTINUATION,11,11,0.8181818181818182,1.0,0.0,1.0,1.0,1.0
origin_recross_available,NEUTRAL_TIMEOUT,28,28,0.8214285714285714,1.0,0.0,1.0,1.0,1.0
origin_recross_available,REVERSAL,9,9,0.7777777777777778,1.0,0.0,1.0,1.0,1.0
usd_factor_alignment,CONTINUATION,11,11,0.2727272727272727,1.0,-1.0,-1.0,1.0,1.0
usd_factor_alignment,NEUTRAL_TIMEOUT,28,28,0.2857142857142857,1.0,-1.0,-1.0,1.0,1.0
usd_factor_alignment,REVERSAL,9,9,0.1111111111111111,1.0,-1.0,-1.0,1.0,1.0
directional_range_position,CONTINUATION,11,11,0.3898377151881819,0.370205394704,0.057855927397,0.13570594141749998,0.5639772712305,0.846593616008
directional_range_position,NEUTRAL_TIMEOUT,28,28,0.5641534097169285,0.58668253375,0.2100623792514,0.330957701254,0.78575475664475,0.8959788689697
directional_range_position,REVERSAL,9,9,0.4540644563617778,0.461766889384,0.2184957504444,0.367905267456,0.575745202123,0.6236054502366
spread_atr_percentile,CONTINUATION,11,11,0.10988752298511262,0.09009009009009009,0.020833333333333332,0.04199062075774404,0.17269953539976424,0.19293478260869565
spread_atr_percentile,NEUTRAL_TIMEOUT,28,28,0.12472557590822221,0.12471352177234529,0.011988200589970502,0.04035809238949817,0.20859516714174656,0.26114272706578645
spread_atr_percentile,REVERSAL,9,9,0.14619553629834345,0.09395973154362416,0.040755372945638434,0.07482993197278912,0.22957198443579765,0.2796370235934664
tick_activity_percentile,CONTINUATION,11,11,0.8854652528441231,0.8680555555555556,0.7470355731225297,0.8278138148667602,0.9887892376681615,1.0
tick_activity_percentile,NEUTRAL_TIMEOUT,28,28,0.868301617365643,0.872804314329738,0.7576940133037694,0.8262429971988796,0.9175510064357114,0.9681037742984646
tick_activity_percentile,REVERSAL,9,9,0.906021798781974,0.9111111111111111,0.8399973165168388,0.8986486486486487,0.9464285714285714,0.9689603274938293
atr_percentile,CONTINUATION,11,11,0.9172055936113366,0.9279279279279279,0.8693693693693694,0.8733145587984298,0.9550047892720306,0.9730941704035875
atr_percentile,NEUTRAL_TIMEOUT,28,28,0.8569846842479489,0.8618642533936651,0.7413548387096774,0.7756071683926471,0.922396784800877,0.9473906819364915
atr_percentile,REVERSAL,9,9,0.9273187836092371,0.9731543624161074,0.8142453409789064,0.8761061946902655,0.9864864864864865,0.9879727891156462
