period_id,variant,m15_anchor_bias_state,anchor_aligned_bucket,anchor_opposite_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,one_light_anchor_diag,short_bias,anchor_aligned,anchor_not_opposite,6,2,0.3333333333333333,-32.13,37.67,-69.80000000000001,0.5396848137535816,-1.3002999999999998,-0.21671666666666664,0.5414212660906367,43.59,0.4359,-0.7370956641431521,1,0.16666666666666666,1,0.16666666666666666,4,0.6666666666666666,0.74205,0.73645,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,USDJPY:4|EURJPY:2,SHORT:6,london_newyork_overlap:3|london:1|new_york:1|tokyo:1
full2025_validation,one_light_anchor_diag,short_bias,anchor_not_aligned,anchor_opposite,6,3,0.5,40.49,79.24,-38.75,2.0449032258064515,1.6527,0.27545000000000003,2.050801119023398,38.75,0.3875,1.0449032258064517,0,0.0,2,0.3333333333333333,4,0.6666666666666666,0.7704333333333334,0.50015,0.6666666666666666,0.5,0.5,0.16666666666666666,0.0,GBPJPY:2|USDJPY:2|EURJPY:1|EURUSD:1,LONG:6,london:2|london_newyork_overlap:2|new_york:2
full2025_validation,one_light_or_anchor,bias_flip_down,anchor_aligned,anchor_not_opposite,29,6,0.20689655172413793,-150.38,153.32000000000002,-303.7,0.5048403029305236,-6.357400000000002,-0.21922068965517247,0.49661102841035054,189.29999999999998,1.8929999999999998,-0.7944004226096144,3,0.10344827586206896,4,0.13793103448275862,22,0.7586206896551724,0.6241034482758622,0.5888724137931034,0.5517241379310345,0.3103448275862069,0.1724137931034483,0.13793103448275862,0.0,USDJPY:20|AUDJPY:3|EURJPY:2|GBPJPY:2|EURUSD:1|GBPUSD:1,SHORT:29,london:10|tokyo:8|london_newyork_overlap:7|new_york:4
full2025_validation,one_light_or_anchor,bias_flip_down,anchor_not_aligned,anchor_opposite,1,0,0.0,-4.81,0,-4.81,0.0,-0.2131,-0.2131,0.0,4.81,0.0481,-1.0,0,0.0,0,0.0,1,1.0,0.1829,0.2664,0.0,0.0,0.0,0.0,0.0,GBPJPY:1,LONG:1,new_york:1
full2025_validation,one_light_or_anchor,bias_flip_up,anchor_aligned,anchor_not_opposite,15,2,0.13333333333333333,-67.82000000000001,60.16,-127.97999999999999,0.4700734489764026,-2.7821,-0.18547333333333332,0.4847390450790829,67.82000000000001,0.6782,-1.0,0,0.0,2,0.13333333333333333,13,0.8666666666666667,0.33420000000000005,0.4929066666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,USDJPY:9|EURUSD:3|GBPUSD:3,LONG:15,london_newyork_overlap:9|london:2|new_york:2|tokyo:2
full2025_validation,one_light_or_anchor,bias_flip_up,anchor_not_aligned,anchor_opposite,1,1,1.0,11.19,11.19,0,inf,0.4662,0.4662,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.6352,0.4014,1.0,0.0,0.0,0.0,0.0,GBPJPY:1,SHORT:1,new_york:1
full2025_validation,one_light_or_anchor,long_bias,anchor_aligned,anchor_not_opposite,2,1,0.5,8.529999999999998,32.62,-24.09,1.3540888335408883,0.2972999999999999,0.14864999999999995,1.2973,24.09,0.2409,0.3540888335408882,1,0.5,1,0.5,0,0.0,0.6783499999999999,0.76215,0.5,0.5,0.5,0.0,0.0,EURUSD:1|USDJPY:1,LONG:2,london_newyork_overlap:1|new_york:1
full2025_validation,one_light_or_anchor,long_bias,anchor_not_aligned,anchor_opposite,8,3,0.375,32.79,77.7,-44.91,1.7301269205076821,1.4330999999999998,0.17913749999999998,1.7659130992464325,18.26,0.1826,1.7957283680175244,0,0.0,2,0.25,6,0.75,0.832475,0.3314,0.5,0.5,0.5,0.25,0.0,USDJPY:5|EURUSD:3,SHORT:8,london_newyork_overlap:3|new_york:3|london:1|tokyo:1
full2025_validation,one_light_or_anchor,short_bias,anchor_aligned,anchor_not_opposite,5,2,0.4,-17.360000000000003,37.31,-54.67,0.6824583866837388,-0.7041999999999998,-0.14083999999999997,0.6855407698490669,28.46,0.2846,-0.6099789177793395,1,0.2,1,0.2,3,0.6,0.8200200000000001,0.70838,1.0,0.4,0.2,0.2,0.0,USDJPY:4|EURJPY:1,SHORT:5,london_newyork_overlap:3|london:1|tokyo:1
full2025_validation,one_light_or_anchor,short_bias,anchor_not_aligned,anchor_opposite,4,3,0.75,68.95,76.25,-7.3,10.445205479452055,2.9325,0.733125,11.008532423208193,7.3,0.073,9.445205479452055,0,0.0,2,0.5,2,0.5,0.9636,0.39392499999999997,0.75,0.75,0.75,0.25,0.0,USDJPY:2|EURJPY:1|EURUSD:1,LONG:4,london:2|london_newyork_overlap:1|new_york:1
q1_quick,anchor_aligned,long_bias,anchor_aligned,anchor_not_opposite,31,8,0.25806451612903225,-90.82000000000001,159.95999999999998,-250.78000000000003,0.6378499082861471,-3.7204,-0.12001290322580646,0.6502068446784505,121.46000000000001,1.2146000000000001,-0.7477358801251441,1,0.03225806451612903,5,0.16129032258064516,25,0.8064516129032258,0.5846516129032259,0.5429193548387097,0.4838709677419355,0.2903225806451613,0.2903225806451613,0.12903225806451613,0.0,USDJPY:20|EURJPY:5|EURUSD:2|GBPUSD:2|AUDJPY:1|GBPJPY:1,LONG:31,london_newyork_overlap:9|tokyo:9|new_york:8|london:5
q1_quick,anchor_aligned,short_bias,anchor_aligned,anchor_not_opposite,41,9,0.21951219512195122,-220.82999999999996,216.19000000000003,-437.02,0.4946913184751271,-9.051099999999998,-0.22075853658536582,0.5057851600679257,233.91999999999996,2.3391999999999995,-0.9440406976744186,8,0.1951219512195122,6,0.14634146341463414,27,0.6585365853658537,0.6316780487804876,0.5576756097560976,0.5365853658536586,0.36585365853658536,0.2682926829268293,0.12195121951219512,0.0,USDJPY:19|EURJPY:6|EURUSD:6|GBPJPY:5|GBPUSD:4|AUDJPY:1,SHORT:41,london_newyork_overlap:16|new_york:10|london:9|tokyo:6
q1_quick,anchor_diag,bias_flip_down,anchor_aligned,anchor_not_opposite,18,6,0.3333333333333333,-3.0700000000000074,153.07999999999998,-156.14999999999998,0.9803394172270253,-0.06769999999999987,-0.003761111111111104,0.9898660279919167,108.03,1.0803,-0.0284180320281404,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0.672711111111111,0.5592999999999999,0.5555555555555556,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.0,USDJPY:12|EURJPY:2|GBPJPY:2|AUDJPY:1|EURUSD:1,SHORT:18,london:6|london_newyork_overlap:6|tokyo:5|new_york:1
q1_quick,anchor_diag,bias_flip_down,anchor_not_aligned,anchor_opposite,4,0,0.0,-34.85,0,-34.85,0.0,-1.5158,-0.37895,0.0,34.85,0.34850000000000003,-1.0,0,0.0,0,0.0,4,1.0,0.2586,0.5157250000000001,0.0,0.0,0.0,0.0,0.0,GBPJPY:2|USDJPY:2,LONG:4,london_newyork_overlap:2|new_york:1|tokyo:1
q1_quick,anchor_diag,bias_flip_up,anchor_aligned,anchor_not_opposite,4,1,0.25,-37.339999999999996,3.15,-40.489999999999995,0.07779698691034824,-1.5903,-0.397575,0.07535321821036106,40.489999999999995,0.4049,-0.9222030130896518,0,0.0,0,0.0,4,1.0,0.391575,0.622775,0.5,0.0,0.0,0.0,0.0,EURUSD:2|USDJPY:2,LONG:4,london:1|london_newyork_overlap:1|new_york:1|tokyo:1
q1_quick,anchor_diag,bias_flip_up,anchor_not_aligned,anchor_opposite,4,4,1.0,40.0,40.0,0,inf,1.8265999999999998,0.45664999999999994,inf,0.0,0.0,inf,0,0.0,0,0.0,4,1.0,0.9065000000000001,0.33520000000000005,1.0,0.5,0.25,0.25,0.0,GBPJPY:2|AUDJPY:1|USDJPY:1,SHORT:4,new_york:3|london:1
