entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,wave_stage,setup_type,wave_tf,fib_zone,divergence_type,m15_confirmation_type,failure_type,wave_size_atr,retracement_ratio,extension_ratio,wave_rule_validity,wave3_break_confirmed,pivot_confirmation_delay_bars,entry_delay_from_pivot,pivot_time,pivot_confirmed_time,room_to_1r,room_to_2r,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.06 12:15:00,2025.01.06 12:16:54,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_other,bullish_rsi_macd,ma_reclaim,fib_not_aligned,2.6325,0.9008,0.2144,valid_abc,false,3,22,2025.01.03 13:00:00,2025.01.03 16:00:00,28.9405,28.9405,196.61100000,196.70300000,196.69500000,196.49300000,0.08400000,-1.0952,-26.83,0.00,0.00,-26.83,0.460,1.400,0,0.24121429,38.00,1.1000,DEAL_REASON_SL,44
2025.01.07 04:30:00,2025.01.07 12:30:00,abc_completion_reentry_only,USDJPY,LONG,USD,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_382_886,none,candle_reversal,target_blocked,3.0869,0.8774,0.1459,valid_abc,false,3,3,2025.01.06 12:00:00,2025.01.07 00:00:00,0.0000,0.0000,158.28400000,157.69300000,156.14500000,161.27900000,2.13900000,-0.2763,-3.75,0.00,0.00,-3.75,0.010,1.400,32,0.56821429,16.00,0.8000,DEAL_REASON_EXPERT,46
2025.01.07 04:45:00,2025.01.07 12:45:00,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,candle_reversal,target_blocked,2.3360,0.7506,0.2334,valid_abc,false,3,3,2025.01.06 12:00:00,2025.01.07 00:00:00,1.9765,1.9765,1.03819000,1.04273000,1.04416000,1.02984000,0.00597000,-0.7605,-18.16,0.00,0.00,-18.16,0.040,1.400,32,0.00370714,18.00,1.2488,DEAL_REASON_EXPERT,47
2025.01.07 13:15:00,2025.01.07 14:55:01,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,ma_reclaim,other,2.3360,0.7506,0.2334,valid_abc,false,3,5,2025.01.06 12:00:00,2025.01.07 00:00:00,6.6909,6.6909,1.04196000,1.03884000,1.04416000,1.03889000,0.00220000,1.4182,34.32,0.00,0.00,34.32,0.110,1.400,6,0.00370714,18.00,1.3000,DEAL_REASON_TP,51
2025.01.07 12:30:00,2025.01.07 20:30:00,abc_completion_reentry_only,USDJPY,LONG,USD,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_382_886,none,micro_bos,target_blocked,3.0869,0.8774,0.1459,valid_abc,false,3,5,2025.01.06 12:00:00,2025.01.07 00:00:00,0.4439,0.4439,157.71300000,157.67800000,156.14500000,159.90900000,1.56800000,-0.0223,-0.44,0.00,0.00,-0.44,0.020,1.400,32,0.56821429,20.00,0.8222,DEAL_REASON_EXPERT,49
2025.01.07 15:00:01,2025.01.07 23:00:00,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,micro_bos,other,2.3360,0.7506,0.2334,valid_abc,false,3,5,2025.01.06 12:00:00,2025.01.07 00:00:00,2.1864,2.1864,1.03885000,1.03454000,1.04416000,1.03142000,0.00531000,0.8117,17.24,0.00,0.00,17.24,0.040,1.400,32,0.00370714,18.00,1.2593,DEAL_REASON_EXPERT,53
2025.01.08 02:00:00,2025.01.08 03:12:16,abc_completion_reentry_only,AUDJPY,LONG,AUD,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,none,micro_bos,target_blocked,4.5775,0.8797,1.6483,valid_abc,false,3,3,2025.01.07 22:00:00,2025.01.08 01:00:00,1.1465,1.1465,98.65600000,98.21500000,98.21900000,99.26700000,0.43700000,-1.0092,-22.37,0.00,0.00,-22.37,0.080,1.400,4,0.19071429,29.00,0.8573,DEAL_REASON_SL,59
2025.01.07 22:00:00,2025.01.08 06:00:00,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,ma_reclaim,target_blocked,4.5782,0.7832,0.4108,valid_abc,false,3,3,2025.01.07 04:00:00,2025.01.07 16:00:00,1.4627,1.4627,197.05500000,197.42700000,198.34300000,195.25200000,1.28800000,-0.2888,-7.08,0.00,-0.42,-7.50,0.030,1.400,32,0.70114286,38.00,1.2231,DEAL_REASON_EXPERT,55
2025.01.07 23:00:00,2025.01.08 07:00:01,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,micro_bos,target_blocked,2.3360,0.7506,0.2334,valid_abc,false,3,7,2025.01.06 12:00:00,2025.01.07 00:00:00,0.5000,0.5000,1.03436000,1.03523000,1.04416000,1.02065000,0.00980000,-0.0888,-1.74,0.00,0.05,-1.69,0.020,1.400,32,0.00370714,18.00,1.1750,DEAL_REASON_EXPERT,57
2025.01.08 01:15:00,2025.01.08 09:15:00,abc_completion_reentry_only,GBPUSD,SHORT,GBP,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,candle_reversal,target_blocked,2.8230,0.6875,0.1053,valid_abc,false,3,3,2025.01.07 08:00:00,2025.01.07 20:00:00,0.5471,0.5471,1.24730000,1.24843000,1.25803000,1.23228000,0.01073000,-0.1053,-2.26,0.00,0.00,-2.26,0.020,1.400,32,0.00357071,20.00,1.1774,DEAL_REASON_EXPERT,58
