run;magic;date;trigger;strategy_mode;enable_trading;closed_trades;realized_profit_r;max_daily_dd_r;consecutive_losses;drawdown_percent;max_drawdown_percent;drawdown_guard_state;stop_condition_triggered;stop_reason;stop_class
prod_full;2026054104;20240926;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0097072479;2.0097072479;2;3.5677610021;4.8658145587;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20241010;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.9268253409;2.9268253409;2;4.3151192324;4.8658145587;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20241022;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0039011704;2.0039011704;2;4.4662174874;4.8658145587;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20241024;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0306211724;2.0306211724;2;4.5846855745;4.8658145587;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20241028;daily_rollover;STRATEGY_01B_J_SHORT;true;1;-1.0063025210;1.0063025210;1;5.0639472900;5.0639472900;0;true;monthly_loss_r_reached;period_r
prod_full;2026054104;20241029;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;5.0639472900;5.0639472900;0;true;monthly_loss_r_reached;period_r
prod_full;2026054104;20241030;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;5.0639472900;5.0639472900;0;true;monthly_loss_r_reached;period_r
prod_full;2026054104;20241114;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0050761421;2.0050761421;2;5.8143431635;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20250610;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0629072547;2.0629072547;2;3.4516446389;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20250611;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0281185376;2.0281185376;2;3.9236552059;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20250718;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0134453782;2.0134453782;2;2.3453545616;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20250728;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0034275921;2.0034275921;2;2.4589232241;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20250828;daily_rollover;STRATEGY_01B_J_SHORT;true;1;-1.5977608956;1.5977608956;1;0.6789622627;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20251023;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0649702713;2.0649702713;2;1.9024465767;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20251027;daily_rollover;STRATEGY_01B_J_SHORT;true;1;-1.0000000000;1.0000000000;1;2.3791605914;5.8883244752;0;true;monthly_loss_r_reached;period_r
prod_full;2026054104;20251030;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;2.3791605914;5.8883244752;0;true;monthly_loss_r_reached;period_r
prod_full;2026054104;20251031;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;2.3791605914;5.8883244752;0;true;monthly_loss_r_reached;period_r
prod_full;2026054104;20251104;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.1276783794;2.1276783794;2;3.1218153740;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20260326;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0534321943;2.0534321943;2;1.0483616210;5.8883244752;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20260422;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0000000000;2.0000000000;2;1.1928832746;5.8883244752;0;true;daily_loss_r_reached;period_r
