feature,count,missing,clean_count,non_clean_count,clean_mean,non_clean_mean,clean_median,non_clean_median,clean_std,non_clean_std,standardized_difference,rank_biserial,mann_whitney_u,mann_whitney_p,cluster_bootstrap_mean_diff_low,cluster_bootstrap_mean_diff_high
direction_consistency_30s,2692,4,188,2504,0.5319421901445904,0.5508869556327672,0.5255754475705,0.545454545455,0.10482873063759825,0.12027771813373557,-0.15884132500072073,-0.10610045204268914,210402.5,0.015056037289539737,-0.03270915949029745,-0.0034563969209389462
spread_5s_atr,2696,0,188,2508,0.18657395151407447,0.5240793720095422,0.17614411214800002,0.4356129733735,0.06731360147837748,0.4011585723807516,-0.8712258027792092,-0.8062116122026537,45686.0,4.071995137057743e-76,-0.3544014711491781,-0.31630627611905104
spread_10s_atr,2696,0,188,2508,0.18579986202827123,0.5214341040036439,0.1691716147835,0.433860259723,0.0683489838870083,0.3933455302107714,-0.8835378652712688,-0.8067333469069191,45563.0,3.263530078750472e-76,-0.3519496905332967,-0.31595981916789195
spread_30s_atr,2696,0,188,2508,0.18513095923286169,0.5192192127743074,0.17435315400950002,0.4353922573865,0.06778707079803624,0.3998816216717129,-0.8651400932790172,-0.81033458889002,44714.0,7.055724047409616e-77,-0.35013868812537563,-0.31368398112852286
spread_change_5s_atr,2696,0,188,2508,-0.0011814882938936172,0.009429870530472888,0.0,0.0,0.021531860720363706,0.13720664670394553,-0.08009749860834045,-0.0884531202280362,214899.0,0.03682290238043956,-0.016997971824454464,-0.005239321521823678
spread_change_10s_atr,2696,0,188,2508,-0.00040739880806382956,0.01207513853636005,0.0,0.0,0.023850400841895616,0.14676722730214714,-0.08807813269342386,-0.07807781058061014,217345.0,0.06797562910434009,-0.019676447851123952,-0.00577330404949145
spread_change_30s_atr,2696,0,188,2508,0.00026150398730851067,0.014290029765691785,0.0,0.0,0.026886202418288402,0.19420908944607046,-0.07482623688418409,-0.0491660728222878,224161.0,0.25325608996402693,-0.02335228474913245,-0.005056650215961448
ticks_5s,2696,0,188,2508,11.329787234042554,7.34688995215311,11.0,7.0,5.063000522026377,4.245469945070642,0.9246999270079289,0.47078285656113206,346740.0,2.90493284832058e-27,3.2116171629543455,4.788814678145607
ticks_10s,2696,0,188,2508,22.93617021276596,14.100877192982455,23.0,13.0,8.926088076862081,7.5068769979091385,1.1604104073172796,0.5485701075706675,365078.5,2.9167268285478612e-36,7.411166666160789,10.17459572021145
ticks_30s,2696,0,188,2508,68.18085106382979,40.87240829346093,69.0,38.0,24.43542740859674,20.652974151581812,1.3042770703847002,0.6028262750687163,377869.5,2.304853061643251e-43,23.43181799066457,30.74782444598892
ticks_60s,2696,0,188,2508,137.42021276595744,80.4469696969697,139.0,73.0,47.085529368271075,40.16992202393147,1.4002489031444572,0.640588414944518,386772.0,9.906608959262584e-49,49.75496141640813,63.72222893087868
ticks_120s,2696,0,188,2508,274.7074468085106,158.85526315789474,273.0,143.0,90.51111284547642,79.71864280443377,1.438897961844796,0.6644439919915843,392396.0,2.7344618800640635e-52,101.49402122826302,128.90156865095847
tick_ratio_5s_prev5s,2553,143,188,2365,1.1631996958735107,1.4980563088398755,1.0,1.111111111111,0.9548523881132015,1.4318719929360937,-0.23876951735923918,-0.12397777877738292,194748.5,0.004583877649262115,-0.4598366270489347,-0.18014407509002042
tick_ratio_30s_prev30s,2694,2,188,2506,1.0214423971766329,1.153991342665422,0.9873397435894999,1.030536130536,0.2961835927082978,0.70442752645107,-0.19378788443309203,-0.11351055339525562,208825.0,0.00933596521971632,-0.18181770921768747,-0.07748083655763487
range_30s_atr,2693,3,188,2505,0.4406585066722288,0.5135978820344228,0.369024967902,0.429956684572,0.2871333817707764,0.3336241726944351,-0.22062398403907688,-0.22058861001401453,183528.0,4.382693743518296e-07,-0.11281427424148587,-0.023612807978072293
range_60s_atr,2696,0,188,2508,0.5505862882306276,0.6253999776619162,0.466329313455,0.532710507271,0.31599516951104767,0.3664661602438003,-0.20599084529791345,-0.1629933150089925,197326.0,0.0001894129567777571,-0.11887918582384928,-0.01990087085738556
range_180s_atr,2696,0,188,2508,0.8522188213317128,0.9364659907984709,0.772571956075,0.83474870767,0.37174228237188567,0.4598569666029631,-0.1854467932757449,-0.10745614035087714,210419.0,0.013860749707753589,-0.14117921271017486,-0.031097711995935046
range_300s_atr,2696,0,188,2508,1.0605250597927074,1.1680980715715865,0.9841902313305,1.0579816102925,0.41984203305177936,0.52640473278739,-0.20698501191868338,-0.11694068343004516,208183.0,0.00740495526423446,-0.16969831933660798,-0.043547332387573544
range_900s_atr,2696,0,188,2508,1.8731361007300429,1.9450016953218212,1.7055148499469999,1.7843193912305,0.7893645639722555,0.7589158104969442,-0.094427209455564,-0.0717703349282297,218832.0,0.10025975257340568,-0.19265140434580535,0.04871747489705765
range_1800s_atr,2696,0,188,2508,2.6167091493777126,2.7625869493806228,2.4359419407455,2.5860432725565,0.842360778209588,0.9697161036096591,-0.15173145605881222,-0.08567477688418335,215554.0,0.049759290199889526,-0.26682632868001965,-0.008552613764772775
range_3600s_atr,2696,0,188,2508,3.746371503584149,3.827386932200656,3.561989765376,3.6281443899085,1.0518784667423926,1.175601545682616,-0.06939597152676377,-0.02745681903016728,229279.0,0.5295112975448619,-0.23881428988688957,0.08681478981462026
realized_abs_30s_atr,2693,3,188,2505,0.8888609320566488,0.9100908541853793,0.799769330245,0.816024521315,0.397648001926192,0.4748211895306899,-0.04518270424106179,-0.010438697073937186,233012.0,0.8111035928381793,-0.08313083045375563,0.043846243694825766
realized_abs_60s_atr,2696,0,188,2508,1.5638288940285423,1.560514157247246,1.4966534159470002,1.4460156107639999,0.5459254437993173,0.6900020838067313,0.004867551818087894,0.04366028708133962,246045.0,0.3173903656168052,-0.0728144389523399,0.08712097166565849
realized_abs_180s_atr,2696,0,188,2508,4.383780632386968,4.09264302348875,4.1810581216055,3.8969802974555003,1.3164275413865953,1.3844971220378883,0.21098753236363035,0.14616631036003946,270211.0,0.0008158199706232565,0.07855828172716948,0.4835954757577831
realized_abs_300s_atr,2696,0,188,2508,7.299298685956036,6.6129233195359385,7.0060307537095,6.3697466045395,2.1494970791435564,2.0508068934688177,0.33354648886847776,0.19989650140825943,282878.0,4.697350540948483e-06,0.37547400402125414,1.0122188115392212
range_position_900s_dir,2696,0,188,2508,0.3222341412274681,0.34739147854132374,0.4448387096775,0.4933421516755,0.6343493471061571,0.5893728953329741,-0.042452108683744584,-0.0058790593505039235,234366.0,0.8927840654660114,-0.12832295428601373,0.06103850084065361
distance_high_900s_dir_atr,2696,0,188,2508,-0.11227884246735109,-0.3467516379804087,0.0,-0.1452142115085,1.211346580156094,1.2747136715411604,0.18456361478793568,0.07853591910142854,254267.0,0.07203290853170065,0.06638393121219216,0.4338220514714224
distance_low_900s_dir_atr,2696,0,188,2508,0.4537026097333245,0.3171119933005379,0.296970771397,0.0,1.2307611740162807,1.2106538387584507,0.11269291858778185,0.06163680477790212,250283.0,0.15802747351680646,-0.041769884284990205,0.3246553463412694
atr14_m5_slope_3bars,2696,0,188,2508,0.016148227511563834,0.01611209448840072,-0.0073458047135,0.000141014668,0.11490993647145527,0.08862655512665356,0.0003983913277032541,-0.06179799110930129,221183.0,0.15700558787765898,-0.015351862861122629,0.018378055924788504
abs_return_10s_atr,2696,0,188,2508,0.26615244820642553,0.3215574898112716,0.1919246215925,0.27317830838449997,0.23350180819630528,0.29292319014963286,-0.19158490288038785,-0.19529844921782213,189710.0,7.72596833703759e-06,-0.08683269915450145,-0.021218098557365325
shock_to_range_60s,2696,0,188,2508,0.43038723557046366,0.4729278774377416,0.42264972999547,0.48387096774163496,0.2342614243549869,0.25681469228924625,-0.16662117173732313,-0.11686857375547188,208200.0,0.007422845779604661,-0.07515002446540305,-0.007415302797578073
spread_contraction_activity,2553,143,188,2365,0.004028161291335167,-0.022701626592996942,0.0,0.0,0.05683409603000028,0.4986805502561712,0.055652102822700986,0.09072466375781563,242479.0,0.03325102800785895,0.009423345874429796,0.052769737833312305
atr_spread_state,2204,492,138,2066,0.4092577838561088,0.1768058403929585,0.3443060437191491,0.08167814888470876,0.30062809584417793,0.22026522278096028,1.0280939440126313,0.49896881181867925,213684.0,8.593844013157137e-23,0.18294733815091255,0.2838585520631485
momentum_efficiency_interaction,2696,0,188,2508,0.22734720431163455,0.26149195007411624,0.1801045351965,0.22845063178449998,0.2559324460224341,0.31044764499293803,-0.11122922305871634,-0.09104482676711123,214288.0,0.036383281753533524,-0.07142520883912211,0.005445328466887118
