session,max_countertrend_bodies,min_transition_distance_pips,max_pullback_ratio,min_rejection_close_location,min_impulse_pips,max_stoch_d,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
london_ny,1,1.0,0.45,0.6,10.0,65.0,9,0.02912424998314569,0.05555555555555563,0.5555555555555556,4,0.1428217208033722,-0.09250000000000003,0.5,0.05308873888551803
london_ny,1,1.0,0.45,0.6,12.0,65.0,9,0.02912424998314569,0.05555555555555563,0.5555555555555556,4,0.1428217208033722,-0.09250000000000003,0.5,0.05308873888551803
london_ny,1,0.0,0.55,0.6,14.0,65.0,9,0.02912424998314569,0.05555555555555561,0.5555555555555556,4,0.1428217208033722,-0.09250000000000003,0.5,0.053088738885518016
london_ny,1,1.0,0.55,0.6,14.0,65.0,9,0.02912424998314569,0.05555555555555561,0.5555555555555556,4,0.1428217208033722,-0.09250000000000003,0.5,0.053088738885518016
all,2,1.0,0.7,0.6,14.0,100.0,288,0.7276108601254441,-0.1638541666666666,0.4548611111111111,79,0.9588267520755194,-0.2768354430379747,0.4177215189873418,0.05269059677895663
ny,1,3.0,0.7,0.6,8.0,65.0,9,0.026012604873349124,0.05555555555555563,0.5555555555555556,4,0.1428217208033722,-0.09250000000000003,0.5,0.052466409863558716
ny,1,3.0,0.7,0.6,10.0,65.0,9,0.026012604873349124,0.05555555555555563,0.5555555555555556,4,0.1428217208033722,-0.09250000000000003,0.5,0.052466409863558716
ny,1,3.0,0.7,0.6,12.0,65.0,9,0.026012604873349124,0.05555555555555563,0.5555555555555556,4,0.1428217208033722,-0.09250000000000003,0.5,0.052466409863558716
london_open,2,0.0,0.45,0.6,14.0,100.0,24,0.07121514970430051,-0.24124999999999985,0.4166666666666667,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.05238191882974904
all,4,3.0,0.45,0.6,14.0,100.0,127,0.33163778799336285,-0.21236220472440942,0.4330708661417323,38,0.4402075540002413,-0.09631578947368417,0.5,0.05216655469771943
all,2,0.0,0.7,0.6,14.0,100.0,297,0.7503486995043642,-0.16508417508417503,0.45454545454545453,80,0.9709637995701462,-0.288375,0.4125,0.05126142761131061
all,4,0.0,0.7,0.7,14.0,100.0,373,0.9385041454443794,-0.1788739946380697,0.4477211796246649,95,1.1005188850006034,-0.3611578947368422,0.37894736842105264,0.04968577335302146
london_open,3,3.0,0.45,0.65,14.0,100.0,27,0.07871560747474338,-0.26074074074074066,0.4074074074074074,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.049520899272726474
london_open,4,3.0,0.45,0.65,14.0,100.0,27,0.07871560747474338,-0.26074074074074066,0.4074074074074074,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.049520899272726474
all,3,1.0,0.7,0.65,14.0,100.0,380,0.960042107109961,-0.18034210526315786,0.4473684210526316,96,1.112103294316399,-0.3697916666666666,0.375,0.04940217142199227
