run_id,symbol,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
c7_jan_counter_m15break_diagnostic_no_sma_gate,EURJPY,5,1,0.2,-54.98000000000001,33.37,-88.35000000000001,0.37770232031692125,-2.2368,-0.44736000000000004,0.3852749608376618,63.71000000000001,0.6371000000000001,-0.8629728457071104,3,0.6,0,0.0,1,0.2,1,0.2,0.28037999999999996,0.72774
c7_jan_counter_m15break_diagnostic_no_sma_gate,EURUSD,3,1,0.3333333333333333,-44.550000000000004,3.96,-48.510000000000005,0.08163265306122448,-1.8694,-0.6231333333333333,0.08020074788427475,48.510000000000005,0.48510000000000003,-0.9183673469387755,2,0.6666666666666666,0,0.0,0,0.0,1,0.3333333333333333,0.05433333333333334,0.6774666666666667
c7_jan_counter_m15break_diagnostic_no_sma_gate,GBPJPY,1,0,0.0,-23.71,0,-23.71,0.0,-1.0055,-1.0055,0.0,23.71,0.23710000000000003,-1.0,1,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0055
c7_jan_counter_m15break_diagnostic_no_sma_gate,GBPUSD,9,3,0.3333333333333333,-59.68999999999998,64.5,-124.18999999999998,0.5193654883646027,-2.5035000000000007,-0.27816666666666673,0.5224515489088967,76.88999999999999,0.7688999999999999,-0.7763038106385746,5,0.5555555555555556,0,0.0,1,0.1111111111111111,3,0.3333333333333333,0.30432222222222216,0.5824888888888888
c7_jan_counter_m15break_diagnostic_no_sma_gate,USDJPY,20,8,0.4,-68.16999999999999,187.76,-255.93000000000004,0.7336381041691086,-2.6707,-0.13353500000000001,0.7488692675862978,86.77999999999999,0.8677999999999998,-0.7855496658216179,9,0.45,0,0.0,4,0.2,7,0.35,0.3982,0.531735
c8_jan_notopposite_m15break_diagnostic_sma,EURJPY,1,0,0.0,-24.63,0,-24.63,0.0,-1.02,-1.02,0.0,24.63,0.2463,-1.0,1,1.0,0,0.0,0,0.0,0,0.0,0.0,1.02
c8_jan_notopposite_m15break_diagnostic_sma,EURUSD,2,1,0.5,-20.02,3.96,-23.98,0.1651376146788991,-0.837,-0.4185,0.163,23.98,0.23979999999999999,-0.8348623853211009,1,0.5,0,0.0,0,0.0,1,0.5,0.0815,0.5
c8_jan_notopposite_m15break_diagnostic_sma,GBPJPY,2,2,1.0,54.83,54.83,0,inf,2.3954,1.1977,inf,0.0,0.0,inf,0,0.0,0,0.0,1,0.5,1,0.5,1.1977,0.0
c8_jan_notopposite_m15break_diagnostic_sma,GBPUSD,5,1,0.2,-71.48,8.58,-80.06,0.10716962278291281,-2.9824,-0.59648,0.11150832663032145,80.06,0.8006000000000001,-0.8928303772170872,3,0.6,0,0.0,0,0.0,2,0.4,0.07486000000000001,0.67134
c8_jan_notopposite_m15break_diagnostic_sma,USDJPY,17,6,0.35294117647058826,-143.61,116.92,-260.53000000000003,0.44877749203546613,-6.044599999999999,-0.3555647058823529,0.4461050683136471,151.07000000000002,1.5107000000000002,-0.9506189183822069,10,0.5882352941176471,0,0.0,3,0.17647058823529413,4,0.23529411764705882,0.2863705882352941,0.641935294117647
c9_jan_counter_diag_sma_m5_failure_exit,EURJPY,3,1,0.3333333333333333,-2.900000000000002,33.47,-36.370000000000005,0.9202639538080835,-0.10520000000000007,-0.03506666666666669,0.9301970672151815,24.62,0.24620000000000003,-0.11779041429731933,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0.8361666666666666,0.6142
c9_jan_counter_diag_sma_m5_failure_exit,EURUSD,3,1,0.3333333333333333,-45.82,3.15,-48.97,0.06432509699816213,-1.8760000000000003,-0.6253333333333334,0.06461906661348224,48.97,0.4897,-0.9356749030018379,2,0.6666666666666666,0,0.0,0,0.0,1,0.3333333333333333,0.4659666666666667,0.9048000000000002
