run_id,entry_pattern,entry_trigger,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
c7_jan_counter_m15break_diagnostic_no_sma_gate,sweep_high_reclaim,sweep_reclaim_retest,3,1,0.3333333333333333,-14.530000000000001,33.92,-48.45,0.7001031991744066,-0.6205,-0.20683333333333334,0.6977446539042329,48.45,0.48450000000000004,-0.2998968008255934,2,0.6666666666666666,0,0.0,1,0.3333333333333333,0,0.0,0.47746666666666665,0.6843
c7_jan_counter_m15break_diagnostic_no_sma_gate,sweep_low_reclaim,sweep_reclaim_retest,1,0,0.0,-25.0,0,-25.0,0.0,-1.0166,-1.0166,0.0,25.0,0.25,-1.0,1,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0166
c8_jan_notopposite_m15break_diagnostic_sma,bos_down,first_pullback_after_bos,1,1,1.0,36.12,36.12,0,inf,1.48,1.48,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0,0.0,1.48,0.0
c8_jan_notopposite_m15break_diagnostic_sma,choch_up,first_pullback_after_choch,1,0,0.0,-4.6,0,-4.6,0.0,-0.2081,-0.2081,0.0,4.6,0.046,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.2081
c8_jan_notopposite_m15break_diagnostic_sma,double_bottom,neckline_break_retest,1,0,0.0,-24.86,0,-24.86,0.0,-1.0219,-1.0219,0.0,24.86,0.2486,-1.0,1,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0219
c8_jan_notopposite_m15break_diagnostic_sma,double_top,neckline_break_retest,14,4,0.2857142857142857,-146.07000000000002,102.79,-248.86000000000004,0.4130434782608695,-5.959300000000001,-0.4256642857142858,0.4214552691616912,155.72000000000003,1.5572000000000004,-0.9380297970716671,10,0.7142857142857143,0,0.0,3,0.21428571428571427,1,0.07142857142857142,0.31008571428571424,0.73575
c8_jan_notopposite_m15break_diagnostic_sma,head_and_shoulders,neckline_break_retest,7,2,0.2857142857142857,-85.5,25.380000000000003,-110.88,0.22889610389610393,-3.6215,-0.5173571428571428,0.23903679267088312,86.94,0.8694000000000001,-0.9834368530020704,4,0.5714285714285714,0,0.0,0,0.0,3,0.42857142857142855,0.1625142857142857,0.6798714285714286
c8_jan_notopposite_m15break_diagnostic_sma,inverse_head_and_shoulders,neckline_break_retest,3,3,1.0,20.0,20.0,0,inf,0.8422000000000001,0.28073333333333333,inf,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,3,1.0,0.28073333333333333,0.0
c9_jan_counter_diag_sma_m5_failure_exit,bos_down,first_pullback_after_bos,2,1,0.5,11.129999999999999,36.12,-24.99,1.4453781512605042,0.47439999999999993,0.23719999999999997,1.4717581543357199,24.99,0.24989999999999998,0.4453781512605042,1,0.5,0,0.0,1,0.5,0,0.0,0.83155,1.12975
c9_jan_counter_diag_sma_m5_failure_exit,choch_up,first_pullback_after_choch,1,0,0.0,-3.7,0,-3.7,0.0,-0.1674,-0.1674,0.0,3.7,0.037,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0928,0.233
c9_jan_counter_diag_sma_m5_failure_exit,double_bottom,neckline_break_retest,2,0,0.0,-22.43,0,-22.43,0.0,-0.9222,-0.4611,0.0,22.43,0.22429999999999997,-1.0,0,0.0,0,0.0,0,0.0,2,1.0,0.0685,0.7555499999999999
c9_jan_counter_diag_sma_m5_failure_exit,double_top,neckline_break_retest,12,2,0.16666666666666666,-154.69,34.12,-188.81,0.18071076743816533,-6.327099999999998,-0.5272583333333332,0.18949836031973769,174.38,1.7437999999999998,-0.8870856749627251,5,0.4166666666666667,0,0.0,1,0.08333333333333333,6,0.5,0.5815833333333333,0.7259083333333333
c9_jan_counter_diag_sma_m5_failure_exit,head_and_shoulders,neckline_break_retest,6,2,0.3333333333333333,-6.670000000000003,35.39,-42.06,0.8414170233000475,-0.2734000000000001,-0.04556666666666668,0.8445972830102881,23.94,0.23940000000000003,-0.2786131996658313,1,0.16666666666666666,0,0.0,1,0.16666666666666666,4,0.6666666666666666,0.7073666666666667,0.46923333333333334
c9_jan_counter_diag_sma_m5_failure_exit,inverse_head_and_shoulders,neckline_break_retest,5,3,0.6,23.6,42.089999999999996,-18.49,2.276365603028664,1.0269,0.20537999999999998,2.3172139558748075,11.18,0.11180000000000001,2.110912343470483,0,0.0,0,0.0,1,0.2,4,0.8,0.7127000000000001,0.38028
