session,max_countertrend_bodies,min_transition_distance_pips,max_pullback_ratio,min_rejection_close_location,min_impulse_pips,max_stoch_d,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
ny_open,1,0.0,0.45,0.7,8.0,100.0,10,0.029073288915808602,-0.034666666666666644,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.20138132444982842
ny_open,1,0.0,0.45,0.7,10.0,100.0,10,0.029073288915808602,-0.034666666666666644,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.20138132444982842
ny_open,1,1.0,0.45,0.7,8.0,100.0,10,0.029073288915808602,-0.034666666666666644,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.20138132444982842
ny_open,1,1.0,0.45,0.7,10.0,100.0,10,0.029073288915808602,-0.034666666666666644,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.20138132444982842
ny_open,1,2.0,0.45,0.7,8.0,100.0,10,0.029073288915808602,-0.034666666666666644,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.20138132444982842
ny_open,1,2.0,0.45,0.7,10.0,100.0,10,0.029073288915808602,-0.034666666666666644,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.20138132444982842
ny_open,1,0.0,0.45,0.65,12.0,100.0,10,0.029073288915808602,-0.03533333333333331,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.2012479911164951
ny_open,1,1.0,0.45,0.65,12.0,100.0,10,0.029073288915808602,-0.03533333333333331,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.2012479911164951
ny_open,1,2.0,0.45,0.65,12.0,100.0,10,0.029073288915808602,-0.03533333333333331,0.6,4,0.07145515444733905,0.21666666666666673,0.75,0.2012479911164951
all,1,2.0,0.7,0.6,12.0,65.0,31,0.07998064984277997,-0.2959139784946237,0.45161290322580644,5,0.12339331619537275,0.31066666666666676,0.8,0.19919397943092162
all,1,0.0,0.55,0.6,14.0,65.0,17,0.04439245981013519,-0.26549019607843133,0.47058823529411764,5,0.12339331619537275,0.31066666666666676,0.8,0.1991098645110467
all,1,1.0,0.55,0.6,14.0,65.0,17,0.04439245981013519,-0.26549019607843133,0.47058823529411764,5,0.12339331619537275,0.31066666666666676,0.8,0.1991098645110467
ny,1,2.0,0.55,0.6,14.0,100.0,19,0.05120527025003743,-0.06877192982456139,0.5789473684210527,8,0.10662224073302791,0.21916666666666673,0.75,0.19905903650614787
ny,1,0.0,0.55,0.6,14.0,100.0,21,0.05659529869740979,-0.08222222222222221,0.5714285714285714,8,0.10662224073302791,0.21916666666666673,0.75,0.19707104386646612
ny,1,1.0,0.55,0.6,14.0,100.0,21,0.05659529869740979,-0.08222222222222221,0.5714285714285714,8,0.10662224073302791,0.21916666666666673,0.75,0.19707104386646612
