MatchKey,Month,Classification,SetupId,Direction,SignalTime,EntryTime,VirtualEntry,LiveEntry,VirtualResult,LiveResult,VirtualProfitR,LiveProfitR,RDiff_LiveMinusVirtual,VirtualEntryPrice,LiveEntryPrice,EntryPriceDiff,VirtualSL,LiveSL,SLDiff,VirtualTP,LiveTP,TPDiff,VirtualRiskPoints,LiveRiskPoints,RiskPointsDiff,VirtualExitTime,LiveExitTime,VirtualExitBarTime,LiveExitBarTime,VirtualExitReason,LiveExitReason,VirtualMFE_R,LiveMFE_R,VirtualMAE_R,LiveMAE_R,VirtualHoldingBars,LiveHoldingBars,SpreadPoints,LiveRejectReasonAtSignal
SHORT_1770227700_156.566|2026.02.04 18:55:00|SHORT,2026-02,same_outcome_near_equal,SHORT_1770227700_156.566,SHORT,2026.02.04 18:50:00,2026.02.04 18:55:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,156.5560000000,156.5560000000,0.0000000000,156.7060000000,156.7060000000,0.0000000000,156.3310000000,156.3310000000,0.0000000000,150.0000000000,150.0000000000,0.000000,2026.02.04 20:15:00,2026.02.04 20:11:28,2026.02.04 20:10:00,2026.02.04 20:10:00,virtual_stop_loss,stop_loss,0.7133333333,0.5533333333,-1.1666666667,-1.0000000000,15,15,21.0000000000,
SHORT_1770301200_157.113|2026.02.05 14:40:00|SHORT,2026-02,same_outcome_near_equal,SHORT_1770301200_157.113,SHORT,2026.02.05 14:35:00,2026.02.05 14:40:00,true,true,WIN,WIN,1.500000,1.546689,0.046689,157.0700000000,157.0700000000,0.0000000000,157.2880000000,157.2880000000,0.0000000000,156.7430000000,156.7430000000,0.0000000000,218.0000000000,218.0000000000,0.000000,2026.02.05 15:35:00,2026.02.05 15:30:00,2026.02.05 15:30:00,2026.02.05 15:30:00,virtual_take_profit,take_profit,1.9541284404,1.5412844037,-0.2064220183,-0.2064220183,10,10,20.0000000000,
SHORT_1770334500_157.036|2026.02.06 01:20:00|SHORT,2026-02,same_outcome_near_equal,SHORT_1770334500_157.036,SHORT,2026.02.06 01:15:00,2026.02.06 01:20:00,true,true,WIN,WIN,1.500000,1.502605,0.002605,156.9930000000,156.9930000000,0.0000000000,157.0910000000,157.0910000000,0.0000000000,156.8460000000,156.8460000000,0.0000000000,98.0000000000,98.0000000000,0.000000,2026.02.06 01:45:00,2026.02.06 01:46:03,2026.02.06 01:40:00,2026.02.06 01:45:00,virtual_take_profit,take_profit,1.6428571429,1.5000000000,-0.2857142857,-0.2857142857,4,5,19.0000000000,
SHORT_1771577100_155.063|2026.02.20 09:15:00|SHORT,2026-02,same_outcome_near_equal,SHORT_1771577100_155.063,SHORT,2026.02.20 09:10:00,2026.02.20 09:15:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,155.0300000000,155.0300000000,0.0000000000,155.2400000000,155.2400000000,0.0000000000,154.7150000000,154.7150000000,0.0000000000,210.0000000000,210.0000000000,0.000000,2026.02.20 09:55:00,2026.02.20 09:53:10,2026.02.20 09:50:00,2026.02.20 09:50:00,virtual_stop_loss,stop_loss,0.4333333333,0.3333333333,-1.4476190476,-1.0000000000,7,7,20.0000000000,
SHORT_1772036100_156.581|2026.02.25 16:45:00|SHORT,2026-02,same_outcome_material_r_diff,SHORT_1772036100_156.581,SHORT,2026.02.25 16:40:00,2026.02.25 16:45:00,true,true,WIN,WIN,1.500000,1.346408,-0.153592,156.4700000000,156.4700000000,0.0000000000,156.7620000000,156.7620000000,0.0000000000,156.0320000000,156.0320000000,0.0000000000,292.0000000000,292.0000000000,0.000000,2026.02.26 02:25:00,2026.02.26 02:35:05,2026.02.26 02:20:00,2026.02.26 02:35:00,virtual_take_profit,take_profit,1.5000000000,1.5102739726,-0.5547945205,-0.5547945205,115,118,22.0000000000,
SHORT_1772139000_156.282|2026.02.26 21:30:00|SHORT,2026-02,same_outcome_material_r_diff,SHORT_1772139000_156.282,SHORT,2026.02.26 21:25:00,2026.02.26 21:30:00,true,true,WIN,WIN,1.496855,1.395902,-0.100954,156.2570000000,156.2570000000,0.0000000000,156.4160000000,156.4160000000,0.0000000000,156.0190000000,156.0190000000,0.0000000000,159.0000000000,159.0000000000,0.000000,2026.02.27 00:05:00,2026.02.27 01:03:49,2026.02.27 00:00:00,2026.02.27 01:00:00,virtual_take_profit,take_profit,1.6226415094,1.4968553459,-0.2830188679,-0.2830188679,30,42,20.0000000000,
SHORT_1772602200_157.469|2026.03.04 08:35:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1772602200_157.469,SHORT,2026.03.04 08:30:00,2026.03.04 08:35:00,true,true,WIN,WIN,1.496689,1.500201,0.003512,157.4610000000,157.4610000000,0.0000000000,157.6120000000,157.6120000000,0.0000000000,157.2350000000,157.2350000000,0.0000000000,151.0000000000,151.0000000000,0.000000,2026.03.04 11:35:00,2026.03.04 11:37:01,2026.03.04 11:30:00,2026.03.04 11:35:00,virtual_take_profit,take_profit,1.5827814570,1.4966887417,-0.6092715232,-0.6092715232,35,36,20.0000000000,
SHORT_1772615700_157.262|2026.03.04 13:15:00|SHORT,2026-03,same_outcome_material_r_diff,SHORT_1772615700_157.262,SHORT,2026.03.04 13:10:00,2026.03.04 13:15:00,true,true,WIN,WIN,1.500000,1.309976,-0.190024,157.2210000000,157.2210000000,0.0000000000,157.4550000000,157.4550000000,0.0000000000,156.8700000000,156.8700000000,0.0000000000,234.0000000000,234.0000000000,0.000000,2026.03.05 02:10:00,2026.03.05 02:08:59,2026.03.05 02:05:00,2026.03.05 02:05:00,virtual_take_profit,take_profit,1.7136752137,1.5170940171,-0.8803418803,-0.8803418803,154,154,21.0000000000,
SHORT_1772746500_157.662|2026.03.05 22:15:00|SHORT,2026-03,same_outcome_material_r_diff,SHORT_1772746500_157.662,SHORT,2026.03.05 22:10:00,2026.03.05 22:15:00,true,true,LOSS,LOSS,-1.000000,-1.053458,-0.053458,157.5390000000,157.5390000000,0.0000000000,157.8490000000,157.8490000000,0.0000000000,157.0740000000,157.0740000000,0.0000000000,310.0000000000,310.0000000000,0.000000,2026.03.06 07:50:00,2026.03.06 07:48:46,2026.03.06 07:45:00,2026.03.06 07:45:00,virtual_stop_loss,stop_loss,0.5354838710,0.4677419355,-1.1258064516,-1.0000000000,114,114,21.0000000000,
SHORT_1773078900_158.290|2026.03.09 22:20:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1773078900_158.290,SHORT,2026.03.09 22:15:00,2026.03.09 22:20:00,true,true,WIN,WIN,1.498599,1.462687,-0.035913,158.0810000000,158.0810000000,0.0000000000,158.4380000000,158.4380000000,0.0000000000,157.5460000000,157.5460000000,0.0000000000,357.0000000000,357.0000000000,0.000000,2026.03.10 04:05:00,2026.03.10 04:03:38,2026.03.10 04:00:00,2026.03.10 04:00:00,virtual_take_profit,take_profit,1.5602240896,1.5014005602,-0.1008403361,-0.1008403361,68,68,20.0000000000,
SHORT_1773208800_158.199|2026.03.11 07:00:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1773208800_158.199,SHORT,2026.03.11 06:55:00,2026.03.11 07:00:00,true,true,WIN,WIN,1.504348,1.506883,0.002535,158.1890000000,158.1890000000,0.0000000000,158.3040000000,158.3040000000,0.0000000000,158.0160000000,158.0160000000,0.0000000000,115.0000000000,115.0000000000,0.000000,2026.03.11 09:30:00,2026.03.11 09:26:31,2026.03.11 09:25:00,2026.03.11 09:25:00,virtual_take_profit,take_profit,2.0434782609,1.5043478261,-0.6869565217,-0.6869565217,29,29,21.0000000000,
SHORT_1773311700_158.777|2026.03.12 11:05:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1773311700_158.777,SHORT,2026.03.12 11:00:00,2026.03.12 11:05:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,158.7450000000,158.7450000000,0.0000000000,158.9970000000,158.9970000000,0.0000000000,158.3670000000,158.3670000000,0.0000000000,252.0000000000,252.0000000000,0.000000,2026.03.12 16:25:00,2026.03.12 16:15:54,2026.03.12 16:20:00,2026.03.12 16:15:00,virtual_stop_loss,stop_loss,0.7341269841,0.6507936508,-1.2579365079,-1.0000000000,63,62,20.0000000000,
SHORT_1773368700_159.231|2026.03.13 03:05:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1773368700_159.231,SHORT,2026.03.13 03:00:00,2026.03.13 03:05:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,159.0340000000,159.0340000000,0.0000000000,159.3630000000,159.3630000000,0.0000000000,158.5400000000,158.5400000000,0.0000000000,329.0000000000,329.0000000000,0.000000,2026.03.13 05:50:00,2026.03.13 05:38:39,2026.03.13 05:45:00,2026.03.13 05:35:00,virtual_stop_loss,stop_loss,0.0942249240,0.0334346505,-1.0668693009,-1.0000000000,32,30,21.0000000000,
SHORT_1773417600_159.196|2026.03.13 16:40:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1773417600_159.196,SHORT,2026.03.13 16:35:00,2026.03.13 16:40:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,159.1440000000,159.1440000000,0.0000000000,159.3690000000,159.3690000000,0.0000000000,158.8070000000,158.8070000000,0.0000000000,225.0000000000,225.0000000000,0.000000,2026.03.13 18:00:00,2026.03.13 17:53:19,2026.03.13 17:55:00,2026.03.13 17:50:00,virtual_stop_loss,stop_loss,0.6711111111,0.5600000000,-1.0977777778,-1.0000000000,15,14,21.0000000000,
SHORT_1773756000_159.037|2026.03.17 14:20:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1773756000_159.037,SHORT,2026.03.17 14:15:00,2026.03.17 14:20:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,159.0120000000,159.0120000000,0.0000000000,159.1410000000,159.1410000000,0.0000000000,158.8190000000,158.8190000000,0.0000000000,129.0000000000,129.0000000000,0.000000,2026.03.17 15:05:00,2026.03.17 15:00:12,2026.03.17 15:00:00,2026.03.17 15:00:00,virtual_stop_loss,stop_loss,0.4341085271,0.2713178295,-1.1860465116,-1.0000000000,8,8,21.0000000000,
SHORT_1773893100_159.671|2026.03.19 06:45:01|SHORT,2026-03,virtual_win_live_loss,SHORT_1773893100_159.671,SHORT,2026.03.19 06:40:00,2026.03.19 06:45:01,true,true,WIN,LOSS,1.496689,-1.006512,-2.503201,159.6630000000,159.6630000000,0.0000000000,159.8140000000,159.8140000000,0.0000000000,159.4370000000,159.4370000000,0.0000000000,151.0000000000,151.0000000000,0.000000,2026.03.19 10:10:00,2026.03.19 09:51:18,2026.03.19 10:05:00,2026.03.19 09:50:00,virtual_take_profit,stop_loss,2.7682119205,0.4172185430,-1.0264900662,-1.0066225166,40,37,22.0000000000,
SHORT_1773934200_158.939|2026.03.19 15:50:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1773934200_158.939,SHORT,2026.03.19 15:45:00,2026.03.19 15:50:00,true,true,WIN,WIN,1.498674,1.507393,0.008720,158.9190000000,158.9190000000,0.0000000000,159.2960000000,159.2960000000,0.0000000000,158.3540000000,158.3540000000,0.0000000000,377.0000000000,377.0000000000,0.000000,2026.03.19 16:55:00,2026.03.19 16:52:59,2026.03.19 16:50:00,2026.03.19 16:50:00,virtual_take_profit,take_profit,2.1299734748,1.4986737401,-0.0954907162,-0.0954907162,12,12,21.0000000000,
SHORT_1774482900_159.433|2026.03.26 01:45:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1774482900_159.433,SHORT,2026.03.26 01:40:00,2026.03.26 01:45:00,true,true,LOSS,LOSS,-1.000000,-1.043128,-0.043128,159.3900000000,159.3900000000,0.0000000000,159.4820000000,159.4820000000,0.0000000000,159.2520000000,159.2520000000,0.0000000000,92.0000000000,92.0000000000,0.000000,2026.03.26 04:00:00,2026.03.26 03:29:46,2026.03.26 03:55:00,2026.03.26 03:25:00,virtual_stop_loss,stop_loss,0.7173913043,0.5000000000,-1.3478260870,-1.0434782609,26,20,22.0000000000,
SHORT_1774516800_159.363|2026.03.26 09:55:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1774516800_159.363,SHORT,2026.03.26 09:50:00,2026.03.26 09:55:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,159.3310000000,159.3310000000,0.0000000000,159.5030000000,159.5030000000,0.0000000000,159.0730000000,159.0730000000,0.0000000000,172.0000000000,172.0000000000,0.000000,2026.03.26 11:05:00,2026.03.26 10:55:03,2026.03.26 11:00:00,2026.03.26 10:55:00,virtual_stop_loss,stop_loss,0.3313953488,0.1976744186,-1.2906976744,-1.0000000000,13,12,20.0000000000,
SHORT_1774864800_159.602|2026.03.30 10:25:00|SHORT,2026-03,same_outcome_material_r_diff,SHORT_1774864800_159.602,SHORT,2026.03.30 10:20:00,2026.03.30 10:25:00,true,true,LOSS,LOSS,-1.000000,-1.072376,-0.072376,159.5740000000,159.5740000000,0.0000000000,159.8580000000,159.8580000000,0.0000000000,159.1480000000,159.1480000000,0.0000000000,284.0000000000,284.0000000000,0.000000,2026.03.31 02:55:00,2026.03.31 02:04:11,2026.03.31 02:50:00,2026.03.31 02:00:00,virtual_stop_loss,stop_loss,0.8943661972,0.8204225352,-1.0739436620,-1.0140845070,197,187,21.0000000000,
SHORT_1774941000_159.581|2026.03.31 08:10:00|SHORT,2026-03,same_outcome_near_equal,SHORT_1774941000_159.581,SHORT,2026.03.31 08:05:00,2026.03.31 08:10:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,159.5660000000,159.5660000000,0.0000000000,159.7280000000,159.7280000000,0.0000000000,159.3230000000,159.3230000000,0.0000000000,162.0000000000,162.0000000000,0.000000,2026.03.31 09:50:00,2026.03.31 09:44:57,2026.03.31 09:45:00,2026.03.31 09:40:00,virtual_stop_loss,stop_loss,0.5617283951,0.4320987654,-1.1604938272,-1.0000000000,19,18,21.0000000000,
SHORT_1775174400_159.544|2026.04.03 01:35:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1775174400_159.544,SHORT,2026.04.03 01:30:00,2026.04.03 01:35:00,true,true,LOSS,LOSS,-1.000000,-1.024038,-0.024038,159.5210000000,159.5210000000,0.0000000000,159.6040000000,159.6040000000,0.0000000000,159.3960000000,159.3960000000,0.0000000000,83.0000000000,83.0000000000,0.000000,2026.04.03 03:55:00,2026.04.03 03:54:29,2026.04.03 03:50:00,2026.04.03 03:50:00,virtual_stop_loss,stop_loss,1.1927710843,0.9518072289,-1.4457831325,-1.0240963855,27,27,20.0000000000,
SHORT_1775223600_159.580|2026.04.03 13:55:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1775223600_159.580,SHORT,2026.04.03 13:50:00,2026.04.03 13:55:00,true,true,LOSS,LOSS,-1.000000,-1.022168,-0.022168,159.5580000000,159.5580000000,0.0000000000,159.6030000000,159.6030000000,0.0000000000,159.4900000000,159.4900000000,0.0000000000,45.0000000000,45.0000000000,0.000000,2026.04.03 15:35:00,2026.04.03 13:55:38,2026.04.03 15:30:00,2026.04.03 13:55:00,virtual_stop_loss,stop_loss,0.6000000000,0.0000000000,-6.1555555556,-1.0222222222,19,0,20.0000000000,
SHORT_1775471100_159.518|2026.04.06 10:50:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1775471100_159.518,SHORT,2026.04.06 10:45:00,2026.04.06 10:50:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,159.4760000000,159.4760000000,0.0000000000,159.7080000000,159.7080000000,0.0000000000,159.1280000000,159.1280000000,0.0000000000,232.0000000000,232.0000000000,0.000000,2026.04.06 18:00:00,2026.04.06 17:57:36,2026.04.06 17:55:00,2026.04.06 17:55:00,virtual_stop_loss,stop_loss,0.7758620690,0.6896551724,-1.1163793103,-1.0000000000,85,85,21.0000000000,
SHORT_1776069000_159.695|2026.04.13 09:55:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1776069000_159.695,SHORT,2026.04.13 09:50:00,2026.04.13 09:55:00,true,true,WIN,WIN,1.500000,1.501216,0.001216,159.6870000000,159.6870000000,0.0000000000,159.7410000000,159.7410000000,0.0000000000,159.6060000000,159.6060000000,0.0000000000,54.0000000000,54.0000000000,0.000000,2026.04.13 10:55:00,2026.04.13 11:00:52,2026.04.13 10:50:00,2026.04.13 11:00:00,virtual_take_profit,take_profit,1.6296296296,1.5000000000,-0.8703703704,-0.8703703704,11,13,21.0000000000,
SHORT_1776093900_159.552|2026.04.13 17:00:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1776093900_159.552,SHORT,2026.04.13 16:55:00,2026.04.13 17:00:00,true,true,WIN,WIN,1.500000,1.456006,-0.043994,159.5400000000,159.5400000000,0.0000000000,159.8460000000,159.8460000000,0.0000000000,159.0810000000,159.0810000000,0.0000000000,306.0000000000,306.0000000000,0.000000,2026.04.14 04:30:00,2026.04.14 07:20:52,2026.04.14 04:25:00,2026.04.14 07:20:00,virtual_take_profit,take_profit,1.5196078431,1.5032679739,-0.8464052288,-0.8464052288,137,172,22.0000000000,
SHORT_1776144000_159.075|2026.04.14 06:55:00|SHORT,2026-04,virtual_entry_live_not_entered,SHORT_1776144000_159.075,SHORT,2026.04.14 06:50:00,2026.04.14 06:55:00,true,false,LOSS,NONE,-1.000000,,1.000000,159.0700000000,,,159.2610000000,,,158.7840000000,,,191.0000000000,,,2026.04.14 09:30:00,,2026.04.14 09:25:00,,virtual_stop_loss,,0.6230366492,,-1.1780104712,,30,,20.0000000000,entry_open_count_filter_failed
SHORT_1776844500_159.164|2026.04.22 09:55:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1776844500_159.164,SHORT,2026.04.22 09:50:00,2026.04.22 09:55:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,159.1410000000,159.1410000000,0.0000000000,159.3530000000,159.3530000000,0.0000000000,158.8230000000,158.8230000000,0.0000000000,212.0000000000,212.0000000000,0.000000,2026.04.22 11:40:00,2026.04.22 11:36:31,2026.04.22 11:35:00,2026.04.22 11:35:00,virtual_stop_loss,stop_loss,0.1792452830,0.0849056604,-1.1320754717,-1.0000000000,20,20,20.0000000000,
SHORT_1776862800_159.306|2026.04.22 13:35:00|SHORT,2026-04,virtual_win_live_loss,SHORT_1776862800_159.306,SHORT,2026.04.22 13:30:00,2026.04.22 13:35:00,true,true,WIN,LOSS,1.505747,-1.000000,-2.505747,159.2790000000,159.2790000000,0.0000000000,159.3660000000,159.3660000000,0.0000000000,159.1480000000,159.1480000000,0.0000000000,87.0000000000,87.0000000000,0.000000,2026.04.22 15:30:00,2026.04.22 15:54:30,2026.04.22 15:25:00,2026.04.22 15:50:00,virtual_take_profit,stop_loss,1.5862068966,1.3448275862,-0.2873563218,-1.0000000000,22,27,20.0000000000,
SHORT_1776912000_159.431|2026.04.23 03:30:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1776912000_159.431,SHORT,2026.04.23 03:25:00,2026.04.23 03:30:00,true,true,LOSS,LOSS,-1.000000,-1.011007,-0.011007,159.4020000000,159.4020000000,0.0000000000,159.4930000000,159.4930000000,0.0000000000,159.2650000000,159.2650000000,0.0000000000,91.0000000000,91.0000000000,0.000000,2026.04.23 05:20:00,2026.04.23 05:13:42,2026.04.23 05:15:00,2026.04.23 05:10:00,virtual_stop_loss,stop_loss,1.2637362637,1.0329670330,-1.3076923077,-1.0109890110,21,20,20.0000000000,
SHORT_1776962700_159.458|2026.04.23 17:45:00|SHORT,2026-04,same_outcome_near_equal,SHORT_1776962700_159.458,SHORT,2026.04.23 17:40:00,2026.04.23 17:45:00,true,true,LOSS,LOSS,-1.000000,-1.012053,-0.012053,159.4530000000,159.4530000000,0.0000000000,159.6200000000,159.6200000000,0.0000000000,159.2020000000,159.2020000000,0.0000000000,167.0000000000,167.0000000000,0.000000,2026.04.23 20:10:00,2026.04.23 20:08:39,2026.04.23 20:05:00,2026.04.23 20:05:00,virtual_stop_loss,stop_loss,0.8862275449,0.7664670659,-1.4011976048,-1.0119760479,28,28,21.0000000000,
