period_id,variant,required_light_bucket,wave1_quality_pass_bucket,m15_wave1_impulse_bucket,m15_wave1_body_efficiency_bucket,m15_wave1_overlap_bucket,m15_wave1_break_quality,m15_wave1_speed_bucket,m15_wave1_follow_through_bucket,m15_wave1_obstacle_clearance_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,normal_break,too_slow,normal_hold,blocked,3,1,0.3333333333333333,4.23,16.45,-12.219999999999999,1.3461538461538463,0.1794,0.0598,1.3478766724840023,12.219999999999999,0.12219999999999998,0.3461538461538462,0,0.0,0,0.0,3,1.0,1.2233333333333334,0.4013,1.0,1.0,1.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,strong_break,normal,normal_hold,blocked,2,1,0.5,5.68,31.16,-25.48,1.2229199372056514,0.29879999999999995,0.14939999999999998,1.2988,25.48,0.25479999999999997,0.22291993720565148,1,0.5,1,0.5,0,0.0,0.6890999999999999,0.63415,0.5,0.5,0.5,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,strong_break,too_old,normal_hold,blocked,6,2,0.3333333333333333,-13.330000000000009,65.78,-79.10999999999999,0.8315004424219443,-0.6493,-0.10821666666666667,0.8000369560530934,57.730000000000004,0.5773,-0.23090247704832856,2,0.3333333333333333,2,0.3333333333333333,2,0.3333333333333333,0.662,0.6661833333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,strong_break,too_slow,normal_hold,blocked,5,0,0.0,-53.02,0,-53.02,0.0,-2.1713,-0.43426,0.0,53.02,0.5302,-1.0,0,0.0,0,0.0,5,1.0,0.49210000000000004,0.5122600000000002,0.4,0.2,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,weak_break,normal,normal_hold,blocked,1,0,0.0,-5.91,0,-5.91,0.0,-0.2521,-0.2521,0.0,5.91,0.05910000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.4145,0.2521,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,weak_break,too_old,normal_hold,blocked,3,3,1.0,76.08,76.08,0,inf,3.0773,1.0257666666666667,inf,0.0,0.0,inf,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1.0820999999999998,0.49923333333333336,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,weak_break,too_slow,normal_hold,blocked,1,0,0.0,-8.52,0,-8.52,0.0,-0.3747,-0.3747,0.0,8.52,0.0852,-1.0,0,0.0,0,0.0,1,1.0,0.3799,0.3747,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,normal,normal_break,normal,normal_hold,blocked,2,1,0.5,1.7800000000000011,15.47,-13.69,1.1300219138056977,0.07509999999999994,0.03754999999999997,1.1370688081766744,13.69,0.1369,0.13002191380569766,0,0.0,0,0.0,2,1.0,1.0168,0.38130000000000003,1.0,1.0,0.5,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,normal,strong_break,too_old,normal_hold,blocked,3,2,0.6666666666666666,12.61,36.31,-23.7,1.5320675105485233,0.5266000000000001,0.17553333333333335,1.5266000000000002,23.7,0.23700000000000002,0.5320675105485232,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.8068666666666666,0.6156,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,normal,choppy,normal_break,normal,normal_hold,blocked,5,1,0.2,-14.660000000000005,30.72,-45.38,0.6769501983252534,-0.5426,-0.10851999999999999,0.7086242079261089,42.120000000000005,0.4212,-0.3480531813865148,1,0.2,1,0.2,3,0.6,0.5324,0.44406000000000007,0.4,0.2,0.2,0.2,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,normal,choppy,strong_break,normal,normal_hold,blocked,3,2,0.6666666666666666,53.33,64.28999999999999,-10.96,5.865875912408758,2.1787,0.7262333333333334,5.986724650949873,10.96,0.10960000000000002,4.865875912408758,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1.1906333333333332,0.5402666666666667,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,normal,choppy,strong_break,too_slow,normal_hold,blocked,2,0,0.0,-38.67,0,-38.67,0.0,-1.5960999999999999,-0.7980499999999999,0.0,38.67,0.38670000000000004,-1.0,1,0.5,0,0.0,1,0.5,0.2058,0.9384,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,normal,choppy,weak_break,normal,normal_hold,blocked,1,0,0.0,-25.11,0,-25.11,0.0,-1.0079,-1.0079,0.0,25.11,0.2511,-1.0,1,1.0,0,0.0,0,0.0,0.6929,1.0079,1.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,normal,inefficient,choppy,weak_break,normal,normal_hold,blocked,1,0,0.0,-3.41,0,-3.41,0.0,-0.1406,-0.1406,0.0,3.41,0.0341,-1.0,0,0.0,0,0.0,1,1.0,0.4922,0.1406,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,tiny,inefficient,none,normal_break,too_fast,invalidated,blocked,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,large,efficient,clean,strong_break,too_fast,normal_hold,blocked,1,0,0.0,-25.99,0,-25.99,0.0,-1.0652,-1.0652,0.0,25.99,0.25989999999999996,-1.0,1,1.0,0,0.0,0,0.0,0.8696,1.0942,1.0,1.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,large,efficient,normal,strong_break,too_fast,normal_hold,blocked,1,1,1.0,5.44,5.44,0,inf,0.2205,0.2205,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.7717,0.6417,1.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,large,normal,normal,normal_break,normal,normal_hold,blocked,1,1,1.0,3.15,3.15,0,inf,0.1296,0.1296,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.6185,0.2778,1.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,normal,normal_hold,blocked,12,3,0.25,-5.139999999999996,93.92,-99.06,0.9481122551988693,-0.23659999999999975,-0.019716666666666646,0.9428998938121442,28.3,0.28300000000000003,-0.18162544169611294,1,0.08333333333333333,3,0.25,8,0.6666666666666666,0.6139916666666666,0.461425,0.4166666666666667,0.3333333333333333,0.25,0.25,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,normal,normal_hold,room_available,1,0,0.0,-11.52,0,-11.52,0.0,-0.5059,-0.5059,0.0,11.52,0.1152,-1.0,0,0.0,0,0.0,1,1.0,0.0711,0.5534,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,too_slow,normal_hold,blocked,1,0,0.0,-7.76,0,-7.76,0.0,-0.3239,-0.3239,0.0,7.76,0.0776,-1.0,0,0.0,0,0.0,1,1.0,0.1521,0.5014,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,large,normal,normal,weak_break,normal,normal_hold,blocked,2,1,0.5,21.54,31.41,-9.87,3.182370820668693,0.9024999999999999,0.45124999999999993,3.2305981216015813,9.870000000000001,0.09870000000000001,2.1823708206686927,0,0.0,1,0.5,1,0.5,0.77315,0.31425000000000003,0.5,0.5,0.5,0.5,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_reject,wave1_quality_high,normal,normal,normal,strong_break,normal,normal_hold,blocked,1,0,0.0,-7.33,0,-7.33,0.0,-0.2956,-0.2956,0.0,7.33,0.0733,-1.0,0,0.0,0,0.0,1,1.0,0.4581,0.3596,0.0,0.0,0.0,0.0,0.0
full2025_validation,one_light_or_wave1,required_light_pass,wave1_quality_high,large,efficient,normal,weak_break,normal,normal_hold,blocked,1,0,0.0,-15.11,0,-15.11,0.0,-0.5926,-0.5926,0.0,15.11,0.15109999999999998,-1.0,0,0.0,0,0.0,1,1.0,0.6593,0.7704,1.0,0.0,0.0,0.0,0.0
full2025_validation,one_light_or_wave1,required_light_pass,wave1_quality_high,large,normal,normal,normal_break,normal,normal_hold,blocked,1,0,0.0,-7.59,0,-7.59,0.0,-0.3059,-0.3059,0.0,7.59,0.0759,-1.0,0,0.0,0,0.0,1,1.0,0.1216,0.3059,0.0,0.0,0.0,0.0,0.0
full2025_validation,one_light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,choppy,normal_break,too_old,normal_hold,blocked,3,2,0.6666666666666666,58.29,63.11,-4.82,13.093360995850622,2.4188,0.8062666666666667,12.350539652745189,4.82,0.0482,12.093360995850622,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0.9563333333333334,0.19253333333333336,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
full2025_validation,one_light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,choppy,normal_break,too_slow,normal_hold,blocked,2,0,0.0,-12.219999999999999,0,-12.219999999999999,0.0,-0.5157,-0.25785,0.0,12.219999999999999,0.12219999999999998,-1.0,0,0.0,0,0.0,2,1.0,1.1856,0.40075,1.0,1.0,1.0,0.0,0.0
full2025_validation,one_light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,choppy,strong_break,normal,normal_hold,blocked,1,1,1.0,31.16,31.16,0,inf,1.2988,1.2988,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2988,0.2683,1.0,1.0,1.0,0.0,0.0
