symbol,session,feature_status,result,episodes
USDJPY,NEW_YORK,EXCLUDED,SL_FIRST,18
USDJPY,NEW_YORK,EXCLUDED,TIMEOUT,5
USDJPY,NEW_YORK,EXCLUDED,TP_FIRST,6
USDJPY,OTHER,AVAILABLE,INVALID_PATH,8
USDJPY,OTHER,AVAILABLE,SL_FIRST,19
USDJPY,OTHER,AVAILABLE,TIMEOUT,13
USDJPY,OTHER,AVAILABLE,TP_FIRST,15
USDJPY,OTHER,EXCLUDED,SL_FIRST,3
USDJPY,OTHER,EXCLUDED,TIMEOUT,3
USDJPY,OTHER,EXCLUDED,TP_FIRST,1
USDJPY,OVERLAP,AVAILABLE,INVALID_PATH,14
USDJPY,OVERLAP,AVAILABLE,SL_FIRST,109
USDJPY,OVERLAP,AVAILABLE,TIMEOUT,21
USDJPY,OVERLAP,AVAILABLE,TP_FIRST,53
USDJPY,OVERLAP,EXCLUDED,INVALID_PATH,3
USDJPY,OVERLAP,EXCLUDED,SL_FIRST,13
USDJPY,OVERLAP,EXCLUDED,TIMEOUT,5
USDJPY,OVERLAP,EXCLUDED,TP_FIRST,5
USDJPY,TOKYO,AVAILABLE,INVALID_PATH,58
USDJPY,TOKYO,AVAILABLE,SL_FIRST,130
USDJPY,TOKYO,AVAILABLE,TIMEOUT,36
USDJPY,TOKYO,AVAILABLE,TP_FIRST,35
USDJPY,TOKYO,EXCLUDED,INVALID_PATH,5
USDJPY,TOKYO,EXCLUDED,SL_FIRST,19
USDJPY,TOKYO,EXCLUDED,TIMEOUT,9
USDJPY,TOKYO,EXCLUDED,TP_FIRST,10
