episode_id,direction,score,long_score,short_score,symbol,market_cluster_id,t0_msc,signal_processing_msc,distance_index,distance_atr,atr14_m5,entry_msc,entry_bid,entry_ask,entry_price,entry_spread,pip_size,tick_size,stops_distance,distance,sl,tp,status,exit_msc,exit_price,gross_pips,gross_r,mfe_60,mae_60,mfe_300,mae_300,mfe_900,mae_900,tp_touch_seconds,sl_touch_seconds,entry_eligible_msc,source_quote_msc,calendar_segment
tstech_discovery_r2_202504_USDJPY_mh_16,1,-0.14504900184201,-0.14504900184201,-0.47709429344079,USDJPY,77,1743649740000,1743649740486,3,1,0.169753656745,1743649740585,148.005,148.027,148.027,0.022,0.01,0.001,0,0.17,147.857,148.197,TP,1743650415683,148.197,16.999999999999,1,0.036,0.047,0.097,0.057,0.261,0.057,675.098,,1743649740486,1743649739882,0
tstech_discovery_r2_202504_USDJPY_mh_17,1,0.18433782862125,0.18433782862125,0.16623879600843,USDJPY,79,1743651021500,1743651021570,3,1,0.164939520112,1743651021951,148.277,148.296,148.296,0.019,0.01,0.001,0,0.165,148.131,148.461,SL,1743651183482,148.128,-16.800000000001,-1.018181818182,0,0.113,0,0.169,0,0.511,,161.531,1743651021570,1743651021249,0
tstech_discovery_r2_202504_USDJPY_mh_18,1,0.18433782862125,0.18433782862125,-0.14413591156793,USDJPY,84,1743652080250,1743652080402,3,1,0.172914404417,1743652080942,147.832,147.848,147.848,0.016,0.01,0.001,0,0.173,147.675,148.021,TP,1743652878401,148.021,17.3,1,0.018,0.038,0.049,0.106,0.214,0.141,797.459,,1743652080402,1743652080121,0
tstech_discovery_r2_202504_USDJPY_mh_19,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,86,1743665980500,1743665984327,3,1,0.111170591734,1743665984831,147.293,147.315,147.293,0.022,0.01,0.001,0,0.112,147.405,147.181,SL,1743666157060,147.413,-12,-1.071428571429,0,0.03,0,0.164,0,0.229,,172.229,1743665984327,1743665980411,0
tstech_discovery_r2_202504_USDJPY_mh_20,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,88,1743675077000,1743675077386,3,1,0.154073391357,1743675077386,147.131,147.151,147.131,0.02,0.01,0.001,0,0.155,147.286,146.976,SL,1743675208207,147.288,-15.700000000001,-1.012903225807,0,0.117,0,0.16,0,0.349,,130.821,1743675077386,1743675076887,0
tstech_discovery_r2_202504_USDJPY_mh_21,-1,0.16623879600843,-0.3462857962514,0.16623879600843,USDJPY,101,1743676239750,1743676240223,3,1,0.151378257115,1743676240323,147.326,147.342,147.326,0.016,0.01,0.001,0,0.152,147.478,147.174,TP,1743676890792,147.174,15.199999999999,1,0.006,0.036,0.056,0.059,0.247,0.059,650.469,,1743676240223,1743676239717,0
tstech_discovery_r2_202504_USDJPY_mh_22,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,103,1743677290500,1743677290845,3,1,0.148699719629,1743677290945,147.138,147.157,147.138,0.019,0.01,0.001,0,0.149,147.287,146.989,SL,1743677855950,147.287,-14.9,-1,0.03,0.042,0.051,0.042,0.051,0.174,,565.005,1743677290845,1743677290445,0
tstech_discovery_r2_202504_USDJPY_mh_23,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,110,1743678367000,1743678367777,3,1,0.140106093608,1743678370339,147.282,147.3,147.282,0.018,0.01,0.001,0,0.141,147.423,147.141,TIME,1743679270762,147.192,9,0.63829787234,0.023,0.024,0.023,0.094,0.09,0.094,,,1743678367777,1743678366921,0
tstech_discovery_r2_202504_USDCHF_mh_1,-1,-0.18011448748955,-0.39150333213076,-0.18011448748955,USDCHF,114,1743680275500,1743680275901,3,1,0.00069249537,1743680276081,0.8663,0.86654,0.8663,0.00024,0.0001,1e-05,0,0.0007,0.867,0.8656,COST_DISTANCE_REJECT,0,0,,,0.00015,0.00027,0.00084,0.00027,0.00084,0.00027,218.934,,1743680275901,1743680275190,0
tstech_discovery_r2_202504_GBPUSD_mh_6,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,GBPUSD,115,1743680427000,1743680427720,3,1,0.000871601895,1743680427865,1.31591,1.31611,1.31591,0.0002,0.0001,1e-05,0,0.00088,1.31679,1.31503,SL,1743680858126,1.3168,-8.899999999998,-1.011363636363,0,0.00065,6e-05,0.00073,6e-05,0.00107,,430.261,1743680427720,1743680426959,0
tstech_discovery_r2_202504_USDJPY_mh_24,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,119,1743680701500,1743680702988,3,1,0.122076120383,1743680704194,146.966,146.986,146.966,0.02,0.01,0.001,0,0.123,147.089,146.843,TP,1743680840076,146.843,12.299999999999,1,0.045,0.018,0.157,0.018,0.267,0.018,135.882,,1743680702988,1743680701408,0
tstech_discovery_r2_202504_GBPUSD_mh_7,1,-0.39150333213076,-0.39150333213076,-0.469716604009,GBPUSD,131,1743681455250,1743681460607,3,1,0.000839365658,1743681460740,1.31625,1.31645,1.31645,0.0002,0.0001,1e-05,0,0.00084,1.31561,1.31729,SL,1743681752799,1.3156,-8.500000000002,-1.011904761905,0,0.0006,0,0.00088,0.00175,0.00088,667.51,292.059,1743681460607,1743681455210,0
tstech_discovery_r2_202504_USDJPY_mh_25,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,133,1743690802750,1743690804394,3,1,0.133811839894,1743690804447,146.33,146.35,146.33,0.02,0.01,0.001,0,0.134,146.464,146.196,SL,1743691251212,146.465,-13.499999999999,-1.007462686567,0.076,0.019,0.076,0.129,0.099,0.168,,446.765,1743690804394,1743690802738,0
tstech_discovery_r2_202504_USDJPY_mh_26,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,142,1743691856000,1743691856991,3,1,0.151433646451,1743691857034,146.214,146.232,146.214,0.018,0.01,0.001,0,0.152,146.366,146.062,TP,1743692098152,146.062,15.199999999999,1,0.048,0.017,0.16,0.017,0.195,0.017,241.118,,1743691856991,1743691855530,0
tstech_discovery_r2_202504_USDCHF_mh_2,1,-0.17652697911591,-0.17652697911591,-0.18011448748955,USDCHF,145,1743692754500,1743692755413,3,1,0.000855820389,1743692755418,0.8593,0.85954,0.85954,0.00024,0.0001,1e-05,0,0.00086,0.85868,0.8604,TP,1743693437018,0.8604,8.6,1,0,0.0005,0.00042,0.0005,0.00112,0.0005,681.6,,1743692755413,1743692754305,0
tstech_discovery_r2_202504_GBPUSD_mh_8,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,GBPUSD,146,1743692864750,1743692865110,3,1,0.00105219537,1743692865308,1.31833,1.31853,1.31833,0.0002,0.0001,1e-05,0,0.00106,1.31939,1.31727,TP,1743693221080,1.31727,10.600000000001,1,1e-05,0.00035,0.00078,0.00035,0.00201,0.00035,355.772,,1743692865110,1743692864604,0
tstech_discovery_r2_202504_USDJPY_mh_27,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,148,1743693042250,1743693042582,3,1,0.146621573709,1743693042629,146.23,146.25,146.23,0.02,0.01,0.001,0,0.147,146.377,146.083,TIME,1743693943587,146.209,2.099999999999,0.142857142857,0.018,0.029,0.047,0.099,0.065,0.144,,,1743693042582,1743693042023,0
tstech_discovery_r2_202504_USDCHF_mh_3,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCHF,152,1743693739750,1743693740605,3,1,0.000835057359,1743693740732,0.85988,0.86011,0.86011,0.00023,0.0001,1e-05,0,0.00084,0.85927,0.86095,TIME,1743694641612,0.85943,-6.8,-0.809523809524,0,0.00044,0,0.00069,0.00013,0.00071,,,1743693740605,1743693739593,0
tstech_discovery_r2_202504_USDJPY_mh_28,-1,-0.469716604009,-0.57366167947715,-0.469716604009,USDJPY,156,1743694202750,1743694203288,3,1,0.148199129541,1743694203689,146.11,146.174,146.11,0.064,0.01,0.001,0,0.149,146.259,145.961,COST_DISTANCE_REJECT,0,0,,,0.019,0.062,0.091,0.062,0.151,0.062,818.185,,1743694203288,1743694202599,0
tstech_discovery_r2_202504_EURUSD_mh_1,-1,-0.469716604009,-0.57366167947715,-0.469716604009,EURUSD,157,1743694204000,1743694204390,3,1,0.001454991254,1743694204390,1.10857,1.10895,1.10857,0.00038,0.0001,1e-05,0,0.00146,1.11003,1.10711,TIME,1743695104570,1.1092,-6.299999999999,-0.431506849315,0.00044,0.0004,0.00044,0.00099,0.00118,0.00101,,,1743694204390,1743694203787,0
tstech_discovery_r2_202504_GBPUSD_mh_9,-1,-0.14413591156793,-0.14504900184201,-0.14413591156793,GBPUSD,157,1743694205250,1743694206409,3,1,0.001028068076,1743694206609,1.3157,1.3159,1.3157,0.0002,0.0001,1e-05,0,0.00103,1.31673,1.31467,SL,1743694399052,1.31674,-10.399999999999,-1.009708737864,0.00035,0.00036,0.00035,0.00107,0.00057,0.00107,,192.443,1743694206409,1743694205204,0
tstech_discovery_r2_202504_USDCHF_mh_4,1,-0.17652697911591,-0.17652697911591,-0.469716604009,USDCHF,167,1743694839250,1743694839351,3,1,0.00084589997,1743694839631,0.86069,0.86094,0.86094,0.00025,0.0001,1e-05,0,0.00085,0.86009,0.86179,SL,1743694928369,0.86005,-8.900000000001,-1.047058823529,0,0.00066,0,0.0017,0,0.00253,,88.738,1743694839351,1743694838924,0
tstech_discovery_r2_202504_USDCAD_mh_1,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDCAD,174,1743695137750,1743695138125,3,1,0.001174073861,1743695138295,1.40896,1.40921,1.40896,0.00025,0.0001,1e-05,0,0.00118,1.41014,1.40778,TP,1743695608617,1.40778,11.8,1,0.0004,0.00028,0.00115,0.00028,0.00191,0.00028,470.322,,1743695138125,1743695137489,0
tstech_discovery_r2_202504_USDJPY_mh_29,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,178,1743695377500,1743695378110,3,1,0.150548647015,1743695378768,145.782,145.802,145.782,0.02,0.01,0.001,0,0.151,145.933,145.631,SL,1743695521014,145.947,-16.499999999999,-1.092715231788,0.005,0.075,0.005,0.325,0.005,0.325,,142.246,1743695378110,1743695377367,0
tstech_discovery_r2_202504_EURUSD_mh_2,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,EURUSD,193,1743695836250,1743695837519,3,1,0.001502029135,1743695837519,1.10832,1.1085,1.10832,0.00018,0.0001,1e-05,0,0.00151,1.10983,1.10681,SL,1743696442888,1.10984,-15.2,-1.006622516556,0.0004,0.00043,0.00061,0.00053,0.00061,0.00269,,605.369,1743695837519,1743695836216,0
tstech_discovery_r2_202504_USDCHF_mh_5,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,USDCHF,195,1743695978000,1743695978329,3,1,0.00091177924,1743695978612,0.85904,0.85927,0.85904,0.00023,0.0001,1e-05,0,0.00092,0.85996,0.85812,SL,1743696010100,0.86003,-9.899999999999,-1.076086956522,0,0.00112,0,0.00148,0.00041,0.00148,,31.488,1743695978329,1743695977863,0
tstech_discovery_r2_202504_USDJPY_mh_30,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,202,1743696907750,1743696908122,3,1,0.168563199415,1743696908125,145.585,145.604,145.585,0.019,0.01,0.001,0,0.169,145.754,145.416,SL,1743697747216,145.754,-16.899999999998,-1,0,0.061,0,0.098,0.049,0.266,,839.091,1743696908122,1743696907521,0
tstech_discovery_r2_202504_USDCAD_mh_2,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDCAD,203,1743697413750,1743697413890,3,1,0.001282087724,1743697414291,1.40573,1.40598,1.40573,0.00025,0.0001,1e-05,0,0.00129,1.40702,1.40444,SL,1743697716563,1.40704,-13.100000000001,-1.015503875969,1e-05,0.00052,0.00032,0.00128,0.00032,0.0021,,302.272,1743697413890,1743697413591,0
tstech_discovery_r2_202504_USDJPY_mh_31,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,209,1743697952000,1743697952308,3,1,0.165709675292,1743697952704,145.871,145.891,145.871,0.02,0.01,0.001,0,0.166,146.037,145.705,SL,1743697988288,146.045,-17.399999999998,-1.048192771084,0,0.203,0,0.228,0.131,0.228,,35.584,1743697952308,1743697951699,0
tstech_discovery_r2_202504_GBPUSD_mh_10,1,0.18433782862125,0.18433782862125,-0.47709429344079,GBPUSD,212,1743698007250,1743698007475,3,1,0.001159079651,1743698008110,1.31543,1.31563,1.31563,0.0002,0.0001,1e-05,0,0.00116,1.31447,1.31679,TIME,1743698908929,1.31597,3.4,0.293103448276,0.00093,0.00042,0.00103,0.00042,0.00103,0.00042,,,1743698007475,1743698007105,0
tstech_discovery_r2_202504_USDCAD_mh_3,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDCAD,221,1743698703500,1743698703662,3,1,0.001343655614,1743698704077,1.40453,1.40477,1.40453,0.00024,0.0001,1e-05,0,0.00135,1.40588,1.40318,TIME,1743699604189,1.40473,-2,-0.148148148148,0,0.00062,1e-05,0.00074,0.00101,0.00123,,,1743698703662,1743698703371,0
tstech_discovery_r2_202504_USDJPY_mh_32,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,226,1743698952250,1743698952756,3,1,0.18160975094,1743698952758,145.707,145.727,145.707,0.02,0.01,0.001,0,0.182,145.889,145.525,TP,1743699600898,145.525,18.199999999999,1,0.104,0.031,0.11,0.083,0.505,0.139,648.14,,1743698952756,1743698952153,0
tstech_discovery_r2_202504_USDCHF_mh_6,-1,-0.14413591156793,-0.39150333213076,-0.14413591156793,USDCHF,228,1743698990000,1743698990447,3,1,0.00108761039,1743698990820,0.8568,0.85705,0.8568,0.00025,0.0001,1e-05,0,0.00109,0.85789,0.85571,TIME,1743699890880,0.8572,-4,-0.366972477064,0,0.00042,2e-05,0.00063,0.00091,0.00098,,,1743698990447,1743698989739,0
tstech_discovery_r2_202504_GBPUSD_mh_11,1,0.18433782862125,0.18433782862125,-0.47709429344079,GBPUSD,236,1743699495250,1743699495437,3,1,0.001206718575,1743699495638,1.31488,1.31508,1.31508,0.0002,0.0001,1e-05,0,0.00121,1.31387,1.31629,TP,1743699611561,1.31629,12.099999999999,1,8e-05,0.0004,0.00197,0.00072,0.00197,0.00072,115.923,,1743699495437,1743699495032,0
tstech_discovery_r2_202504_USDJPY_mh_33,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,262,1743699976250,1743699976830,3,1,0.207872972103,1743699976937,145.486,145.505,145.486,0.019,0.01,0.001,0,0.208,145.694,145.278,SL,1743700503347,145.702,-21.600000000001,-1.038461538462,0.043,0.027,0.046,0.078,0.046,0.374,,526.41,1743699976830,1743699976125,0
tstech_discovery_r2_202504_USDCHF_mh_7,-1,0.00033540251226757,-0.17652697911591,0.00033540251226757,USDCHF,266,1743700622000,1743700622292,3,1,0.001062254936,1743700622461,0.85689,0.85716,0.85689,0.00027,0.0001,1e-05,0,0.00107,0.85796,0.85582,TIME,1743701522589,0.85689,-0,-0,0.0001,0.00027,0.00092,0.00029,0.00102,0.00106,,,1743700622292,1743700621736,0
tstech_discovery_r2_202504_USDJPY_mh_34,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,267,1743701059500,1743701059875,3,1,0.206794066854,1743701059976,145.721,145.738,145.721,0.017,0.01,0.001,0,0.207,145.928,145.514,TIME,1743701960361,145.542,17.9,0.864734299517,0,0.171,0,0.182,0.196,0.203,,,1743701059875,1743701059473,0
tstech_discovery_r2_202504_USDCAD_mh_4,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDCAD,274,1743701580250,1743701581188,3,1,0.001391637137,1743701581267,1.40434,1.40458,1.40434,0.00024,0.0001,1e-05,0,0.0014,1.40574,1.40294,TIME,1743702481609,1.40397,3.7,0.264285714286,6e-05,0.00039,6e-05,0.00081,0.0007,0.00081,,,1743701581188,1743701580054,0
tstech_discovery_r2_202504_USDCHF_mh_8,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,USDCHF,277,1743702075250,1743702076060,3,1,0.001092226363,1743702076950,0.85523,0.85547,0.85547,0.00024,0.0001,1e-05,0,0.0011,0.85437,0.85657,TIME,1743702977083,0.85611,6.400000000001,0.581818181818,3e-05,0.00027,3e-05,0.00055,0.00075,0.00085,,,1743702076060,1743702074990,0
tstech_discovery_r2_202504_USDJPY_mh_35,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,278,1743702209500,1743702210364,3,1,0.202495635733,1743702210984,145.46,145.479,145.46,0.019,0.01,0.001,0,0.203,145.663,145.257,TIME,1743703111099,145.374,8.600000000001,0.423645320197,0.013,0.071,0.048,0.073,0.133,0.094,,,1743702210364,1743702209278,0
tstech_discovery_r2_202504_USDJPY_mh_36,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,281,1743703581750,1743703582990,3,1,0.184762007852,1743703583161,145.52,145.54,145.52,0.02,0.01,0.001,0,0.185,145.705,145.335,SL,1743703934708,145.708,-18.799999999999,-1.016216216216,0.047,0.062,0.149,0.18,0.149,0.392,,351.547,1743703582990,1743703581448,0
tstech_discovery_r2_202504_USDCAD_mh_5,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDCAD,282,1743703673000,1743703673633,3,1,0.001182422366,1743703673635,1.40355,1.4038,1.40355,0.00025,0.0001,1e-05,0,0.00119,1.40474,1.40236,SL,1743704443812,1.40476,-12.099999999999,-1.016806722689,0.00029,0.00035,0.00066,0.00035,0.00066,0.00148,,770.177,1743703673633,1743703672828,0
tstech_discovery_r2_202504_GBPUSD_mh_12,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,GBPUSD,283,1743703948500,1743703948598,3,1,0.001138435719,1743703949093,1.31455,1.31475,1.31455,0.0002,0.0001,1e-05,0,0.00114,1.31569,1.31341,TP,1743704371221,1.31341,11.399999999999,1,0,0.00051,0.00087,0.00051,0.002,0.00051,422.128,,1743703948598,1743703948078,0
tstech_discovery_r2_202504_EURUSD_mh_3,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,EURUSD,287,1743704492000,1743704492346,3,1,0.001377707042,1743704492346,1.10764,1.10782,1.10764,0.00018,0.0001,1e-05,0,0.00138,1.10902,1.10626,TP,1743704764852,1.10626,13.799999999999,1,0,0.00039,0.00141,0.00039,0.00225,0.00039,272.506,,1743704492346,1743704491844,0
tstech_discovery_r2_202504_USDJPY_mh_37,-1,0.16623879600843,-0.3462857962514,0.16623879600843,USDJPY,289,1743704614500,1743704614869,3,1,0.192271549368,1743704615130,145.923,145.943,145.923,0.02,0.01,0.001,0,0.193,146.116,145.73,SL,1743705486118,146.117,-19.399999999999,-1.00518134715,0.006,0.053,0.006,0.158,0.056,0.215,,870.988,1743704614869,1743704614333,0
tstech_discovery_r2_202504_USDCHF_mh_9,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCHF,290,1743704763500,1743704763756,3,1,0.000989862842,1743704764011,0.85842,0.85869,0.85869,0.00027,0.0001,1e-05,0,0.00099,0.8577,0.85968,TP,1743705538024,0.85968,9.9,1,0,0.00058,0,0.00076,0.00115,0.00076,774.013,,1743704763756,1743704763241,0
tstech_discovery_r2_202504_USDCAD_mh_6,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDCAD,296,1743705005500,1743705005934,3,1,0.001148387479,1743705006162,1.40383,1.40408,1.40383,0.00025,0.0001,1e-05,0,0.00115,1.40498,1.40268,SL,1743705531300,1.40502,-11.899999999998,-1.034782608695,0.00023,0.00035,0.00038,0.0006,0.00038,0.00385,,525.138,1743705005934,1743705005337,0
