model_key,fold,status,scope,threshold_name,threshold,train_episodes,valid_episodes,threshold_signals,overlap_skips,entry_rejections,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,positive_segments,min_segment_trades
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,0.00074366935350474,2165,583,31,0,19,12,0.33333333333333,-0.38490671717796,-4.6188806061355,-2.2416666666664,-26.899999999997,0.45572443254542,6.3513267845477,0,12,4,8,0,-0.35120017639225,,-7.4535036674179,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.05960784362673,2165,583,44,0,28,16,0.375,-0.29909670455017,-4.7855472728026,-1.7562499999998,-28.099999999997,0.5484225827581,6.6293646318841,4,12,6,10,0,-0.26687235451644,,-9.6351375128319,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.05960784362673,2165,583,44,0,28,16,0.375,-0.29909670455017,-4.7855472728026,-1.7562499999998,-28.099999999997,0.5484225827581,6.6293646318841,4,12,6,10,0,-0.26687235451644,,-9.6351375128319,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.17548150484055,2165,583,52,0,36,16,0.375,-0.29909670455017,-4.7855472728026,-1.7562499999998,-28.099999999997,0.5484225827581,6.6293646318841,4,12,6,10,0,-0.26687235451644,,-9.6351375128319,0,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,2749,600,19,1,9,9,0.44444444444444,-0.18228169363711,-1.640535242734,-1.4444444444448,-13.000000000003,0.70334332162675,5.5300802656124,1,8,4,5,0,-0.15485390334789,,-4.5076083555,1,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,2749,600,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,2749,600,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,2749,600,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,2749,600,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,2749,600,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,-0.020199006503865,2749,600,13,0,4,9,0.44444444444444,-0.15907202217158,-1.4316481995442,-1.6555555555554,-14.899999999999,0.73095353998582,5.3211932224226,0,9,4,5,0,-0.13302850652244,,-4.2987213123102,1,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,-0.058990620086934,2749,600,19,1,9,9,0.44444444444444,-0.18228169363711,-1.640535242734,-1.4444444444448,-13.000000000003,0.70334332162675,5.5300802656124,1,8,4,5,0,-0.15485390334789,,-4.5076083555,1,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.058990620086934,2749,600,19,1,9,9,0.44444444444444,-0.18228169363711,-1.640535242734,-1.4444444444448,-13.000000000003,0.70334332162675,5.5300802656124,1,8,4,5,0,-0.15485390334789,,-4.5076083555,1,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.16716696115881,2749,600,57,4,33,20,0.3,-0.43133163055062,-8.6266326110123,-3.2,-64,0.40363611355961,9.5963295807093,14,6,6,13,1,-0.403960388762,,-13.496153213866,0,0
g1_SHALLOW_TREE,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.16716696115881,2749,600,57,4,33,20,0.3,-0.43133163055062,-8.6266326110123,-3.2,-64,0.40363611355961,9.5963295807093,14,6,6,13,1,-0.403960388762,,-13.496153213866,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,3350,616,45,0,40,5,0.2,-0.6589225181598,-3.294612590799,-3.7599999999994,-18.799999999997,0.22684893626089,4.2612792574657,0,5,1,4,0,-0.6245238095238,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,3350,616,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,3350,616,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,3350,616,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,3350,616,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,3350,616,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,-0.0096834802236413,3350,616,4,0,4,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,-0.0096834802236413,3350,616,4,0,4,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.0096834802236413,3350,616,4,0,4,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.037908656171347,3350,616,45,0,40,5,0.2,-0.6589225181598,-3.294612590799,-3.7599999999994,-18.799999999997,0.22684893626089,4.2612792574657,0,5,1,4,0,-0.6245238095238,,0,0,0
g1_SHALLOW_TREE,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.33680873394003,3350,616,48,0,43,5,0.2,-0.6589225181598,-3.294612590799,-3.7599999999994,-18.799999999997,0.22684893626089,4.2612792574657,0,5,1,4,0,-0.6245238095238,,0,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,1571,595,42,3,16,23,0.34782608695652,-0.30326566461389,-6.9751102861194,-2.7869565217391,-64.099999999999,0.52861911220655,6.9751102861194,15,8,8,14,1,-0.28021293384,,-11.875808659929,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,1571,595,15,0,8,7,0.42857142857143,-0.17857270467348,-1.2500089327143,-2.2714285714284,-15.899999999999,0.70118691629201,3.0931568989739,5,2,3,4,0,-0.15717729802229,,-2.1323436112163,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,1571,595,10,0,6,4,0.25,-0.52961833866752,-2.1184733546701,-5.9249999999998,-23.699999999999,0.31510963592799,3.0931568989739,3,1,1,3,0,-0.507042253521,,0,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,1571,595,10,0,6,4,0.25,-0.52961833866752,-2.1184733546701,-5.9249999999998,-23.699999999999,0.31510963592799,3.0931568989739,3,1,1,3,0,-0.507042253521,,0,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,1571,595,6,0,5,1,0,-1.0422535211263,-1.0422535211263,-14.799999999999,-14.799999999999,0,1.0422535211263,0,1,0,1,0,-1.028169014084,,0,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,1571,595,4,0,3,1,0,-1.0422535211263,-1.0422535211263,-14.799999999999,-14.799999999999,0,1.0422535211263,0,1,0,1,0,-1.028169014084,,0,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,0.01227774469502,1571,595,13,0,8,5,0.4,-0.22875796207325,-1.1437898103663,-3.1999999999996,-15.999999999998,0.63021927185598,3.0931568989739,4,1,2,3,0,-0.2056338028168,,0,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,-0.028932983145063,1571,595,23,0,10,13,0.38461538461538,-0.2637828926025,-3.4291776038325,-2.4769230769228,-32.199999999997,0.58832789191141,6.2556589034254,8,5,5,8,0,-0.24294173673692,,-8.3298759776424,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.09915940535967,1571,595,42,3,16,23,0.34782608695652,-0.30326566461389,-6.9751102861194,-2.7869565217391,-64.099999999999,0.52861911220655,6.9751102861194,15,8,8,14,1,-0.28021293384,,-11.875808659929,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.16525868907279,1571,595,71,9,26,36,0.33333333333333,-0.33590154277142,-12.092455539771,-3.1527777777777,-113.5,0.49219672034067,12.092455539771,20,16,12,22,2,-0.31260855257756,,-17.000996339028,0,0
g1_ELASTICNET_LOGISTIC,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.20220988899294,1571,595,92,12,31,49,0.30612244897959,-0.40004603347861,-19.602255640452,-3.7367346938775,-183.1,0.42775727218069,19.602255640452,27,22,15,32,2,-0.37698339871898,,-24.511313035344,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,2165,583,12,0,9,3,0,-1.036828181565,-3.1104845446951,-6.6333333333337,-19.900000000001,0,3.1104845446951,0,3,0,3,0,-1.005291005291,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,2165,583,9,0,7,2,0,-1.031432748538,-2.062865497076,-6.650000000001,-13.300000000002,0,2.062865497076,0,2,0,2,0,-1,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,2165,583,7,0,7,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,2165,583,6,0,6,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,2165,583,5,0,5,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,2165,583,3,0,3,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,0.00025424094269387,2165,583,9,0,7,2,0,-1.031432748538,-2.062865497076,-6.650000000001,-13.300000000002,0,2.062865497076,0,2,0,2,0,-1,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,-0.050973045154981,2165,583,10,0,8,2,0,-1.031432748538,-2.062865497076,-6.650000000001,-13.300000000002,0,2.062865497076,0,2,0,2,0,-1,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.13114724492416,2165,583,15,0,12,3,0,-1.036828181565,-3.1104845446951,-6.6333333333337,-19.900000000001,0,3.1104845446951,0,3,0,3,0,-1.005291005291,,0,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.20728964528435,2165,583,32,0,25,7,0.28571428571429,-0.47193353854962,-3.3035347698473,-3.1285714285711,-21.899999999998,0.36973093872405,4.2753657557628,0,7,2,5,0,-0.44118698761557,,-2.130982905983,0,0
g1_ELASTICNET_LOGISTIC,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.2472362252279,2165,583,51,0,44,7,0.28571428571429,-0.47193353854962,-3.3035347698473,-3.1285714285711,-21.899999999998,0.36973093872405,4.2753657557628,0,7,2,5,0,-0.44118698761557,,-2.130982905983,0,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,2749,600,21,0,14,7,0.42857142857143,-0.19716916896927,-1.3801841827849,-1.8428571428573,-12.900000000001,0.67954799983971,3.2474681334025,0,7,3,4,0,-0.17336248276143,,-2.22619047619,1,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,2749,600,10,0,7,3,0.66666666666667,0.26131687242803,0.78395061728409,1.9999999999993,5.999999999998,1.6719576719579,1.1666666666665,0,3,2,1,0,0.28571428571433,1,0,1,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,2749,600,6,0,5,1,1,0.97530864197531,0.97530864197531,7.899999999999,7.899999999999,inf,0,0,1,1,0,0,1,1,0,1,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,2749,600,5,0,5,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,2749,600,3,0,3,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,2749,600,3,0,3,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,-0.020711702874386,2749,600,11,0,7,4,0.75,0.44003527336864,1.7601410934746,3.5499999999995,14.199999999998,2.5086923658355,1.1666666666665,0,4,3,1,0,0.46428571428575,1,-2.2204460492503e-16,1,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,-0.079561006312636,2749,600,19,0,12,7,0.42857142857143,-0.19716916896927,-1.3801841827849,-1.8428571428573,-12.900000000001,0.67954799983971,3.2474681334025,0,7,3,4,0,-0.17336248276143,,-2.22619047619,1,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.14827267036196,2749,600,29,0,21,8,0.375,-0.3004299995923,-2.4034399967384,-2.7124999999999,-21.699999999999,0.54909413101175,4.270723947356,0,8,3,5,0,-0.27669217241625,,-3.2743832472742,1,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.22020078805961,2749,600,53,1,39,13,0.30769230769231,-0.43374000658501,-5.6386200856051,-3.0692307692313,-39.900000000007,0.40875485181358,6.3562145952284,2,11,4,8,1,-0.40645942275954,,-8.7465338365297,1,0
g1_ELASTICNET_LOGISTIC,3,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.25809153533497,2749,600,70,2,52,16,0.3125,-0.42050036279999,-6.7280058047999,-3.2062500000004,-51.300000000007,0.41977305629765,7.3786865053408,2,14,5,10,1,-0.39350129304031,,-11.5954729056,1,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,3350,616,20,0,18,2,0,-1.0699648711946,-2.1399297423892,-6.249999999999,-12.499999999998,0,2.1399297423892,0,2,0,2,0,-1.0357142857145,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,3350,616,9,0,9,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,3350,616,5,0,5,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,3350,616,3,0,3,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,3350,616,2,0,2,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,3350,616,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,-0.051152511620398,3350,616,15,0,13,2,0,-1.0699648711946,-2.1399297423892,-6.249999999999,-12.499999999998,0,2.1399297423892,0,2,0,2,0,-1.0357142857145,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,-0.098544084017601,3350,616,20,0,18,2,0,-1.0699648711946,-2.1399297423892,-6.249999999999,-12.499999999998,0,2.1399297423892,0,2,0,2,0,-1.0357142857145,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.17001586568284,3350,616,30,0,27,3,0,-1.0583391538958,-3.1750174616874,-6.1333333333333,-18.4,0,3.1750174616874,0,3,0,3,0,-1.0238095238097,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.24110790487351,3350,616,51,0,48,3,0,-1.0583391538958,-3.1750174616874,-6.1333333333333,-18.4,0,3.1750174616874,0,3,0,3,0,-1.0238095238097,,0,0,0
g1_ELASTICNET_LOGISTIC,4,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.27679751775689,3350,616,72,1,68,3,0,-1.0583391538958,-3.1750174616874,-6.1333333333333,-18.4,0,3.1750174616874,0,3,0,3,0,-1.0238095238097,,0,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,1571,595,14,1,6,7,0.28571428571429,-0.48362847344586,-3.385399314121,-6.1142857142859,-42.800000000001,0.3646628416737,4.354149314121,3,4,2,5,0,-0.46092225972157,,-2.1669565217394,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,1571,595,1,0,0,1,0,-1.0422535211263,-1.0422535211263,-14.799999999999,-14.799999999999,0,1.0422535211263,0,1,0,1,0,-1.028169014084,,0,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,-0.06953081099918,1571,595,6,0,3,3,0,-1.0625580272914,-3.1876740818743,-13.233333333333,-39.699999999999,0,3.1876740818743,0,3,0,3,0,-1.0462993286823,,0,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,-0.099144946505446,1571,595,13,0,6,7,0.14285714285714,-0.77502554988972,-5.425178849228,-8.8285714285714,-61.8,0.1515109133748,6.393928849228,2,5,1,6,0,-0.75331211285914,,-2.1669565217394,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,-0.14578808343124,1571,595,33,3,11,19,0.15789473684211,-0.76575688780969,-14.549380868384,-7.7263157894737,-146.8,0.1665781216757,15.518130868384,6,13,3,16,0,-0.742149305132,,-15.422290088333,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.20621971008623,1571,595,79,7,36,36,0.22222222222222,-0.61055971854677,-21.980149867684,-5.6861111111113,-204.70000000001,0.26193073722758,21.980149867684,9,27,8,28,0,-0.58694819473639,,-26.876355419441,0,0
g1_LIGHTGBM,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.23172048963251,1571,595,114,12,54,48,0.25,-0.53748963711307,-25.799502581427,-4.8750000000003,-234.00000000001,0.31176518736849,25.799502581427,17,31,12,35,1,-0.51276002373146,,-30.701705134684,0,0
