scenario_id,htf_alignment_mode,symbol,break_even_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
all_first120,htf_soft_alignment,USDJPY,break_even_at_1_1r,198,81,0.4090909090909091,-204.83999999999995,2032.51,-2237.35,0.908445258900038,-8.9028,-0.04496363636363636,0.9106143680867146,339.96,3.3996,-0.602541475467702,92,0.46464646464646464,45,0.22727272727272727,6,0.030303030303030304,50,0.25252525252525254,50,0.25252525252525254,0.7897833333333334,0.7911747474747475
all_first120,htf_soft_alignment,USDJPY,no_break_even,197,86,0.4365482233502538,-94.12999999999998,2159.25,-2253.38,0.9582271964781794,-3.2167999999999983,-0.016328934010152275,0.9677532534449121,263.28999999999996,2.6328999999999994,-0.357514527707091,91,0.4619289340101523,0,0.0,0,0.0,53,0.26903553299492383,53,0.26903553299492383,0.4900456852791879,0.5063746192893404
all_first120,htf_soft_alignment,USDJPY,time_30min_and_0_5r_break_even,199,70,0.35175879396984927,-225.73,1812.94,-2038.6699999999996,0.8892758514129312,-10.092599999999994,-0.05071658291457283,0.889032189966652,393.78000000000003,3.9378,-0.5732388643404946,85,0.4271356783919598,80,0.4020100502512563,30,0.1507537688442211,46,0.23115577889447236,38,0.19095477386934673,0.7378989949748745,0.7617929648241207
all_first120,strict_h4_h1_alignment,AUDJPY,break_even_at_1_0r,5,2,0.4,15.470000000000002,71.96000000000001,-56.489999999999995,1.2738537794299878,0.6417999999999998,0.12835999999999997,1.2686254813326634,49.33,0.49329999999999996,0.31360227042367733,2,0.4,2,0.4,0,0.0,2,0.4,1,0.2,0.69546,0.7407400000000001
all_first120,strict_h4_h1_alignment,AUDJPY,break_even_at_1_1r,5,2,0.4,15.470000000000002,71.96000000000001,-56.489999999999995,1.2738537794299878,0.6417999999999998,0.12835999999999997,1.2686254813326634,49.33,0.49329999999999996,0.31360227042367733,2,0.4,2,0.4,0,0.0,2,0.4,1,0.2,0.69546,0.7407400000000001
all_first120,strict_h4_h1_alignment,AUDJPY,no_break_even,5,2,0.4,15.470000000000002,71.96000000000001,-56.489999999999995,1.2738537794299878,0.6417999999999998,0.12835999999999997,1.2686254813326634,49.33,0.49329999999999996,0.31360227042367733,2,0.4,0,0.0,0,0.0,2,0.4,1,0.2,0.6062,0.47784000000000004
all_first120,strict_h4_h1_alignment,AUDJPY,time_30min_and_0_5r_break_even,5,2,0.4,15.420000000000005,71.96000000000001,-56.53999999999999,1.2727272727272732,0.6417999999999998,0.12835999999999997,1.2686254813326634,49.379999999999995,0.49379999999999996,0.31227217496962345,2,0.4,2,0.4,0,0.0,2,0.4,1,0.2,0.69546,0.7407400000000001
all_first120,strict_h4_h1_alignment,EURJPY,break_even_at_1_0r,20,8,0.4,46.97,220.27999999999997,-173.31,1.271017252322428,2.0821,0.104105,1.2847043701799483,104.89,1.0489,0.44780245971970634,6,0.3,5,0.25,1,0.05,6,0.3,7,0.35,0.9892049999999998,0.7024549999999998
all_first120,strict_h4_h1_alignment,EURJPY,break_even_at_1_1r,20,8,0.4,46.97,220.27999999999997,-173.31,1.271017252322428,2.0821,0.104105,1.2847043701799483,104.89,1.0489,0.44780245971970634,6,0.3,5,0.25,1,0.05,6,0.3,7,0.35,1.0043099999999998,0.7024549999999998
all_first120,strict_h4_h1_alignment,EURJPY,no_break_even,20,8,0.4,16.64,220.27999999999997,-203.64,1.0817128265566687,0.8481000000000002,0.04240500000000001,1.0992254773493073,122.19,1.2219,0.1361813569031836,7,0.35,0,0.0,0,0.0,6,0.3,7,0.35,0.46976499999999993,0.42736
