run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpExitMode,InpMaxHoldBars
full2025_medlowqual,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,medlowqual,m15_wave2_required_for_medium_low_quality_m5,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_medlowqual.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_medlowqual.ini,fx_session_reversal_m15wave2_full2025_medlowqual,16385,15,5,0,true,1,0,3,6,1,30
full2025_onesym_expanded,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,onesym_expanded,one_symbol_m15_wave2_expanded,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_onesym_expanded.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_onesym_expanded.ini,fx_session_reversal_m15wave2_full2025_onesym_expanded,16385,15,5,0,true,1,0,2,2,1,30
full2025_onesym_quality,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,onesym_quality,one_symbol_m15_wave2_quality_gate,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_onesym_quality.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_onesym_quality.ini,fx_session_reversal_m15wave2_full2025_onesym_quality,16385,15,5,0,true,1,0,3,3,1,30
full2025_nosess_expdiag,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,nosess_expdiag,no_session_gate_m15_wave2_expanded_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_nosess_expdiag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_nosess_expdiag.ini,fx_session_reversal_m15wave2_full2025_nosess_expdiag,16385,15,5,1,true,1,0,6,5,1,30
full2025_expanded_fixed_exit,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,expanded_fixed_exit,m15_wave2_expanded_fixed_tp_sl_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_expanded_fixed_exit.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_expanded_fixed_exit.ini,fx_session_reversal_m15wave2_full2025_expanded_fixed_exit,16385,15,5,0,true,1,0,2,2,0,30
full2025_expanded_short_hold,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,expanded_short_hold,m15_wave2_expanded_shorter_hold_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_expanded_short_hold.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_expanded_short_hold.ini,fx_session_reversal_m15wave2_full2025_expanded_short_hold,16385,15,5,0,true,1,0,2,2,3,18
full2025_one_base,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_base,one_symbol_first120,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_base.ini,fx_session_reversal_m15wave2_full2025_one_base,16385,15,5,0,true,1,0,0,0,1,30
full2025_tky_base,full2025_validation,tky,5,tokyo_first120_reference,2025.01.01,2025.12.31,tky_base,tokyo_first120_reference,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_tky_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_tky_base.ini,fx_session_reversal_m15wave2_full2025_tky_base,16385,15,5,0,true,1,0,0,0,1,30
full2025_ldn_base,full2025_validation,ldn,6,london_first120_reference,2025.01.01,2025.12.31,ldn_base,london_first120_reference,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_ldn_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_ldn_base.ini,fx_session_reversal_m15wave2_full2025_ldn_base,16385,15,5,0,true,1,0,0,0,1,30
full2025_ny_base,full2025_validation,ny,7,newyork_first120_reference,2025.01.01,2025.12.31,ny_base,newyork_first120_reference,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_ny_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_ny_base.ini,fx_session_reversal_m15wave2_full2025_ny_base,16385,15,5,0,true,1,0,0,0,1,30
full2025_clean_base,full2025_validation,clean,3,session_reversal_pullback_clean_target_path_first120,2025.01.01,2025.12.31,clean_base,clean_target_path_first120,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_clean_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_clean_base.ini,fx_session_reversal_m15wave2_full2025_clean_base,16385,15,5,0,true,1,0,0,0,1,30
