event_id,market_cluster_id,response_episode_id,symbol,direction,partition,mfe,mae,time_to_mfe_ms,time_to_mae_ms,origin_recross_msc,initial_shock_size,local_sigma_response,reference_mid,validation_status
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11,10,4,USDJPY,LONG,DISCOVERY,0.0045,0.0325,119169,61241,1741001792745.0,0.0025,1.3965997e-05,150.2195,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,5,USDJPY,SHORT,DISCOVERY,0.0075,0.0135,90284,33518,1741002078979.0,0.004,1.4115681e-05,150.2185,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002364750_13,12,6,USDJPY,LONG,DISCOVERY,0.0075,0.029,16999,82136,1741002365017.0,0.005,1.4092471e-05,150.3135,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741002365000_14,12,6,USDJPY,LONG,DISCOVERY,0.0105,0.026,16749,81886,1741002365460.0,0.008,2.6258767e-05,150.3105,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,7,USDJPY,SHORT,DISCOVERY,0.0375,0.0005,119873,7749,,0.0265,1.3718392e-05,151.261,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614500_16,13,7,USDJPY,SHORT,DISCOVERY,0.0335,0.0045,119623,7499,,0.005,1.3718392e-05,151.257,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614750_17,13,7,USDJPY,SHORT,DISCOVERY,0.0355,0.0025,119373,7249,,0.003,1.3718392e-05,151.259,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013930500_18,14,8,USDJPY,SHORT,DISCOVERY,0.0805,0.0005,90502,998,1741013931498.0,0.0005,1.3846526e-05,151.284,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013937500_19,15,8,USDJPY,SHORT,DISCOVERY,0.0545,0.005,83502,13262,1741013944442.0,0.0005,1.3872745e-05,151.258,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014178500_20,16,9,USDJPY,SHORT,DISCOVERY,0.005,0.0665,2523,98922,1741014179473.0,0.0015,1.3854726e-05,151.2125,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014453500_21,17,10,USDJPY,SHORT,DISCOVERY,0.0005,0.0575,568,71000,1741014454308.0,0.0,1.3887137e-05,151.245,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22,18,11,USDJPY,SHORT,DISCOVERY,0.0715,0.0005,59795,591,1741014606591.0,0.0005,1.3728541e-05,151.2865,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714500_24,19,11,USDJPY,SHORT,DISCOVERY,0.0445,0.0125,66832,7644,1741014715014.0,0.003,1.3760257e-05,151.2575,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714250_23,19,11,USDJPY,SHORT,DISCOVERY,0.0425,0.0145,67082,7894,1741014720392.0,0.0075,1.3758509e-05,151.2555,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014782000_25,20,11,USDJPY,SHORT,DISCOVERY,0.001,0.038,5413,110723,1741014782461.0,0.0035,1.3809009e-05,151.2165,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014791750_26,21,11,USDJPY,LONG,DISCOVERY,0.0235,0.0115,100973,41828,1741014792620.0,0.0025,1.3823623e-05,151.231,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014870250_27,22,11,USDJPY,SHORT,DISCOVERY,0.008,0.06,9577,94657,1741014870538.0,0.002,1.3791086e-05,151.2355,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015012750_28,23,12,USDJPY,LONG,DISCOVERY,0.0135,0.055,15626,117559,1741015013250.0,0.0015,1.3725713e-05,151.274,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015032750_29,24,12,USDJPY,SHORT,DISCOVERY,0.1025,0.0,116781,0,1741015034387.0,0.0025,1.3731865e-05,151.275,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015137500_30,25,12,USDJPY,SHORT,DISCOVERY,0.092,0.0265,115489,60618,1741015187519.0,0.011,1.374818e-05,151.2015,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015137750_31,25,12,USDJPY,SHORT,DISCOVERY,0.086,0.0325,115239,60368,1741015183410.0,0.007,1.3750097e-05,151.1955,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015143750_32,26,12,USDJPY,SHORT,DISCOVERY,0.076,0.0425,109239,54368,1741015144781.0,0.002,1.3779579e-05,151.1855,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015188250_33,27,12,USDJPY,LONG,DISCOVERY,0.0105,0.108,9868,64739,1741015190112.0,0.001,1.3778966e-05,151.2175,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015205000_34,28,12,USDJPY,SHORT,DISCOVERY,0.077,0.001,47989,14651,,0.012,1.3802354e-05,151.1865,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015205250_35,28,12,USDJPY,SHORT,DISCOVERY,0.077,0.001,47739,14401,,0.004,1.3802354e-05,151.1865,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015247250_36,29,12,USDJPY,SHORT,DISCOVERY,0.0345,0.0535,5739,109572,1741015248366.0,0.0005,1.3825228e-05,151.144,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015356500_37,30,12,USDJPY,LONG,DISCOVERY,0.0245,0.0215,120448,6578,1741015357312.0,0.002,1.3822288e-05,151.1935,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015358750_38,31,12,USDJPY,SHORT,DISCOVERY,0.0135,0.036,4328,120778,1741015359409.0,0.0005,1.382912e-05,151.1855,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015603500_39,32,13,USDJPY,SHORT,DISCOVERY,0.0635,0.0095,119722,52658,1741015605589.0,0.0065,1.3790779e-05,151.1645,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015656750_40,33,13,USDJPY,LONG,DISCOVERY,0.0015,0.0825,1033,85936,1741015657368.0,0.0015,1.3754951e-05,151.1725,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016050750_41,34,14,USDJPY,SHORT,DISCOVERY,0.0035,0.052,2467,96566,1741016062859.0,0.0065,1.3726218e-05,151.014,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741016051000_42,34,14,USDJPY,SHORT,DISCOVERY,0.0075,0.048,2217,96316,1741016062859.0,0.0025,2.5392831e-05,151.018,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016191500_43,35,15,USDJPY,LONG,DISCOVERY,0.0195,0.006,53478,66361,1741016254672.0,0.002,1.3639238e-05,151.0685,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016211500_44,36,15,USDJPY,SHORT,DISCOVERY,0.0155,0.0165,46361,101548,1741016212139.0,0.004,1.3653606e-05,151.078,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016313250_45,37,15,USDJPY,LONG,DISCOVERY,0.0035,0.055,5390,98428,1741016313794.0,0.0,1.3727146e-05,151.0905,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016524750_46,38,16,USDJPY,SHORT,DISCOVERY,0.0115,0.0425,3728,97838,1741016537693.0,0.0055,1.3728108e-05,151.0185,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016712500_47,39,17,USDJPY,LONG,DISCOVERY,0.008,0.0245,11424,48194,1741016713471.0,0.003,1.3746284e-05,151.072,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741016712750_48,39,17,USDJPY,LONG,DISCOVERY,0.0075,0.025,11174,47944,1741016713471.0,0.0035,2.5282255e-05,151.0725,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016960750_49,40,18,USDJPY,SHORT,DISCOVERY,0.0685,0.018,97548,47567,1741017003747.0,0.0015,1.3939942e-05,151.0245,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017127000_50,41,19,USDJPY,SHORT,DISCOVERY,0.019,0.0305,42600,77808,1741017127246.0,0.002,1.4092483e-05,150.983,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017467750_51,42,20,USDJPY,SHORT,DISCOVERY,0.031,0.0185,17912,75374,1741017502178.0,0.0015,1.4221297e-05,150.975,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017484500_52,43,20,USDJPY,SHORT,DISCOVERY,0.0145,0.0465,119387,58624,1741017485435.0,0.0015,1.4173809e-05,150.947,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017545000_53,44,20,USDJPY,SHORT,DISCOVERY,0.0425,0.0045,58887,30846,1741017575846.0,0.004,1.4186459e-05,150.975,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741017545250_54,44,20,USDJPY,SHORT,DISCOVERY,0.04,0.007,58637,30596,1741017575846.0,0.0065,2.607119e-05,150.9725,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022591750_55,45,21,USDJPY,LONG,DISCOVERY,0.037,0.0435,28333,92498,1741022633678.0,0.0085,1.4298388e-05,150.2735,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022677000_56,46,21,USDJPY,LONG,DISCOVERY,0.001,0.0635,231,59927,1741022677790.0,0.0005,1.4325004e-05,150.272,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022774500_57,47,21,USDJPY,LONG,DISCOVERY,0.0805,0.019,118492,3843,1741022774954.0,0.0065,1.4283768e-05,150.228,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022820750_58,48,21,USDJPY,SHORT,DISCOVERY,0.004,0.0515,725,72242,1741022825548.0,0.009,1.4330413e-05,150.257,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022821000_59,48,21,USDJPY,SHORT,DISCOVERY,0.0005,0.055,475,71992,1741022821267.0,0.0005,1.4328147e-05,150.2535,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022862500_60,49,21,USDJPY,SHORT,DISCOVERY,0.004,0.0425,112211,30492,1741022862851.0,0.0035,1.4407301e-05,150.266,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022963000_61,50,21,USDJPY,SHORT,DISCOVERY,0.0405,0.0395,49099,102785,1741022987378.0,0.002,1.4241322e-05,150.2725,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023002750_62,51,21,USDJPY,SHORT,DISCOVERY,0.0095,0.0705,9349,63035,1741023004280.0,0.008,1.4302679e-05,150.2415,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023005000_63,52,21,USDJPY,LONG,DISCOVERY,0.058,0.022,60785,7099,1741023005536.0,0.009,1.433145e-05,150.254,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023010500_64,53,21,USDJPY,SHORT,DISCOVERY,0.0205,0.0595,1599,55285,1741023010838.0,0.008,1.4385273e-05,150.2525,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023015750_65,54,21,USDJPY,LONG,DISCOVERY,0.0415,0.0355,50035,116014,1741023016299.0,0.006,1.4419801e-05,150.2705,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023017250_66,54,21,USDJPY,SHORT,DISCOVERY,0.0265,0.0505,114514,48535,1741023017478.0,0.0075,1.4426131e-05,150.2615,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023050250_67,55,21,USDJPY,SHORT,DISCOVERY,0.0265,0.052,91828,15535,1741023051018.0,0.0065,1.4464341e-05,150.26,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023164500_68,56,21,USDJPY,SHORT,DISCOVERY,0.118,0.001,80527,946,1741023164743.0,0.0035,1.4461053e-05,150.246,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023190250_69,57,21,USDJPY,SHORT,DISCOVERY,0.059,0.0175,54777,111192,1741023299542.0,0.01,1.4442778e-05,150.187,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023266750_70,58,21,USDJPY,LONG,DISCOVERY,0.0545,0.0235,61198,107006,1741023369839.0,0.012,1.4355541e-05,150.167,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023267000_71,58,21,USDJPY,LONG,DISCOVERY,0.0535,0.0245,60948,106756,1741023288492.0,0.0085,1.4363409e-05,150.168,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023279500_72,59,21,USDJPY,LONG,DISCOVERY,0.035,0.043,48448,94256,1741023280411.0,0.0005,1.4400455e-05,150.1865,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023283250_73,60,21,USDJPY,SHORT,DISCOVERY,0.027,0.051,90506,44698,1741023294091.0,0.008,1.4424498e-05,150.1705,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023294500_74,61,21,USDJPY,LONG,DISCOVERY,0.041,0.0455,116096,79256,1741023338027.0,0.0135,1.4423697e-05,150.189,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023294750_75,61,21,USDJPY,LONG,DISCOVERY,0.042,0.0445,115846,79006,1741023298087.0,0.005,1.4422071e-05,150.188,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023431500_76,62,22,USDJPY,SHORT,DISCOVERY,0.0845,0.0075,81718,3436,1741023432358.0,0.0005,1.4603857e-05,150.1655,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023435750_77,63,22,USDJPY,SHORT,DISCOVERY,0.066,0.0045,77468,16507,,0.012,1.4615097e-05,150.147,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741023436000_78,63,22,USDJPY,SHORT,DISCOVERY,0.0665,0.004,77218,16257,1741023436355.0,0.001,1.4614577e-05,150.1475,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024235000_79,64,23,USDJPY,SHORT,DISCOVERY,0.036,0.025,97778,79073,1741024235302.0,0.0005,1.3906345e-05,150.2025,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024329500_80,65,23,USDJPY,SHORT,DISCOVERY,0.0275,0.081,3278,115943,1741024329883.0,0.007,1.3872039e-05,150.194,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024399500_81,66,23,USDJPY,SHORT,DISCOVERY,0.008,0.139,5283,97796,1741024408360.0,0.006,1.3819033e-05,150.184,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741024399750_82,66,23,USDJPY,SHORT,DISCOVERY,0.0075,0.1395,5033,97546,1741024408360.0,0.0065,2.5497137e-05,150.1835,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024665750_83,67,24,USDJPY,SHORT,DISCOVERY,0.0195,0.0685,7275,75715,1741024691698.0,0.0035,1.388202e-05,150.2035,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024838250_84,68,25,USDJPY,LONG,DISCOVERY,0.0395,0.0285,115199,20847,1741024841715.0,0.0115,1.4001316e-05,150.336,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024838500_85,68,25,USDJPY,LONG,DISCOVERY,0.038,0.03,114949,20597,1741024859097.0,0.03,4.251344e-05,150.3375,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024838750_86,68,25,USDJPY,LONG,DISCOVERY,0.038,0.03,114699,20347,1741024851972.0,0.0165,4.2507998e-05,150.3375,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741024879000_88,69,25,USDJPY,LONG,DISCOVERY,0.016,0.042,74449,51148,1741024883474.0,0.0095,2.6116095e-05,150.3595,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024878750_87,69,25,USDJPY,LONG,DISCOVERY,0.016,0.042,74699,51398,1741024883474.0,0.0095,1.414438e-05,150.3595,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024879250_89,69,25,USDJPY,LONG,DISCOVERY,0.0165,0.0415,74199,50898,1741024891966.0,0.027,4.3118501e-05,150.359,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741024879500_90,69,25,USDJPY,LONG,DISCOVERY,0.0155,0.0425,73949,50648,1741024883474.0,0.01,4.3112936e-05,150.36,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024981250_91,70,25,USDJPY,SHORT,DISCOVERY,0.0745,0.028,114897,24083,1741024982387.0,0.004,1.4171576e-05,150.3335,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025095250_92,71,25,USDJPY,SHORT,DISCOVERY,0.0245,0.0515,50138,97373,1741025096484.0,0.0,1.4222016e-05,150.2595,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741025095500_93,71,25,USDJPY,SHORT,DISCOVERY,0.0245,0.0515,49888,97123,1741025096484.0,0.0,2.625542e-05,150.2595,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025468250_94,72,26,USDJPY,SHORT,DISCOVERY,0.037,0.0195,77484,15803,1741025468792.0,0.01,1.4150848e-05,150.2835,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025526750_95,73,26,USDJPY,LONG,DISCOVERY,0.052,0.045,96007,18984,1741025527802.0,0.0015,1.41278e-05,150.2915,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025705750_96,74,27,USDJPY,SHORT,DISCOVERY,0.059,0.008,120424,27441,1741025706104.0,0.0095,1.417326e-05,150.3195,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026009000_97,75,28,USDJPY,SHORT,DISCOVERY,0.0055,0.0515,10090,63932,1741026009344.0,0.001,1.4186246e-05,150.2095,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741026009250_98,75,28,USDJPY,SHORT,DISCOVERY,0.0075,0.0495,9840,63682,1741026009562.0,0.003,2.6115055e-05,150.2115,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026079000_99,76,28,USDJPY,SHORT,DISCOVERY,0.054,0.013,114699,24735,1741026085840.0,0.0015,1.4205626e-05,150.237,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741026207250_100,77,29,USDJPY,LONG,DISCOVERY,0.044,0.0105,53229,118526,,0.0225,4.3384029e-05,150.214,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026750500_101,78,30,USDJPY,LONG,DISCOVERY,0.0425,0.022,92082,44294,1741026754468.0,0.004,1.3977283e-05,150.1985,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741026750750_102,78,30,USDJPY,LONG,DISCOVERY,0.0425,0.022,91832,44044,,0.0255,4.2476079e-05,150.1985,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1741026751000_103,78,30,USDJPY,LONG,DISCOVERY,0.0445,0.02,91582,43794,1741026794326.0,0.017,4.2476079e-05,150.1965,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026801250_104,79,30,USDJPY,LONG,DISCOVERY,0.0375,0.0115,41332,70718,,0.012,1.4029433e-05,150.2035,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026801500_105,79,30,USDJPY,LONG,DISCOVERY,0.037,0.012,41082,70468,1741026802636.0,0.0015,1.4027464e-05,150.204,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026863250_106,80,30,USDJPY,SHORT,DISCOVERY,0.003,0.066,8718,100840,1741026863507.0,0.0005,1.4058018e-05,150.195,VALID
