partition,metric,key,value,unit
INTERNAL_CONFIRMATION,representative_barrier_1sigma_result,REVERSAL_FIRST,1423.0,clusters
INTERNAL_CONFIRMATION,representative_barrier_1sigma_result,TIMEOUT,4.0,clusters
INTERNAL_CONFIRMATION,event_rows_by_symbol,USDJPY,1580.0,rows
INTERNAL_CONFIRMATION,event_rows_by_symbol,USDCAD,1404.0,rows
INTERNAL_CONFIRMATION,event_rows_by_symbol,GBPUSD,760.0,rows
INTERNAL_CONFIRMATION,event_rows_by_symbol,AUDUSD,616.0,rows
INTERNAL_CONFIRMATION,event_rows_by_symbol,EURUSD,305.0,rows
INTERNAL_CONFIRMATION,event_rows_by_symbol,USDCHF,220.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_date,2025-03-31,1105.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_date,2025-03-28,847.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_date,2025-03-26,827.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_date,2025-03-27,809.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_date,2025-03-24,538.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_date,2025-03-21,413.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_date,2025-03-25,346.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,18,635.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,16,482.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,10,481.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,17,406.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,11,371.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,15,276.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,04,274.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,19,238.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,01,225.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,20,174.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,09,163.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,21,159.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,03,144.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,05,125.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,08,119.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,00,111.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,02,99.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,12,82.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,13,71.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,14,68.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,23,62.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,06,54.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,07,37.0,rows
INTERNAL_CONFIRMATION,event_rows_by_server_hour,22,29.0,rows
