action,model,feature,mean_importance,sd_importance,folds,positive_sign_folds,negative_sign_folds
CONTINUATION,SHALLOW_GB,f23,0.00792449578605174,0.01673837057686021,5,5,0
CONTINUATION,SHALLOW_GB,f24,0.00390125804683645,0.004780585440460202,5,3,0
CONTINUATION,SHALLOW_GB,f25,0.018369095808455378,0.010852343456934938,5,5,0
CONTINUATION,SHALLOW_GB,f26,0.44673398190509567,0.10066148632029713,5,5,0
CONTINUATION,SHALLOW_GB,f27,0.02661465245440464,0.0071572835305408,5,5,0
CONTINUATION,SHALLOW_GB,f28,0.1745245170510349,0.09235728105647872,5,5,0
CONTINUATION,SHALLOW_GB,f29,0.003333860407230283,0.0036976405568059675,5,3,0
CONTINUATION,SHALLOW_GB,f30,0.0009491950887369621,0.0021224647423247925,5,1,0
CONTINUATION,SHALLOW_GB,f31,0.012357168614034969,0.012165646135324637,5,5,0
CONTINUATION,SHALLOW_GB,f32,0.0,0.0,5,0,0
CONTINUATION,SHALLOW_GB,f33,0.016909328094119023,0.014160557908417267,5,4,0
CONTINUATION,SHALLOW_GB,f34,0.006368779558705154,0.008703132268603581,5,3,0
CONTINUATION,SHALLOW_GB,f35,0.0,0.0,5,0,0
CONTINUATION,SHALLOW_GB,f36,0.0,0.0,5,0,0
REVERSAL,ELASTIC_NET_LOGIT,f01,-0.1201331124749581,0.25562400647662836,5,2,3
REVERSAL,ELASTIC_NET_LOGIT,f02,-0.12468272579285673,0.12798152888976566,5,0,3
REVERSAL,ELASTIC_NET_LOGIT,f03,0.21614682536700966,0.12787807024697528,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f04,-0.038757786009014354,0.09615928876102509,5,1,1
REVERSAL,ELASTIC_NET_LOGIT,f05,-0.2992535205724473,0.1133330455928742,5,0,5
REVERSAL,ELASTIC_NET_LOGIT,f06,-0.14049459873572373,0.09786092063598498,5,0,5
REVERSAL,ELASTIC_NET_LOGIT,f07,0.07314267057227715,0.08870866273396974,5,3,2
REVERSAL,ELASTIC_NET_LOGIT,f08,-0.022187495985402962,0.03356488093157875,5,1,2
REVERSAL,ELASTIC_NET_LOGIT,f09,-0.052019313873254,0.05560041970441004,5,1,4
REVERSAL,ELASTIC_NET_LOGIT,f10,0.02116218085972013,0.07875349539654466,5,4,1
REVERSAL,ELASTIC_NET_LOGIT,f11,0.09455083161986383,0.09046636675550432,5,4,1
REVERSAL,ELASTIC_NET_LOGIT,f12,-0.020438971299380902,0.06630812108365314,5,3,2
REVERSAL,ELASTIC_NET_LOGIT,f13,0.1578208543186488,0.036202475509714296,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f14,0.03972484381079751,0.04365905564693641,5,4,0
REVERSAL,ELASTIC_NET_LOGIT,f15,0.34209443389664795,0.10013883168905302,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f16,-0.1312542411686281,0.1252783086811122,5,0,3
REVERSAL,ELASTIC_NET_LOGIT,f17,0.24515250025355417,0.12866775791031204,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f18,0.04154306469115845,0.12280414903322702,5,2,1
REVERSAL,ELASTIC_NET_LOGIT,f19,-0.06861146254056974,0.1439431039094996,5,1,3
REVERSAL,ELASTIC_NET_LOGIT,f20,0.13682444259398105,0.0825521024374254,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f21,-0.44541180627303384,0.1251860520033765,5,0,5
REVERSAL,ELASTIC_NET_LOGIT,f22,0.04564865890492155,0.0701000898384615,5,3,2
REVERSAL,ELASTIC_NET_LOGIT,f23,0.09016367800404058,0.07114965006476531,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f24,0.05384311503207393,0.034378790923315576,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f25,-0.02569133634891511,0.05889908535812988,5,2,2
REVERSAL,ELASTIC_NET_LOGIT,f26,-2.246047036581287,0.7538913948546863,5,0,5
REVERSAL,ELASTIC_NET_LOGIT,f27,0.03396600187303282,0.2769175220220891,5,3,2
REVERSAL,ELASTIC_NET_LOGIT,f28,0.13124444667056728,0.05158573575132385,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f29,-0.004186657520102105,0.028271773658794203,5,2,3
REVERSAL,ELASTIC_NET_LOGIT,f30,0.09560141187453018,0.03747964910268199,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f31,-0.028648602202009942,0.07367068341287172,5,3,2
REVERSAL,ELASTIC_NET_LOGIT,f32,0.0,0.0,5,0,0
REVERSAL,ELASTIC_NET_LOGIT,f33,0.06987730585140316,0.07465081033465146,5,3,1
REVERSAL,ELASTIC_NET_LOGIT,f34,-0.09458444523967982,0.10166229753273374,5,1,4
REVERSAL,ELASTIC_NET_LOGIT,f35,0.07041566622363064,0.01468511330867588,5,5,0
REVERSAL,ELASTIC_NET_LOGIT,f36,0.08023720315881663,0.051287308391362495,5,5,0
REVERSAL,SHALLOW_GB,f01,0.03243348729281709,0.022432569725723477,5,5,0
REVERSAL,SHALLOW_GB,f02,0.013688202967662544,0.0072329035564629865,5,5,0
REVERSAL,SHALLOW_GB,f03,0.0065654183588227735,0.012412971936154506,5,3,0
REVERSAL,SHALLOW_GB,f04,0.006380105778317496,0.007737072071176297,5,4,0
REVERSAL,SHALLOW_GB,f05,0.000457104708929072,0.0010221172020006598,5,1,0
REVERSAL,SHALLOW_GB,f06,0.0,0.0,5,0,0
REVERSAL,SHALLOW_GB,f07,0.0,0.0,5,0,0
REVERSAL,SHALLOW_GB,f08,0.002084132024514655,0.004660260880899027,5,1,0
REVERSAL,SHALLOW_GB,f09,0.0,0.0,5,0,0
REVERSAL,SHALLOW_GB,f10,0.008538863146665682,0.005942327992297028,5,4,0
REVERSAL,SHALLOW_GB,f11,0.004795272506675047,0.004116112757728183,5,5,0
REVERSAL,SHALLOW_GB,f12,0.010317345901860064,0.02307028678393798,5,1,0
REVERSAL,SHALLOW_GB,f13,0.04357114682181563,0.008184411165101883,5,5,0
REVERSAL,SHALLOW_GB,f14,0.013975437637584211,0.00501980825225971,5,5,0
REVERSAL,SHALLOW_GB,f15,0.014938597972196748,0.014610159875597935,5,5,0
REVERSAL,SHALLOW_GB,f16,0.17976107393793211,0.04047786915274403,5,5,0
REVERSAL,SHALLOW_GB,f17,0.047721492071812394,0.033751136593294276,5,5,0
REVERSAL,SHALLOW_GB,f18,0.05001325818160714,0.008659248670646016,5,5,0
REVERSAL,SHALLOW_GB,f19,0.001341190896119508,0.0029989940145270784,5,1,0
REVERSAL,SHALLOW_GB,f20,0.01787428049433818,0.010852658027255857,5,5,0
REVERSAL,SHALLOW_GB,f21,0.017610918359523164,0.016226395805588406,5,5,0
REVERSAL,SHALLOW_GB,f22,0.002906721735619522,0.004620333802880824,5,2,0
REVERSAL,SHALLOW_GB,f23,0.004871777626557647,0.0037477881902860605,5,4,0
REVERSAL,SHALLOW_GB,f24,0.002982281204547574,0.0030569264435494578,5,3,0
REVERSAL,SHALLOW_GB,f25,0.00508668092727807,0.007059501618627577,5,4,0
REVERSAL,SHALLOW_GB,f26,0.38810949867350447,0.1900533505094967,5,5,0
REVERSAL,SHALLOW_GB,f27,0.057277336140453786,0.08354431492849473,5,5,0
REVERSAL,SHALLOW_GB,f28,0.017026654184579437,0.013387255319482736,5,5,0
REVERSAL,SHALLOW_GB,f29,0.0006997112641927539,0.001127997151878509,5,2,0
REVERSAL,SHALLOW_GB,f30,0.014435482822359253,0.03227872087882581,5,1,0
REVERSAL,SHALLOW_GB,f31,0.011355926655882451,0.014849963059891239,5,4,0
REVERSAL,SHALLOW_GB,f32,0.0,0.0,5,0,0
REVERSAL,SHALLOW_GB,f33,0.02040871848231949,0.01747964295801483,5,4,0
REVERSAL,SHALLOW_GB,f34,0.0019017282882526645,0.001684261093105854,5,4,0
REVERSAL,SHALLOW_GB,f35,0.0,0.0,5,0,0
REVERSAL,SHALLOW_GB,f36,0.000870152935259361,0.0011927755877589811,5,2,0
