mode,category,invariant,checked_count,violation_count,status,formal_scope,evidence
IDEAL_EVENT_STUDY,DATA_INTEGRITY,dropped_ticks = 0,1,0,PASS,NO,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
IDEAL_EVENT_STUDY,DATA_INTEGRITY,cursor_stalls = 0,1,0,PASS,NO,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
IDEAL_EVENT_STUDY,DATA_INTEGRITY,global frontier complete with no stale symbols,1,3,FAIL,NO,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
IDEAL_EVENT_STUDY,RUN_IDENTITY,run identity and writer metadata are consistent,4,0,PASS,NO,run_id=tickshock_step14_ideal_202503;fingerprints=1
IDEAL_EVENT_STUDY,ORDER_SAFETY,research EA order rows = 0,1,0,PASS,NO,trades.csv rows=0
REALIZABLE_EA,CAUSAL,entry_quote_msc >= signal_event_msc + requested_delay_ms,7128,0,PASS,YES,independent scenario-grid comparison
REALIZABLE_EA,CAUSAL,entry_quote_msc >= signal_processing_msc + submit_latency_ms,7128,0,PASS,YES,submit_latency_ms=0; IDEAL is diagnostic-only
REALIZABLE_EA,CAUSAL,entry_quote_msc >= entry_eligible_msc,7128,0,PASS,YES,independent scenario-grid comparison
REALIZABLE_EA,CAUSAL,entry_quote_msc > signal_event_msc,7128,0,PASS,YES,same signal tick cannot fill
REALIZABLE_EA,CAUSAL,stale Detection boundary fill = 0,2508,0,PASS,YES,detection_quote_age_ms and grid clock checked separately
REALIZABLE_EA,CAUSAL,reversal signal equals invalidation time,1518,0,PASS,YES,scenario signal_event compared with event invalidation clock
REALIZABLE_EA,CAUSAL,realized RR >= requested RR (1.2),7128,0,PASS,YES,tick-rounded scenario values
REALIZABLE_EA,CAUSAL,global order violation = 0,1,0,PASS,YES,order_violations=0;max_pending=319;pending_at_summary=0
REALIZABLE_EA,CAUSAL,duplicate event = 0,19,0,PASS,YES,duplicate key is symbol + detector + detection_time_msc
REALIZABLE_EA,CAUSAL,market cluster integrity,19,0,PASS,YES,recomputed_market_clusters=15
REALIZABLE_EA,RECONCILIATION,CSV and summary reconciliation,8023,0,PASS,YES,mismatches=none
REALIZABLE_EA,RECONCILIATION,net R = gross R - commission R exactly once,7128,0,PASS,YES,commission_source=STEP13_TESTER_DEAL_FIELDS_OBSERVED_ZERO_LIVE_UNVALIDATED
REALIZABLE_EA,BROKER_CONSTRAINT,broker StopsLevel distance is respected,7128,0,PASS,YES,independent risk-distance comparison; symbol StopsLevel is preserved separately
REALIZABLE_EA,BROKER_CONSTRAINT,FreezeLevel diagnostic is clear for valid scenarios,7128,0,PASS,YES,freeze is a modification diagnostic and is not treated as StopsLevel
REALIZABLE_EA,DATA_INTEGRITY,run integrity status is VALIDATION_OK,1,1,FAIL,YES,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
REALIZABLE_EA,DATA_INTEGRITY,event_pool_exhaustions = 0,1,0,PASS,YES,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
REALIZABLE_EA,DATA_INTEGRITY,pending_capacity_hits = 0,1,0,PASS,YES,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
REALIZABLE_EA,DATA_INTEGRITY,dropped_ticks = 0,1,0,PASS,YES,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
REALIZABLE_EA,DATA_INTEGRITY,cursor_stalls = 0,1,0,PASS,YES,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
REALIZABLE_EA,DATA_INTEGRITY,global frontier complete with no stale symbols,1,3,FAIL,YES,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
REALIZABLE_EA,RUN_IDENTITY,run identity and writer metadata are consistent,4,0,PASS,YES,run_id=tickshock_step14_realizable_202503;fingerprints=1
REALIZABLE_EA,ORDER_SAFETY,research EA order rows = 0,1,0,PASS,YES,trades.csv rows=0
