period_id,variant,result_bucket,symbol,direction,session_label,entry_pattern,m15_wave2_type,m15_wave2_fib_zone,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,light,loser_or_flat,USDJPY,SHORT,new_york,head_and_shoulders,deep_pullback,deep_618_786,1,0,0.0,-24.22,0,-24.22,0.0,-1.0,-1.0,0.0,24.22,0.24219999999999997,-1.0,1,1.0,0,0.0,0,0.0,0.2287,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,new_york,head_and_shoulders,deep_pullback,shallow_236_382,1,0,0.0,-4.49,0,-4.49,0.0,-0.1815,-0.1815,0.0,4.49,0.0449,-1.0,0,0.0,0,0.0,1,1.0,0.8427,0.1976,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,tokyo,double_top,deep_pullback,preferred_382_618,1,0,0.0,-25.11,0,-25.11,0.0,-1.0079,-1.0079,0.0,25.11,0.2511,-1.0,1,1.0,0,0.0,0,0.0,0.6929,1.0079,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,tokyo,head_and_shoulders,shallow_pullback,preferred_382_618,1,0,0.0,-11.68,0,-11.68,0.0,-0.4843,-0.4843,0.0,11.68,0.1168,-1.0,0,0.0,0,0.0,1,1.0,0.435,0.6368,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,winner,EURJPY,SHORT,london,head_and_shoulders,shallow_pullback,shallow_236_382,1,1,1.0,33.16,33.16,0,inf,1.3005,1.3005,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3005,0.0939,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,EURJPY,SHORT,tokyo,head_and_shoulders,shallow_pullback,preferred_382_618,1,1,1.0,32.5,32.5,0,inf,1.3127,1.3127,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3127,0.2736,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,EURUSD,LONG,london_newyork_overlap,double_bottom,deep_pullback,preferred_382_618,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,EURUSD,LONG,london_newyork_overlap,double_bottom,fib_pullback,preferred_382_618,1,1,1.0,15.47,15.47,0,inf,0.623,0.623,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.2304,0.2147,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,winner,EURUSD,SHORT,london,head_and_shoulders,shallow_pullback,preferred_382_618,1,1,1.0,30.72,30.72,0,inf,1.3196,1.3196,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3196,0.2423,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,EURUSD,SHORT,london_newyork_overlap,head_and_shoulders,shallow_pullback,preferred_382_618,1,1,1.0,31.36,31.36,0,inf,1.3176,1.3176,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3765,0.1706,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,EURUSD,SHORT,new_york,head_and_shoulders,shallow_pullback,shallow_236_382,1,1,1.0,30.5,30.5,0,inf,1.3034,1.3034,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3034,0.0855,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,GBPJPY,SHORT,new_york,head_and_shoulders,deep_pullback,preferred_382_618,1,1,1.0,11.0,11.0,0,inf,0.4662,0.4662,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.6352,0.4014,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,winner,USDJPY,LONG,london,double_bottom,shallow_pullback,preferred_382_618,1,1,1.0,32.36,32.36,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.4755,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,winner,USDJPY,LONG,london,double_bottom,shallow_pullback,shallow_236_382,1,1,1.0,33.66,33.66,0,inf,1.3285,1.3285,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3285,0.5328,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,USDJPY,LONG,london,inverse_head_and_shoulders,fib_pullback,preferred_382_618,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,USDJPY,LONG,new_york,double_bottom,shallow_pullback,preferred_382_618,1,1,1.0,32.62,32.62,0,inf,1.2973,1.2973,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2973,0.5243,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,winner,USDJPY,SHORT,london,double_top,fib_pullback,preferred_382_618,1,1,1.0,32.72,32.72,0,inf,1.3121,1.3121,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3121,0.6208,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,USDJPY,SHORT,london,double_top,shallow_pullback,preferred_382_618,1,1,1.0,4.95,4.95,0,inf,0.209,0.209,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.9344,0.6762,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,winner,USDJPY,SHORT,london_newyork_overlap,bos_down,fib_pullback,shallow_236_382,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,USDJPY,SHORT,new_york,head_and_shoulders,fib_pullback,preferred_382_618,1,1,1.0,30.75,30.75,0,inf,1.3057,1.3057,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3599,0.0064,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,USDJPY,SHORT,tokyo,double_top,shallow_pullback,preferred_382_618,1,1,1.0,31.16,31.16,0,inf,1.2988,1.2988,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2988,0.2683,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,winner,USDJPY,SHORT,tokyo,double_top,shallow_pullback,shallow_236_382,1,1,1.0,32.36,32.36,0,inf,1.3262,1.3262,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3262,0.3048,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,winner,USDJPY,SHORT,tokyo,sweep_high_reclaim,shallow_pullback,preferred_382_618,1,1,1.0,17.19,17.19,0,inf,0.6951,0.6951,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.2988,0.4024,1.0,1.0,1.0,0.0,0.0
