period_id,variant,symbol,direction,session_label,month,weekday,entry_pattern,m5_pattern_quality_group,m15_wave1_break_type,m15_wave2_type,m15_wave2_fib_zone,exit_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,light,EURUSD,SHORT,new_york,2025-04,Wed,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,tp,1,1,1.0,30.5,30.5,0,inf,1.3034,1.3034,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3034,0.0855,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,EURUSD,SHORT,new_york,2025-05,Fri,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,time,1,0,0.0,-7.13,0,-7.13,0.0,-0.2952,-0.2952,0.0,7.13,0.0713,-1.0,0,0.0,0,0.0,1,1.0,1.2952,0.581,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,GBPJPY,LONG,london_newyork_overlap,2025-02,Fri,double_bottom,high_quality,return_high_break_or_bos_up,shallow_pullback,preferred_382_618,time,1,0,0.0,-21.38,0,-21.38,0.0,-0.8708,-0.8708,0.0,21.38,0.21379999999999996,-1.0,0,0.0,0,0.0,1,1.0,0.5129,0.9004,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,GBPJPY,LONG,new_york,2025-02,Fri,inverse_head_and_shoulders,high_quality,return_high_break_or_bos_up,deep_pullback,preferred_382_618,time,1,0,0.0,-4.78,0,-4.78,0.0,-0.2131,-0.2131,0.0,4.78,0.0478,-1.0,0,0.0,0,0.0,1,1.0,0.1829,0.2664,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,GBPJPY,LONG,new_york,2025-03,Tue,double_bottom,high_quality,return_high_break_or_bos_up,fib_pullback,preferred_382_618,time,1,0,0.0,-9.4,0,-9.4,0.0,-0.409,-0.409,0.0,9.4,0.09400000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.2553,0.5248,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,GBPJPY,SHORT,new_york,2025-03,Thu,head_and_shoulders,high_quality,return_low_break_or_bos_down,deep_pullback,preferred_382_618,time,1,1,1.0,11.0,11.0,0,inf,0.4662,0.4662,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.6352,0.4014,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,LONG,london,2025-07,Fri,double_bottom,high_quality,return_high_break_or_bos_up,shallow_pullback,preferred_382_618,tp,1,1,1.0,32.36,32.36,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.4755,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,USDJPY,LONG,london,2025-07,Thu,inverse_head_and_shoulders,high_quality,return_high_break_or_bos_up,fib_pullback,preferred_382_618,tp,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,USDJPY,LONG,london,2025-10,Wed,double_bottom,high_quality,return_high_break_or_bos_up,shallow_pullback,shallow_236_382,tp,1,1,1.0,33.66,33.66,0,inf,1.3285,1.3285,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3285,0.5328,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,USDJPY,LONG,london_newyork_overlap,2025-08,Thu,inverse_head_and_shoulders,high_quality,return_high_break_or_bos_up,shallow_pullback,shallow_236_382,time,1,0,0.0,-4.68,0,-4.68,0.0,-0.1873,-0.1873,0.0,4.68,0.0468,-1.0,0,0.0,0,0.0,1,1.0,0.2049,0.265,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,LONG,london_newyork_overlap,2025-10,Mon,inverse_head_and_shoulders,high_quality,return_high_break_or_bos_up,shallow_pullback,deep_618_786,time,1,0,0.0,-7.9,0,-7.9,0.0,-0.319,-0.319,0.0,7.9,0.079,-1.0,0,0.0,0,0.0,1,1.0,0.4267,0.3664,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,LONG,new_york,2025-01,Mon,double_bottom,high_quality,return_high_break_or_bos_up,shallow_pullback,preferred_382_618,tp,1,1,1.0,32.62,32.62,0,inf,1.2973,1.2973,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2973,0.5243,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,USDJPY,LONG,tokyo,2025-03,Fri,double_bottom,high_quality,return_high_break_or_bos_up,shallow_pullback,preferred_382_618,time,1,0,0.0,-10.96,0,-10.96,0.0,-0.4369,-0.4369,0.0,10.96,0.10960000000000002,-1.0,0,0.0,0,0.0,1,1.0,0.9563,0.5243,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london,2025-01,Mon,double_top,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,tp,1,1,1.0,32.72,32.72,0,inf,1.3121,1.3121,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3121,0.6208,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,USDJPY,SHORT,london,2025-02,Fri,head_and_shoulders,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,time,1,0,0.0,-13.69,0,-13.69,0.0,-0.5479,-0.5479,0.0,13.69,0.1369,-1.0,0,0.0,0,0.0,1,1.0,0.8032,0.5479,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london,2025-03,Fri,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,time,1,0,0.0,-3.59,0,-3.59,0.0,-0.1474,-0.1474,0.0,3.59,0.0359,-1.0,0,0.0,0,0.0,1,1.0,1.2628,0.4744,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london,2025-03,Wed,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,time,1,0,0.0,-7.73,0,-7.73,0.0,-0.3144,-0.3144,0.0,7.73,0.07730000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.1557,0.3144,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london,2025-05,Thu,sweep_high_reclaim,medium_quality,return_low_break_or_bos_down,fib_pullback,deep_618_786,full_sl,1,0,0.0,-25.48,0,-25.48,0.0,-1.0,-1.0,0.0,25.48,0.25479999999999997,-1.0,1,1.0,0,0.0,0,0.0,0.0794,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london,2025-05,Wed,double_top,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,time,1,1,1.0,4.95,4.95,0,inf,0.209,0.209,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.9344,0.6762,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london,2025-06,Wed,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,time,1,0,0.0,-7.59,0,-7.59,0.0,-0.3059,-0.3059,0.0,7.59,0.0759,-1.0,0,0.0,0,0.0,1,1.0,0.1216,0.3059,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-01,Fri,bos_down,low_quality,return_low_break_or_bos_down,fib_pullback,shallow_236_382,tp,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-01,Tue,head_and_shoulders,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,time,1,0,0.0,-18.26,0,-18.26,0.0,-0.7547,-0.7547,0.0,18.26,0.1826,-1.0,0,0.0,0,0.0,1,1.0,0.4088,0.7547,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-03,Tue,head_and_shoulders,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,time,1,0,0.0,-5.91,0,-5.91,0.0,-0.2521,-0.2521,0.0,5.91,0.05910000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.4145,0.2521,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-04,Tue,double_top,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,time,1,0,0.0,-15.11,0,-15.11,0.0,-0.5926,-0.5926,0.0,15.11,0.15109999999999998,-1.0,0,0.0,0,0.0,1,1.0,0.6593,0.7704,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-05,Tue,double_top,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,time,1,0,0.0,-5.09,0,-5.09,0.0,-0.2205,-0.2205,0.0,5.09,0.0509,-1.0,0,0.0,0,0.0,1,1.0,1.076,0.2205,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-07,Wed,double_top,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,full_sl,1,0,0.0,-26.21,0,-26.21,0.0,-1.0833,-1.0833,0.0,26.21,0.2621,-1.0,1,1.0,0,0.0,0,0.0,0.6111,1.0833,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-09,Fri,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,time,1,0,0.0,-3.41,0,-3.41,0.0,-0.1406,-0.1406,0.0,3.41,0.0341,-1.0,0,0.0,0,0.0,1,1.0,0.4922,0.1406,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-09,Wed,head_and_shoulders,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,time,1,0,0.0,-3.26,0,-3.26,0.0,-0.1345,-0.1345,0.0,3.26,0.0326,-1.0,0,0.0,0,0.0,1,1.0,0.5126,0.1345,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,london_newyork_overlap,2025-10,Thu,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,time,1,0,0.0,-9.94,0,-9.94,0.0,-0.4,-0.4,0.0,9.94,0.09939999999999999,-1.0,0,0.0,0,0.0,1,1.0,0.6424,0.4,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,new_york,2025-02,Fri,head_and_shoulders,high_quality,return_low_break_or_bos_down,deep_pullback,shallow_236_382,time,1,0,0.0,-4.49,0,-4.49,0.0,-0.1815,-0.1815,0.0,4.49,0.0449,-1.0,0,0.0,0,0.0,1,1.0,0.8427,0.1976,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,new_york,2025-03,Mon,head_and_shoulders,high_quality,return_low_break_or_bos_down,deep_pullback,deep_618_786,full_sl,1,0,0.0,-24.22,0,-24.22,0.0,-1.0,-1.0,0.0,24.22,0.24219999999999997,-1.0,1,1.0,0,0.0,0,0.0,0.2287,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,new_york,2025-04,Tue,head_and_shoulders,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,tp,1,1,1.0,30.75,30.75,0,inf,1.3057,1.3057,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3599,0.0064,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,USDJPY,SHORT,tokyo,2025-04,Tue,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,time,1,0,0.0,-11.68,0,-11.68,0.0,-0.4843,-0.4843,0.0,11.68,0.1168,-1.0,0,0.0,0,0.0,1,1.0,0.435,0.6368,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,tokyo,2025-05,Thu,double_top,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,tp,1,1,1.0,31.16,31.16,0,inf,1.2988,1.2988,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2988,0.2683,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,tokyo,2025-06,Tue,double_top,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,tp,1,1,1.0,32.36,32.36,0,inf,1.3262,1.3262,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3262,0.3048,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,USDJPY,SHORT,tokyo,2025-07,Mon,double_top,high_quality,return_low_break_or_bos_down,deep_pullback,preferred_382_618,full_sl,1,0,0.0,-25.11,0,-25.11,0.0,-1.0079,-1.0079,0.0,25.11,0.2511,-1.0,1,1.0,0,0.0,0,0.0,0.6929,1.0079,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,USDJPY,SHORT,tokyo,2025-10,Thu,sweep_high_reclaim,medium_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,time,1,1,1.0,17.19,17.19,0,inf,0.6951,0.6951,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.2988,0.4024,1.0,1.0,1.0,0.0,0.0
