name,magic,deposit,pattern,period,from,to,set,ini,trades,win_rate,avg_win_r,avg_loss_r,expectancy_r,pf,max_consecutive_losses,max_dd_r,max_dd_percent,start_balance_usd,final_balance_usd,final_equity_usd,net_profit_usd,net_profit_percent,min_equity_usd,ruin_triggered,ruin_reason,min_margin_level,effective_risk_percent_avg,effective_risk_percent_max,planned_risk_money_avg,planned_risk_points_avg_exec,planned_risk_points_med_exec,min_lot_forced_count,min_lot_forced_executable_count,blocked_effective_risk_too_high_count,margin_insufficient_count,spread_too_wide,live_order_send_failed,live_position_tracking_failed,live_sl_tp_invalid,live_lot_invalid,invalid_lot_or_risk
g039_usd_small_500_baseline_025_2026_jan_apr,2026051811,500,baseline_025,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_baseline_025_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_baseline_025_2026_jan_apr.ini,23,30.434782608695652,1.5073246474687176,-1.0111853106272561,-0.24468227990239463,0.6521599219617744,7,9.12522745176068,2.0397583395,500.0,493.09,493.09,-6.910000000000025,-1.3820000000000054,491.3,False,,0,0.19591201378695652,0.2481641952,0.9726086956521739,134.82608695652175,133.0,0,0,0,0,4,0,0,0,0,599
g039_usd_small_500_baseline_025_2024_2026,2026051812,500,baseline_025,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_baseline_025_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_baseline_025_2024_2026.ini,200,36.0,1.5294055893840435,-1.024827995831222,-0.10530390515372648,0.8394488124134003,9,30.208716986986687,6.2588540847,500.0,478.22,478.22,-21.779999999999973,-4.355999999999993,476.43,False,,0,0.1973355404345,0.2499390393,0.97465,127.89,133.0,0,0,0,0,20,0,0,0,0,4697
g039_usd_small_500_ladder_10_5_1_2025,2026051813,500,ladder_10_5_1,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_ladder_10_5_1_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_ladder_10_5_1_2025.ini,20,55.0,1.4935258322098848,-1.0368555717734695,0.35485420041737537,1.7605349397579109,3,3.16988999987411,35.82653866386112,500.0,858.95,858.95,358.95000000000005,71.78999999999999,500.0,True,small_capital_margin_insufficient_repeated,0,9.85554521789,9.9786941045,70.1015,307.0,312.0,0,0,0,1071,5,0,0,0,0,0
g039_usd_small_500_ladder_10_5_1_2026_jan_apr,2026051814,500,ladder_10_5_1,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_ladder_10_5_1_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_ladder_10_5_1_2026_jan_apr.ini,1,0.0,0.0,-1.0,-1.0,0.0,1,1.0,12.064965197215777,500.0,451.01,451.01,-48.99000000000001,-9.798000000000007,451.01,True,small_capital_margin_insufficient_repeated,0,9.798,9.798,48.99,175.0,175.0,0,0,0,436,5,0,0,0,0,0
g039_usd_small_500_ladder_10_5_1_2024_2026,2026051815,500,ladder_10_5_1,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_ladder_10_5_1_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_ladder_10_5_1_2024_2026.ini,4,50.0,1.5156546874552452,-1.2169582065306805,0.1493482404622823,1.2454451429158708,1,1.4303754840882303,20.5503222608,500.0,512.8,512.8,12.799999999999955,2.5599999999999845,451.82,True,small_capital_margin_insufficient_repeated,0,9.839730800475,9.9855560905,50.9225,199.25,182.0,0,0,0,3068,13,0,0,0,0,0
g039_usd_small_500_safer_5_2_1_2025,2026051816,500,safer_5_2_1,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_safer_5_2_1_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_safer_5_2_1_2025.ini,95,47.36842105263158,1.5020787173081604,-1.038491983420235,0.1649362432405839,1.3017633907245076,11,14.618165273474427,38.57150757659551,500.0,1098.29,1098.29,598.29,119.658,500.0,False,,0,4.312635480149473,4.9975682532,32.107157894736844,234.0421052631579,195.0,0,0,0,116,9,0,0,0,0,0
g039_usd_small_500_safer_5_2_1_2026_jan_apr,2026051817,500,safer_5_2_1,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_safer_5_2_1_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_safer_5_2_1_2026_jan_apr.ini,25,52.0,1.483036023758091,-1.0111246058974526,0.2858389215234303,1.5889459614576995,3,3.0065789473684212,17.055952745412306,500.0,668.19,668.19,168.19000000000005,33.63800000000001,475.51,True,small_capital_margin_insufficient_repeated,0,4.881049984892,4.9938053941,28.7676,225.08,175.0,0,0,0,62,7,0,0,0,0,0
g039_usd_small_500_safer_5_2_1_2024_2026,2026051818,500,safer_5_2_1,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_safer_5_2_1_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_safer_5_2_1_2024_2026.ini,14,21.428571428571427,1.3858964759168764,-1.0643581795525743,-0.5393036105234061,0.3551170775218138,8,9.5781324819947,40.3698185961,500.0,340.22,340.22,-159.77999999999997,-31.955999999999996,340.22,False,,0,4.874690600857143,4.9890627629,21.623571428571427,185.0,150.5,0,0,0,423,25,0,0,0,0,0
g039_usd_small_1000_baseline_025_2025,2026051819,1000,baseline_025,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_baseline_025_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_baseline_025_2025.ini,94,42.5531914893617,1.4989981714364693,-1.0377565229589722,0.04171355976249206,1.0699706446680313,12,15.696819004484171,3.019840498,1000.0,1004.65,1004.65,4.649999999999977,0.4650000000000043,997.15,False,,0,0.19469546214042555,0.2489866244,1.9680851063829787,187.40425531914894,177.5,0,0,0,0,10,0,0,0,0,464
g039_usd_small_1000_baseline_025_2026_jan_apr,2026051820,1000,baseline_025,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_baseline_025_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_baseline_025_2026_jan_apr.ini,38,44.73684210526316,1.4836633715495278,-1.014121140887688,0.10330877257106638,1.184336640035323,3,6.150611275204085,1.1565302125,1000.0,1007.81,1007.81,7.809999999999945,0.7809999999999873,996.97,False,,0,0.18790547215,0.2502226982,1.8905263157894736,193.55263157894737,191.5,0,0,0,0,8,0,0,0,0,61
g039_usd_small_1000_baseline_025_2024_2026,2026051821,1000,baseline_025,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_baseline_025_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_baseline_025_2024_2026.ini,295,39.32203389830509,1.516064366545847,-1.0318247494876676,-0.029942927589742867,0.9521747438954146,12,25.758666027090893,5.3220234973,1000.0,971.32,971.32,-28.67999999999995,-2.8679999999999928,956.56,False,,0,0.19619113791864407,0.2500819941,1.9175254237288135,173.25084745762712,159.0,0,0,0,0,25,0,0,0,0,1016
g039_usd_small_1000_ladder_10_5_1_2025,2026051822,1000,ladder_10_5_1,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_ladder_10_5_1_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_ladder_10_5_1_2025.ini,77,45.45454545454545,1.4985598039624528,-1.0419861604166674,0.11280745975566007,1.1984802524977969,7,10.457824209485187,42.8071943392,1000.0,1305.34,1305.34,305.3399999999999,30.533999999999995,1000.0,False,,0,4.936240926332467,4.9998364539,73.03376623376623,239.97402597402598,197.0,0,0,0,118,8,0,0,0,0,0
g039_usd_small_1000_ladder_10_5_1_2026_jan_apr,2026051823,1000,ladder_10_5_1,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_ladder_10_5_1_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_ladder_10_5_1_2026_jan_apr.ini,1,0.0,0.0,-1.0,-1.0,0.0,1,1.0,6.109251745006862,1000.0,951.01,951.01,-48.99000000000001,-4.898999999999997,951.01,True,small_capital_margin_insufficient_repeated,0,4.899,4.899,48.99,175.0,175.0,0,0,0,82,5,0,0,0,0,0
g039_usd_small_1000_ladder_10_5_1_2024_2026,2026051824,1000,ladder_10_5_1,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_ladder_10_5_1_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_ladder_10_5_1_2024_2026.ini,6,33.333333333333336,1.5156716023027101,-1.1118795042329244,-0.2360291353877129,0.6815808711881771,3,3.443977087958567,19.205790329300466,1000.0,989.01,989.01,-10.990000000000009,-1.0990000000000055,951.82,True,small_capital_margin_insufficient_repeated,0,5.742002438166667,9.9735244059,59.97333333333333,238.16666666666666,182.0,0,0,0,632,13,0,0,0,0,0
g039_usd_small_1000_safer_5_2_1_2025,2026051825,1000,safer_5_2_1,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_safer_5_2_1_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_safer_5_2_1_2025.ini,98,45.91836734693877,1.4965187626673095,-1.038139552208118,0.12573416380610883,1.2239482980983925,12,15.678792865327933,28.231912855267364,1000.0,1202.46,1202.46,202.46000000000004,20.24600000000001,1000.0,False,,0,1.9314500362295919,1.9970915341,22.56714285714286,228.21428571428572,193.0,0,0,0,0,10,0,0,0,0,0
g039_usd_small_1000_safer_5_2_1_2026_jan_apr,2026051826,1000,safer_5_2_1,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_safer_5_2_1_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_safer_5_2_1_2026_jan_apr.ini,39,46.15384615384615,1.4884768471051513,-1.0134924329962143,0.14126261935826195,1.258852316979723,3,6.149818019032114,14.53103524542252,1000.0,1136.02,1136.02,136.01999999999998,13.602000000000004,981.07,False,,0,2.0099438371897436,4.9415434169,22.552307692307693,218.33333333333334,208.0,0,0,0,0,8,0,0,0,0,0
g039_usd_small_1000_safer_5_2_1_2024_2026,2026051827,1000,safer_5_2_1,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_safer_5_2_1_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_safer_5_2_1_2024_2026.ini,82,36.58536585365854,1.475868252204502,-1.0255407279631534,-0.11039110107254776,0.8302570829010479,8,15.045982180750105,40.1340182783,1000.0,712.04,712.04,-287.96000000000004,-28.796,712.04,False,,0,3.297787379959756,4.9996132896,31.246951219512194,154.73170731707316,140.5,0,0,0,27,26,0,0,0,0,0
