"name","magic","deposit","pattern","period","from","to","set","ini"
"g039_usd_small_500_baseline_025_2026_jan_apr","2026051811","500","baseline_025","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_baseline_025_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_baseline_025_2026_jan_apr.ini"
"g039_usd_small_500_baseline_025_2024_2026","2026051812","500","baseline_025","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_baseline_025_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_baseline_025_2024_2026.ini"
"g039_usd_small_500_ladder_10_5_1_2025","2026051813","500","ladder_10_5_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_ladder_10_5_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_ladder_10_5_1_2025.ini"
"g039_usd_small_500_ladder_10_5_1_2026_jan_apr","2026051814","500","ladder_10_5_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_ladder_10_5_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_ladder_10_5_1_2026_jan_apr.ini"
"g039_usd_small_500_ladder_10_5_1_2024_2026","2026051815","500","ladder_10_5_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_ladder_10_5_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_ladder_10_5_1_2024_2026.ini"
"g039_usd_small_500_safer_5_2_1_2025","2026051816","500","safer_5_2_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_safer_5_2_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_safer_5_2_1_2025.ini"
"g039_usd_small_500_safer_5_2_1_2026_jan_apr","2026051817","500","safer_5_2_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_safer_5_2_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_safer_5_2_1_2026_jan_apr.ini"
"g039_usd_small_500_safer_5_2_1_2024_2026","2026051818","500","safer_5_2_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_safer_5_2_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_safer_5_2_1_2024_2026.ini"
"g039_usd_small_1000_baseline_025_2025","2026051819","1000","baseline_025","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_baseline_025_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_baseline_025_2025.ini"
"g039_usd_small_1000_baseline_025_2026_jan_apr","2026051820","1000","baseline_025","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_baseline_025_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_baseline_025_2026_jan_apr.ini"
"g039_usd_small_1000_baseline_025_2024_2026","2026051821","1000","baseline_025","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_baseline_025_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_baseline_025_2024_2026.ini"
"g039_usd_small_1000_ladder_10_5_1_2025","2026051822","1000","ladder_10_5_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_ladder_10_5_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_ladder_10_5_1_2025.ini"
"g039_usd_small_1000_ladder_10_5_1_2026_jan_apr","2026051823","1000","ladder_10_5_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_ladder_10_5_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_ladder_10_5_1_2026_jan_apr.ini"
"g039_usd_small_1000_ladder_10_5_1_2024_2026","2026051824","1000","ladder_10_5_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_ladder_10_5_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_ladder_10_5_1_2024_2026.ini"
"g039_usd_small_1000_safer_5_2_1_2025","2026051825","1000","safer_5_2_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_safer_5_2_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_safer_5_2_1_2025.ini"
"g039_usd_small_1000_safer_5_2_1_2026_jan_apr","2026051826","1000","safer_5_2_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_safer_5_2_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_safer_5_2_1_2026_jan_apr.ini"
"g039_usd_small_1000_safer_5_2_1_2024_2026","2026051827","1000","safer_5_2_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_1000_safer_5_2_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_1000_safer_5_2_1_2024_2026.ini"
"g039_usd_small_10000_baseline_025_2025","2026051828","10000","baseline_025","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_baseline_025_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_baseline_025_2025.ini"
"g039_usd_small_10000_baseline_025_2026_jan_apr","2026051829","10000","baseline_025","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_baseline_025_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_baseline_025_2026_jan_apr.ini"
"g039_usd_small_10000_baseline_025_2024_2026","2026051830","10000","baseline_025","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_baseline_025_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_baseline_025_2024_2026.ini"
"g039_usd_small_10000_ladder_10_5_1_2025","2026051831","10000","ladder_10_5_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_ladder_10_5_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_ladder_10_5_1_2025.ini"
"g039_usd_small_10000_ladder_10_5_1_2026_jan_apr","2026051832","10000","ladder_10_5_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_ladder_10_5_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_ladder_10_5_1_2026_jan_apr.ini"
"g039_usd_small_10000_ladder_10_5_1_2024_2026","2026051833","10000","ladder_10_5_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_ladder_10_5_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_ladder_10_5_1_2024_2026.ini"
"g039_usd_small_10000_safer_5_2_1_2025","2026051834","10000","safer_5_2_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_safer_5_2_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_safer_5_2_1_2025.ini"
"g039_usd_small_10000_safer_5_2_1_2026_jan_apr","2026051835","10000","safer_5_2_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_safer_5_2_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_safer_5_2_1_2026_jan_apr.ini"
"g039_usd_small_10000_safer_5_2_1_2024_2026","2026051836","10000","safer_5_2_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_10000_safer_5_2_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_10000_safer_5_2_1_2024_2026.ini"
