rows,positives,positive_rate,average_precision,roc_auc,model,feature_group,with_symbol,symbol_scope,fold,status,train_action_rows,validation_action_rows,train_episodes,validation_episodes,train_clusters,validation_clusters,episode_overlap,cluster_overlap,train_max_msc,validation_min_msc
816,16,0.0196078431372549,0.09474076280210006,0.8764062499999999,LOGISTIC,C_SPREAD_ACTIVITY,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.083235486291775,0.8491183879093198,LOGISTIC,C_SPREAD_ACTIVITY,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.042331615428148436,0.815045719035744,LOGISTIC,C_SPREAD_ACTIVITY,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.12431507142953302,0.8764343688776938,LOGISTIC,C_SPREAD_ACTIVITY,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.15110704289763466,0.8700781249999999,LIGHTGBM,C_SPREAD_ACTIVITY,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.18498445984888892,0.889294710327456,LIGHTGBM,C_SPREAD_ACTIVITY,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.06883550178362327,0.9004571903574398,LIGHTGBM,C_SPREAD_ACTIVITY,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.1125384475341417,0.8869997201231459,LIGHTGBM,C_SPREAD_ACTIVITY,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.09934070069135276,0.8733593749999999,LOGISTIC,D_STRUCTURE_RANGE,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.10022450399352126,0.87544080604534,LOGISTIC,D_STRUCTURE_RANGE,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.04023802693844921,0.8204488778054863,LOGISTIC,D_STRUCTURE_RANGE,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.11652624824292421,0.8882591659669745,LOGISTIC,D_STRUCTURE_RANGE,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.11322633402825891,0.8640625,LIGHTGBM,D_STRUCTURE_RANGE,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.1177125007983486,0.896095717884131,LIGHTGBM,D_STRUCTURE_RANGE,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.08003468774084024,0.8931837073981712,LIGHTGBM,D_STRUCTURE_RANGE,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.10796335208527143,0.8969353484466835,LIGHTGBM,D_STRUCTURE_RANGE,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.11028296868061892,0.887890625,LOGISTIC,E_FULL,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.08120915879399043,0.8765743073047858,LOGISTIC,E_FULL,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.04859268181753431,0.8194098088113051,LOGISTIC,E_FULL,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.10373560376011728,0.88392107472712,LOGISTIC,E_FULL,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.13731703304320658,0.875,LIGHTGBM,E_FULL,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.19947125279344038,0.9011335012594459,LIGHTGBM,E_FULL,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.11578366086326043,0.8840399002493766,LIGHTGBM,E_FULL,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.10791723331313036,0.8897285194514414,LIGHTGBM,E_FULL,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.10816393472385133,0.8766406250000001,LOGISTIC,E_FULL,True,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.08092709059745994,0.8801007556675062,LOGISTIC,E_FULL,True,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.04848214400219078,0.8171238570241064,LOGISTIC,E_FULL,True,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.10214610609907097,0.8818919675342849,LOGISTIC,E_FULL,True,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.13497518647181503,0.8733593749999999,LIGHTGBM,E_FULL,True,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.14922276883564195,0.8947103274559194,LIGHTGBM,E_FULL,True,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.07512361221320663,0.8836242726517041,LIGHTGBM,E_FULL,True,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.10882325109396708,0.8949062412538484,LIGHTGBM,E_FULL,True,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
310,11,0.035483870967741936,0.14943910482924352,0.8066281544542414,LIGHTGBM,E_FULL,False,USDJPY,1,OK,914,310,457,155,457,155,0,0,1741854651583,1741856227795
266,8,0.03007518796992481,0.21367908697845112,0.8454457364341085,LIGHTGBM,E_FULL,False,USDJPY,2,OK,1224,266,612,133,612,133,0,0,1742305411173,1742307246890
272,5,0.01838235294117647,0.36703350970017634,0.7108614232209738,LIGHTGBM,E_FULL,False,USDJPY,3,OK,1490,272,745,136,745,136,0,0,1742572655582,1742574134990
250,15,0.06,0.12051706776341786,0.7438297872340425,LIGHTGBM,E_FULL,False,USDJPY,4,OK,1762,250,881,125,881,125,0,0,1743044703142,1743045924836
408,5,0.012254901960784314,0.15324168372055696,0.8774193548387097,LIGHTGBM_CONTINUATION_ONLY,E_FULL,False,ALL,1,OK,1076,408,1076,408,1014,381,0,0,1741854894266,1741855230520
402,4,0.009950248756218905,0.552304964539007,0.9409547738693467,LIGHTGBM_CONTINUATION_ONLY,E_FULL,False,ALL,2,OK,1484,402,1484,402,1395,380,0,0,1742305716880,1742307196326
404,4,0.009900990099009901,0.3167660121552127,0.9425,LIGHTGBM_CONTINUATION_ONLY,E_FULL,False,ALL,3,OK,1886,404,1886,404,1775,381,0,0,1742572915876,1742573024652
406,11,0.027093596059113302,0.11805885245977586,0.886536248561565,LIGHTGBM_CONTINUATION_ONLY,E_FULL,False,ALL,4,OK,2290,406,2290,406,2156,381,0,0,1743045603499,1743045924836
408,11,0.02696078431372549,0.16835989794275064,0.8548202427295626,LIGHTGBM_REVERSAL_ONLY,E_FULL,False,ALL,1,OK,1076,408,1076,408,1014,381,0,0,1741854894266,1741855230520
402,6,0.014925373134328358,0.1315494927067817,0.8186026936026936,LIGHTGBM_REVERSAL_ONLY,E_FULL,False,ALL,2,OK,1484,402,1484,402,1395,380,0,0,1742305716880,1742307196326
404,2,0.0049504950495049506,0.02755065766086029,0.8470149253731344,LIGHTGBM_REVERSAL_ONLY,E_FULL,False,ALL,3,OK,1886,404,1886,404,1775,381,0,0,1742572915876,1742573024652
406,7,0.017241379310344827,0.23903800650695062,0.9319727891156462,LIGHTGBM_REVERSAL_ONLY,E_FULL,False,ALL,4,OK,2290,406,2290,406,2156,381,0,0,1743045603499,1743045924836
