"scenario","mode","entry_time","exit_time","strategy","symbol","direction","base_currency","quote_currency","base_strength","quote_strength","strength_diff","strength_rank_base","strength_rank_quote","pair_momentum_h1","pair_momentum_h4","strength_alignment","pair_alignment","entry_type","pullback_depth_atr","overextended_flag","room_to_1r","room_to_2r","failure_type","entry","exit","stop_loss","take_profit","risk_price","result_r","profit","commission","swap","net_profit","volume","reward_r","holding_bars","atr","spread_points","score","exit_reason","position_id"
"A","currency_strength_momentum","2025.01.02 12:00:00","2025.01.02 12:07:01","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-3.08900","2.40098","-5.48998","4","1","-2.52976","-1.47538","true","true","strength_momentum","0.0960","false","1.6779","1.6779","no_follow_through","162.30000000","162.50900000","162.50800000","162.05000000","0.20800000","-1.0048","-24.01","0.00","0.00","-24.01","0.180","1.200","0","0.20835714","30.00","6.456","DEAL_REASON_SL","29"
"A","currency_strength_momentum","2025.01.02 12:00:00","2025.01.02 12:18:59","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-4.12478","1.94922","-6.07400","5","2","-3.17400","-2.40576","true","true","strength_momentum","1.9001","false","0.0000","0.0000","no_follow_through","1.24815000","1.24918000","1.24918000","1.24692000","0.00103000","-1.0000","-24.72","0.00","0.00","-24.72","0.240","1.200","1","0.00102571","20.00","7.196","DEAL_REASON_SL","30"
"A","currency_strength_momentum","2025.01.02 12:30:00","2025.01.02 12:39:19","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-4.12478","1.94922","-6.07400","5","2","-3.17400","-2.40576","true","true","strength_momentum","1.1545","false","0.0000","0.0000","other","1.24799000","1.24664000","1.24910000","1.24666000","0.00111000","1.2162","29.70","0.00","0.00","29.70","0.220","1.200","0","0.00110786","20.00","7.196","DEAL_REASON_TP","33"
"A","currency_strength_momentum","2025.01.02 11:00:00","2025.01.02 12:41:55","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-1.41591","0.31022","-1.72613","5","3","-2.65782","1.21507","true","true","strength_momentum","0.6159","false","0.8118","0.8118","other","195.93100000","195.62400000","196.18600000","195.62500000","0.25500000","1.2039","29.39","0.00","0.00","29.39","0.150","1.200","6","0.25492857","38.00","2.047","DEAL_REASON_TP","28"
"A","currency_strength_momentum","2025.01.02 12:45:00","2025.01.02 13:00:04","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-4.12478","1.94922","-6.07400","5","2","-3.17400","-2.40576","true","true","strength_momentum","2.1804","false","0.0000","0.0000","other","1.24613000","1.24467000","1.24735000","1.24467000","0.00122000","1.1967","29.20","0.00","0.00","29.20","0.200","1.200","1","0.00121857","20.00","7.196","DEAL_REASON_TP","36"
"A","currency_strength_momentum","2025.01.02 13:00:00","2025.01.02 13:05:05","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-4.48825","4.06149","-8.54974","4","1","-4.32876","-2.58211","true","true","strength_momentum","3.3381","true","0.0000","0.0000","overextended_entry","1.03153000","1.03259000","1.03257000","1.03028000","0.00104000","-1.0192","-24.38","0.00","0.00","-24.38","0.230","1.200","0","0.00104071","18.00","9.933","DEAL_REASON_SL","39"
"A","currency_strength_momentum","2025.01.02 13:15:01","2025.01.02 13:38:38","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-4.48825","4.06149","-8.54974","4","1","-4.32876","-2.58211","true","true","strength_momentum","1.5629","true","0.0000","0.0000","other","1.03301000","1.03165000","1.03415000","1.03165000","0.00114000","1.1930","28.56","0.00","0.00","28.56","0.210","1.200","1","0.00113571","18.00","9.933","DEAL_REASON_TP","43"
"A","currency_strength_momentum","2025.01.02 13:45:00","2025.01.02 14:00:04","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-4.48825","4.06149","-8.54974","4","1","-4.32876","-2.58211","true","true","strength_momentum","1.4901","true","0.0000","0.0000","overextended_entry","1.03232000","1.03345000","1.03345000","1.03096000","0.00113000","-1.0000","-24.86","0.00","0.00","-24.86","0.220","1.200","1","0.00113214","18.00","9.933","DEAL_REASON_SL","46"
"A","currency_strength_momentum","2025.01.02 13:15:01","2025.01.02 14:40:54","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-5.29920","4.06149","-9.36069","5","1","-6.13947","-2.40576","true","true","strength_momentum","1.9389","true","0.0000","0.0000","other","1.24513000","1.24349000","1.24650000","1.24349000","0.00137000","1.1971","29.52","0.00","0.00","29.52","0.180","1.200","5","0.00136571","20.00","11.042","DEAL_REASON_TP","44"
"A","currency_strength_momentum","2025.01.02 12:45:00","2025.01.02 14:47:07","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-4.12478","2.40098","-6.52577","5","1","-3.61343","-1.21032","true","true","strength_momentum","0.7802","true","0.1919","0.1919","other","195.59000000","195.25900000","195.86100000","195.26500000","0.27100000","1.2214","29.49","0.00","0.00","29.49","0.140","1.200","8","0.27057143","38.00","7.485","DEAL_REASON_TP","38"
"A","currency_strength_momentum","2025.01.02 14:15:01","2025.01.02 14:57:08","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-3.60240","3.83394","-7.43634","4","1","-3.12674","-2.58211","true","true","strength_momentum","0.5202","false","1.4722","1.4722","other","1.03289000","1.03159000","1.03397000","1.03159000","0.00108000","1.2037","28.60","0.00","0.00","28.60","0.220","1.200","2","0.00108429","18.00","8.742","DEAL_REASON_TP","48"
"A","currency_strength_momentum","2025.01.02 12:45:00","2025.01.02 15:03:16","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-3.08900","2.40098","-5.48998","4","1","-2.52976","-1.47538","true","true","strength_momentum","0.2449","false","1.6509","1.6509","other","162.30100000","162.04700000","162.51300000","162.04700000","0.21200000","1.1981","29.10","0.00","0.00","29.10","0.180","1.200","9","0.21150000","30.00","6.453","DEAL_REASON_TP","37"
"A","currency_strength_momentum","2025.01.02 13:15:00","2025.01.02 15:07:11","currency_strength_momentum","USDJPY","LONG","USD","JPY","4.06149","2.06780","1.99369","1","2","-0.40619","0.26183","true","true","strength_momentum","1.4500","false","4.4568","4.4568","no_follow_through","157.15100000","156.98600000","156.98900000","157.34500000","0.16200000","-1.0185","-24.17","0.00","0.00","-24.17","0.230","1.200","7","0.16192857","18.00","2.457","DEAL_REASON_SL","42"
"A","currency_strength_momentum","2025.01.02 14:45:00","2025.01.02 15:12:16","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-4.90604","3.83394","-8.73999","5","1","-5.73856","-2.40576","true","true","strength_momentum","1.6434","true","0.0000","0.0000","other","1.24277000","1.24121000","1.24405000","1.24124000","0.00128000","1.2187","29.64","0.00","0.00","29.64","0.190","1.200","1","0.00127786","20.00","10.348","DEAL_REASON_TP","50"
"A","currency_strength_momentum","2025.01.02 15:00:00","2025.01.02 15:14:03","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-5.23219","1.49011","-6.72230","5","2","-3.94471","-1.21032","true","true","strength_momentum","2.0014","true","0.0000","0.0000","other","195.07500000","194.80600000","195.29900000","194.80600000","0.22400000","1.2009","29.13","0.00","0.00","29.13","0.170","1.200","0","0.22414286","38.00","7.731","DEAL_REASON_TP","53"
"A","currency_strength_momentum","2025.01.02 15:15:00","2025.01.02 15:26:18","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-4.03009","1.69380","-5.72389","4","2","-2.22760","-1.47538","true","true","strength_momentum","1.2777","false","0.2723","0.2723","other","162.00300000","161.77300000","162.19400000","161.77400000","0.19100000","1.2042","29.30","0.00","0.00","29.30","0.200","1.200","0","0.19057143","30.00","6.497","DEAL_REASON_TP","59"
"A","currency_strength_momentum","2025.01.02 15:15:06","2025.01.02 15:26:34","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-5.62434","1.69380","-7.31814","5","2","-3.94471","-1.21032","true","true","strength_momentum","2.7709","true","0.0000","0.0000","other","194.79500000","194.51300000","195.02900000","194.51400000","0.23400000","1.2051","28.74","0.00","0.00","28.74","0.160","1.200","0","0.23392857","38.00","8.327","DEAL_REASON_TP","61"
"A","currency_strength_momentum","2025.01.02 15:30:00","2025.01.02 15:31:07","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-5.62434","1.69380","-7.31814","5","2","-3.94471","-1.21032","true","true","strength_momentum","3.2557","true","0.0000","0.0000","overextended_entry","194.54200000","194.78600000","194.78600000","194.24900000","0.24400000","-1.0000","-24.87","0.00","0.00","-24.87","0.160","1.200","0","0.24421429","38.00","8.327","DEAL_REASON_SL","64"
"A","currency_strength_momentum","2025.01.02 15:00:00","2025.01.02 15:35:38","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-4.03009","4.23646","-8.26654","4","1","-3.71754","-2.58211","true","true","strength_momentum","0.7831","true","0.4128","0.4128","overextended_entry","1.03175000","1.03284000","1.03284000","1.03044000","0.00109000","-1.0000","-23.98","0.00","0.00","-23.98","0.220","1.200","2","0.00108929","18.00","9.577","DEAL_REASON_SL","54"
"A","currency_strength_momentum","2025.01.02 15:45:00","2025.01.02 15:56:31","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-5.62434","1.69380","-7.31814","5","2","-3.94471","-1.21032","true","true","strength_momentum","2.9725","true","0.0000","0.0000","overextended_entry","194.42700000","194.69900000","194.69400000","194.10700000","0.26700000","-1.0187","-24.25","0.00","0.00","-24.25","0.140","1.200","0","0.26671429","38.00","8.327","DEAL_REASON_SL","68"
"A","currency_strength_momentum","2025.01.02 16:00:00","2025.01.02 16:13:20","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-7.54067","3.23192","-10.77259","5","2","-5.72721","-2.51726","true","true","strength_momentum","2.2224","true","0.0000","0.0000","overextended_entry","194.51400000","194.78300000","194.78300000","194.19100000","0.26900000","-1.0000","-23.99","0.00","0.00","-23.99","0.140","1.200","0","0.26885714","38.00","12.399","DEAL_REASON_SL","70"
"A","currency_strength_momentum","2025.01.02 16:15:00","2025.01.02 16:23:03","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-7.54067","3.23192","-10.77259","5","2","-5.72721","-2.51726","true","true","strength_momentum","0.8336","true","0.0000","0.0000","other","194.79600000","194.45900000","195.07500000","194.46100000","0.27900000","1.2079","30.05","0.00","0.00","30.05","0.140","1.200","0","0.27914286","38.00","12.399","DEAL_REASON_TP","73"
"A","currency_strength_momentum","2025.01.02 15:15:00","2025.01.02 16:35:53","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-5.62434","4.23646","-9.86079","5","1","-6.78281","-2.40576","true","true","strength_momentum","2.3166","true","0.0000","0.0000","other","1.24061000","1.23899000","1.24194000","1.23901000","0.00133000","1.2180","29.16","0.00","0.00","29.16","0.180","1.200","5","0.00133429","20.00","11.664","DEAL_REASON_TP","60"
"A","currency_strength_momentum","2025.01.02 16:30:00","2025.01.02 16:46:01","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-7.54067","3.23192","-10.77259","5","2","-5.72721","-2.51726","true","true","strength_momentum","1.6877","true","0.0000","0.0000","overextended_entry","194.37800000","194.68000000","194.68000000","194.01500000","0.30200000","-1.0000","-25.01","0.00","0.00","-25.01","0.130","1.200","1","0.30242857","38.00","12.399","DEAL_REASON_SL","75"
"A","currency_strength_momentum","2025.01.02 17:00:00","2025.01.02 17:19:23","currency_strength_momentum","USDJPY","LONG","USD","JPY","4.82188","2.44765","2.37423","1","2","1.22320","-0.39256","true","true","strength_momentum","0.4113","false","3.4833","3.4833","no_follow_through","157.04100000","156.82400000","156.83200000","157.29200000","0.20900000","-1.0383","-24.91","0.00","0.00","-24.91","0.180","1.200","1","0.20907143","18.00","2.866","DEAL_REASON_SL","79"
"A","currency_strength_momentum","2025.01.02 17:00:00","2025.01.02 17:19:25","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-6.70399","1.69281","-8.39680","5","2","-3.69350","-2.51726","true","true","strength_momentum","0.0048","true","1.0351","1.0351","other","194.67700000","194.30100000","194.99000000","194.30100000","0.31300000","1.2013","28.77","0.00","0.00","28.77","0.120","1.200","1","0.31314286","38.00","9.746","DEAL_REASON_TP","80"
"A","currency_strength_momentum","2025.01.02 16:00:00","2025.01.02 17:27:11","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-4.84485","4.16556","-9.01041","4","1","-3.57428","-2.80324","true","true","strength_momentum","0.7818","true","0.0000","0.0000","other","1.03126000","1.02967000","1.03251000","1.02976000","0.00125000","1.2720","31.80","0.00","0.00","31.80","0.200","1.200","5","0.00124714","18.00","10.301","DEAL_REASON_TP","71"
"A","currency_strength_momentum","2025.01.02 16:45:00","2025.01.02 17:27:21","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-7.54067","4.16556","-11.70622","5","1","-7.33325","-3.50192","true","true","strength_momentum","1.1829","true","0.0000","0.0000","other","1.23949000","1.23792000","1.24079000","1.23793000","0.00130000","1.2077","29.83","0.00","0.00","29.83","0.190","1.200","2","0.00130357","20.00","13.850","DEAL_REASON_TP","77"
"A","currency_strength_momentum","2025.01.02 15:45:00","2025.01.02 17:27:23","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-4.03009","1.69380","-5.72389","4","2","-2.22760","-1.47538","true","true","strength_momentum","1.4475","false","0.0000","0.0000","other","161.84500000","161.56400000","162.06800000","161.57700000","0.22300000","1.2601","30.46","0.00","0.00","30.46","0.170","1.200","6","0.22292857","30.00","6.470","DEAL_REASON_TP","67"
"A","currency_strength_momentum","2025.01.02 17:30:00","2025.01.02 17:36:55","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-4.26079","1.69281","-5.95360","4","2","-1.67897","-2.20619","true","true","strength_momentum","1.3224","false","0.0000","0.0000","no_follow_through","161.47400000","161.71600000","161.71400000","161.18600000","0.24000000","-1.0083","-24.69","0.00","0.00","-24.69","0.160","1.200","0","0.23971429","30.00","6.755","DEAL_REASON_SL","87"
"A","currency_strength_momentum","2025.01.02 17:30:00","2025.01.02 17:37:08","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-6.70399","1.69281","-8.39680","5","2","-3.69350","-2.51726","true","true","strength_momentum","0.7873","true","0.0000","0.0000","overextended_entry","194.26500000","194.61700000","194.60600000","193.85500000","0.34100000","-1.0323","-24.69","0.00","0.00","-24.69","0.110","1.200","0","0.34128571","38.00","9.642","DEAL_REASON_SL","86"
"A","currency_strength_momentum","2025.01.02 17:30:00","2025.01.02 17:42:00","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-4.26079","4.77177","-9.03256","4","1","-3.78637","-2.80324","true","true","strength_momentum","2.0846","true","0.0000","0.0000","overextended_entry","1.02849000","1.02971000","1.02969000","1.02705000","0.00120000","-1.0167","-25.62","0.00","0.00","-25.62","0.210","1.200","0","0.00120357","18.00","10.361","DEAL_REASON_SL","88"
"A","currency_strength_momentum","2025.01.02 17:45:00","2025.01.02 17:59:04","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-4.26079","4.77177","-9.03256","4","1","-3.78637","-2.80324","true","true","strength_momentum","1.3066","true","0.0000","0.0000","other","1.02905000","1.02753000","1.03031000","1.02753000","0.00126000","1.2063","28.88","0.00","0.00","28.88","0.190","1.200","0","0.00126286","18.00","10.361","DEAL_REASON_TP","95"
"A","currency_strength_momentum","2025.01.02 18:00:00","2025.01.02 18:03:18","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-5.14236","5.30202","-10.44438","4","1","-5.19748","-2.80324","true","true","strength_momentum","2.1722","true","0.0000","0.0000","other","1.02733000","1.02556000","1.02869000","1.02569000","0.00136000","1.3015","31.86","0.00","0.00","31.86","0.180","1.200","0","0.00136357","18.00","12.037","DEAL_REASON_TP","97"
"A","currency_strength_momentum","2025.01.02 17:45:00","2025.01.02 18:03:19","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-4.26079","1.69281","-5.95360","4","2","-1.67897","-2.20619","true","true","strength_momentum","0.5133","false","0.0000","0.0000","other","161.62800000","161.33400000","161.87200000","161.33500000","0.24400000","1.2049","29.99","0.00","0.00","29.99","0.160","1.200","1","0.24428571","30.00","6.755","DEAL_REASON_TP","93"
"A","currency_strength_momentum","2025.01.02 17:30:00","2025.01.02 18:03:55","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-6.70399","4.77177","-11.47576","5","1","-7.13189","-3.50192","true","true","strength_momentum","1.6860","true","0.0000","0.0000","other","1.23741000","1.23566000","1.23878000","1.23576000","0.00137000","1.2774","31.50","0.00","0.00","31.50","0.180","1.200","2","0.00137429","20.00","13.582","DEAL_REASON_TP","89"
"A","currency_strength_momentum","2025.01.02 17:45:00","2025.01.02 18:11:23","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-6.70399","1.69281","-8.39680","5","2","-3.69350","-2.51726","true","true","strength_momentum","0.2489","true","0.1662","0.1662","overextended_entry","194.41100000","194.76000000","194.76000000","193.99300000","0.34900000","-1.0000","-24.48","0.00","0.00","-24.48","0.110","1.200","1","0.34871429","38.00","9.659","DEAL_REASON_SL","94"
"A","currency_strength_momentum","2025.01.02 18:15:00","2025.01.02 18:46:16","currency_strength_momentum","USDJPY","LONG","USD","JPY","5.30202","1.70744","3.59458","1","2","1.52558","-0.39256","true","true","strength_momentum","1.5013","false","1.4449","1.4449","other","157.40200000","157.70600000","157.14800000","157.70600000","0.25400000","1.1969","28.91","0.00","0.00","28.91","0.150","1.200","2","0.25364286","18.00","3.938","DEAL_REASON_TP","102"
"A","currency_strength_momentum","2025.01.02 18:15:02","2025.01.02 18:55:53","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-5.14236","1.70744","-6.84980","4","2","-2.61999","-2.20619","true","true","strength_momentum","0.7896","false","0.0000","0.0000","no_follow_through","161.46100000","161.75600000","161.75500000","161.10800000","0.29400000","-1.0034","-24.31","0.00","0.00","-24.31","0.130","1.200","2","0.29392857","30.00","7.829","DEAL_REASON_SL","103"
"A","currency_strength_momentum","2025.01.02 18:15:02","2025.01.02 22:31:51","currency_strength_momentum","GBPUSD","SHORT","GBP","USD","-6.92867","5.30202","-12.23069","5","1","-7.54282","-3.50192","true","true","strength_momentum","1.2973","true","0.0000","0.0000","overextended_entry","1.23709000","1.23855000","1.23855000","1.23534000","0.00146000","-1.0000","-24.82","0.00","0.00","-24.82","0.170","1.200","17","0.00146000","20.00","14.416","DEAL_REASON_SL","105"
"A","currency_strength_momentum","2025.01.02 18:15:02","2025.01.02 23:15:00","currency_strength_momentum","EURUSD","SHORT","EUR","USD","-5.14236","5.30202","-10.44438","4","1","-5.19748","-2.80324","true","true","strength_momentum","2.3594","true","0.0000","0.0000","overextended_entry","1.02582000","1.02643000","1.02750000","1.02381000","0.00168000","-0.3631","-9.15","0.00","0.00","-9.15","0.150","1.200","20","0.00167500","18.00","12.037","DEAL_REASON_EXPERT","104"
"A","currency_strength_momentum","2025.01.02 19:00:00","2025.01.03 00:01:00","currency_strength_momentum","USDJPY","LONG","USD","JPY","5.54947","1.35864","4.19083","1","3","2.57697","-0.39256","true","true","strength_momentum","1.6755","false","0.3953","0.3953","no_follow_through","157.66900000","157.46500000","157.41600000","157.97300000","0.25300000","-0.8063","-19.43","0.00","0.72","-18.71","0.150","1.200","20","0.25300000","16.00","4.627","DEAL_REASON_EXPERT","108"
"A","currency_strength_momentum","2025.01.02 20:45:00","2025.01.03 01:45:00","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-4.09015","0.68873","-4.77888","4","3","-1.47803","-1.72138","true","true","strength_momentum","0.2124","false","3.3628","3.3628","no_follow_through","161.64300000","161.76000000","161.86900000","161.37200000","0.22600000","-0.5177","-12.63","0.00","-1.10","-13.73","0.170","1.200","20","0.22550000","31.00","5.779","DEAL_REASON_EXPERT","109"
"A","currency_strength_momentum","2025.01.03 12:30:00","2025.01.03 14:16:30","currency_strength_momentum","USDJPY","LONG","USD","JPY","1.10183","-0.20202","1.30386","1","3","0.10141","0.77076","true","true","strength_momentum","0.0359","false","4.6417","4.6417","no_follow_through","157.28400000","157.16300000","157.16400000","157.42800000","0.12000000","-1.0083","-25.41","0.00","0.00","-25.41","0.330","1.200","7","0.11992857","16.00","1.955","DEAL_REASON_SL","114"
"A","currency_strength_momentum","2025.01.03 18:00:00","2025.01.03 18:37:16","currency_strength_momentum","USDJPY","LONG","USD","JPY","0.69423","-1.04965","1.74388","1","5","1.31669","0.56718","true","true","strength_momentum","0.9242","false","3.6000","3.6000","no_follow_through","157.40900000","157.27700000","157.28900000","157.55300000","0.12000000","-1.1000","-27.70","0.00","0.00","-27.70","0.330","1.200","2","0.12000000","16.00","2.469","DEAL_REASON_SL","116"
"A","currency_strength_momentum","2025.01.03 19:00:00","2025.01.03 21:36:22","currency_strength_momentum","GBPUSD","LONG","GBP","USD","0.80740","-0.07328","0.88068","2","3","1.59625","-0.40168","true","true","strength_momentum","1.0450","false","11.6250","11.6250","other","1.24187000","1.24312000","1.24083000","1.24312000","0.00104000","1.2019","30.00","0.00","0.00","30.00","0.240","1.200","10","0.00104500","20.00","2.241","DEAL_REASON_TP","118"
"A","currency_strength_momentum","2025.01.03 20:00:00","2025.01.03 22:46:16","currency_strength_momentum","USDJPY","SHORT","USD","JPY","-0.95188","0.20702","-1.15889","5","3","-0.43900","-0.83332","true","true","strength_momentum","0.3398","false","5.3577","5.3577","no_follow_through","157.16000000","157.31900000","157.29700000","156.99500000","0.13700000","-1.1606","-28.30","0.00","0.00","-28.30","0.280","1.200","11","0.13742857","19.00","1.962","DEAL_REASON_SL","119"
