tp_atr,max_hold_seconds,max_pre_tp_mae_atr,label,episode_count
0.3,1800,0.15,NOISY_MOVE,2635
0.3,1800,0.15,CLEAN_CONTINUATION,21
0.3,1800,0.15,CLEAN_REVERSAL,18
0.3,1800,0.15,INSUFFICIENT_MOVE,22
0.3,1800,0.2,NOISY_MOVE,2569
0.3,1800,0.2,CLEAN_CONTINUATION,48
0.3,1800,0.2,CLEAN_REVERSAL,57
0.3,1800,0.2,INSUFFICIENT_MOVE,22
0.3,1800,0.25,NOISY_MOVE,2454
0.3,1800,0.25,CLEAN_CONTINUATION,104
0.3,1800,0.25,CLEAN_REVERSAL,116
0.3,1800,0.25,INSUFFICIENT_MOVE,22
0.3,1800,0.3,NOISY_MOVE,2324
0.3,1800,0.3,CLEAN_REVERSAL,182
0.3,1800,0.3,CLEAN_CONTINUATION,168
0.3,1800,0.3,INSUFFICIENT_MOVE,22
0.3,1800,0.4,CLEAN_REVERSAL,339
0.3,1800,0.4,NOISY_MOVE,2016
0.3,1800,0.4,CLEAN_CONTINUATION,319
0.3,1800,0.4,INSUFFICIENT_MOVE,22
0.4,600,0.15,NOISY_MOVE,2624
0.4,600,0.15,CLEAN_CONTINUATION,19
0.4,600,0.15,CLEAN_REVERSAL,18
0.4,600,0.15,INSUFFICIENT_MOVE,35
0.4,600,0.2,NOISY_MOVE,2571
0.4,600,0.2,CLEAN_CONTINUATION,40
0.4,600,0.2,CLEAN_REVERSAL,50
0.4,600,0.2,INSUFFICIENT_MOVE,35
0.4,600,0.25,NOISY_MOVE,2474
0.4,600,0.25,CLEAN_CONTINUATION,84
0.4,600,0.25,CLEAN_REVERSAL,103
0.4,600,0.25,INSUFFICIENT_MOVE,35
0.4,600,0.3,NOISY_MOVE,2355
0.4,600,0.3,CLEAN_REVERSAL,162
0.4,600,0.3,CLEAN_CONTINUATION,144
0.4,600,0.3,INSUFFICIENT_MOVE,35
0.4,600,0.4,CLEAN_REVERSAL,292
0.4,600,0.4,NOISY_MOVE,2099
0.4,600,0.4,CLEAN_CONTINUATION,270
0.4,600,0.4,INSUFFICIENT_MOVE,35
0.4,900,0.15,NOISY_MOVE,2624
0.4,900,0.15,CLEAN_CONTINUATION,19
0.4,900,0.15,CLEAN_REVERSAL,18
0.4,900,0.15,INSUFFICIENT_MOVE,35
0.4,900,0.2,NOISY_MOVE,2571
0.4,900,0.2,CLEAN_CONTINUATION,40
0.4,900,0.2,CLEAN_REVERSAL,50
0.4,900,0.2,INSUFFICIENT_MOVE,35
0.4,900,0.25,NOISY_MOVE,2473
0.4,900,0.25,CLEAN_CONTINUATION,84
0.4,900,0.25,CLEAN_REVERSAL,104
0.4,900,0.25,INSUFFICIENT_MOVE,35
0.4,900,0.3,NOISY_MOVE,2352
0.4,900,0.3,CLEAN_REVERSAL,164
0.4,900,0.3,CLEAN_CONTINUATION,145
0.4,900,0.3,INSUFFICIENT_MOVE,35
0.4,900,0.4,CLEAN_REVERSAL,300
0.4,900,0.4,NOISY_MOVE,2084
0.4,900,0.4,CLEAN_CONTINUATION,277
0.4,900,0.4,INSUFFICIENT_MOVE,35
0.4,1800,0.15,NOISY_MOVE,2624
0.4,1800,0.15,CLEAN_CONTINUATION,19
0.4,1800,0.15,CLEAN_REVERSAL,18
0.4,1800,0.15,INSUFFICIENT_MOVE,35
0.4,1800,0.2,NOISY_MOVE,2571
0.4,1800,0.2,CLEAN_CONTINUATION,40
0.4,1800,0.2,CLEAN_REVERSAL,50
0.4,1800,0.2,INSUFFICIENT_MOVE,35
0.4,1800,0.25,NOISY_MOVE,2473
0.4,1800,0.25,CLEAN_CONTINUATION,84
0.4,1800,0.25,CLEAN_REVERSAL,104
0.4,1800,0.25,INSUFFICIENT_MOVE,35
0.4,1800,0.3,NOISY_MOVE,2352
0.4,1800,0.3,CLEAN_REVERSAL,164
0.4,1800,0.3,CLEAN_CONTINUATION,145
0.4,1800,0.3,INSUFFICIENT_MOVE,35
0.4,1800,0.4,CLEAN_REVERSAL,300
0.4,1800,0.4,NOISY_MOVE,2084
0.4,1800,0.4,CLEAN_CONTINUATION,277
0.4,1800,0.4,INSUFFICIENT_MOVE,35
0.5,600,0.15,NOISY_MOVE,2613
0.5,600,0.15,CLEAN_CONTINUATION,16
0.5,600,0.15,CLEAN_REVERSAL,15
0.5,600,0.15,INSUFFICIENT_MOVE,52
0.5,600,0.2,NOISY_MOVE,2566
0.5,600,0.2,CLEAN_CONTINUATION,37
0.5,600,0.2,CLEAN_REVERSAL,41
0.5,600,0.2,INSUFFICIENT_MOVE,52
0.5,600,0.25,NOISY_MOVE,2479
0.5,600,0.25,CLEAN_CONTINUATION,76
0.5,600,0.25,CLEAN_REVERSAL,89
0.5,600,0.25,INSUFFICIENT_MOVE,52
0.5,600,0.3,NOISY_MOVE,2376
0.5,600,0.3,CLEAN_REVERSAL,142
0.5,600,0.3,CLEAN_CONTINUATION,126
0.5,600,0.3,INSUFFICIENT_MOVE,52
0.5,600,0.4,CLEAN_REVERSAL,263
0.5,600,0.4,NOISY_MOVE,2152
0.5,600,0.4,CLEAN_CONTINUATION,229
0.5,600,0.4,INSUFFICIENT_MOVE,52
0.5,900,0.15,NOISY_MOVE,2612
0.5,900,0.15,CLEAN_CONTINUATION,17
0.5,900,0.15,CLEAN_REVERSAL,15
0.5,900,0.15,INSUFFICIENT_MOVE,52
0.5,900,0.2,NOISY_MOVE,2565
0.5,900,0.2,CLEAN_CONTINUATION,38
0.5,900,0.2,CLEAN_REVERSAL,41
0.5,900,0.2,INSUFFICIENT_MOVE,52
0.5,900,0.25,NOISY_MOVE,2475
0.5,900,0.25,CLEAN_CONTINUATION,77
0.5,900,0.25,CLEAN_REVERSAL,92
0.5,900,0.25,INSUFFICIENT_MOVE,52
0.5,900,0.3,NOISY_MOVE,2368
0.5,900,0.3,CLEAN_REVERSAL,147
0.5,900,0.3,CLEAN_CONTINUATION,129
0.5,900,0.3,INSUFFICIENT_MOVE,52
0.5,900,0.4,CLEAN_REVERSAL,273
0.5,900,0.4,NOISY_MOVE,2132
0.5,900,0.4,CLEAN_CONTINUATION,239
0.5,900,0.4,INSUFFICIENT_MOVE,52
0.5,1800,0.15,NOISY_MOVE,2612
0.5,1800,0.15,CLEAN_CONTINUATION,17
0.5,1800,0.15,CLEAN_REVERSAL,15
0.5,1800,0.15,INSUFFICIENT_MOVE,52
0.5,1800,0.2,NOISY_MOVE,2565
0.5,1800,0.2,CLEAN_CONTINUATION,38
0.5,1800,0.2,CLEAN_REVERSAL,41
0.5,1800,0.2,INSUFFICIENT_MOVE,52
0.5,1800,0.25,NOISY_MOVE,2475
0.5,1800,0.25,CLEAN_CONTINUATION,77
0.5,1800,0.25,CLEAN_REVERSAL,92
0.5,1800,0.25,INSUFFICIENT_MOVE,52
0.5,1800,0.3,NOISY_MOVE,2368
0.5,1800,0.3,CLEAN_REVERSAL,147
0.5,1800,0.3,CLEAN_CONTINUATION,129
0.5,1800,0.3,INSUFFICIENT_MOVE,52
0.5,1800,0.4,CLEAN_REVERSAL,274
0.5,1800,0.4,NOISY_MOVE,2128
0.5,1800,0.4,CLEAN_CONTINUATION,242
0.5,1800,0.4,INSUFFICIENT_MOVE,52
