reference_geometry,group,feature,count,mean,median,p25,p75
TP0.40_H900_MAE0.25,NOISY_MOVE,detection_efficiency,2473,0.8233740540177659,1.0,1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,detection_efficiency,84,0.8535307285307143,1.0,1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,detection_efficiency,104,0.8611437179317499,1.0,1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_MOVE,severity,188,3.845735953388378,3.6336022351755,3.0501711279359998,4.32084992929625
TP0.40_H900_MAE0.25,NOISY_MOVE,severity,2473,3.0207119884927147,2.818434536229,2.184165939726,3.528026734926
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,severity,84,3.7920051928085003,3.5447022025845003,3.005344033834,4.333580179299
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,severity,104,3.8891338753952023,3.751381445622,3.1808149592635,4.2746975582375
TP0.40_H900_MAE0.25,CLEAN_MOVE,confirmation_retention,164,0.6807379544918537,0.9875452898549999,-0.4999999999885,1.10624999999775
TP0.40_H900_MAE0.25,NOISY_MOVE,confirmation_retention,2053,0.44584492051502045,1.0,-0.0,1.0
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,confirmation_retention,72,1.143160986087611,0.98611111111,-0.04166666666675001,1.25892857142775
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,confirmation_retention,92,0.3188416688951739,0.9875452898549999,-0.7000000000075,1.0
TP0.40_H900_MAE0.25,CLEAN_MOVE,spread_efficiency_interaction,188,0.15953675089152658,0.161911776055,0.12554832329225,0.202037541815
TP0.40_H900_MAE0.25,NOISY_MOVE,spread_efficiency_interaction,2473,0.42217403884330607,0.334731014288,0.186088077299,0.608874347224
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,spread_efficiency_interaction,84,0.15098775281208332,0.1568330270945,0.12017257054475,0.2048676979745
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,spread_efficiency_interaction,104,0.16644171087876922,0.165129067766,0.13655593611425,0.19793925087225
TP0.40_H900_MAE0.25,CLEAN_MOVE,flow_efficiency_interaction,188,0.058819744898468085,0.0,-0.28038714385325003,0.49515504662949994
TP0.40_H900_MAE0.25,NOISY_MOVE,flow_efficiency_interaction,2473,0.038712108969974526,0.0,-0.299173505807,0.423772461888
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,flow_efficiency_interaction,84,0.022963130495678573,0.0,-0.31111307759449996,0.408090226682
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,flow_efficiency_interaction,104,0.08778085653149038,0.002645760319,-0.2678531402725,0.51586018889225
