population,tp_atr,max_hold_seconds,max_pre_tp_mae_atr,episodes,clusters,clean_continuation_rate,clean_reversal_rate,either_clean_rate,either_clean_ci_low,either_clean_ci_high,noisy_rate,insufficient_rate
UNSELECTED,0.4,900,0.25,1598,1522,0.02065081351689612,0.02753441802252816,0.04818523153942428,0.038337065057951605,0.05853239279291182,0.9367959949937422,0.015018773466833541
HIGH_MOVEMENT,0.4,900,0.3,185,183,0.13513513513513514,0.13513513513513514,0.2702702702702703,0.21081081081081082,0.3315508021390374,0.7297297297297297,0.0
UNSELECTED,0.4,900,0.3,1598,1522,0.04130162703379224,0.04818523153942428,0.08948685857321652,0.07610611260370595,0.1030617122062686,0.89549436795995,0.015018773466833541
HIGH_MOVEMENT,0.4,900,0.4,185,183,0.21081081081081082,0.21081081081081082,0.42162162162162165,0.35290143084260733,0.4945652173913043,0.5783783783783784,0.0
UNSELECTED,0.4,900,0.4,1598,1522,0.08448060075093868,0.09949937421777222,0.18397997496871088,0.16541353383458646,0.20214336275165476,0.8010012515644556,0.015018773466833541
HIGH_MOVEMENT,0.4,1800,0.15,185,183,0.03783783783783784,0.02702702702702703,0.06486486486486487,0.03208556149732621,0.10215053763440861,0.9351351351351351,0.0
UNSELECTED,0.4,1800,0.15,1598,1522,0.0018773466833541927,0.004380475594493116,0.006257822277847309,0.0025252126947710547,0.01059190031152648,0.9787234042553191,0.015018773466833541
HIGH_MOVEMENT,0.4,1800,0.2,185,183,0.06486486486486487,0.05945945945945946,0.12432432432432433,0.08021390374331551,0.17299647473560506,0.8756756756756757,0.0
UNSELECTED,0.4,1800,0.2,1598,1522,0.00688360450563204,0.013141426783479349,0.02002503128911139,0.014267990074441687,0.026843127879887303,0.9649561952440551,0.015018773466833541
HIGH_MOVEMENT,0.4,1800,0.25,185,183,0.10270270270270271,0.10270270270270271,0.20540540540540542,0.15135135135135136,0.26346859532343386,0.7945945945945946,0.0
UNSELECTED,0.4,1800,0.25,1598,1522,0.02065081351689612,0.02753441802252816,0.04818523153942428,0.038337065057951605,0.05853239279291182,0.9367959949937422,0.015018773466833541
HIGH_MOVEMENT,0.4,1800,0.3,185,183,0.13513513513513514,0.13513513513513514,0.2702702702702703,0.21081081081081082,0.3315508021390374,0.7297297297297297,0.0
UNSELECTED,0.4,1800,0.3,1598,1522,0.04130162703379224,0.04818523153942428,0.08948685857321652,0.07610611260370595,0.1030617122062686,0.89549436795995,0.015018773466833541
HIGH_MOVEMENT,0.4,1800,0.4,185,183,0.21081081081081082,0.21081081081081082,0.42162162162162165,0.35290143084260733,0.4945652173913043,0.5783783783783784,0.0
UNSELECTED,0.4,1800,0.4,1598,1522,0.08448060075093868,0.09949937421777222,0.18397997496871088,0.16541353383458646,0.20214336275165476,0.8010012515644556,0.015018773466833541
HIGH_MOVEMENT,0.5,600,0.15,185,183,0.03783783783783784,0.02702702702702703,0.06486486486486487,0.03208556149732621,0.10215053763440861,0.9297297297297298,0.005405405405405406
UNSELECTED,0.5,600,0.15,1598,1522,0.0018773466833541927,0.0025031289111389237,0.004380475594493116,0.0012626063473855273,0.00802073528888698,0.9730913642052565,0.02252816020025031
HIGH_MOVEMENT,0.5,600,0.2,185,183,0.06486486486486487,0.04864864864864865,0.11351351351351352,0.07027027027027027,0.16129032258064516,0.8810810810810811,0.005405405405405406
UNSELECTED,0.5,600,0.2,1598,1522,0.00688360450563204,0.009386733416770964,0.016270337922403004,0.011144822416466993,0.022458241919995514,0.9612015018773467,0.02252816020025031
HIGH_MOVEMENT,0.5,600,0.25,185,183,0.0918918918918919,0.08648648648648649,0.1783783783783784,0.12901500776263583,0.23369565217391305,0.8162162162162162,0.005405405405405406
UNSELECTED,0.5,600,0.25,1598,1522,0.02002503128911139,0.023153942428035045,0.043178973717146435,0.03379171196641205,0.05273148586518532,0.9342928660826032,0.02252816020025031
HIGH_MOVEMENT,0.5,600,0.3,185,183,0.12432432432432433,0.12432432432432433,0.24864864864864866,0.1891891891891892,0.3114754098360656,0.745945945945946,0.005405405405405406
UNSELECTED,0.5,600,0.3,1598,1522,0.03629536921151439,0.04130162703379224,0.07759699624530664,0.06504002114324549,0.09050918242517407,0.899874843554443,0.02252816020025031
HIGH_MOVEMENT,0.5,600,0.4,185,183,0.17297297297297298,0.1891891891891892,0.3621621621621622,0.2972972972972973,0.4262295081967213,0.6324324324324324,0.005405405405405406
UNSELECTED,0.5,600,0.4,1598,1522,0.07196495619524405,0.08823529411764706,0.16020025031289112,0.14223381758176512,0.1777638190954774,0.8172715894868585,0.02252816020025031
HIGH_MOVEMENT,0.5,900,0.15,185,183,0.03783783783783784,0.02702702702702703,0.06486486486486487,0.03208556149732621,0.10215053763440861,0.9297297297297298,0.005405405405405406
UNSELECTED,0.5,900,0.15,1598,1522,0.0018773466833541927,0.0025031289111389237,0.004380475594493116,0.0012626063473855273,0.00802073528888698,0.9730913642052565,0.02252816020025031
HIGH_MOVEMENT,0.5,900,0.2,185,183,0.06486486486486487,0.04864864864864865,0.11351351351351352,0.07027027027027027,0.16129032258064516,0.8810810810810811,0.005405405405405406
UNSELECTED,0.5,900,0.2,1598,1522,0.00688360450563204,0.009386733416770964,0.016270337922403004,0.011144822416466993,0.022458241919995514,0.9612015018773467,0.02252816020025031
HIGH_MOVEMENT,0.5,900,0.25,185,183,0.0918918918918919,0.0918918918918919,0.1837837837837838,0.13367206166799409,0.24067405554597188,0.8108108108108109,0.005405405405405406
UNSELECTED,0.5,900,0.25,1598,1522,0.02002503128911139,0.023779724655819776,0.04380475594493116,0.034331014691735086,0.05344959172266066,0.9336670838548186,0.02252816020025031
HIGH_MOVEMENT,0.5,900,0.3,185,183,0.12432432432432433,0.12972972972972974,0.25405405405405407,0.1945945945945946,0.3172043010752688,0.7405405405405405,0.005405405405405406
UNSELECTED,0.5,900,0.3,1598,1522,0.03754693366708386,0.0425531914893617,0.08010012515644556,0.06725002822354927,0.09300910199459977,0.8973717146433041,0.02252816020025031
HIGH_MOVEMENT,0.5,900,0.4,185,183,0.1891891891891892,0.1945945945945946,0.3837837837837838,0.31521739130434784,0.4540540540540541,0.6108108108108108,0.005405405405405406
UNSELECTED,0.5,900,0.4,1598,1522,0.07509386733416772,0.09136420525657071,0.16645807259073842,0.14870802032311792,0.1841780479680213,0.8110137672090113,0.02252816020025031
HIGH_MOVEMENT,0.5,1800,0.15,185,183,0.03783783783783784,0.02702702702702703,0.06486486486486487,0.03208556149732621,0.10215053763440861,0.9297297297297298,0.005405405405405406
UNSELECTED,0.5,1800,0.15,1598,1522,0.0018773466833541927,0.0025031289111389237,0.004380475594493116,0.0012626063473855273,0.00802073528888698,0.9730913642052565,0.02252816020025031
HIGH_MOVEMENT,0.5,1800,0.2,185,183,0.06486486486486487,0.04864864864864865,0.11351351351351352,0.07027027027027027,0.16129032258064516,0.8810810810810811,0.005405405405405406
UNSELECTED,0.5,1800,0.2,1598,1522,0.00688360450563204,0.009386733416770964,0.016270337922403004,0.011144822416466993,0.022458241919995514,0.9612015018773467,0.02252816020025031
HIGH_MOVEMENT,0.5,1800,0.25,185,183,0.0918918918918919,0.0918918918918919,0.1837837837837838,0.13367206166799409,0.24067405554597188,0.8108108108108109,0.005405405405405406
UNSELECTED,0.5,1800,0.25,1598,1522,0.02002503128911139,0.023779724655819776,0.04380475594493116,0.034331014691735086,0.05344959172266066,0.9336670838548186,0.02252816020025031
HIGH_MOVEMENT,0.5,1800,0.3,185,183,0.12432432432432433,0.12972972972972974,0.25405405405405407,0.1945945945945946,0.3172043010752688,0.7405405405405405,0.005405405405405406
UNSELECTED,0.5,1800,0.3,1598,1522,0.03754693366708386,0.0425531914893617,0.08010012515644556,0.06725002822354927,0.09300910199459977,0.8973717146433041,0.02252816020025031
HIGH_MOVEMENT,0.5,1800,0.4,185,183,0.1891891891891892,0.2,0.3891891891891892,0.32065217391304346,0.4594594594594595,0.6054054054054054,0.005405405405405406
UNSELECTED,0.5,1800,0.4,1598,1522,0.07571964956195244,0.09136420525657071,0.16708385481852314,0.1490660096926796,0.18483723750225842,0.8103879849812266,0.02252816020025031
