entry_time,exit_time,strategy,run_id,symbol,direction,parent_tf,child_tf,top_context_tf,entry_parent_event_id,entry_child_flip_event_id,entry_signal_age_bars,entry_on_first_child_flip,entry_signal_consumed,entry_signal_reused_blocked,entry_parent_wave2_age,entry_child_trend_before_flip,parent_wave2_start_mode,parent_wave2_start_reason,parent_wave2_start_delay_bars,child_anchor_mode,child_anchor_version,child_anchor_update_count,child_first_anchor_price,child_latest_anchor_price,child_anchor_used_for_flip,child_anchor_is_latest_valid,child_anchor_changed_after_initial_detection,child_swing_count,child_extension_count,child_countertrend_valid_at_entry,child_countertrend_reject_reason,child_flip_is_first_break_after_anchor,child_flip_is_fresh,signal_validation_pass,signal_validation_reject_reason,signal_reserved_before_portfolio,signal_consumption_stage,entry_reason,entry_reject_reason,h1_bias_state,h1_alignment_with_parent,h4_bias_state,h4_alignment_with_parent,fractal_alignment_count,full_fractal_alignment,session_label,utc_hour,weekday,stop_mode,entry,exit,stop_loss,take_profit,risk_price,result_r,max_favorable_r_before_exit,max_adverse_r_before_exit,reached_0_5r,reached_0_8r,reached_1_0r,reached_1_3r,bars_to_0_5r,bars_to_1_0r,bars_to_1_3r,exit_type,full_sl_exit,tp_exit,time_exit,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,deal_reason
"2025.01.24 05:40:00","2025.01.24 08:10:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1737693900|155.998","USDJPY|CHILD_FLIP|SHORT|1737696900|155.848","0","true","true","false","0","rising","2","child_countertrend_confirmed","3","latest_valid","1","0","155.84800000","155.84800000","155.84800000","true","false","4","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","true","rising","false","2","false","tokyo","2","5","child_wave_extreme","155.70100000","155.25100000","156.42599286","154.75850929","0.72499286","0.620696","0.946216","-0.066208","true","true","false","false","4","-1","-1","time","false","false","true","14.49","0.00","0.00","14.49","0.0500","1.30","30","0.18992857","DEAL_REASON_EXPERT"
"2025.01.24 08:40:00","2025.01.24 08:44:21","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1737698400|155.998","USDJPY|CHILD_FLIP|SHORT|1737707700|155.042","0","true","true","false","0","rising","2","child_countertrend_confirmed","7","latest_valid","1","0","155.04200000","155.04200000","155.04200000","true","false","4","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","true","rising","false","2","false","tokyo","5","5","child_wave_extreme","154.90200000","155.51200000","155.47275714","154.16001571","0.57075714","-1.068756","0.085851","-0.967136","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-23.54","0.00","0.00","-23.54","0.0600","1.30","0","0.11757143","DEAL_REASON_SL"
"2025.01.24 10:25:00","2025.01.24 10:30:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","EURJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","EURJPY|PARENT|SHORT|1737698400|162.348","EURJPY|CHILD_FLIP|SHORT|1737714000|162.337","0","true","true","false","0","rising","2","child_countertrend_confirmed","4","latest_valid","4","3","161.96900000","162.33700000","162.33700000","true","true","13","4","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","range","false","rising","false","1","false","tokyo","7","5","child_wave_extreme","162.31100000","162.68200000","162.66766429","161.84733643","0.35666429","-1.040194","0.072898","-0.720566","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-23.86","0.00","0.00","-23.86","0.1000","1.30","1","0.15664286","DEAL_REASON_SL"
"2025.01.24 09:05:00","2025.01.24 11:30:01","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","GBPJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","GBPJPY|PARENT|SHORT|1737698400|192.597","GBPJPY|CHILD_FLIP|SHORT|1737709200|192.527","0","true","true","false","0","rising","2","child_countertrend_confirmed","4","latest_valid","3","2","192.14200000","192.52700000","192.52700000","true","true","9","3","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","range","false","rising","false","1","false","tokyo","6","5","child_wave_extreme","192.51900000","193.31100000","193.28872143","191.51836214","0.76972143","-1.028944","0.541754","-0.858752","true","false","false","false","16","-1","-1","full_sl","true","false","false","-25.46","0.00","0.00","-25.46","0.0500","1.30","29","0.25721429","DEAL_REASON_SL"
"2025.01.24 09:35:00","2025.01.24 12:05:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","AUDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","AUDJPY|PARENT|SHORT|1737699300|97.978","AUDJPY|CHILD_FLIP|SHORT|1737711000|98.126","0","true","true","false","0","rising","2","child_countertrend_confirmed","7","latest_valid","2","1","97.95600000","98.12600000","98.12600000","true","true","10","2","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","range","false","rising","false","1","false","tokyo","6","5","child_wave_extreme","98.10500000","98.42500000","98.47146429","97.62859643","0.36646429","-0.873209","0.436605","-0.914141","false","false","false","false","-1","-1","-1","time","false","false","true","-20.58","0.00","0.00","-20.58","0.1000","1.30","30","0.14464286","DEAL_REASON_EXPERT"
"2025.01.24 16:45:00","2025.01.24 16:45:01","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","USDJPY","LONG","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|LONG|1737720000|155.711","USDJPY|CHILD_FLIP|LONG|1737736800|156.429","0","true","true","false","0","falling","2","child_countertrend_confirmed","17","latest_valid","1","0","156.42900000","156.42900000","156.42900000","true","false","8","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","false","rising","true","2","false","london_newyork_overlap","13","5","child_wave_extreme","156.46300000","156.15200000","156.18080714","156.82985071","0.28219286","-1.102083","0.000000","0.000000","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-25.89","0.00","0.00","-25.89","0.1300","1.30","0","0.10192857","DEAL_REASON_SL"
"2025.01.28 16:50:00","2025.01.28 17:23:02","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1738063800|155.513","USDJPY|CHILD_FLIP|SHORT|1738082700|155.213","0","true","true","false","0","rising","2","child_countertrend_confirmed","18","latest_valid","1","0","155.21300000","155.21300000","155.21300000","true","false","10","1","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","range","false","falling","true","2","false","london_newyork_overlap","13","2","child_wave_extreme","155.10100000","155.57800000","155.56904286","154.49254429","0.46804286","-1.019137","0.023502","-0.980679","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-24.53","0.00","0.00","-24.53","0.0800","1.30","6","0.11042857","DEAL_REASON_SL"
"2025.01.29 10:15:00","2025.01.29 12:11:20","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","USDJPY","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|SHORT|1738128600|155.423","USDJPY|CHILD_FLIP|SHORT|1738145400|155.131","0","true","true","false","0","rising","2","child_countertrend_confirmed","13","latest_valid","3","2","154.99300000","155.13100000","155.13100000","true","true","14","3","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","rising","false","range","false","1","false","tokyo","7","3","child_wave_extreme","155.12800000","155.40900000","155.40831429","154.76359143","0.28031429","-1.002446","0.388849","-0.991744","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-23.51","0.00","0.00","-23.51","0.1300","1.30","23","0.10314286","DEAL_REASON_SL"
"2025.02.03 02:30:00","2025.02.03 05:00:00","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","EURUSD","SHORT","PERIOD_M15","PERIOD_M5","PERIOD_H1","EURUSD|PARENT|SHORT|1738364400|1.03595","EURUSD|CHILD_FLIP|SHORT|1738549500|1.02426","0","true","true","false","0","rising","2","child_countertrend_confirmed","9","latest_valid","2","1","1.02338000","1.02426000","1.02426000","true","true","11","2","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","range","false","range","false","1","false","off_session","23","0","child_wave_extreme","1.02360000","1.02247000","1.02679793","1.01944269","0.00319793","0.353354","0.472181","-0.540975","false","false","false","false","-1","-1","-1","time","false","false","true","7.91","0.00","0.00","7.91","0.0700","1.30","30","0.00137929","DEAL_REASON_EXPERT"
"2025.02.05 10:20:00","2025.02.05 10:43:11","ExpectedValue_MultiCurrency_FractalWave2TransitionTrader","q1_h_base_first_child_flip_mode2","USDJPY","LONG","PERIOD_M15","PERIOD_M5","PERIOD_H1","USDJPY|PARENT|LONG|1738739700|153.455","USDJPY|CHILD_FLIP|LONG|1738750500|153.338","0","true","true","false","0","falling","2","child_countertrend_confirmed","7","latest_valid","2","1","153.44300000","153.33800000","153.33800000","true","true","7","2","true","none","true","true","true","none","true","traded","first_child_trend_flip_after_parent_wave2","none","falling","false","range","false","1","false","tokyo","7","3","child_wave_extreme","153.36400000","153.05100000","153.05418571","153.76675857","0.30981429","-1.010283","0.074238","-0.958639","false","false","false","false","-1","-1","-1","full_sl","true","false","false","-24.54","0.00","0.00","-24.54","0.1200","1.30","4","0.11814286","DEAL_REASON_SL"
