time,symbol,direction,event,regime,regime_reason,higher_tf_swing_state,ema_slope,trend_strength,volatility_state,entry_allowed_by_regime,blocked_by_regime_reason,lower_reversal_quality,pullback_depth_atr,sl_atr,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2026.02.09 06:14:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.148 range_atr=10.49 vol=low,HH_HL,5.53,0.1482,low,true,,60.00,2.64,2.30,0,,5012.81,4995.88,5033.13,0.03,16.93,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.53,2,2.52,micro_break,,17,1,1.37,24.11,36.00,60.00,0.0421,0.2000,true,false,31.0,7.36,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.09 06:14:59,XAUUSD,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.148 range_atr=10.49 vol=low,HH_HL,5.53,0.1482,low,true,,60.00,2.64,2.30,10009,order_sent,5012.81,4995.88,5033.13,0.03,16.93,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.53,2,2.52,micro_break,,17,1,1.37,24.11,36.00,60.00,0.0421,0.2000,true,false,31.0,7.36,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.10 06:34:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.732 range_atr=10.16 vol=normal,HH_HL,23.45,0.7322,normal,true,,70.00,4.80,1.49,0,,5026.43,5015.70,5039.31,0.05,10.73,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.50,1,0.63,candle_reversal,,7,1,0.27,10.12,18.00,70.00,0.0361,0.2000,true,false,26.0,7.21,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.10 06:34:59,XAUUSD,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.732 range_atr=10.16 vol=normal,HH_HL,23.45,0.7322,normal,true,,70.00,4.80,1.49,10009,order_sent,5026.43,5015.70,5039.31,0.05,10.73,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.50,1,0.63,candle_reversal,,7,1,0.27,10.12,18.00,70.00,0.0361,0.2000,true,false,26.0,7.21,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.10 06:49:59,XAUUSD,LONG,order_blocked,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.732 range_atr=10.16 vol=normal,HH_HL,23.45,0.7322,normal,true,,70.00,5.17,2.71,0,existing_position,5033.04,5015.75,5053.79,0.03,17.29,1.20,existing_position,,existing_position,true,,true,,0.00,false,0.00,1,0.49,candle_reversal,,10,1,0.49,16.81,18.00,70.00,0.0329,0.2000,true,false,21.0,6.39,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.10 23:19:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.325 range_atr=5.43 vol=normal,HH_HL,8.98,0.3253,normal,true,,70.00,5.55,1.43,0,,5028.32,5019.87,5038.46,0.06,8.45,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.00,1,2.90,candle_reversal,,24,1,1.46,10.76,18.00,70.00,0.0356,0.2000,true,false,21.0,5.90,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.10 23:19:59,XAUUSD,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.325 range_atr=5.43 vol=normal,HH_HL,8.98,0.3253,normal,true,,70.00,5.55,1.43,10009,order_sent,5028.32,5019.87,5038.46,0.06,8.45,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.00,1,2.90,candle_reversal,,24,1,1.46,10.76,18.00,70.00,0.0356,0.2000,true,false,21.0,5.90,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.11 02:04:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.268 range_atr=5.07 vol=normal,HH_HL,7.40,0.2677,normal,true,,70.00,5.83,3.15,0,,5039.53,5019.90,5063.09,0.02,19.63,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.00,1,2.43,candle_reversal,,15,1,1.24,25.96,18.00,70.00,0.0321,0.2000,true,false,20.0,6.24,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.11 02:04:59,XAUUSD,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.268 range_atr=5.07 vol=normal,HH_HL,7.40,0.2677,normal,true,,70.00,5.83,3.15,10009,order_sent,5039.53,5019.90,5063.09,0.02,19.63,1.20,all_score_passing_candidate,,,true,,true,,0.00,false,0.00,1,2.43,candle_reversal,,15,1,1.24,25.96,18.00,70.00,0.0321,0.2000,true,false,20.0,6.24,DowFractal_ThirdWave_V4_EarlyReversal
2026.02.11 03:09:59,XAUUSD,LONG,order_blocked,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.280 range_atr=4.41 vol=normal,HH_HL,7.71,0.2799,normal,true,,95.00,4.72,1.90,0,existing_position,5042.03,5027.72,5059.20,0.03,14.31,1.20,existing_position,,existing_position,true,,true,,0.00,false,1.11,1,0.99,candle_reversal,,10,1,0.07,18.70,46.00,95.00,0.0266,0.2000,true,false,20.0,7.52,DowFractal_ThirdWave_V4_EarlyReversal
