period,run,scenario,fail_reason,label,breakout_quality_label,context_quality_label,rows
2025-08,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,mixed_context,7
2025-08,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,poor_context,5
2025-08,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,clean_context,3
2025-08,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,clean_context,2
2025-08,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,mixed_context,2
2025-08,D,context_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,299
2025-08,D,context_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,104
2025-08,D,context_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,41
2025-08,D,context_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,13
2025-08,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,7
2025-08,D,context_router_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,5
2025-08,D,context_router_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,3
2025-08,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,2
2025-08,D,context_router_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,2
2025-08,E,context_router_v2_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,299
2025-08,E,context_router_v2_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,104
2025-08,E,context_router_v2_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,41
2025-08,E,context_router_v2_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,13
2025-08,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,7
2025-08,E,context_router_v2_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,5
2025-08,E,context_router_v2_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,3
2025-08,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,2
2025-08,E,context_router_v2_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,2
2025-10,A,instant_all_r12,spread_guard,neckline_break_late,unclassified,not_evaluated,11
2025-10,A,instant_all_r12,spread_guard,neckline_break_initial,unclassified,not_evaluated,3
2025-10,A,instant_all_r12,spread_guard,clean_nested_nwave_entry,unclassified,not_evaluated,3
2025-10,B,retest_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,285
2025-10,B,retest_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,99
2025-10,B,retest_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,65
2025-10,B,retest_all_r12,no_retest_detected,h1_counter_trend_nwave,unclassified,not_evaluated,27
2025-10,B,retest_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,19
2025-10,B,retest_all_r12,spread_guard,retest_confirmation_entry,unclassified,not_evaluated,3
2025-10,B,retest_all_r12,spread_guard,retest_then_go_after_return_inside,unclassified,not_evaluated,3
2025-10,C,breakout_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,235
2025-10,C,breakout_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,160
2025-10,C,breakout_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,61
2025-10,C,breakout_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,19
2025-10,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,mixed_context,10
2025-10,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,clean_context,5
2025-10,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,poor_context,4
2025-10,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,mixed_context,2
2025-10,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,clean_context,2
2025-10,C,breakout_router_all_r12,spread_guard,strong_breakout,strong_breakout,clean_context,2
2025-10,C,breakout_router_all_r12,sl_too_tight,sl_too_tight,unclassified,not_evaluated,1
2025-10,C,breakout_router_all_r12,spread_guard,strong_breakout,strong_breakout,mixed_context,1
2025-10,D,context_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,235
2025-10,D,context_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,160
2025-10,D,context_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,61
2025-10,D,context_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,19
2025-10,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,10
2025-10,D,context_router_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,4
2025-10,D,context_router_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,2
2025-10,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,2
2025-10,D,context_router_all_r12,spread_guard,strong_breakout_clean_context,strong_breakout,clean_context,2
2025-10,D,context_router_all_r12,sl_too_tight,sl_too_tight,unclassified,not_evaluated,1
2025-10,D,context_router_all_r12,spread_guard,strong_breakout_mixed_context,strong_breakout,mixed_context,1
2025-10,D,context_router_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,1
2025-10,E,context_router_v2_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,235
2025-10,E,context_router_v2_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,160
2025-10,E,context_router_v2_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,61
2025-10,E,context_router_v2_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,19
2025-10,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,10
2025-10,E,context_router_v2_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,4
2025-10,E,context_router_v2_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,2
2025-10,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,2
2025-10,E,context_router_v2_all_r12,spread_guard,strong_breakout_clean_context,strong_breakout,clean_context,2
2025-10,E,context_router_v2_all_r12,sl_too_tight,sl_too_tight,unclassified,not_evaluated,1
2025-10,E,context_router_v2_all_r12,context_router_v2_weak_body_too_small,weak_breakout_clean_context_body_too_small,weak_breakout,clean_context,1
2025-10,E,context_router_v2_all_r12,spread_guard,strong_breakout_mixed_context,strong_breakout,mixed_context,1
2025-10,E,context_router_v2_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,1
2026-Q1,A,instant_all_r12,spread_guard,neckline_break_late,unclassified,not_evaluated,31
2026-Q1,A,instant_all_r12,spread_guard,neckline_break_initial,unclassified,not_evaluated,8
2026-Q1,A,instant_all_r12,spread_guard,clean_nested_nwave_entry,unclassified,not_evaluated,5
2026-Q1,A,instant_all_r12,spread_guard,chasing_after_break,unclassified,not_evaluated,1
2026-Q1,B,retest_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,1281
2026-Q1,B,retest_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,302
2026-Q1,B,retest_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,153
2026-Q1,B,retest_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,65
2026-Q1,B,retest_all_r12,no_retest_detected,h1_counter_trend_nwave,unclassified,not_evaluated,56
2026-Q1,B,retest_all_r12,spread_guard,retest_then_go_after_return_inside,unclassified,not_evaluated,7
2026-Q1,B,retest_all_r12,spread_guard,retest_confirmation_entry,unclassified,not_evaluated,6
2026-Q1,B,retest_all_r12,sl_too_tight,sl_too_tight,unclassified,not_evaluated,1
2026-Q1,C,breakout_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,1160
2026-Q1,C,breakout_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,379
2026-Q1,C,breakout_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,174
2026-Q1,C,breakout_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,64
2026-Q1,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,mixed_context,35
2026-Q1,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,clean_context,24
2026-Q1,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,clean_context,21
2026-Q1,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,poor_context,19
2026-Q1,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,mixed_context,9
2026-Q1,C,breakout_router_all_r12,sl_too_tight,sl_too_tight,unclassified,not_evaluated,4
2026-Q1,C,breakout_router_all_r12,spread_guard,strong_breakout,strong_breakout,clean_context,3
2026-Q1,C,breakout_router_all_r12,spread_guard,weak_breakout_retest_confirmed,weak_breakout,mixed_context,1
2026-Q1,C,breakout_router_all_r12,router_retest_requires_weak_breakout,dirty_breakout,dirty_breakout,poor_context,1
2026-Q1,D,context_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,1160
2026-Q1,D,context_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,379
2026-Q1,D,context_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,174
2026-Q1,D,context_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,64
2026-Q1,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,35
2026-Q1,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,21
2026-Q1,D,context_router_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,19
2026-Q1,D,context_router_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,9
2026-Q1,D,context_router_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,9
2026-Q1,D,context_router_all_r12,sl_too_tight,sl_too_tight,unclassified,not_evaluated,4
2026-Q1,D,context_router_all_r12,spread_guard,strong_breakout_clean_context,strong_breakout,clean_context,3
2026-Q1,D,context_router_all_r12,spread_guard,weak_breakout_mixed_context_retest_confirmed,weak_breakout,mixed_context,1
2026-Q1,D,context_router_all_r12,context_router_retest_context_block,dirty_breakout_poor_context,dirty_breakout,poor_context,1
2026-Q1,E,context_router_v2_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,1160
2026-Q1,E,context_router_v2_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,379
2026-Q1,E,context_router_v2_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,174
2026-Q1,E,context_router_v2_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,64
2026-Q1,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,35
2026-Q1,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,21
2026-Q1,E,context_router_v2_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,19
2026-Q1,E,context_router_v2_all_r12,context_router_v2_weak_body_too_small,weak_breakout_clean_context_body_too_small,weak_breakout,clean_context,9
2026-Q1,E,context_router_v2_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,9
2026-Q1,E,context_router_v2_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,5
2026-Q1,E,context_router_v2_all_r12,sl_too_tight,sl_too_tight,unclassified,not_evaluated,4
2026-Q1,E,context_router_v2_all_r12,spread_guard,strong_breakout_clean_context,strong_breakout,clean_context,3
2026-Q1,E,context_router_v2_all_r12,spread_guard,weak_breakout_mixed_context_retest_confirmed,weak_breakout,mixed_context,1
2026-Q1,E,context_router_v2_all_r12,context_router_retest_context_block,dirty_breakout_poor_context,dirty_breakout,poor_context,1
