time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor,structural_bos_mode,structural_bos_state,m15_confirmation_type,h1_bos_level,h1_counter_nwave_high,h1_counter_nwave_low,distance_bos_to_entry,distance_bos_to_entry_atr,bars_since_bos,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,h1_counter_wave_atr,h4_correction_depth,true_bos_level,bos_level_source_pivot,room_to_1r,room_to_2r,room_to_target_label,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,bos_level_type,m15_trigger_type,nearest_obstacle_type,nearest_obstacle_price,cond_h4_bias_ma,cond_h4_dow_bias,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_m15_close_bos,cond_room_to_1r,cond_room_to_2r,cond_sl_atr_ok
2024.01.23 14:29:59,order_attempt,XAUUSD,LONG,server_08_15,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,2024.30,2022.17,2028.56,0.23,2.13,2.00,213.0,1.85,426.0,3.69,2030.55,2025.50,2022.35,1,5.41,1.69,0.1559,18.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2030.55,2037.86,2022.35,0.00,0.00,1,,high_latest@2024.01.23 11:30=2030.55000|low_latest@2024.01.23 13:15=2022.35000|bos@2024.01.23 11:30=2030.55000,0.00,7.84,0.00,2030.55,h1_last_lower_high,6.37,3.18,room_to_2r_ok,none,ma_bias_fail,dow_bias_pass,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,2037.86,false,true,false,true,true,true,true,true,false,true,true,true
2024.01.23 14:29:59,order_sent,XAUUSD,LONG,server_08_15,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,2024.30,2022.17,2028.56,0.23,2.13,2.00,213.0,1.85,426.0,3.69,2030.55,2025.50,2022.35,1,5.41,1.69,0.1559,18.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2030.55,2037.86,2022.35,0.00,0.00,1,,high_latest@2024.01.23 11:30=2030.55000|low_latest@2024.01.23 13:15=2022.35000|bos@2024.01.23 11:30=2030.55000,0.00,7.84,0.00,2030.55,h1_last_lower_high,6.37,3.18,room_to_2r_ok,none,ma_bias_fail,dow_bias_pass,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_prev_extreme_bos,h1_counter_high,2037.86,false,true,false,true,true,true,true,true,false,true,true,true
2024.01.25 15:19:59,order_attempt,XAUUSD,SHORT,server_08_15,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,2017.39,2019.64,2012.89,0.22,2.25,2.00,225.0,1.90,450.0,3.80,2017.03,2015.24,2019.46,1,0.30,1.75,0.1522,18.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2017.03,2019.46,2012.70,0.00,0.00,1,,high_latest@2024.01.25 13:00=2019.46000|low_latest@2024.01.25 12:30=2017.03000|bos@2024.01.25 12:30=2017.03000,0.00,3.84,0.00,2017.03,h1_last_higher_low,2.08,1.04,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_true_bos_close,h1_counter_low,2012.70,true,false,false,true,true,true,true,false,true,true,true,true
2024.01.25 15:19:59,order_sent,XAUUSD,SHORT,server_08_15,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,2017.39,2019.64,2012.89,0.22,2.25,2.00,225.0,1.90,450.0,3.80,2017.03,2015.24,2019.46,1,0.30,1.75,0.1522,18.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2017.03,2019.46,2012.70,0.00,0.00,1,,high_latest@2024.01.25 13:00=2019.46000|low_latest@2024.01.25 12:30=2017.03000|bos@2024.01.25 12:30=2017.03000,0.00,3.84,0.00,2017.03,h1_last_higher_low,2.08,1.04,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_true_bos_close,h1_counter_low,2012.70,true,false,false,true,true,true,true,false,true,true,true,true
2024.01.31 21:44:59,order_attempt,EURUSD,LONG,server_16_23,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,1.08583,1.08399,1.08951,0.27,0.00184,2.00,184.0,1.60,368.0,3.21,1.08520,1.08559,1.08413,1,0.55,1.48,0.1220,14.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.08520,1.08575,1.08413,0.00000,0.00,1,,high_latest@2024.01.31 20:00=1.08520|low_latest@2024.01.31 19:15=1.08413|bos@2024.01.31 20:00=1.08520,0.00,1.55,0.00,1.08520,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_true_bos_close,no_known_obstacle,0.00000,true,false,false,true,true,true,true,false,true,true,true,true
2024.01.31 21:44:59,order_sent,EURUSD,LONG,server_16_23,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,1.08583,1.08399,1.08951,0.27,0.00184,2.00,184.0,1.60,368.0,3.21,1.08520,1.08559,1.08413,1,0.55,1.48,0.1220,14.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,1.08520,1.08575,1.08413,0.00000,0.00,1,,high_latest@2024.01.31 20:00=1.08520|low_latest@2024.01.31 19:15=1.08413|bos@2024.01.31 20:00=1.08520,0.00,1.55,0.00,1.08520,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_fail,unknown,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_true_bos_close,no_known_obstacle,0.00000,true,false,false,true,true,true,true,false,true,true,true,true
2024.02.06 14:39:59,order_attempt,XAUUSD,SHORT,server_08_15,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,2026.27,2027.76,2023.29,0.33,1.49,2.00,149.0,1.61,298.0,3.21,2022.88,2024.88,2027.58,1,3.65,1.41,0.1940,18.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2022.88,2027.58,2022.87,0.00,0.00,1,,high_latest@2024.02.06 13:30=2027.58000|low_latest@2024.02.06 13:00=2022.88000|bos@2024.02.06 13:00=2022.88000,0.00,2.74,0.00,2022.88,h1_last_higher_low,2.28,1.14,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,2022.87,true,false,false,true,true,true,true,true,false,true,true,true
2024.02.06 14:39:59,order_sent,XAUUSD,SHORT,server_08_15,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,unknown,none,counter_nwave_pass,condition_factorial_candidate,2026.27,2027.76,2023.29,0.33,1.49,2.00,149.0,1.61,298.0,3.21,2022.88,2024.88,2027.58,1,3.65,1.41,0.1940,18.0,128.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.00,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,2022.88,2027.58,2022.87,0.00,0.00,1,,high_latest@2024.02.06 13:30=2027.58000|low_latest@2024.02.06 13:00=2022.88000|bos@2024.02.06 13:00=2022.88000,0.00,2.74,0.00,2022.88,h1_last_higher_low,2.28,1.14,room_to_2r_ok,none,ma_bias_pass,dow_bias_fail,unknown,pullback_up,prev_extreme_break,counter_nwave_pass,last_higher_low,m15_prev_extreme_bos,h1_counter_low,2022.87,true,false,false,true,true,true,true,true,false,true,true,true
2024.02.09 10:55:00,order_attempt,GBPJPY,LONG,server_08_15,0,,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,valid_h4_pullback_zone,none,counter_nwave_pass,condition_factorial_candidate,188.595,188.405,188.975,0.38,0.190,2.00,190.0,2.00,380.0,4.00,188.522,188.584,188.416,1,0.77,1.89,0.1159,11.0,144.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,188.522,188.573,188.416,0.000,0.00,1,A_low@2024.02.08 16:00=187.77600|B_high@2024.02.08 21:00=188.48200|C_low@2024.02.09 00:00=188.16400,high_latest@2024.02.09 06:45=188.52200|low_latest@2024.02.09 09:15=188.41600|bos@2024.02.09 06:45=188.52200,4.93,1.48,45.04,188.522,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_true_bos_close,no_known_obstacle,0.000,true,true,true,true,true,true,true,false,true,true,true,true
2024.02.09 10:55:00,order_sent,GBPJPY,LONG,server_08_15,10009,order_sent,Nested_Fixed_Room2R_LowerTF,fixed_room2r_lower_tf,,,valid_h4_pullback_zone,none,counter_nwave_pass,condition_factorial_candidate,188.595,188.405,188.975,0.38,0.190,2.00,190.0,2.00,380.0,4.00,188.522,188.584,188.416,1,0.77,1.89,0.1159,11.0,144.00,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,false,not_evaluated,,0.00,false,false,false,false,condition_factorial_candidate,not_evaluated,188.522,188.573,188.416,0.000,0.00,1,A_low@2024.02.08 16:00=187.77600|B_high@2024.02.08 21:00=188.48200|C_low@2024.02.09 00:00=188.16400,high_latest@2024.02.09 06:45=188.52200|low_latest@2024.02.09 09:15=188.41600|bos@2024.02.09 06:45=188.52200,4.93,1.48,45.04,188.522,h1_last_lower_high,0.00,0.00,no_known_obstacle,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,pullback_down,prev_extreme_break,counter_nwave_pass,last_lower_high,m15_true_bos_close,no_known_obstacle,0.000,true,true,true,true,true,true,true,false,true,true,true,true
