time,event,symbol,direction,session,entry_selection_mode,scan_interval,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,h4_impulse_pass,h4_pullback_zone_pass,h1_counter_trend_pass,neckline_pass,structure_sl_pass,rr_pass,spread_guard_pass,spread_guard_blocked,setup_pass,entry_pass,final_entry_pass,h4_impulse_high,h4_impulse_low,h4_fib_retracement_pct,h4_atr,h1_atr,m15_atr,spread_atr,spread_points,neckline_price,neckline_break_close_price,right_side_level,entry_price,sl,tp,volume,risk_r,rr,bars_since_right_side,distance_neckline_to_entry,distance_neckline_to_entry_atr,distance_right_side_to_entry,distance_right_side_to_entry_atr,sl_points,sl_atr,tp_points,tp_atr,quality_score,retest_confirmation_mode,retest_detected,retest_held,retest_trigger_pass,retest_failed,original_neckline_break_time,retest_detected_time,retest_trigger_time,retest_bars_after_breakout,entry_delay_bars,retest_depth_atr,retest_zone_atr,retest_reclaim_price,retest_distance_from_neckline_atr,false_break_return_inside_neckline,retest_quality,retest_failure_reason,breakout_quality_router_mode,breakout_quality_label,breakout_quality_reason,breakout_quality_pass,breakout_strong,breakout_weak,breakout_dirty,breakout_close_distance_from_neckline_atr,breakout_close_distance_from_neckline_points,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,context_quality_router_mode,context_quality_label,context_quality_reason,context_quality_score,context_clean,context_mixed,context_poor
2025.08.13 17:49:59,blocked_candidate,EURJPY,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,173.005,171.537,38.56,0.422,0.200,0.122,0.2455,30.0,172.456,172.476,172.219,172.432,172.189,172.724,0.30,0.243,1.20,3,0.024,0.20,0.213,1.74,243.0,1.99,292.0,2.39,70.78,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.16,20.0,0.25,0.13,0.53,0.45,0.55,9,false,not_evaluated,,0.00,false,false,false
2025.08.14 14:04:59,blocked_candidate,EURUSD,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,1.17295,1.15978,46.92,0.00297,0.00109,0.00077,0.2333,18.0,1.16861,1.16947,1.16798,1.16937,1.16780,1.17125,0.32,0.00157,1.20,5,0.00076,0.99,0.00139,1.80,157.0,2.04,188.0,2.44,66.33,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,1.11,86.0,0.78,0.65,0.83,0.02,0.98,9,false,not_evaluated,,0.00,false,false,false
2025.08.14 14:19:59,blocked_candidate,EURUSD,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,1.17295,1.15978,46.92,0.00297,0.00109,0.00076,0.2360,18.0,1.16861,1.16931,1.16798,1.16909,1.16780,1.17064,0.38,0.00129,1.20,6,0.00048,0.63,0.00111,1.46,129.0,1.69,155.0,2.03,68.60,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.92,70.0,0.28,0.21,0.76,0.19,0.53,9,false,not_evaluated,,0.00,false,false,false
2025.08.21 17:19:59,final_entry_candidate,GBPJPY,SHORT,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,199.432,197.842,50.06,0.532,0.280,0.190,0.1996,38.0,198.909,198.840,199.214,198.921,199.252,198.524,0.22,0.331,1.20,13,0.012,0.06,0.293,1.54,331.0,1.74,397.0,2.09,63.21,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.36,69.0,0.87,2.32,2.67,0.05,0.08,5,false,not_evaluated,,0.00,false,false,false
2025.08.21 17:19:59,order_sent,GBPJPY,SHORT,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,true,false,true,true,true,199.432,197.842,50.06,0.532,0.280,0.190,0.1996,38.0,198.909,198.840,199.214,198.921,199.252,198.524,0.22,0.331,1.20,13,0.012,0.06,0.293,1.54,331.0,1.74,397.0,2.09,63.21,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.36,69.0,0.87,2.32,2.67,0.05,0.08,5,false,not_evaluated,,0.00,false,false,false
2025.08.26 07:04:59,blocked_candidate,AUDJPY,LONG,server_00_07,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,95.941,95.130,58.69,0.266,0.152,0.096,0.2912,28.0,95.654,95.655,95.533,95.656,95.505,95.837,0.48,0.151,1.20,4,0.002,0.02,0.123,1.28,151.0,1.57,181.0,1.88,104.53,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.01,1.0,0.23,0.10,0.45,0.16,0.84,3,false,not_evaluated,,0.00,false,false,false
2025.08.26 14:49:59,blocked_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_nested_nwave_entry,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,40.18,0.488,0.255,0.112,0.3408,38.0,198.845,198.821,199.000,198.820,199.038,198.558,0.33,0.218,1.20,3,0.025,0.22,0.180,1.61,218.0,1.96,262.0,2.35,121.41,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.22,24.0,0.65,1.02,1.58,0.14,0.86,9,false,not_evaluated,,0.00,false,false,false
2025.08.26 15:19:59,blocked_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,40.18,0.488,0.256,0.116,0.3276,38.0,198.845,198.752,199.000,198.783,199.038,198.477,0.28,0.255,1.20,5,0.062,0.53,0.217,1.87,255.0,2.20,306.0,2.64,97.69,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.80,93.0,0.70,1.09,1.56,0.25,0.75,9,false,not_evaluated,,0.00,false,false,false
2025.08.26 15:34:59,blocked_candidate,GBPJPY,SHORT,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,40.18,0.488,0.256,0.118,0.3226,38.0,198.845,198.793,199.000,198.847,199.038,198.618,0.38,0.191,1.20,6,0.002,0.02,0.153,1.30,191.0,1.62,229.0,1.94,71.90,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.44,52.0,0.39,0.37,0.93,0.20,0.40,10,false,not_evaluated,,0.00,false,false,false
2025.08.26 16:19:59,blocked_candidate,EURUSD,LONG,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_initial,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,true,true,true,true,true,true,false,true,true,false,false,1.17418,1.15822,60.28,0.00402,0.00193,0.00080,0.2240,18.0,1.16467,1.16476,1.16363,1.16435,1.16345,1.16543,0.55,0.00090,1.20,11,0.00032,0.40,0.00072,0.90,90.0,1.12,108.0,1.34,87.06,false,false,false,false,false,,,,0,0,0.00,0.00,0.00000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.11,9.0,0.19,0.29,1.47,0.05,0.95,7,false,not_evaluated,,0.00,false,false,false
2025.08.26 18:19:59,blocked_candidate,GBPJPY,SHORT,server_16_23,all_score_passing,300,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,spread_guard,spread_guard,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,clean_nested_nwave_entry,true,true,true,true,true,true,false,true,true,false,false,199.282,198.259,58.65,0.498,0.235,0.138,0.2764,38.0,198.794,198.756,199.038,198.791,199.076,198.449,0.25,0.285,1.20,4,0.003,0.02,0.247,1.80,285.0,2.07,342.0,2.49,124.55,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.28,38.0,0.43,0.28,0.65,0.57,0.43,12,false,not_evaluated,,0.00,false,false,false
2025.08.28 13:49:59,blocked_candidate,GBPJPY,LONG,server_08_15,all_score_passing,300,Nested_NWave_NecklineBreak,neckline_break_late,spread_guard,spread_guard,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,true,true,true,true,true,true,false,true,true,false,false,199.173,198.357,61.27,0.399,0.241,0.108,0.4335,47.0,198.686,198.693,198.597,198.740,198.550,198.968,0.38,0.190,1.20,4,0.054,0.50,0.143,1.32,190.0,1.75,228.0,2.10,67.26,false,false,false,false,false,,,,0,0,0.00,0.00,0.000,0.00,false,not_applicable,,false,unclassified,,false,false,false,false,0.06,7.0,0.50,0.55,1.12,0.36,0.15,18,false,not_evaluated,,0.00,false,false,false
