entry_selection_mode,period,breakout_quality_reason,candidates,hypothetical_wins,hypothetical_losses,hypothetical_win_rate,hypothetical_net_profit,hypothetical_profit_factor,hypothetical_expected_payoff,hypothetical_avg_R,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct,same_bar_ambiguous,fx_hypothetical_net,xauusd_hypothetical_net,long_hypothetical_net,short_hypothetical_net
BEST_ONLY,2025-10,shallow_close_distance|sl_too_wide_for_router,1,1,0,100.0,64.76,,64.76,2.0,2.298,0.776,100.0,100.0,100.0,0.0,0,0,64.76,64.76,0
BEST_ONLY,2025-10,shallow_close_distance|weak_directional_close,1,0,1,0.0,-43.08,0.0,-43.08,-1.0,1.667,1.174,100.0,100.0,0.0,100.0,0,-43.08,0,0,-43.08
BEST_ONLY,2025-10,shallow_close_distance|weak_directional_close|large_directional_wick,3,2,1,66.67,143.37,4.054,47.79,1.0,1.995,0.496,100.0,100.0,66.67,33.33,0,143.37,0,94.42,48.95
BEST_ONLY,2025-10,shallow_close_distance|weak_directional_close|sl_too_wide_for_router,1,0,1,0.0,-47.2,0.0,-47.2,-1.0,0.367,1.022,0.0,0.0,0.0,100.0,0,-47.2,0,0,-47.2
BEST_ONLY,2025-10,sl_too_wide_for_router,4,1,3,25.0,-52.7,0.637,-13.17,-0.25,0.894,1.01,50.0,25.0,25.0,100.0,0,-52.7,0,-4.94,-47.76
BEST_ONLY,2025-10,weak_directional_close,1,1,0,100.0,96.64,,96.64,2.0,2.05,0.925,100.0,100.0,100.0,100.0,0,0,96.64,96.64,0
BEST_ONLY,2025-10,weak_directional_close|large_directional_wick,1,0,1,0.0,-47.04,0.0,-47.04,-1.0,0.006,1.015,0.0,0.0,0.0,100.0,0,0,-47.04,-47.04,0
BEST_ONLY,2025-10,weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,1,0,100.0,99.61,,99.61,2.0,2.234,0.614,100.0,100.0,100.0,0.0,0,99.61,0,0,99.61
BEST_ONLY,2025-10,weak_directional_close|sl_too_wide_for_router,2,0,2,0.0,-96.44,0.0,-48.22,-1.0,0.487,1.293,50.0,0.0,0.0,50.0,0,-96.44,0,-48.9,-47.54
BEST_ONLY,2026-Q1,instant_entry_quality,8,3,5,37.5,83.31,1.403,10.41,0.125,1.264,1.086,75.0,62.5,37.5,87.5,0,165.51,-82.2,-37.16,120.47
BEST_ONLY,2026-Q1,large_directional_wick,3,2,1,66.67,151.99,4.326,50.66,1.0,1.942,0.678,100.0,100.0,66.67,0.0,0,151.99,0,197.69,-45.7
BEST_ONLY,2026-Q1,large_directional_wick|sl_too_wide_for_router,2,0,2,0.0,-98.0,0.0,-49.0,-1.0,1.194,1.052,50.0,50.0,0.0,0.0,0,-98.0,0,0,-98.0
BEST_ONLY,2026-Q1,route_to_retest_confirmation,35,10,25,28.57,-222.04,0.807,-6.34,-0.143,1.192,1.1,71.43,54.29,25.71,65.71,0,148.34,-370.38,-203.55,-18.49
BEST_ONLY,2026-Q1,shallow_close_distance,10,2,8,20.0,-172.76,0.533,-17.28,-0.4,1.156,1.257,70.0,40.0,20.0,90.0,0,-92.37,-80.39,-231.14,58.38
BEST_ONLY,2026-Q1,shallow_close_distance|large_directional_wick,1,0,1,0.0,-49.03,0.0,-49.03,-1.0,0.796,1.179,100.0,0.0,0.0,100.0,0,-49.03,0,-49.03,0
BEST_ONLY,2026-Q1,shallow_close_distance|sl_too_wide_for_router,2,0,2,0.0,-97.23,0.0,-48.62,-1.0,0.248,1.208,0.0,0.0,0.0,100.0,0,-97.23,0,-97.23,0
BEST_ONLY,2026-Q1,shallow_close_distance|sl_too_wide_for_router|entry_far_from_neckline,1,0,1,0.0,-47.84,0.0,-47.84,-1.0,0.072,1.077,0.0,0.0,0.0,100.0,0,-47.84,0,0,-47.84
BEST_ONLY,2026-Q1,shallow_close_distance|weak_directional_close,3,0,3,0.0,-146.27,0.0,-48.76,-1.0,0.522,1.052,33.33,0.0,0.0,100.0,0,-146.27,0,-97.07,-49.2
BEST_ONLY,2026-Q1,shallow_close_distance|weak_directional_close|large_directional_wick,6,3,3,50.0,131.17,1.909,21.86,0.5,1.714,0.731,83.33,83.33,50.0,50.0,0,102.13,29.04,27.7,103.47
BEST_ONLY,2026-Q1,sl_too_wide_for_router,9,2,7,22.22,-117.4,0.626,-13.04,-0.333,1.243,1.04,77.78,66.67,22.22,55.56,0,-88.08,-29.32,-142.89,25.49
BEST_ONLY,2026-Q1,weak_directional_close,18,6,12,33.33,51.2,1.095,2.84,0.0,1.179,1.015,77.78,50.0,33.33,66.67,0,160.37,-109.17,-92.12,143.32
BEST_ONLY,2026-Q1,weak_directional_close|large_directional_wick,10,2,8,20.0,-158.26,0.554,-15.83,-0.4,1.002,1.111,70.0,30.0,20.0,80.0,0,-89.16,-69.1,-70.12,-88.14
BEST_ONLY,2026-Q1,weak_directional_close|large_directional_wick|sl_too_wide_for_router,5,2,3,40.0,53.44,1.388,10.69,0.2,1.391,0.937,80.0,80.0,40.0,60.0,0,96.15,-42.71,49.96,3.48
BEST_ONLY,2026-Q1,weak_directional_close|sl_too_wide_for_router,5,0,5,0.0,-233.93,0.0,-46.79,-1.0,1.593,1.238,100.0,100.0,0.0,0.0,0,-194.26,-39.67,-88.46,-145.47
BEST_ONLY,2026-Q1,weak_directional_close|sl_too_wide_for_router|entry_far_from_neckline,1,0,1,0.0,-48.62,0.0,-48.62,-1.0,0.0,1.133,0.0,0.0,0.0,100.0,0,-48.62,0,-48.62,0
