variant,reward_r,reversal_signal_type,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_all_signals,1.3,micro_break,20,20,16,4,80.0,810.67,5.188,40.53,0.84,96.31,0.96,80.0,20.0,0,0,0,0,0.589,1.271,8746466000.0,11370405800.0,0.169
v4_all_signals,1.3,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,14495000000.0,0.04
v4_all_signals,1.5,candle_reversal,80,80,37,43,46.25,988.11,1.477,12.35,0.156,407.87,3.6,46.25,53.75,0,0,0,0,0.807,1.124,17589342375.0,26384013562.5,0.124
v4_all_signals,1.5,confirmed_fractal_reclaim,3,3,1,2,33.33,-16.91,0.8,-5.64,-0.167,84.54,0.84,33.33,66.67,0,0,0,0,1.009,0.7,21960000000.0,32940000000.0,0.027
v4_all_signals,1.5,early_higher_low,49,49,19,30,38.78,-29.38,0.979,-0.6,-0.017,497.55,4.75,38.78,59.18,0,0,0,0,0.993,1.016,8637775510.204,12956663265.306,0.119
v4_all_signals,1.5,early_lower_high,41,41,19,22,46.34,345.19,1.304,8.42,0.158,202.57,1.94,46.34,51.22,0,0,0,0,0.781,1.075,18324739756.098,27487109634.146,0.172
v4_all_signals,1.5,micro_break,20,20,15,5,75.0,839.57,4.443,41.98,0.875,96.31,0.96,75.0,25.0,0,0,0,0,0.598,1.372,8746466000.0,13119699000.0,0.169
v4_all_signals,1.5,momentum_turn,1,1,0,1,0.0,-44.6,0.0,-44.6,-1.0,44.6,0.45,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,16725000000.0,0.04
v4_candle_reversal_only,1.2,candle_reversal,123,123,67,56,54.47,1534.89,1.573,12.48,0.198,399.56,3.39,54.47,45.53,0,0,0,0,0.752,1.015,16566702357.724,19880042829.268,0.118
v4_candle_reversal_only,1.3,candle_reversal,123,123,62,61,50.41,1316.67,1.45,10.7,0.159,446.49,3.84,50.41,49.59,0,0,0,0,0.784,1.067,16566702357.724,21536713065.041,0.118
v4_candle_reversal_only,1.5,candle_reversal,123,123,58,65,47.15,1492.25,1.478,12.13,0.179,446.49,3.81,47.15,52.85,0,0,0,0,0.814,1.146,16566702357.724,24850053536.585,0.118
v4_micro_break_only,1.2,micro_break,68,68,36,32,52.94,459.32,1.296,6.75,0.165,233.11,2.22,52.94,45.59,1,0,0,0,0.77,1.024,14859878970.588,17831854764.706,0.103
v4_micro_break_only,1.3,micro_break,68,68,33,35,48.53,337.65,1.201,4.97,0.116,233.11,2.22,48.53,50.0,0,0,0,0,0.804,1.1,14859878970.588,19317842661.765,0.103
v4_micro_break_only,1.5,micro_break,68,68,30,38,44.12,305.59,1.168,4.49,0.103,233.11,2.22,44.12,54.41,0,0,0,0,0.834,1.145,14859878970.588,22289818455.882,0.103
v4_micro_or_candle,1.2,candle_reversal,104,104,55,49,52.88,1188.87,1.511,11.43,0.163,490.9,4.23,52.88,47.12,0,0,0,0,0.762,1.004,16917542115.385,20301050538.462,0.119
v4_micro_or_candle,1.2,micro_break,38,38,24,14,63.16,696.91,1.988,18.34,0.389,154.0,1.48,63.16,36.84,0,0,0,0,0.716,1.109,12252916842.105,14703500210.526,0.121
v4_micro_or_candle,1.3,candle_reversal,104,104,52,52,50.0,1142.83,1.462,10.99,0.15,579.38,4.97,50.0,50.0,0,0,0,0,0.787,1.062,16917542115.385,21992804750.0,0.119
v4_micro_or_candle,1.3,micro_break,38,38,23,15,60.53,686.24,1.902,18.06,0.392,154.0,1.47,60.53,39.47,0,0,0,0,0.725,1.196,12252916842.105,15928791894.737,0.121
v4_micro_or_candle,1.5,candle_reversal,104,104,48,56,46.15,1221.47,1.459,11.74,0.154,549.82,4.7,46.15,53.85,0,0,0,0,0.823,1.144,16917542115.385,25376313173.077,0.119
v4_micro_or_candle,1.5,micro_break,38,38,22,16,57.89,779.33,1.959,20.51,0.447,187.45,1.78,57.89,42.11,0,0,0,0,0.729,1.263,12252916842.105,18379375263.158,0.121
v4_without_weak_signals,1.2,candle_reversal,94,94,48,46,51.06,888.53,1.404,9.45,0.123,388.9,3.47,51.06,48.94,0,0,0,0,0.793,1.009,16250823297.872,19500987957.447,0.118
v4_without_weak_signals,1.2,early_lower_high,41,41,21,20,51.22,243.89,1.228,5.95,0.127,298.82,2.85,51.22,46.34,0,0,0,0,0.741,0.941,18324739756.098,21989687707.317,0.173
v4_without_weak_signals,1.2,micro_break,31,31,21,10,67.74,733.23,2.536,23.65,0.49,96.98,0.92,67.74,32.26,0,0,0,0,0.668,1.14,9994816774.194,11993780129.032,0.127
v4_without_weak_signals,1.3,candle_reversal,94,94,45,49,47.87,807.21,1.344,8.59,0.101,475.96,4.25,47.87,52.13,0,0,0,0,0.821,1.064,16250823297.872,21126070287.234,0.118
v4_without_weak_signals,1.3,early_lower_high,41,41,19,22,46.34,129.06,1.111,3.15,0.066,273.47,2.64,46.34,51.22,0,0,0,0,0.781,0.981,18324739756.098,23822161682.927,0.173
v4_without_weak_signals,1.3,micro_break,31,31,21,10,67.74,834.12,2.747,26.91,0.558,96.98,0.92,67.74,32.26,0,0,0,0,0.668,1.235,9994816774.194,12993261806.452,0.127
v4_without_weak_signals,1.5,candle_reversal,94,94,43,51,45.74,1063.0,1.435,11.31,0.144,443.59,3.88,45.74,54.26,0,0,0,0,0.838,1.142,16250823297.872,24376234946.809,0.118
v4_without_weak_signals,1.5,early_lower_high,41,41,19,22,46.34,328.33,1.282,8.01,0.158,222.77,2.13,46.34,51.22,0,0,0,0,0.781,1.075,18324739756.098,27487109634.146,0.173
v4_without_weak_signals,1.5,micro_break,31,31,20,11,64.52,906.36,2.713,29.24,0.613,136.51,1.29,64.52,35.48,0,0,0,0,0.674,1.305,9994816774.194,14992225161.29,0.127
