variant,sl_mode,symbol,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_all_signals,CURRENT_SL,GBPUSD,18,18,5,13,27.78,-336.48,0.502,-18.69,-0.361,481.56,4.75,27.78,72.22,0,0,0,0,0.944,0.82,2773333.333,3697777.778,0.21
v4_all_signals,CURRENT_SL,USDJPY,90,90,42,48,46.67,431.83,1.185,4.8,0.107,599.16,5.63,46.67,50.0,0,0,0,0,0.749,1.026,262000000.0,349333333.333,0.357
v4_all_signals,CURRENT_SL,XAUUSD,432,432,209,223,48.38,3769.21,1.356,8.73,0.127,1156.45,7.81,48.38,51.62,0,0,0,0,0.851,1.014,19604583333.333,26139444444.444,0.063
v4_all_signals,LOWER_TF_REVERSAL_SL,EURJPY,6,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0.0,0.0
v4_all_signals,LOWER_TF_REVERSAL_SL,EURUSD,18,18,15,3,83.33,924.53,6.515,51.36,0.943,167.64,1.68,83.33,0.0,0,0,0,0,0.353,1.363,1325000.0,1766666.667,0.499
v4_all_signals,LOWER_TF_REVERSAL_SL,GBPJPY,18,15,6,9,40.0,-60.77,0.87,-4.05,-0.067,300.15,3.0,33.33,50.0,0,0,0,3,0.819,0.833,378400000.0,504533333.333,0.262
v4_all_signals,LOWER_TF_REVERSAL_SL,GBPUSD,18,18,5,13,27.78,-336.48,0.502,-18.69,-0.361,481.56,4.75,27.78,72.22,0,0,0,0,0.972,0.835,2711666.667,3615555.556,0.215
v4_all_signals,LOWER_TF_REVERSAL_SL,USDJPY,90,78,33,45,42.31,17.57,1.008,0.23,0.017,655.33,6.39,35.56,43.33,0,0,9,3,0.762,0.923,269038461.538,358717948.718,0.337
v4_all_signals,LOWER_TF_REVERSAL_SL,XAUUSD,432,390,197,193,50.51,4072.8,1.468,10.44,0.174,1183.61,7.96,42.36,41.9,0,6,30,6,0.838,1.02,17558384615.385,23411179487.179,0.063
v4_all_signals,MID_TF_STRUCTURE_SL,EURJPY,6,6,6,0,100.0,412.82,,68.8,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.304,1.477,335000000.0,446666666.667,0.255
v4_all_signals,MID_TF_STRUCTURE_SL,EURUSD,18,18,15,3,83.33,924.53,6.515,51.36,0.943,167.64,1.68,83.33,0.0,0,0,0,0,0.355,1.353,1233333.333,1644444.444,0.518
v4_all_signals,MID_TF_STRUCTURE_SL,GBPJPY,18,18,9,9,50.0,138.89,1.298,7.72,0.167,300.15,2.94,50.0,50.0,0,0,0,0,0.844,1.059,343000000.0,457333333.333,0.278
v4_all_signals,MID_TF_STRUCTURE_SL,GBPUSD,18,18,5,13,27.78,-336.48,0.502,-18.69,-0.361,481.56,4.75,27.78,72.22,0,0,0,0,0.944,0.82,2773333.333,3697777.778,0.21
v4_all_signals,MID_TF_STRUCTURE_SL,USDJPY,90,90,42,48,46.67,431.83,1.185,4.8,0.107,599.16,5.63,46.67,50.0,0,0,0,0,0.749,1.026,262000000.0,349333333.333,0.357
v4_all_signals,MID_TF_STRUCTURE_SL,XAUUSD,432,432,209,223,48.38,3769.21,1.356,8.73,0.127,1156.45,7.81,48.38,51.62,0,0,0,0,0.851,1.014,19604583333.333,26139444444.444,0.063
v4_candle_reversal_only,CURRENT_SL,EURJPY,3,3,3,0,100.0,213.26,,71.09,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.362,1.402,480000000.0,640000000.0,0.17
v4_candle_reversal_only,CURRENT_SL,EURUSD,9,9,9,0,100.0,659.13,,73.24,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.196,1.609,1176666.667,1568888.889,0.48
v4_candle_reversal_only,CURRENT_SL,GBPJPY,12,12,3,9,25.0,-253.6,0.451,-21.13,-0.417,296.91,2.97,25.0,75.0,0,0,0,0,1.027,0.749,281250000.0,375000000.0,0.325
v4_candle_reversal_only,CURRENT_SL,GBPUSD,12,12,6,6,50.0,102.15,1.327,8.51,0.167,161.19,1.57,50.0,50.0,0,0,0,0,0.831,0.944,2465000.0,3286666.667,0.24
v4_candle_reversal_only,CURRENT_SL,USDJPY,45,45,25,20,55.56,630.69,1.624,14.02,0.289,757.14,7.1,55.56,44.44,0,0,0,0,0.7,1.215,282400000.0,376533333.333,0.303
v4_candle_reversal_only,CURRENT_SL,XAUUSD,288,288,141,147,48.96,2992.18,1.431,10.39,0.139,1235.83,8.69,48.96,51.04,0,0,0,0,0.807,1.054,21165104166.667,28220138888.889,0.063
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,EURJPY,3,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,EURUSD,9,6,6,0,100.0,439.53,,73.26,1.333,0.0,0.0,66.67,0.0,0,0,3,0,0.109,1.636,1075000.0,1433333.333,0.521
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,GBPJPY,12,12,3,9,25.0,-253.6,0.451,-21.13,-0.417,296.91,2.97,25.0,75.0,0,0,0,0,0.966,0.678,319500000.0,426000000.0,0.295
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,GBPUSD,12,12,6,6,50.0,102.15,1.327,8.51,0.167,161.19,1.57,50.0,50.0,0,0,0,0,0.891,0.999,2252500.0,3003333.333,0.269
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,USDJPY,45,36,19,17,52.78,361.95,1.419,10.05,0.222,609.12,5.93,42.22,37.78,0,0,6,3,0.702,1.153,251833333.333,335777777.778,0.353
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,XAUUSD,288,234,118,116,50.43,2661.47,1.513,11.37,0.175,961.35,7.22,38.54,37.15,0,9,45,0,0.77,1.031,19261153846.154,25681538461.538,0.063
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,EURJPY,3,3,3,0,100.0,213.26,,71.09,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.362,1.402,480000000.0,640000000.0,0.17
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,EURUSD,9,9,9,0,100.0,659.13,,73.24,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.196,1.609,1176666.667,1568888.889,0.48
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,GBPJPY,12,12,3,9,25.0,-253.6,0.451,-21.13,-0.417,296.91,2.97,25.0,75.0,0,0,0,0,1.027,0.749,281250000.0,375000000.0,0.325
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,GBPUSD,12,12,6,6,50.0,102.15,1.327,8.51,0.167,161.19,1.57,50.0,50.0,0,0,0,0,0.831,0.944,2465000.0,3286666.667,0.24
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,USDJPY,45,45,25,20,55.56,630.69,1.624,14.02,0.289,757.14,7.1,55.56,44.44,0,0,0,0,0.7,1.215,282400000.0,376533333.333,0.303
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,XAUUSD,288,288,141,147,48.96,2992.18,1.431,10.39,0.139,1235.83,8.69,48.96,51.04,0,0,0,0,0.807,1.054,21165104166.667,28220138888.889,0.063
v4_micro_break_only,CURRENT_SL,EURUSD,9,9,7,2,77.78,355.47,4.526,39.5,0.8,100.8,0.98,77.78,22.22,0,0,0,0,0.357,1.36,1756666.667,2342222.222,0.307
v4_micro_break_only,CURRENT_SL,GBPJPY,3,3,3,0,100.0,186.56,,62.19,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.035,1.428,649000000.0,865333333.333,0.11
v4_micro_break_only,CURRENT_SL,GBPUSD,6,6,2,4,33.33,-72.99,0.632,-12.17,-0.25,198.59,1.96,33.33,16.67,0,0,0,0,0.945,1.096,3250000.0,4333333.333,0.21
v4_micro_break_only,CURRENT_SL,USDJPY,24,24,12,12,50.0,201.45,1.343,8.39,0.167,149.34,1.47,50.0,50.0,0,0,0,0,0.863,0.95,292625000.0,390166666.667,0.337
v4_micro_break_only,CURRENT_SL,XAUUSD,162,162,75,87,46.3,432.07,1.104,2.67,0.077,980.5,8.59,46.3,53.7,1,0,0,0,0.827,1.089,18656851851.852,24875802469.136,0.052
v4_micro_break_only,LOWER_TF_REVERSAL_SL,EURUSD,9,9,7,2,77.78,355.47,4.526,39.5,0.8,100.8,0.98,77.78,22.22,0,0,0,0,0.352,1.379,1940000.0,2586666.667,0.271
v4_micro_break_only,LOWER_TF_REVERSAL_SL,GBPJPY,3,3,3,0,100.0,186.56,,62.19,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.035,1.428,649000000.0,865333333.333,0.11
v4_micro_break_only,LOWER_TF_REVERSAL_SL,GBPUSD,6,6,2,4,33.33,-72.99,0.632,-12.17,-0.25,198.59,1.96,33.33,66.67,0,0,0,0,0.951,1.138,3015000.0,4020000.0,0.215
v4_micro_break_only,LOWER_TF_REVERSAL_SL,USDJPY,24,18,12,6,66.67,468.43,2.611,26.02,0.522,146.76,1.47,45.83,25.0,0,0,6,0,0.738,1.099,296000000.0,394666666.667,0.31
v4_micro_break_only,LOWER_TF_REVERSAL_SL,XAUUSD,162,135,66,69,48.89,709.85,1.23,5.26,0.145,507.59,4.53,37.04,37.04,0,0,21,6,0.832,1.055,17008888888.889,22678518518.519,0.056
v4_micro_break_only,MID_TF_STRUCTURE_SL,EURUSD,9,9,7,2,77.78,355.47,4.526,39.5,0.8,100.8,0.98,77.78,22.22,0,0,0,0,0.357,1.36,1756666.667,2342222.222,0.307
v4_micro_break_only,MID_TF_STRUCTURE_SL,GBPJPY,3,3,3,0,100.0,186.56,,62.19,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.035,1.428,649000000.0,865333333.333,0.11
v4_micro_break_only,MID_TF_STRUCTURE_SL,GBPUSD,6,6,2,4,33.33,-72.99,0.632,-12.17,-0.25,198.59,1.96,33.33,16.67,0,0,0,0,0.945,1.096,3250000.0,4333333.333,0.21
v4_micro_break_only,MID_TF_STRUCTURE_SL,USDJPY,24,24,12,12,50.0,201.45,1.343,8.39,0.167,149.34,1.47,50.0,50.0,0,0,0,0,0.863,0.95,292625000.0,390166666.667,0.337
v4_micro_break_only,MID_TF_STRUCTURE_SL,XAUUSD,162,162,75,87,46.3,432.07,1.104,2.67,0.077,980.5,8.59,46.3,53.7,1,0,0,0,0.827,1.089,18656851851.852,24875802469.136,0.052
v4_micro_or_candle,CURRENT_SL,EURJPY,3,3,3,0,100.0,213.5,,71.17,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.362,1.402,480000000.0,640000000.0,0.17
v4_micro_or_candle,CURRENT_SL,EURUSD,12,12,10,2,83.33,621.84,6.608,51.82,0.933,110.88,1.08,83.33,16.67,0,0,0,0,0.306,1.444,1547500.0,2063333.333,0.407
v4_micro_or_candle,CURRENT_SL,GBPJPY,15,15,6,9,40.0,-37.55,0.919,-2.5,-0.067,296.91,2.97,40.0,60.0,0,0,0,0,0.829,0.885,354800000.0,473066666.667,0.288
v4_micro_or_candle,CURRENT_SL,GBPUSD,12,12,5,7,41.67,-27.7,0.925,-2.31,-0.042,203.43,2.01,41.67,58.33,0,0,0,0,0.85,0.938,2507500.0,3343333.333,0.235
v4_micro_or_candle,CURRENT_SL,USDJPY,54,54,31,23,57.41,879.38,1.756,16.28,0.333,707.62,6.63,57.41,42.59,0,0,0,0,0.73,1.183,286944444.444,382592592.593,0.324
v4_micro_or_candle,CURRENT_SL,XAUUSD,330,330,169,161,51.21,4066.18,1.533,12.32,0.193,1205.28,7.96,51.21,48.79,0,0,0,0,0.795,1.089,20160000000.0,26880000000.0,0.064
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,EURJPY,3,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,EURUSD,12,12,10,2,83.33,621.84,6.608,51.82,0.933,110.88,1.08,83.33,16.67,0,0,0,0,0.302,1.458,1685000.0,2246666.667,0.378
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,GBPJPY,15,15,6,9,40.0,-37.55,0.919,-2.5,-0.067,296.91,2.97,40.0,60.0,0,0,0,0,0.78,0.828,385400000.0,513866666.667,0.263
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,GBPUSD,12,12,5,7,41.67,-27.7,0.925,-2.31,-0.042,203.43,2.01,41.67,58.33,0,0,0,0,0.91,0.993,2295000.0,3060000.0,0.265
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,USDJPY,54,48,28,20,58.33,800.67,1.789,16.68,0.342,602.25,5.86,50.0,37.04,0,0,3,3,0.697,1.135,273875000.0,365166666.667,0.337
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,XAUUSD,330,276,147,129,53.26,4003.53,1.706,14.51,0.248,1119.42,7.63,41.52,34.55,0,9,42,3,0.749,1.066,18547282608.696,24729710144.928,0.063
v4_micro_or_candle,MID_TF_STRUCTURE_SL,EURJPY,3,3,3,0,100.0,213.5,,71.17,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.362,1.402,480000000.0,640000000.0,0.17
v4_micro_or_candle,MID_TF_STRUCTURE_SL,EURUSD,12,12,10,2,83.33,621.84,6.608,51.82,0.933,110.88,1.08,83.33,16.67,0,0,0,0,0.306,1.444,1547500.0,2063333.333,0.407
v4_micro_or_candle,MID_TF_STRUCTURE_SL,GBPJPY,15,15,6,9,40.0,-37.55,0.919,-2.5,-0.067,296.91,2.97,40.0,60.0,0,0,0,0,0.829,0.885,354800000.0,473066666.667,0.288
v4_micro_or_candle,MID_TF_STRUCTURE_SL,GBPUSD,12,12,5,7,41.67,-27.7,0.925,-2.31,-0.042,203.43,2.01,41.67,58.33,0,0,0,0,0.85,0.938,2507500.0,3343333.333,0.235
v4_micro_or_candle,MID_TF_STRUCTURE_SL,USDJPY,54,54,31,23,57.41,879.38,1.756,16.28,0.333,707.62,6.63,57.41,42.59,0,0,0,0,0.73,1.183,286944444.444,382592592.593,0.324
v4_micro_or_candle,MID_TF_STRUCTURE_SL,XAUUSD,330,330,169,161,51.21,4066.18,1.533,12.32,0.193,1205.28,7.96,51.21,48.79,0,0,0,0,0.795,1.089,20160000000.0,26880000000.0,0.064
v4_without_weak_signals,CURRENT_SL,EURJPY,3,3,3,0,100.0,226.35,,75.45,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.367,1.424,433000000.0,577333333.333,0.2
v4_without_weak_signals,CURRENT_SL,EURUSD,18,18,15,3,83.33,950.56,6.67,52.81,0.943,167.64,1.68,83.33,0.0,0,0,0,0,0.355,1.353,1233333.333,1644444.444,0.527
v4_without_weak_signals,CURRENT_SL,GBPJPY,15,15,6,9,40.0,-33.53,0.928,-2.24,-0.067,296.91,2.97,40.0,60.0,0,0,0,0,0.868,0.891,347800000.0,463733333.333,0.29
v4_without_weak_signals,CURRENT_SL,GBPUSD,18,18,5,13,27.78,-357.82,0.489,-19.88,-0.361,497.28,4.9,27.78,72.22,0,0,0,0,0.944,0.82,2773333.333,3697777.778,0.217
v4_without_weak_signals,CURRENT_SL,USDJPY,72,72,36,36,50.0,547.05,1.302,7.6,0.162,687.18,6.43,50.0,50.0,0,0,0,0,0.749,1.063,267291666.667,356388888.889,0.349
v4_without_weak_signals,CURRENT_SL,XAUUSD,372,372,192,180,51.61,4601.12,1.527,12.37,0.202,1287.87,8.21,51.61,48.39,0,0,0,0,0.795,1.091,20807419354.839,27743225806.452,0.061
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,EURJPY,3,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,EURUSD,18,18,15,3,83.33,950.56,6.67,52.81,0.943,167.64,1.68,83.33,0.0,0,0,0,0,0.353,1.363,1325000.0,1766666.667,0.507
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,GBPJPY,15,15,6,9,40.0,-33.53,0.928,-2.24,-0.067,296.91,2.97,40.0,60.0,0,0,0,0,0.819,0.833,378400000.0,504533333.333,0.265
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,GBPUSD,18,18,5,13,27.78,-357.82,0.489,-19.88,-0.361,497.28,4.9,27.78,72.22,0,0,0,0,0.972,0.835,2711666.667,3615555.556,0.222
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,USDJPY,72,66,33,33,50.0,531.55,1.332,8.05,0.173,490.97,4.77,44.44,41.67,0,0,3,3,0.71,0.986,270136363.636,360181818.182,0.335
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,XAUUSD,372,318,172,146,54.09,4820.4,1.734,15.16,0.267,1206.0,7.78,43.28,35.22,0,9,42,3,0.749,1.095,18936603773.585,25248805031.447,0.061
v4_without_weak_signals,MID_TF_STRUCTURE_SL,EURJPY,3,3,3,0,100.0,226.35,,75.45,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.367,1.424,433000000.0,577333333.333,0.2
v4_without_weak_signals,MID_TF_STRUCTURE_SL,EURUSD,18,18,15,3,83.33,950.56,6.67,52.81,0.943,167.64,1.68,83.33,0.0,0,0,0,0,0.355,1.353,1233333.333,1644444.444,0.527
v4_without_weak_signals,MID_TF_STRUCTURE_SL,GBPJPY,15,15,6,9,40.0,-33.53,0.928,-2.24,-0.067,296.91,2.97,40.0,60.0,0,0,0,0,0.868,0.891,347800000.0,463733333.333,0.29
v4_without_weak_signals,MID_TF_STRUCTURE_SL,GBPUSD,18,18,5,13,27.78,-357.82,0.489,-19.88,-0.361,497.28,4.9,27.78,72.22,0,0,0,0,0.944,0.82,2773333.333,3697777.778,0.217
v4_without_weak_signals,MID_TF_STRUCTURE_SL,USDJPY,72,72,36,36,50.0,547.05,1.302,7.6,0.162,687.18,6.43,50.0,50.0,0,0,0,0,0.749,1.063,267291666.667,356388888.889,0.349
v4_without_weak_signals,MID_TF_STRUCTURE_SL,XAUUSD,372,372,192,180,51.61,4601.12,1.527,12.37,0.202,1287.87,8.21,51.61,48.39,0,0,0,0,0.795,1.091,20807419354.839,27743225806.452,0.061
