open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,context,run,variant,scenario,strategy_mode,signal_mode,sl_mode,reward_r,trade_index,month,hour,fx_vs_xauusd,regime,session,entry_selection_mode,v4_signal_mode,thirdwave_sl_mode,reversal_signal_type,wave_audit_label,lower_tf_reversal_sl_status,structure_stage_fail_reason,execution_block_reason,sl_atr,risk_r,rr,spread_atr,entry_price,sl,tp,result_R,sl_points,tp_points,tp_atr,risk_amount
2025.10.09 15:50:00,2025.10.09 16:08:37,XAUUSD,LONG,0.04,4043.5,4056.79,24,25,0.0,0.0,53.16,53.16,10095.68,tp 4056.75,18.62,2025.10.09 15:50:00,2025.10.09 16:05:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,12,2025-10,15,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,3.22,10.19,1.30,0.0600,4043.50,4033.31,4056.75,1.3042,1019.0,1324.7,4.186,40.76
2025.10.10 19:20:00,2025.10.10 19:23:23,GBPJPY,SHORT,0.44,202.915,203.088,26,27,0.0,0.0,-49.84,-49.84,10045.84,sl 203.087,3.38,2025.10.10 19:20:00,2025.10.10 19:20:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,13,2025-10,19,FX,REGIME_TREND_DOWN,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,0.79,0.172,1.30,0.1738,202.915,203.087,202.691,-1.0058,172.0,223.6,1.027,49.55
2025.10.13 07:15:00,2025.10.13 08:20:02,XAUUSD,LONG,0.04,4053.03,4068.5,29,30,0.0,0.0,61.88,61.88,10107.72,tp 4068.46,65.03,2025.10.13 07:15:00,2025.10.13 08:20:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,14,2025-10,07,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,micro_break,chasing_entry,valid,,,3.67,11.87,1.30,0.0557,4053.03,4041.16,4068.46,1.3033,1187.0,1543.1,4.771,47.48
2025.10.13 02:10:00,2025.10.13 10:28:42,USDJPY,SHORT,0.17,151.853,152.291,28,31,0.0,0.0,-48.89,-48.89,10058.83,sl 152.290,498.7,2025.10.13 02:10:00,2025.10.13 10:25:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,15,2025-10,02,FX,REGIME_TREND_DOWN,server_00_07,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,3.58,0.437,1.30,0.1230,151.853,152.290,151.285,-1.0023,437.0,568.1,4.654,48.78
2025.10.14 23:20:00,2025.10.15 01:14:59,XAUUSD,LONG,0.04,4145.07,4159.9,32,33,0.0,-3.34,59.32,55.980000000000004,10114.81,tp 4159.40,114.98,2025.10.14 23:20:00,2025.10.15 01:10:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,16,2025-10,23,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.54,11.02,1.30,0.0415,4145.07,4134.05,4159.40,1.3457,1102.0,1432.6,3.302,41.6
2025.10.15 19:15:00,2025.10.16 01:31:22,USDJPY,SHORT,0.39,151.274,151.022,34,35,0.0,-13.68,65.08,51.4,10166.21,tp 151.022,376.37,2025.10.15 19:15:00,2025.10.16 01:30:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,17,2025-10,19,FX,REGIME_TREND_DOWN,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,2.28,0.194,1.30,0.1762,151.274,151.468,151.022,1.299,194.0,252.2,2.964,39.57
2025.10.16 11:30:00,2025.10.16 12:25:11,USDJPY,SHORT,0.29,151.131,151.395,37,38,0.0,0.0,-50.57,-50.57,10115.64,sl 151.393,55.18,2025.10.16 11:30:00,2025.10.16 12:25:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,18,2025-10,11,FX,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,2.67,0.262,1.30,0.1527,151.131,151.393,150.790,-1.0076,262.0,340.6,3.471,50.19
2025.10.16 10:35:00,2025.10.16 15:37:16,XAUUSD,LONG,0.03,4230.55,4250.61,36,39,0.0,0.0,60.18,60.18,10175.82,tp 4250.60,302.27,2025.10.16 10:35:00,2025.10.16 15:35:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,19,2025-10,10,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,3.39,15.42,1.30,0.0440,4230.55,4215.13,4250.60,1.3009,1542.0,2004.6,4.407,46.26
2025.10.17 08:55:00,2025.10.17 10:20:02,XAUUSD,LONG,0.01,4367.47,4341.46,40,41,0.0,0.0,-26.01,-26.01,10149.81,sl 4341.62,85.03,2025.10.17 08:55:00,2025.10.17 10:20:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,20,2025-10,08,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,3.29,25.85,1.30,0.0242,4367.47,4341.62,4401.08,-1.0062,2585.0,3360.5,4.277,25.85
2025.10.17 13:30:00,2025.10.17 13:54:38,USDJPY,SHORT,0.36,149.697,149.908,42,43,0.0,0.0,-50.67,-50.67,10099.14,sl 149.908,24.63,2025.10.17 13:30:00,2025.10.17 13:50:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,21,2025-10,13,FX,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,2.53,0.211,1.30,0.1798,149.697,149.908,149.423,-1.0,211.0,274.3,3.289,50.67
2025.10.21 05:20:00,2025.10.21 08:12:07,XAUUSD,LONG,0.02,4350.88,4332.17,44,45,0.0,0.0,-37.42,-37.42,10061.72,sl 4332.31,172.12,2025.10.21 05:20:00,2025.10.21 08:10:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,22,2025-10,05,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.23,18.57,1.30,0.0253,4350.88,4332.31,4375.02,-1.0075,1857.0,2414.1,2.899,37.14
2025.10.21 18:05:00,2025.10.23 03:17:47,USDJPY,LONG,0.22,151.774,152.213,46,47,0.0,4.4,63.45,67.85000000000001,10129.57,tp 152.213,1992.78,2025.10.21 18:05:00,2025.10.23 03:15:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,23,2025-10,18,FX,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,micro_break,chasing_entry,valid,,,3.46,0.338,1.30,0.1536,151.774,151.436,152.213,1.2988,338.0,439.4,4.498,52.24
2025.10.27 10:10:00,2025.10.27 11:23:46,XAUUSD,SHORT,0.04,4073.66,4058.54,48,49,0.0,0.0,60.48,60.48,10190.05,tp 4058.55,73.77,2025.10.27 10:10:00,2025.10.27 11:20:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,24,2025-10,10,XAUUSD,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.63,11.62,1.30,0.0430,4073.66,4085.28,4058.55,1.3012,1162.0,1510.6,3.419,46.48
2025.10.27 22:05:00,2025.10.27 22:29:29,XAUUSD,SHORT,0.06,4002.93,3992.84,50,51,0.0,0.0,60.54,60.54,10250.59,tp 3992.87,24.48,2025.10.27 22:05:00,2025.10.27 22:25:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,25,2025-10,22,XAUUSD,REGIME_TREND_DOWN,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,third_wave_middle,valid,,,1.79,7.74,1.30,0.0440,4002.93,4010.67,3992.87,1.3036,774.0,1006.2,2.327,46.44
2025.10.28 01:15:00,2025.10.28 02:31:43,XAUUSD,SHORT,0.03,3985.47,4000.68,52,53,0.0,0.0,-45.63,-45.63,10204.96,sl 4000.68,76.72,2025.10.28 01:15:00,2025.10.28 02:30:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,26,2025-10,01,XAUUSD,REGIME_TREND_DOWN,server_00_07,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,candle_reversal,chasing_entry,valid,,,2.85,15.21,1.30,0.0356,3985.47,4000.68,3965.70,-1.0,1521.0,1977.3,3.705,45.63
2025.10.28 23:30:00,2025.10.29 01:07:33,XAUUSD,SHORT,0.04,3951.01,3934.77,54,55,0.0,1.02,64.96,65.97999999999999,10270.94,tp 3935.20,97.55,2025.10.28 23:30:00,2025.10.29 01:05:00,2025-10,2025 comparison sample,G,v4_without_weak_lower_tf_sl_1_3R,v4_without_weak_lower_tf_sl_1_3R,v4,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,1.3,27,2025-10,23,XAUUSD,REGIME_TREND_DOWN,server_16_23,all_score_passing,V4_SIGNAL_WITHOUT_WEAK_SIGNALS,THIRD_WAVE_SL_LOWER_TF_REVERSAL,early_lower_high,chasing_entry,valid,,,2.95,12.16,1.30,0.0461,3951.01,3963.17,3935.20,1.3355,1216.0,1580.8,3.835,49.4
