min_trades,rank,enabled_conditions,condition_count,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
10,9,cond_h4_bias_ma;cond_h1_counter_nwave;cond_room_to_2r,3,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,10,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_room_to_2r,4,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,11,cond_h4_bias_ma;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r,4,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,12,cond_h4_bias_ma;cond_h1_counter_nwave;cond_true_bos_level;cond_room_to_2r,4,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,13,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_room_to_2r,5,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,14,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_true_bos_level;cond_room_to_2r,5,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,15,cond_h4_bias_ma;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,5,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,16,cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,6,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
10,17,cond_h4_fib_382_618,1,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
10,18,cond_h4_fib_382_618;cond_h1_prev_extreme_break,2,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
