period,variant,pullback_depth_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,v4_micro_or_candle_lower_tf_sl_1_3R,shallow_<20,7,4,3,57.14,77.68,1.543,11.1,0.316,96.29,0.96,2,-96.29,-97.17,174.85,45.86,31.82,71.43,14.29,2.251,2.927,0.1319,0.6989,18.91,2.353,0.154,0.28
2024,v4_micro_or_candle_lower_tf_sl_1_3R,very_deep_62-100,97,44,53,45.36,80.6,1.032,0.83,0.055,487.28,4.85,7,-337.84,-273.23,353.83,83.61,-3.01,65.98,50.52,2.343,3.045,0.1387,0.4321,77.46,2.372,0.205,0.82
2024,v4_without_weak_lower_tf_sl_1_3R,deep_38-62,99,35,64,35.35,-939.65,0.686,-9.49,-0.194,966.29,9.66,9,-408.46,-295.69,-643.96,-5.48,-934.17,62.63,56.57,2.368,3.079,0.1392,0.4763,50.87,2.328,0.192,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,normal_20-38,58,25,33,43.1,-172.95,0.891,-2.98,-0.013,586.96,5.69,9,-410.74,61.81,-234.76,30.34,-203.29,63.79,50.0,2.144,2.788,0.1337,0.5663,30.9,2.245,0.228,0.87
2024,v4_without_weak_lower_tf_sl_1_3R,shallow_<20,10,5,5,50.0,40.59,1.174,4.06,0.152,142.63,1.43,3,-142.63,-82.38,122.97,45.86,-5.27,60.0,10.0,2.207,2.869,0.1423,0.6707,19.0,2.209,0.192,0.52
2024,v4_without_weak_lower_tf_sl_1_3R,very_deep_62-100,118,54,64,45.76,160.13,1.053,1.36,0.062,543.92,5.44,8,-368.59,-135.25,295.38,82.74,77.39,62.71,41.53,2.258,2.935,0.1396,0.4363,76.68,2.282,0.207,0.81
2025,current_thirdwave_current_sl_1_5R,deep_38-62,94,38,56,40.43,-8.36,0.997,-0.09,0.012,508.02,4.89,8,-406.92,-212.19,203.83,162.84,-171.2,69.15,53.19,3.039,4.558,0.098,0.4782,50.38,2.918,0.118,0.8
2025,current_thirdwave_current_sl_1_5R,normal_20-38,64,20,44,31.25,-858.63,0.595,-13.42,-0.235,1058.9,10.47,9,-462.04,-279.65,-578.98,-825.13,-33.5,87.5,76.56,3.378,5.068,0.0997,0.5611,28.52,3.258,0.093,0.45
2025,current_thirdwave_current_sl_1_5R,shallow_<20,4,1,3,25.0,-85.4,0.398,-21.35,-0.376,96.68,0.97,2,-96.68,-96.68,11.28,56.46,-141.86,50.0,25.0,2.87,4.305,0.1091,0.3278,18.92,2.725,0.135,0.31
2025,current_thirdwave_current_sl_1_5R,very_deep_62-100,107,47,60,43.93,520.41,1.184,4.86,0.122,354.79,3.38,6,-298.1,177.7,342.71,55.31,465.1,75.7,56.07,3.106,4.66,0.099,0.4204,76.69,2.985,0.097,0.41
2025,v4_micro_or_candle_lower_tf_sl_1_2R,deep_38-62,108,55,53,50.93,561.1,1.214,5.2,0.129,280.62,2.66,5,-252.74,334.89,226.21,598.72,-37.62,66.67,50.0,2.345,2.814,0.1045,0.4907,50.29,2.342,0.178,0.75
2025,v4_micro_or_candle_lower_tf_sl_1_2R,normal_20-38,81,36,45,44.44,-249.15,0.889,-3.08,-0.034,582.61,5.71,7,-372.95,-304.13,54.98,-48.88,-200.27,79.01,71.6,2.523,3.028,0.0938,0.5264,29.25,2.407,0.135,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,shallow_<20,7,4,3,57.14,71.69,1.521,10.24,0.254,89.33,0.88,2,-89.33,0,71.69,209.26,-137.57,100.0,57.14,2.583,3.099,0.0634,0.4654,19.44,2.396,0.059,0.08
2025,v4_micro_or_candle_lower_tf_sl_1_2R,very_deep_62-100,141,68,73,48.23,459.97,1.128,3.26,0.078,466.77,4.65,6,-289.55,-113.92,573.89,630.13,-170.16,73.76,51.06,2.299,2.759,0.0996,0.4242,76.27,2.322,0.149,0.72
2025,v4_micro_or_candle_lower_tf_sl_1_3R,deep_38-62,107,51,56,47.66,464.96,1.172,4.35,0.109,300.22,2.91,6,-300.22,191.16,273.8,537.93,-72.97,66.36,50.47,2.347,3.051,0.1052,0.489,50.28,2.345,0.177,0.73
2025,v4_micro_or_candle_lower_tf_sl_1_3R,normal_20-38,80,34,46,42.5,-242.36,0.893,-3.03,-0.032,602.42,5.93,6,-289.18,-329.5,87.14,-73.28,-169.08,80.0,71.25,2.503,3.254,0.0927,0.5257,29.26,2.387,0.132,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,shallow_<20,7,4,3,57.14,79.95,1.581,11.42,0.317,89.33,0.88,2,-89.33,0,79.95,217.52,-137.57,100.0,57.14,2.583,3.358,0.0634,0.4654,19.44,2.396,0.057,0.08
2025,v4_micro_or_candle_lower_tf_sl_1_3R,very_deep_62-100,141,65,76,46.1,422.3,1.115,3.0,0.074,492.56,4.93,6,-283.64,-146.32,568.62,593.09,-170.79,73.76,50.35,2.3,2.99,0.0988,0.4283,76.25,2.323,0.145,0.71
2025,v4_without_weak_lower_tf_sl_1_3R,deep_38-62,130,59,71,45.38,161.22,1.046,1.24,0.047,609.27,5.98,9,-449.66,-194.83,356.05,521.61,-360.39,60.0,41.54,2.341,3.043,0.1099,0.4616,50.47,2.316,0.186,0.77
2025,v4_without_weak_lower_tf_sl_1_3R,normal_20-38,89,40,49,44.94,-15.57,0.994,-0.17,0.026,457.1,4.49,7,-371.68,-186.97,171.4,-84.4,68.83,77.53,64.04,2.504,3.255,0.0959,0.5037,29.07,2.365,0.136,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,shallow_<20,10,4,6,40.0,-70.1,0.756,-7.01,-0.079,142.33,1.41,3,-142.33,-94.97,24.87,217.52,-287.62,80.0,40.0,2.501,3.251,0.0784,0.4065,19.23,2.177,0.075,0.15
2025,v4_without_weak_lower_tf_sl_1_3R,very_deep_62-100,159,76,83,47.8,1042.8,1.258,6.56,0.142,432.2,4.23,6,-290.11,-43.86,1086.66,612.55,430.25,71.07,44.65,2.27,2.951,0.1014,0.4185,76.7,2.207,0.154,0.73
2026YTD,current_thirdwave_current_sl_1_5R,deep_38-62,35,14,21,40.0,58.2,1.059,1.66,0.046,318.87,3.13,5,-232.66,25.55,32.65,-25.91,84.11,94.29,31.43,2.965,4.447,0.0493,0.3864,49.56,2.861,0.043,0.26
2026YTD,current_thirdwave_current_sl_1_5R,normal_20-38,16,10,6,62.5,509.42,2.75,31.84,0.559,106.97,1.02,2,-106.97,0,509.42,256.52,252.9,100.0,56.25,2.876,4.313,0.0414,0.5966,29.58,2.764,0.036,0.11
2026YTD,current_thirdwave_current_sl_1_5R,very_deep_62-100,44,20,24,45.45,298.13,1.252,6.78,0.108,164.17,1.63,4,-164.17,-15.91,314.04,-126.61,424.74,81.82,38.64,2.922,4.384,0.0682,0.4097,74.86,2.811,0.072,0.44
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,deep_38-62,51,23,28,45.1,157.68,1.112,3.09,0.027,268.54,2.58,5,-268.54,56.37,101.31,-81.48,239.16,88.24,31.37,2.637,3.165,0.0616,0.4049,50.15,2.654,0.064,0.39
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,normal_20-38,23,13,10,56.52,298.4,1.612,12.97,0.278,253.2,2.42,5,-253.2,63.06,235.34,59.99,238.41,86.96,43.48,2.237,2.684,0.0587,0.4469,31.15,2.26,0.063,0.28
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,very_deep_62-100,48,27,21,56.25,465.58,1.403,9.7,0.212,367.99,3.44,6,-275.13,286.75,178.83,2.76,462.82,79.17,37.5,2.211,2.653,0.0652,0.4011,76.31,2.201,0.101,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,deep_38-62,50,22,28,44.0,193.53,1.138,3.87,0.04,310.96,2.99,5,-283.37,-57.49,251.02,-79.67,273.2,88.0,32.0,2.604,3.385,0.0621,0.3986,50.24,2.627,0.065,0.39
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,normal_20-38,23,12,11,52.17,227.42,1.418,9.89,0.228,324.84,3.1,6,-295.56,70.07,157.35,61.48,165.94,86.96,43.48,2.237,2.908,0.0587,0.4469,31.15,2.26,0.063,0.28
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,very_deep_62-100,49,25,24,51.02,363.89,1.287,7.43,0.145,536.78,4.99,7,-406.64,321.46,42.43,-49.48,413.37,79.59,36.73,2.212,2.876,0.0648,0.4099,76.21,2.171,0.099,0.61
2026YTD,v4_without_weak_lower_tf_sl_1_3R,deep_38-62,59,26,33,44.07,183.42,1.114,3.11,0.016,300.23,2.89,5,-268.83,-87.12,270.54,-53.18,236.6,84.75,27.12,2.457,3.194,0.0644,0.3793,49.17,2.425,0.083,0.51
2026YTD,v4_without_weak_lower_tf_sl_1_3R,normal_20-38,30,15,15,50.0,218.66,1.301,7.29,0.167,340.35,3.25,4,-205.2,15.2,203.46,75.59,143.07,86.67,33.33,2.265,2.945,0.0616,0.4898,31.56,2.332,0.068,0.31
2026YTD,v4_without_weak_lower_tf_sl_1_3R,very_deep_62-100,58,28,30,48.28,272.81,1.176,4.7,0.087,535.24,5.0,6,-275.03,288.06,-15.25,-64.18,336.99,77.59,31.03,2.277,2.96,0.0686,0.3865,75.76,2.255,0.105,1.0
