period,strategy_mode,entry_selection_mode,scan_interval,trades,PF,expected_payoff,avg_R,net_profit,maxDD,maxDD_pct,win_rate,profit_by_long,profit_by_short,profit_by_fx,profit_by_xauusd,best_symbol,worst_symbol,best_session,worst_session,main_fail_reason,main_loss_reason,source_artifact
2025,ThirdWave original ThirdWave_BOTH,best_candidate,5m,451,0.963,-1.03,,-464.41,1880.64,17.62,39.69,-1051.26,586.85,-62.57,-401.84,,,,,spread_guard,long branch loss; XAUUSD loss,ExpectedValue_MultiCurrency_ScoreScanner_2025_thirdwave_run_comparison.csv
2025,ThirdWave original ThirdWave_LONG_ONLY,best_candidate,5m,271,0.821,-5.04,,-1364.56,1891.26,18.44,37.27,-1364.56,0.0,-513.87,-850.69,,,,,spread_guard,long branch loss; XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_2025_thirdwave_run_comparison.csv
2025,ThirdWave original ThirdWave_SHORT_ONLY,best_candidate,5m,208,1.043,1.19,,246.7,1237.82,11.82,40.87,0.0,246.7,-234.14,480.84,,,,,spread_guard,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_2025_thirdwave_run_comparison.csv
2024,ThirdWave_original_BOTH,best_candidate,5m,355,0.911,-2.57,,-914.04,1661.14,15.97,38.31,-501.32,-412.72,86.79,-1000.83,GBPJPY:500.64,XAUUSD:-1000.83,server_00_07:88.87,server_16_23:-958.21,no_higher_tf_trend,XAUUSD loss,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2024,ThirdWave_regime_BOTH,best_candidate,5m,159,1.183,5.24,,832.41,493.75,4.53,44.65,670.03,162.38,229.16,603.25,XAUUSD:603.25,EURJPY:-351.77,server_08_15:926.49,server_00_07:-115.79,regime_requires_trend_down,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2024,ThirdWave_regime_LONG_ONLY,best_candidate,5m,100,1.213,5.96,,595.83,527.2,4.98,46.0,595.83,0.0,62.75,533.08,XAUUSD:533.08,EURJPY:-194.18,server_16_23:392.98,server_00_07:-150.35,regime_requires_trend_up,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2024,ThirdWave_regime_SHORT_ONLY,best_candidate,5m,65,1.143,3.97,,257.93,402.19,3.82,43.08,0.0,257.93,211.65,46.28,USDJPY:243.96,EURJPY:-75.36,server_08_15:437.64,server_16_23:-296.21,regime_requires_trend_down,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2025,ThirdWave_original_BOTH,best_candidate,5m,451,0.963,-1.03,,-464.41,1880.64,17.62,39.69,-1051.26,586.85,-62.57,-401.84,EURJPY:154.73,XAUUSD:-401.84,server_08_15:687.74,server_16_23:-855.36,no_higher_tf_trend,long branch loss; XAUUSD loss,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2025,ThirdWave_regime_BOTH,best_candidate,5m,247,0.92,-2.3,,-567.02,1248.88,11.74,38.46,-776.56,209.54,-482.0,-85.02,EURJPY:20.33,GBPUSD:-244.40,server_08_15:591.18,server_16_23:-799.73,regime_requires_trend_down,long branch loss; FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2025,ThirdWave_regime_LONG_ONLY,best_candidate,5m,156,0.854,-4.23,,-660.2,1215.43,11.71,37.82,-660.2,0.0,-291.87,-368.33,EURJPY:-1.53,XAUUSD:-368.33,server_00_07:107.72,server_16_23:-544.73,regime_requires_trend_up,long branch loss; XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2025,ThirdWave_regime_SHORT_ONLY,best_candidate,5m,104,0.975,-0.73,,-75.55,718.68,6.95,38.46,0.0,-75.55,-310.06,234.51,XAUUSD:234.51,USDJPY:-96.77,server_08_15:721.61,server_00_07:-446.81,regime_requires_trend_down,FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2026YTD,ThirdWave_original_BOTH,best_candidate,5m,189,1.169,4.53,,856.11,759.07,6.89,43.39,128.51,727.6,-96.44,952.55,XAUUSD:952.55,USDJPY:-103.85,server_00_07:882.18,server_16_23:-66.41,no_higher_tf_trend,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2026YTD,ThirdWave_regime_BOTH,best_candidate,5m,88,1.354,9.19,,809.15,228.29,2.19,46.59,104.0,705.15,-21.27,830.42,XAUUSD:830.42,GBPUSD:-101.79,server_00_07:715.00,server_08_15:-242.92,regime_requires_trend_down,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2026YTD,ThirdWave_regime_LONG_ONLY,best_candidate,5m,37,1.115,3.14,,116.2,323.43,3.13,43.24,116.2,0.0,-49.77,165.97,XAUUSD:165.97,USDJPY:-49.77,server_00_07:174.24,server_08_15:-144.82,regime_requires_trend_up,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2026YTD,ThirdWave_regime_SHORT_ONLY,best_candidate,5m,52,1.524,12.98,,674.93,209.76,1.93,48.08,0.0,674.93,-21.14,696.07,XAUUSD:696.07,GBPUSD:-101.79,server_00_07:545.57,server_08_15:-124.41,regime_requires_trend_down,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_regime_run_comparison.csv
2025,ThirdWave_regime_BOTH_best_5m,best,5m,247,0.92,-2.3,,-567.02,1248.88,11.74,38.46,-776.56,209.54,-482.0,-85.02,EURJPY:20.33,GBPUSD:-244.40,server_08_15:591.18,server_16_23:-799.73,summary-only diagnostics; see scan interval aggregates,long branch loss; FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2025,ThirdWave_regime_BOTH_best_10m,best,10m,193,0.874,-3.67,,-708.42,1245.16,11.82,36.79,-961.65,253.23,-809.87,101.45,XAUUSD:101.45,USDJPY:-436.54,server_08_15:146.96,server_16_23:-661.96,summary-only diagnostics; see scan interval aggregates,long branch loss; FX basket loss; XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2025,ThirdWave_regime_BOTH_best_15m,best,15m,142,0.946,-1.55,,-220.24,649.48,6.27,40.14,-64.06,-156.18,-356.54,136.3,EURUSD:169.94,USDJPY:-249.04,server_08_15:595.35,server_16_23:-693.05,summary-only diagnostics; see scan interval aggregates,FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2025,ThirdWave_regime_BOTH_all_5m,all,5m,269,0.944,-1.61,,-431.98,1178.66,11.11,39.41,-550.52,118.54,-410.82,-21.16,GBPJPY:25.03,USDJPY:-243.66,server_08_15:598.60,server_16_23:-716.20,summary-only diagnostics; see scan interval aggregates,long branch loss; FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2025,ThirdWave_regime_BOTH_all_10m,all,10m,202,0.87,-3.78,,-762.63,1299.37,12.33,36.63,-903.59,140.96,-865.72,103.09,XAUUSD:103.09,USDJPY:-460.07,server_08_15:192.03,server_16_23:-732.31,summary-only diagnostics; see scan interval aggregates,long branch loss; FX basket loss; XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2025,ThirdWave_regime_BOTH_all_15m,all,15m,147,0.972,-0.81,,-118.91,616.8,5.95,40.82,73.81,-192.72,-334.44,215.53,XAUUSD:215.53,USDJPY:-300.48,server_08_15:595.35,server_16_23:-622.21,summary-only diagnostics; see scan interval aggregates,FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2024,ThirdWave_regime_BOTH_best_5m,best,5m,159,1.183,5.24,,832.41,493.75,4.53,44.65,670.03,162.38,229.16,603.25,XAUUSD:603.25,EURJPY:-351.77,server_08_15:926.49,server_00_07:-115.79,summary-only diagnostics; see scan interval aggregates,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2024,ThirdWave_regime_BOTH_best_10m,best,10m,122,1.17,4.79,,584.68,469.73,4.37,45.08,371.27,213.41,201.91,382.77,XAUUSD:382.77,EURJPY:-247.36,server_08_15:596.07,server_16_23:-74.29,summary-only diagnostics; see scan interval aggregates,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2024,ThirdWave_regime_BOTH_best_15m,best,15m,92,0.903,-2.88,,-265.04,671.01,6.59,40.22,165.68,-430.72,-416.54,151.5,XAUUSD:151.50,EURJPY:-221.33,server_08_15:96.00,server_16_23:-194.06,summary-only diagnostics; see scan interval aggregates,FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2024,ThirdWave_regime_BOTH_all_5m,all,5m,178,1.139,4.01,,714.25,676.39,6.23,43.82,542.88,171.37,156.64,557.61,XAUUSD:557.61,EURJPY:-258.30,server_08_15:890.73,server_00_07:-130.71,summary-only diagnostics; see scan interval aggregates,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2024,ThirdWave_regime_BOTH_all_10m,all,10m,132,1.151,4.29,,565.82,631.71,5.84,44.7,227.35,338.47,170.23,395.59,GBPJPY:403.88,EURJPY:-282.59,server_08_15:581.28,server_16_23:-71.65,summary-only diagnostics; see scan interval aggregates,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2024,ThirdWave_regime_BOTH_all_15m,all,15m,99,0.917,-2.46,,-243.35,570.96,5.64,40.4,101.07,-344.42,-344.02,100.67,GBPJPY:187.50,EURJPY:-196.14,server_08_15:139.45,server_16_23:-243.03,summary-only diagnostics; see scan interval aggregates,FX basket loss,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2026YTD,ThirdWave_regime_BOTH_best_5m,best,5m,88,1.354,9.19,,809.15,228.29,2.19,46.59,104.0,705.15,-21.27,830.42,XAUUSD:830.42,GBPUSD:-101.79,server_00_07:715.00,server_08_15:-242.92,summary-only diagnostics; see scan interval aggregates,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2026YTD,ThirdWave_regime_BOTH_best_10m,best,10m,61,1.399,9.92,,604.94,254.76,2.48,47.54,201.15,403.79,-126.1,731.04,XAUUSD:731.04,USDJPY:-101.21,server_00_07:541.81,server_08_15:-244.18,summary-only diagnostics; see scan interval aggregates,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2026YTD,ThirdWave_regime_BOTH_best_15m,best,15m,43,1.035,0.94,,40.41,361.03,3.56,39.53,31.88,8.53,-130.3,170.71,XAUUSD:170.71,USDJPY:-82.50,server_16_23:268.02,server_08_15:-243.47,summary-only diagnostics; see scan interval aggregates,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2026YTD,ThirdWave_regime_BOTH_all_5m,all,5m,92,1.314,8.25,,758.63,278.5,2.65,45.65,104.0,654.63,9.64,748.99,XAUUSD:748.99,USDJPY:-79.29,server_00_07:677.66,server_08_15:-274.84,summary-only diagnostics; see scan interval aggregates,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2026YTD,ThirdWave_regime_BOTH_all_10m,all,10m,61,1.399,9.92,,604.94,254.76,2.48,47.54,201.15,403.79,-126.1,731.04,XAUUSD:731.04,USDJPY:-101.21,server_00_07:541.81,server_08_15:-244.18,summary-only diagnostics; see scan interval aggregates,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2026YTD,ThirdWave_regime_BOTH_all_15m,all,15m,43,1.035,0.94,,40.41,361.03,3.56,39.53,31.88,8.53,-130.3,170.71,XAUUSD:170.71,USDJPY:-82.50,server_16_23:268.02,server_08_15:-243.47,summary-only diagnostics; see scan interval aggregates,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_scan_interval_run_comparison.csv
2025-02,ThirdWave v2 current,all_score_passing,5m,16,2.293,23.36,0.502,373.68,102.46,0.99,62.5,237.09,136.59,102.97,270.71,XAUUSD:1047.63,GBPUSD:-21.29,server_00_07:918.34,server_08_15:-104.72,,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
2025-02,ThirdWave v2 v2_audit_filtered,all_score_passing,5m,3,,71.53,1.517,214.6,0.0,0.0,100.0,139.66,74.94,149.64,64.96,XAUUSD:891.06,GBPUSD:24.25,server_16_23:746.92,server_08_15:64.41,v2_pullback_too_deep_audit,no dominant loss bucket,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
2025-08,ThirdWave v2 current,all_score_passing,5m,13,0.899,-3.09,-0.032,-40.11,247.81,2.45,38.46,-70.61,30.5,76.22,-116.33,XAUUSD:1047.63,GBPUSD:-21.29,server_00_07:918.34,server_08_15:-104.72,,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
2025-08,ThirdWave v2 v2_audit_filtered,all_score_passing,5m,7,1.118,3.38,0.078,23.64,150.75,1.49,42.86,-28.71,52.35,77.17,-53.53,XAUUSD:891.06,GBPUSD:24.25,server_16_23:746.92,server_08_15:64.41,v2_pullback_too_deep_audit,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
2025-10,ThirdWave v2 current,all_score_passing,5m,20,1.823,17.26,0.378,345.18,176.76,1.75,55.0,236.4,108.78,52.5,292.68,XAUUSD:1047.63,GBPUSD:-21.29,server_00_07:918.34,server_08_15:-104.72,,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
2025-10,ThirdWave v2 v2_audit_filtered,all_score_passing,5m,15,3.043,31.89,0.673,478.4,98.94,0.98,66.67,425.04,53.36,107.73,370.67,XAUUSD:891.06,GBPUSD:24.25,server_16_23:746.92,server_08_15:64.41,v2_trend_too_old,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
2026-Q1,ThirdWave v2 current,all_score_passing,5m,60,1.402,10.17,0.154,610.21,278.5,2.65,45.0,87.84,522.37,9.64,600.57,XAUUSD:1047.63,GBPUSD:-21.29,server_00_07:918.34,server_08_15:-104.72,,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
2026-Q1,ThirdWave v2 v2_audit_filtered,all_score_passing,5m,33,1.638,14.66,0.265,483.62,197.67,1.93,48.48,101.35,382.27,-25.34,508.96,XAUUSD:891.06,GBPUSD:24.25,server_16_23:746.92,server_08_15:64.41,v2_trend_too_old,XAUUSD concentration,ExpectedValue_MultiCurrency_ScoreScanner_thirdwave_v2_comparison.csv
