period,scenario,group_field,group,rows
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,476
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,476
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,16
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,3
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_blocked,1
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_sent,2
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,16
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,3
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_blocked,1
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_sent,2
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,474
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,2
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_blocked,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_sent,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,474
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,2
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_blocked,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_sent,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,502
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,2
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,order_blocked,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,order_sent,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,502
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,2
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,order_blocked,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,order_sent,1
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,17
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,11
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_blocked,6
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_sent,5
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,17
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,11
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_blocked,7
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_sent,4
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,501
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,3
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_blocked,2
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_sent,1
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,501
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,3
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_blocked,2
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_sent,1
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,1894
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,6
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,event,order_sent,6
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,1894
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,6
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,event,order_sent,6
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,45
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,71
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_blocked,44
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,event,order_sent,27
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,45
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,71
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_blocked,45
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,event,order_sent,25
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,blocked_candidate,1871
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,final_entry_candidate,29
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_blocked,12
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,event,order_sent,17
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,blocked_candidate,1871
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,final_entry_candidate,29
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_blocked,14
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,event,order_sent,15
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,,4
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,dirty_breakout,27
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,437
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_trigger,43
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,retest_invalidated,18
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,sl_too_wide,170
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,1
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,weak_breakout_waiting_retest,11
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,,4
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,dirty_breakout,27
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,437
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_trigger,43
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,retest_invalidated,18
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,sl_too_wide,170
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,1
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,weak_breakout_waiting_retest,11
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,,45
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,existing_position,19
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,9
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,,44
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,max_positions,19
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,9
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,,12
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,existing_position,2
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,490
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_detected,36
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_trigger,96
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,retest_invalidated,18
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,sl_too_wide,58
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,4
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,,12
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,max_positions,2
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,490
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_detected,36
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_trigger,96
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,retest_invalidated,18
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,sl_too_wide,58
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,4
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,dirty_breakout,14
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,299
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_trigger,41
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,retest_invalidated,13
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,sl_too_wide,104
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,weak_breakout_waiting_retest,5
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,dirty_breakout,14
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,299
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_trigger,41
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,retest_invalidated,13
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,sl_too_wide,104
2025-08,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,weak_breakout_waiting_retest,5
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,,5
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,existing_position,1
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,16
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,,5
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,max_positions,1
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,16
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,,3
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,existing_position,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,317
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_detected,9
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_trigger,72
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,retest_invalidated,13
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,sl_too_wide,58
2025-08,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,5
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,,3
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,max_positions,1
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,317
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_detected,9
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_trigger,72
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,retest_invalidated,13
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,sl_too_wide,58
2025-08,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,5
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,,3
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,dirty_breakout,16
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,existing_position,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,235
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_trigger,61
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,retest_invalidated,19
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,sl_too_tight,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,sl_too_wide,160
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,3
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,weak_breakout_waiting_retest,7
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,,3
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,dirty_breakout,16
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,max_positions,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,235
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_trigger,61
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,retest_invalidated,19
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,sl_too_tight,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,sl_too_wide,160
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,3
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,fail_reason,weak_breakout_waiting_retest,7
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,,16
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,existing_position,6
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,17
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,,15
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,max_positions,7
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,17
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,,4
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,existing_position,2
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,285
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_detected,27
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,no_retest_trigger,99
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,retest_invalidated,19
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,sl_too_wide,65
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,fail_reason,spread_guard,6
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,,4
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,max_positions,2
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_confirmation_break,285
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_detected,27
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,no_retest_trigger,99
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,retest_invalidated,19
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,sl_too_wide,65
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,fail_reason,spread_guard,6
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,fail_reason,,12
