variant,sl_mode,wave_audit_label,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_all_signals,LOWER_TF_REVERSAL_SL,third_wave_initial,18,15,12,3,80.0,699.25,11.917,46.62,0.943,64.05,0.63,61.11,0.0,0,0,0,3,0.48,1.291,1797600000.0,2396800000.0,0.285
v4_all_signals,LOWER_TF_REVERSAL_SL,third_wave_middle,18,15,11,4,73.33,614.17,6.668,40.94,0.8,58.11,0.57,61.11,5.56,0,0,0,3,0.464,1.319,6760298000.0,9013730666.667,0.268
v4_all_signals,LOWER_TF_REVERSAL_SL,unclear,12,9,3,6,33.33,-99.36,0.565,-11.04,-0.258,228.45,2.28,0.0,25.0,0,0,0,3,0.742,0.413,6480666666.667,8640888888.889,0.143
v4_all_signals,MID_TF_STRUCTURE_SL,chasing_entry,510,510,243,267,47.65,3928.38,1.306,7.7,0.114,1664.65,11.1,47.65,51.18,0,0,0,0,0.833,0.998,15838197352.941,21117596470.588,0.118
v4_all_signals,MID_TF_STRUCTURE_SL,late_entry,24,24,11,13,45.83,40.2,1.063,1.67,0.062,449.82,4.5,45.83,54.17,0,0,0,0,0.757,1.09,11388500000.0,15184666666.667,0.167
v4_all_signals,MID_TF_STRUCTURE_SL,third_wave_initial,18,18,15,3,83.33,838.11,6.467,46.56,0.944,153.3,1.48,83.33,16.67,0,0,0,0,0.509,1.549,1133000000.0,1510666666.667,0.422
v4_all_signals,MID_TF_STRUCTURE_SL,third_wave_middle,18,18,11,7,61.11,412.45,2.33,22.91,0.417,193.79,1.87,61.11,38.89,0,0,0,0,0.679,1.252,5065581666.667,6754108888.889,0.252
v4_all_signals,MID_TF_STRUCTURE_SL,unclear,12,12,6,6,50.0,121.66,1.415,10.14,0.167,293.31,2.88,50.0,50.0,0,0,0,0,0.917,0.987,3219750000.0,4293000000.0,0.23
v4_candle_reversal_only,CURRENT_SL,chasing_entry,324,324,164,160,50.62,3863.33,1.504,11.92,0.178,1236.22,8.31,50.62,49.38,0,0,0,0,0.78,1.056,18177596944.444,24236795925.926,0.102
v4_candle_reversal_only,CURRENT_SL,late_entry,9,9,3,6,33.33,-91.61,0.687,-10.18,-0.222,292.41,2.92,33.33,66.67,0,0,0,0,0.972,1.063,10253666666.667,13671555555.555,0.113
v4_candle_reversal_only,CURRENT_SL,third_wave_initial,12,12,9,3,75.0,450.91,4.028,37.58,0.75,148.92,1.46,75.0,25.0,0,0,0,0,0.642,1.566,1617750000.0,2157000000.0,0.35
v4_candle_reversal_only,CURRENT_SL,third_wave_middle,15,15,9,6,60.0,342.97,2.237,22.86,0.4,277.23,2.72,60.0,40.0,0,0,0,0,0.732,1.235,4858384000.0,6477845333.333,0.258
v4_candle_reversal_only,CURRENT_SL,unclear,9,9,2,7,22.22,-221.79,0.352,-24.64,-0.511,281.79,2.8,22.22,77.78,0,0,0,0,0.998,0.911,4333333333.333,5777777777.778,0.143
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,chasing_entry,324,258,132,126,51.16,2899.41,1.49,11.24,0.179,1287.51,9.43,38.58,37.96,0,9,54,3,0.76,1.037,16453502790.698,21938003720.93,0.113
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,late_entry,9,9,3,6,33.33,-91.61,0.687,-10.18,-0.222,292.41,2.92,33.33,66.67,0,0,0,0,0.941,0.982,11019000000.0,14692000000.0,0.091
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,third_wave_initial,12,12,9,3,75.0,537.61,9.64,44.8,0.896,62.22,0.61,75.0,0.0,0,0,0,0,0.565,1.274,2208250000.0,2944333333.333,0.24
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,third_wave_middle,15,12,6,6,50.0,187.88,1.858,15.66,0.292,219.06,2.15,40.0,20.0,0,0,0,3,0.656,1.053,9197480000.0,12263306666.667,0.25
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,unclear,9,9,2,7,22.22,-221.79,0.352,-24.64,-0.511,281.79,2.8,22.22,77.78,0,0,0,0,0.998,0.911,4333333333.333,5777777777.778,0.143
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,chasing_entry,324,324,164,160,50.62,3863.33,1.504,11.92,0.178,1236.22,8.31,50.62,49.38,0,0,0,0,0.78,1.056,18177596944.444,24236795925.926,0.102
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,late_entry,9,9,3,6,33.33,-91.61,0.687,-10.18,-0.222,292.41,2.92,33.33,66.67,0,0,0,0,0.972,1.063,10253666666.667,13671555555.555,0.113
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,third_wave_initial,12,12,9,3,75.0,450.91,4.028,37.58,0.75,148.92,1.46,75.0,25.0,0,0,0,0,0.642,1.566,1617750000.0,2157000000.0,0.35
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,third_wave_middle,15,15,9,6,60.0,342.97,2.237,22.86,0.4,277.23,2.72,60.0,40.0,0,0,0,0,0.732,1.235,4858384000.0,6477845333.333,0.258
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,unclear,9,9,2,7,22.22,-221.79,0.352,-24.64,-0.511,281.79,2.8,22.22,77.78,0,0,0,0,0.998,0.911,4333333333.333,5777777777.778,0.143
v4_micro_break_only,CURRENT_SL,chasing_entry,174,174,82,92,47.13,676.45,1.153,3.89,0.095,699.33,6.17,47.13,51.15,1,0,0,0,0.807,1.077,16468762068.966,21958349425.287,0.085
v4_micro_break_only,CURRENT_SL,late_entry,3,3,3,0,100.0,175.32,,58.44,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.764,1.466,14610000000.0,19480000000.0,0.03
v4_micro_break_only,CURRENT_SL,third_wave_initial,9,9,3,6,33.33,-91.7,0.684,-10.19,-0.222,290.13,2.84,33.33,66.67,0,0,0,0,0.804,1.008,5960000000.0,7946666666.667,0.307
v4_micro_break_only,CURRENT_SL,third_wave_middle,9,9,5,4,55.56,110.02,1.551,12.22,0.278,199.58,1.97,55.56,44.44,0,0,0,0,0.934,1.231,3121523333.333,4162031111.111,0.28
v4_micro_break_only,CURRENT_SL,unclear,9,9,6,3,66.67,232.47,2.684,25.83,0.556,138.06,1.33,66.67,33.33,0,0,0,0,0.594,1.153,4476333333.333,5968444444.444,0.087
v4_micro_break_only,LOWER_TF_REVERSAL_SL,chasing_entry,174,147,76,71,51.7,1190.87,1.362,8.1,0.197,413.92,3.9,40.23,37.36,0,0,21,6,0.787,1.075,14571658775.51,19428878367.347,0.093
v4_micro_break_only,LOWER_TF_REVERSAL_SL,late_entry,3,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,LOWER_TF_REVERSAL_SL,third_wave_initial,9,9,3,6,33.33,-35.38,0.827,-3.93,-0.083,204.21,2.01,22.22,33.33,0,0,0,0,0.578,0.911,9318333333.334,12424444444.445,0.186
v4_micro_break_only,LOWER_TF_REVERSAL_SL,third_wave_middle,9,6,5,1,83.33,259.36,6.162,43.23,0.917,50.24,0.5,55.56,11.11,0,0,3,0,0.726,1.61,4600785000.0,6134380000.0,0.185
v4_micro_break_only,LOWER_TF_REVERSAL_SL,unclear,9,9,6,3,66.67,232.47,2.684,25.83,0.556,138.06,1.33,66.67,33.33,0,0,0,0,1.035,1.092,5556333333.333,7408444444.445,0.081
v4_micro_break_only,MID_TF_STRUCTURE_SL,chasing_entry,174,174,82,92,47.13,676.45,1.153,3.89,0.095,699.33,6.17,47.13,51.15,1,0,0,0,0.807,1.077,16468762068.966,21958349425.287,0.085
v4_micro_break_only,MID_TF_STRUCTURE_SL,late_entry,3,3,3,0,100.0,175.32,,58.44,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.764,1.466,14610000000.0,19480000000.0,0.03
v4_micro_break_only,MID_TF_STRUCTURE_SL,third_wave_initial,9,9,3,6,33.33,-91.7,0.684,-10.19,-0.222,290.13,2.84,33.33,66.67,0,0,0,0,0.804,1.008,5960000000.0,7946666666.667,0.307
v4_micro_break_only,MID_TF_STRUCTURE_SL,third_wave_middle,9,9,5,4,55.56,110.02,1.551,12.22,0.278,199.58,1.97,55.56,44.44,0,0,0,0,0.934,1.231,3121523333.333,4162031111.111,0.28
v4_micro_break_only,MID_TF_STRUCTURE_SL,unclear,9,9,6,3,66.67,232.47,2.684,25.83,0.556,138.06,1.33,66.67,33.33,0,0,0,0,0.594,1.153,4476333333.333,5968444444.444,0.087
v4_micro_or_candle,CURRENT_SL,chasing_entry,366,366,185,181,50.55,4093.51,1.469,11.18,0.177,1211.7,8.0,50.55,49.45,0,0,0,0,0.785,1.069,17459842049.18,23279789398.907,0.1
v4_micro_or_candle,CURRENT_SL,late_entry,12,12,6,6,50.0,83.71,1.286,6.98,0.167,292.41,2.92,50.0,50.0,0,0,0,0,0.92,1.164,11342750000.0,15123666666.666,0.093
v4_micro_or_candle,CURRENT_SL,third_wave_initial,18,18,12,6,66.67,488.82,2.567,27.16,0.556,162.96,1.53,66.67,33.33,0,0,0,0,0.652,1.406,2386833333.333,3182444444.444,0.382
v4_micro_or_candle,CURRENT_SL,third_wave_middle,18,18,14,4,77.78,806.35,5.797,44.8,0.806,116.28,1.14,77.78,22.22,0,0,0,0,0.618,1.427,3793915000.0,5058553333.333,0.273
v4_micro_or_candle,CURRENT_SL,unclear,12,12,7,5,58.33,243.26,2.007,20.27,0.35,241.6,2.4,58.33,41.67,0,0,0,0,0.659,1.089,3119750000.0,4159666666.666,0.145
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,chasing_entry,366,309,163,146,52.75,3912.31,1.57,12.66,0.218,1211.7,8.26,41.8,38.25,0,9,42,6,0.756,1.064,15560188640.777,20746918187.702,0.11
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,late_entry,12,9,3,6,33.33,-91.61,0.687,-10.18,-0.222,292.41,2.92,25.0,50.0,0,0,3,0,0.941,0.982,11019000000.0,14692000000.0,0.091
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,third_wave_initial,18,18,12,6,66.67,645.81,6.17,35.88,0.722,62.7,0.59,61.11,0.0,0,0,0,0,0.471,1.119,4863000000.0,6484000000.0,0.244
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,third_wave_middle,18,15,11,4,73.33,651.02,6.923,43.4,0.8,58.11,0.57,61.11,5.56,0,0,0,3,0.535,1.32,7052298000.0,9403064000.0,0.27
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,unclear,12,12,7,5,58.33,243.26,2.007,20.27,0.35,241.6,2.4,58.33,41.67,0,0,0,0,0.659,1.089,3119750000.0,4159666666.666,0.145
v4_micro_or_candle,MID_TF_STRUCTURE_SL,chasing_entry,366,366,185,181,50.55,4093.51,1.469,11.18,0.177,1211.7,8.0,50.55,49.45,0,0,0,0,0.785,1.069,17459842049.18,23279789398.907,0.1
v4_micro_or_candle,MID_TF_STRUCTURE_SL,late_entry,12,12,6,6,50.0,83.71,1.286,6.98,0.167,292.41,2.92,50.0,50.0,0,0,0,0,0.92,1.164,11342750000.0,15123666666.666,0.093
v4_micro_or_candle,MID_TF_STRUCTURE_SL,third_wave_initial,18,18,12,6,66.67,488.82,2.567,27.16,0.556,162.96,1.53,66.67,33.33,0,0,0,0,0.652,1.406,2386833333.333,3182444444.444,0.382
v4_micro_or_candle,MID_TF_STRUCTURE_SL,third_wave_middle,18,18,14,4,77.78,806.35,5.797,44.8,0.806,116.28,1.14,77.78,22.22,0,0,0,0,0.618,1.427,3793915000.0,5058553333.333,0.273
v4_micro_or_candle,MID_TF_STRUCTURE_SL,unclear,12,12,7,5,58.33,243.26,2.007,20.27,0.35,241.6,2.4,58.33,41.67,0,0,0,0,0.659,1.089,3119750000.0,4159666666.666,0.145
v4_without_weak_signals,CURRENT_SL,chasing_entry,432,432,218,214,50.46,4682.8,1.443,10.84,0.175,1335.72,8.55,50.46,48.84,0,0,0,0,0.783,1.056,16882927430.556,22510569907.407,0.117
v4_without_weak_signals,CURRENT_SL,late_entry,21,21,12,9,57.14,314.05,1.724,14.95,0.333,292.41,2.92,57.14,42.86,0,0,0,0,0.827,1.229,15196428571.429,20261904761.905,0.077
v4_without_weak_signals,CURRENT_SL,third_wave_initial,18,18,12,6,66.67,484.92,2.555,26.94,0.556,162.96,1.53,66.67,33.33,0,0,0,0,0.652,1.406,2386833333.333,3182444444.444,0.38
v4_without_weak_signals,CURRENT_SL,third_wave_middle,18,18,14,4,77.78,782.3,5.654,43.46,0.806,116.28,1.14,77.78,22.22,0,0,0,0,0.59,1.496,5003915000.0,6671886666.667,0.257
v4_without_weak_signals,CURRENT_SL,unclear,9,9,1,8,11.11,-330.34,0.154,-36.7,-0.756,390.34,3.88,11.11,88.89,0,0,0,0,1.014,0.554,2290000000.0,3053333333.333,0.283
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,chasing_entry,432,372,195,177,52.42,4564.01,1.536,12.27,0.213,1420.21,9.35,42.82,38.89,0,9,42,9,0.757,1.062,14811828467.742,19749104623.656,0.126
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,late_entry,21,18,9,9,50.0,131.9,1.304,7.33,0.156,292.41,2.92,38.1,42.86,0,0,3,0,0.814,1.117,16551833333.333,22069111111.111,0.074
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,third_wave_initial,18,18,12,6,66.67,641.55,6.136,35.64,0.722,62.7,0.59,61.11,0.0,0,0,0,0,0.471,1.119,4863000000.0,6484000000.0,0.243
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,third_wave_middle,18,18,14,4,77.78,840.47,8.646,46.69,0.889,58.11,0.57,77.78,5.56,0,0,0,0,0.478,1.403,7166915000.0,9555886666.667,0.237
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,unclear,9,9,1,8,11.11,-266.77,0.184,-29.64,-0.613,326.77,3.25,11.11,55.56,0,0,0,0,0.905,0.533,2327333333.333,3103111111.111,0.212
v4_without_weak_signals,MID_TF_STRUCTURE_SL,chasing_entry,432,432,218,214,50.46,4682.8,1.443,10.84,0.175,1335.72,8.55,50.46,48.84,0,0,0,0,0.783,1.056,16882927430.556,22510569907.407,0.117
v4_without_weak_signals,MID_TF_STRUCTURE_SL,late_entry,21,21,12,9,57.14,314.05,1.724,14.95,0.333,292.41,2.92,57.14,42.86,0,0,0,0,0.827,1.229,15196428571.429,20261904761.905,0.077
v4_without_weak_signals,MID_TF_STRUCTURE_SL,third_wave_initial,18,18,12,6,66.67,484.92,2.555,26.94,0.556,162.96,1.53,66.67,33.33,0,0,0,0,0.652,1.406,2386833333.333,3182444444.444,0.38
v4_without_weak_signals,MID_TF_STRUCTURE_SL,third_wave_middle,18,18,14,4,77.78,782.3,5.654,43.46,0.806,116.28,1.14,77.78,22.22,0,0,0,0,0.59,1.496,5003915000.0,6671886666.667,0.257
v4_without_weak_signals,MID_TF_STRUCTURE_SL,unclear,9,9,1,8,11.11,-330.34,0.154,-36.7,-0.756,390.34,3.88,11.11,88.89,0,0,0,0,1.014,0.554,2290000000.0,3053333333.333,0.283
