period,run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2025,B,ThirdWave_LONG_ONLY,12,8,3,5,37.5,-40.84,176.67,-217.51,0.812,-5.1,58.89,-43.5
2025,B,ThirdWave_LONG_ONLY,13,19,8,11,42.11,79.45,540.26,-460.81,1.172,4.18,67.53,-41.89
2025,B,ThirdWave_LONG_ONLY,14,13,3,10,23.08,-233.79,184.39,-418.18,0.441,-17.98,61.46,-41.82
2025,B,ThirdWave_LONG_ONLY,15,16,8,8,50.0,188.19,528.4,-340.21,1.553,11.76,66.05,-42.53
2025,B,ThirdWave_LONG_ONLY,16,16,6,10,37.5,-35.93,400.15,-436.08,0.918,-2.25,66.69,-43.61
2025,B,ThirdWave_LONG_ONLY,17,10,2,8,20.0,-247.35,111.4,-358.75,0.311,-24.73,55.7,-44.84
2025,B,ThirdWave_LONG_ONLY,18,14,5,9,35.71,-106.68,311.86,-418.54,0.745,-7.62,62.37,-46.5
2025,B,ThirdWave_LONG_ONLY,19,15,2,13,13.33,-451.72,107.73,-559.45,0.193,-30.11,53.86,-43.03
2025,B,ThirdWave_LONG_ONLY,20,15,7,8,46.67,43.27,401.87,-358.6,1.121,2.88,57.41,-44.83
2025,B,ThirdWave_LONG_ONLY,21,11,4,7,36.36,-161.1,208.58,-369.68,0.564,-14.65,52.15,-52.81
2025,B,ThirdWave_LONG_ONLY,22,17,4,13,23.53,-373.85,240.63,-614.48,0.392,-21.99,60.16,-47.27
2025,B,ThirdWave_LONG_ONLY,23,10,6,4,60.0,60.48,319.67,-259.19,1.233,6.05,53.28,-64.8
2025,C,ThirdWave_SHORT_ONLY,01,2,0,2,0.0,-98.02,0.0,-98.02,0.0,-49.01,0.0,-49.01
2025,C,ThirdWave_SHORT_ONLY,02,10,2,8,20.0,-213.9,150.72,-364.62,0.413,-21.39,75.36,-45.58
2025,C,ThirdWave_SHORT_ONLY,03,7,1,6,14.29,-206.28,69.42,-275.7,0.252,-29.47,69.42,-45.95
2025,C,ThirdWave_SHORT_ONLY,04,9,3,6,33.33,-66.07,211.71,-277.78,0.762,-7.34,70.57,-46.3
2025,C,ThirdWave_SHORT_ONLY,05,3,2,1,66.67,86.78,137.74,-50.96,2.703,28.93,68.87,-50.96
2025,C,ThirdWave_SHORT_ONLY,06,10,5,5,50.0,116.91,349.24,-232.33,1.503,11.69,69.85,-46.47
2025,C,ThirdWave_SHORT_ONLY,07,8,4,4,50.0,93.29,282.7,-189.41,1.493,11.66,70.67,-47.35
2025,C,ThirdWave_SHORT_ONLY,08,10,6,4,60.0,235.79,423.29,-187.5,2.258,23.58,70.55,-46.88
2025,C,ThirdWave_SHORT_ONLY,09,9,4,5,44.44,56.27,281.67,-225.4,1.25,6.25,70.42,-45.08
2025,C,ThirdWave_SHORT_ONLY,10,8,3,5,37.5,-16.83,218.2,-235.03,0.928,-2.1,72.73,-47.01
2025,C,ThirdWave_SHORT_ONLY,11,9,3,6,33.33,-87.43,201.6,-289.03,0.698,-9.71,67.2,-48.17
2025,C,ThirdWave_SHORT_ONLY,12,9,7,2,77.78,372.85,466.3,-93.45,4.99,41.43,66.61,-46.72
2025,C,ThirdWave_SHORT_ONLY,13,8,2,6,25.0,-151.13,139.83,-290.96,0.481,-18.89,69.91,-48.49
2025,C,ThirdWave_SHORT_ONLY,14,14,7,7,50.0,142.1,484.03,-341.93,1.416,10.15,69.15,-48.85
2025,C,ThirdWave_SHORT_ONLY,15,11,4,7,36.36,-92.13,256.46,-348.59,0.736,-8.38,64.12,-49.8
2025,C,ThirdWave_SHORT_ONLY,16,9,5,4,55.56,150.04,349.08,-199.04,1.754,16.67,69.82,-49.76
2025,C,ThirdWave_SHORT_ONLY,17,9,3,6,33.33,-73.7,213.14,-286.84,0.743,-8.19,71.05,-47.81
2025,C,ThirdWave_SHORT_ONLY,18,9,2,7,22.22,-196.56,142.35,-338.91,0.42,-21.84,71.17,-48.42
2025,C,ThirdWave_SHORT_ONLY,19,16,9,7,56.25,309.86,627.53,-317.67,1.975,19.37,69.73,-45.38
2025,C,ThirdWave_SHORT_ONLY,20,10,3,7,30.0,-126.19,189.39,-315.58,0.6,-12.62,63.13,-45.08
2025,C,ThirdWave_SHORT_ONLY,21,13,3,10,23.08,-267.19,198.7,-465.89,0.426,-20.55,66.23,-46.59
2025,C,ThirdWave_SHORT_ONLY,22,8,5,3,62.5,232.48,361.13,-128.65,2.807,29.06,72.23,-42.88
2025,C,ThirdWave_SHORT_ONLY,23,7,2,5,28.57,45.76,273.76,-228.0,1.201,6.54,136.88,-45.6
