period,scenario,symbol,direction,time,close_time,entry_price,sl,tp,result_R,net_profit,fx_bucket,session,month,scan_driver_symbol,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,time_to_1R,time_to_SL,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,label,fail_reason,h4_pivot_sequence,h1_pivot_sequence,h4_impulse_atr,room_to_target_label,cond_h4_bias_ma,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_room_to_2r,cond_h4_dow_bias,cond_m15_close_bos,cond_room_to_1r,cond_sl_atr_ok
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2025.08.21 02:50:00,2025.08.21 07:28:20,3346.58,3350.37,3339.0,2.0,98.54,XAUUSD,server_00_07,2025-08,USDJPY,2.116,0.348,true,true,true,25.0,,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,6.54,last_higher_low,3320.9,m15_prev_extreme_bos,5.42,2.71,h4_impulse_low,3326.04,2.14,condition_factorial_candidate,,A_high@2025.08.18 08:00=3358.35000|B_low@2025.08.19 00:00=3326.04000|C_high@2025.08.19 12:00=3345.26000,high_latest@2025.08.20 17:00=3350.18000|low_latest@2025.08.20 11:00=3320.90000|bos@2025.08.20 11:00=3320.90000,3.01,room_to_2r_ok,false,true,true,true,true,true,true,true,true,false,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,2025.08.26 05:50:00,2025.08.27 07:20:10,147.571,147.947,146.819,-1.0,-50.57,FX,server_00_07,2025-08,USDJPY,1.277,0.989,true,true,false,805.0,,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.76,last_higher_low,147.633,m15_true_bos_close,0.77,0.39,h1_counter_low,147.281,2.19,condition_factorial_candidate,,,high_latest@2025.08.25 22:00=147.93200|low_latest@2025.08.26 00:00=147.63300|bos@2025.08.26 00:00=147.63300,0.00,insufficient_room_to_1r,true,false,true,true,true,true,false,false,false,true,false,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,2025.08.28 03:20:00,2025.08.28 03:54:26,147.427,147.272,147.737,-1.0,-50.52,FX,server_00_07,2025-08,USDJPY,0.284,1.361,false,false,false,,25.0,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,4.89,last_lower_high,147.511,m15_prev_extreme_bos,3.05,1.52,h4_impulse_high,147.899,1.71,condition_factorial_candidate,,A_low@2025.08.26 00:00=146.98000|B_high@2025.08.26 08:00=147.89900|C_low@2025.08.26 16:00=147.09100,high_latest@2025.08.27 22:00=147.51100|low_latest@2025.08.27 20:00=147.28700|bos@2025.08.27 22:00=147.51100,1.97,room_to_2r_ok,false,false,true,true,true,true,true,true,true,false,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,2025.08.28 16:20:00,2025.08.28 17:17:32,147.168,146.978,147.548,-1.021,-51.48,FX,server_16_23,2025-08,USDJPY,0.305,1.574,false,false,false,,55.0,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.34,last_lower_high,147.395,m15_prev_extreme_bos,1.61,0.81,h1_counter_high,147.474,1.46,condition_factorial_candidate,,A_low@2025.08.26 00:00=146.98000|B_high@2025.08.26 08:00=147.89900|C_low@2025.08.26 16:00=147.09100,high_latest@2025.08.28 10:00=147.39500|low_latest@2025.08.28 09:00=146.99300|bos@2025.08.28 10:00=147.39500,2.32,room_to_1r_only,false,false,true,true,true,true,true,false,true,false,true,true
2025-08,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,2025.08.29 17:05:00,2025.08.29 23:56:59,147.017,147.212,146.627,-0.256,-12.58,FX,server_16_23,2025-08,USDJPY,1.318,0.446,true,true,false,40.0,,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.26,last_higher_low,146.86,m15_prev_extreme_bos,1.35,0.68,h1_counter_low,146.753,2.0,condition_factorial_candidate,,,high_latest@2025.08.29 10:00=147.19300|low_latest@2025.08.29 11:00=146.86000|bos@2025.08.29 11:00=146.86000,0.00,room_to_1r_only,true,false,true,true,true,true,true,false,false,false,true,true
2025-10,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,EURJPY,LONG,2025.10.10 11:05:00,2025.10.10 12:01:32,177.067,176.715,177.771,-1.003,-48.58,FX,server_08_15,2025-10,USDJPY,0.02,1.057,false,false,false,,55.0,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.16,weak_lower_high,177.143,m15_prev_extreme_bos,0.22,0.11,h1_counter_high,177.143,2.09,condition_factorial_candidate,,,high_latest@2025.10.10 02:00=177.14300|low_latest@2025.10.10 00:00=176.74500|bos@2025.10.10 02:00=177.14300,0.00,insufficient_room_to_1r,true,false,true,false,true,true,true,false,true,false,false,true
2025-10,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2025.10.13 22:20:00,2025.10.14 02:33:30,4101.36,4117.35,4069.38,-1.007,-47.49,XAUUSD,server_16_23,2025-10,USDJPY,0.237,1.914,false,false,false,,250.0,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,10.92,last_higher_low,3975.11,m15_prev_extreme_bos,6.25,3.13,h4_impulse_low,4001.37,2.04,condition_factorial_candidate,,A_high@2025.10.08 16:00=4059.19000|B_low@2025.10.09 00:00=4001.37000|C_high@2025.10.09 16:00=4057.91000,high_latest@2025.10.13 19:00=4116.96000|low_latest@2025.10.10 20:00=3975.11000|bos@2025.10.10 20:00=3975.11000,1.43,room_to_2r_ok,false,false,true,true,true,true,true,true,true,false,true,true
2025-10,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,2025.10.17 19:35:00,2025.10.20 10:06:02,1.34288,1.34082,1.347,-1.005,-49.9,FX,server_16_23,2025-10,USDJPY,0.65,1.17,true,false,false,,3745.0,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.08,last_lower_high,1.34422,m15_prev_extreme_bos,2.03,1.01,h1_counter_high,1.34706,1.9,condition_factorial_candidate,,,high_latest@2025.10.17 14:00=1.34422|low_latest@2025.10.17 11:00=1.34102|bos@2025.10.17 14:00=1.34422,0.00,room_to_2r_ok,false,false,true,true,true,true,true,true,true,false,true,true
2025-10,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2025.10.29 16:20:00,2025.10.29 18:51:54,4016.99,4030.57,3989.83,2.007,81.75,XAUUSD,server_16_23,2025-10,USDJPY,2.024,0.399,true,true,true,10.0,,none,ma_bias_pass,dow_bias_pass,too_shallow_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,1.96,last_higher_low,3951.02,m15_prev_extreme_bos,3.35,1.67,h4_impulse_low,3971.5,1.61,condition_factorial_candidate,,A_high@2025.10.24 16:00=4138.65000|B_low@2025.10.27 16:00=3971.50000|C_high@2025.10.28 04:00=4019.66000,high_latest@2025.10.29 03:00=3982.33000|low_latest@2025.10.29 08:00=3951.02000|bos@2025.10.29 08:00=3951.02000,3.38,room_to_2r_ok,true,false,true,true,true,true,true,true,true,false,true,true
2025-10,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,AUDJPY,LONG,2025.10.30 08:20:00,2025.10.30 23:57:59,100.648,100.204,101.536,0.822,40.25,FX,server_08_15,2025-10,USDJPY,1.245,0.106,true,true,false,115.0,,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.02,last_lower_high,100.585,m15_true_bos_close,0.21,0.1,h1_counter_high,100.741,2.18,condition_factorial_candidate,,A_low@2025.10.24 12:00=99.13300|B_high@2025.10.27 20:00=100.35900|C_low@2025.10.28 08:00=99.40000,high_latest@2025.10.30 03:00=100.58500|low_latest@2025.10.30 00:00=100.23200|bos@2025.10.30 03:00=100.58500,3.08,insufficient_room_to_1r,true,false,true,true,true,true,false,false,true,true,false,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2026.01.02 17:20:00,2026.01.02 20:44:05,4339.45,4354.05,4310.25,2.003,87.75,XAUUSD,server_16_23,2026-01,USDJPY,2.016,0.518,true,true,true,40.0,,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.42,last_higher_low,4304.53,m15_prev_extreme_bos,2.49,1.24,h1_counter_low,4303.16,1.2,condition_factorial_candidate,,A_high@2025.12.26 16:00=4549.86000|B_low@2025.12.29 16:00=4302.75000|C_high@2025.12.30 12:00=4404.29000,high_latest@2025.12.31 16:00=4353.44000|low_latest@2025.12.31 22:00=4304.53000|bos@2025.12.31 22:00=4304.53000,5.75,room_to_2r_ok,false,true,true,true,true,true,true,true,true,false,true,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,2026.01.07 18:35:00,2026.01.08 04:05:30,4464.85,4440.86,4512.83,-1.003,-52.85,XAUUSD,server_16_23,2026-01,USDJPY,0.144,1.021,false,false,false,,565.0,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.31,last_lower_high,4474.77,m15_prev_extreme_bos,1.48,0.74,h1_counter_high,4500.46,1.81,condition_factorial_candidate,,,high_latest@2026.01.07 10:00=4474.77000|low_latest@2026.01.07 08:00=4441.52000|bos@2026.01.07 10:00=4474.77000,0.00,room_to_1r_only,false,false,true,true,true,true,true,false,true,false,true,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,2026.01.09 14:50:00,2026.01.09 15:31:34,4467.64,4477.86,4447.2,-1.041,-42.56,XAUUSD,server_08_15,2026-01,USDJPY,0.835,2.373,true,false,false,,40.0,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,1.85,last_higher_low,4464.05,m15_prev_extreme_bos,0.92,0.46,h1_counter_low,4458.26,2.0,condition_factorial_candidate,,A_high@2026.01.07 00:00=4500.46000|B_low@2026.01.08 12:00=4407.70000|C_high@2026.01.09 00:00=4484.04000,high_latest@2026.01.09 11:00=4477.60000|low_latest@2026.01.09 10:00=4464.05000|bos@2026.01.09 10:00=4464.05000,3.05,insufficient_room_to_1r,false,false,true,true,true,true,true,false,true,false,false,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,2026.01.20 03:20:00,2026.01.20 03:32:25,158.015,158.163,157.719,-1.0,-49.59,FX,server_00_07,2026-01,USDJPY,0.615,1.149,true,false,false,,10.0,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.17,last_higher_low,157.997,m15_true_bos_close,1.08,0.54,h1_counter_low,157.855,1.52,condition_factorial_candidate,,A_high@2026.01.15 16:00=158.87200|B_low@2026.01.19 00:00=157.41800|C_high@2026.01.19 08:00=158.15800,high_latest@2026.01.19 22:00=158.14800|low_latest@2026.01.19 20:00=157.99700|bos@2026.01.19 20:00=157.99700,4.06,room_to_1r_only,false,true,true,true,true,true,false,false,true,true,true,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,2026.01.20 04:05:00,2026.01.20 08:07:46,158.038,158.164,157.786,-1.0,-49.39,FX,server_00_07,2026-01,USDJPY,1.198,3.198,true,true,false,70.0,235.0,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.04,last_higher_low,157.997,m15_true_bos_close,1.45,0.73,h1_counter_low,157.855,1.03,condition_factorial_candidate,,A_high@2026.01.15 16:00=158.87200|B_low@2026.01.19 00:00=157.41800|C_high@2026.01.19 08:00=158.15800,high_latest@2026.01.19 22:00=158.14800|low_latest@2026.01.19 20:00=157.99700|bos@2026.01.19 20:00=157.99700,4.08,room_to_1r_only,false,true,true,true,true,true,false,false,true,true,true,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,GBPJPY,SHORT,2026.01.23 10:35:00,2026.01.23 13:41:28,213.687,214.196,212.669,-1.0,-48.27,FX,server_08_15,2026-01,USDJPY,0.963,0.925,true,false,false,,,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.97,last_higher_low,213.543,m15_true_bos_close,2.01,1.01,h1_counter_low,212.663,1.22,condition_factorial_candidate,,A_high@2026.01.20 08:00=213.47900|B_low@2026.01.21 12:00=211.57400|C_high@2026.01.21 16:00=212.75200,high_latest@2026.01.23 05:00=214.15800|low_latest@2026.01.23 00:00=213.54300|bos@2026.01.23 00:00=213.54300,3.63,room_to_2r_ok,false,false,true,true,true,true,false,true,true,true,true,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,2026.01.26 08:20:00,2026.01.26 08:30:12,154.294,154.17,154.542,-1.032,-51.48,FX,server_08_15,2026-01,USDJPY,0.944,2.242,true,false,false,,10.0,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,6.23,last_lower_high,155.337,m15_prev_extreme_bos,32.55,16.27,h1_counter_high,158.33,0.68,condition_factorial_candidate,,A_low@2026.01.21 12:00=157.73900|B_high@2026.01.22 08:00=158.88600|C_low@2026.01.22 16:00=158.22300,high_latest@2026.01.26 02:00=155.33700|low_latest@2026.01.26 00:00=154.19000|bos@2026.01.26 02:00=155.33700,1.56,room_to_2r_ok,false,true,true,true,true,true,true,true,true,false,true,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,2026.01.27 12:05:00,2026.01.27 15:01:37,154.052,154.466,153.224,2.002,97.39,FX,server_08_15,2026-01,USDJPY,2.128,0.316,true,true,true,25.0,,none,ma_bias_pass,dow_bias_fail,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,1.08,last_higher_low,154.362,m15_true_bos_close,0.0,0.0,no_known_obstacle,0.0,1.89,condition_factorial_candidate,,,high_latest@2026.01.27 02:00=154.44400|low_latest@2026.01.27 08:00=154.36200|bos@2026.01.27 08:00=154.36200,0.00,no_known_obstacle,true,false,true,true,true,true,true,true,false,true,true,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,2026.01.27 18:20:00,2026.01.27 22:48:46,5100.25,5066.02,5168.71,2.008,68.73,XAUUSD,server_16_23,2026-01,USDJPY,2.56,0.699,true,true,true,220.0,,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,1.45,last_lower_high,5092.79,m15_true_bos_close,0.02,0.01,h1_counter_high,5100.79,1.94,condition_factorial_candidate,,A_low@2026.01.23 08:00=4899.77000|B_high@2026.01.26 08:00=5111.08000|C_low@2026.01.26 20:00=4990.04000,high_latest@2026.01.27 15:00=5092.79000|low_latest@2026.01.27 13:00=5066.90000|bos@2026.01.27 15:00=5092.79000,4.03,insufficient_room_to_1r,true,true,true,true,true,true,true,false,true,true,false,true
2026-Q1,Nested_ConditionFactorial_Candidates_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,2026.01.28 16:50:00,2026.01.28 17:07:19,1.37961,1.37725,1.38433,-1.025,-50.82,FX,server_16_23,2026-01,USDJPY,0.186,1.996,false,false,false,,10.0,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,4.43,last_lower_high,1.38304,m15_prev_extreme_bos,3.08,1.54,h1_counter_high,1.38687,1.78,condition_factorial_candidate,,A_low@2026.01.26 08:00=1.36421|B_high@2026.01.26 16:00=1.37125|C_low@2026.01.27 08:00=1.36631,high_latest@2026.01.28 09:00=1.38304|low_latest@2026.01.28 10:00=1.37744|bos@2026.01.28 09:00=1.38304,1.62,room_to_2r_ok,true,false,true,true,true,true,true,true,true,false,true,true
