period,variant,wave_audit_label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2025,v4_micro_or_candle_lower_tf_sl_1_3R,late_entry,15,4,11,26.67,-287.61,0.471,-19.17,-0.397,391.86,3.92,8,-391.86,-133.92,-153.69,-217.98,-69.63,66.67,60.0,1.405,1.827,0.0934,0.4491,54.66,2.095,0.224,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_initial,12,4,8,33.33,-141.33,0.644,-11.78,-0.245,252.07,2.52,5,-252.07,-36.7,-104.63,-166.89,25.56,75.0,66.67,1.542,2.004,0.0942,0.4025,54.72,1.331,0.202,0.47
2025,v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_middle,10,7,3,70.0,309.59,3.097,30.96,0.631,94.59,0.95,2,-94.59,-33.78,343.37,203.62,105.97,70.0,50.0,1.499,1.949,0.1006,0.4764,55.94,1.643,0.237,0.71
2025,v4_micro_or_candle_lower_tf_sl_1_3R,unclear,7,1,6,14.29,-229.51,0.221,-32.79,-0.684,294.55,2.95,6,-294.55,-48.69,-180.82,-85.06,-144.45,85.71,57.14,1.426,1.853,0.1107,0.3908,84.12,1.331,0.229,0.59
2025,v4_without_weak_lower_tf_sl_1_3R,chasing_entry,334,159,175,47.6,1503.41,1.177,4.5,0.115,560.05,5.29,11,-529.96,-136.03,1639.44,1542.65,-39.24,68.56,47.9,2.494,3.242,0.1034,0.4572,54.54,2.39,0.151,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,late_entry,18,4,14,22.22,-428.89,0.375,-23.83,-0.499,582.83,5.83,12,-582.83,-290.34,-138.55,-217.13,-211.76,66.67,50.0,1.427,1.855,0.0979,0.4177,58.73,1.92,0.187,0.52
2025,v4_without_weak_lower_tf_sl_1_3R,third_wave_initial,13,4,9,30.77,-197.81,0.565,-15.22,-0.304,297.01,2.97,6,-297.01,-79.86,-117.95,-180.21,-17.6,69.23,61.54,1.548,2.012,0.0979,0.411,55.46,1.342,0.199,0.48
2025,v4_without_weak_lower_tf_sl_1_3R,third_wave_middle,14,11,3,78.57,575.44,4.898,41.1,0.826,94.59,0.94,2,-94.59,33.46,541.98,203.62,371.82,71.43,35.71,1.501,1.952,0.0917,0.4398,55.99,1.546,0.241,0.77
2025,v4_without_weak_lower_tf_sl_1_3R,unclear,9,1,8,11.11,-333.8,0.174,-37.09,-0.763,404.26,4.04,8,-404.26,-47.86,-285.94,-81.65,-252.15,88.89,44.44,1.459,1.897,0.0962,0.4147,84.27,1.362,0.196,0.58
2026YTD,current_thirdwave_current_sl_1_5R,chasing_entry,88,41,47,46.59,839.43,1.372,9.54,0.167,277.88,2.66,6,-277.88,-77.06,916.49,180.93,658.5,89.77,37.5,3.058,4.586,0.0564,0.4278,57.64,2.949,0.05,0.31
2026YTD,current_thirdwave_current_sl_1_5R,late_entry,1,1,0,100.0,86.7,,86.7,1.63,0.0,0.0,0,0.0,86.7,0,0,86.7,0.0,0.0,1.61,2.415,0.1897,0.5872,76.35,1.42,0.44,0.44
2026YTD,current_thirdwave_current_sl_1_5R,third_wave_initial,2,1,1,50.0,21.14,1.453,10.57,0.252,46.62,0.47,1,-46.62,0,21.14,-46.62,67.76,100.0,50.0,1.3,1.95,0.0327,0.5378,62.16,1.21,0.05,0.06
2026YTD,current_thirdwave_current_sl_1_5R,third_wave_middle,4,1,3,25.0,-81.52,0.463,-20.38,-0.375,100.51,1.01,2,-100.51,0,-81.52,-30.31,-51.21,100.0,75.0,1.27,1.905,0.0423,0.4473,57.25,1.185,0.068,0.09
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,chasing_entry,106,54,52,50.94,697.22,1.26,6.58,0.13,457.92,4.11,5,-232.91,110.54,586.68,59.76,637.46,87.74,35.85,2.532,3.038,0.0585,0.4229,55.68,2.564,0.063,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,late_entry,4,2,2,50.0,18.25,1.177,4.56,0.099,103.35,1.03,2,-103.35,-53.85,72.1,-49.5,67.75,75.0,25.0,1.515,1.818,0.0675,0.3842,46.47,1.393,0.13,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_initial,3,2,1,66.67,101.72,2.869,33.91,0.621,54.42,0.54,1,-54.42,156.14,-54.42,-54.42,156.14,33.33,33.33,1.63,1.956,0.1376,0.2253,62.19,1.29,0.277,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,third_wave_middle,6,3,3,50.0,36.83,1.234,6.14,0.089,103.7,1.02,2,-103.7,127.26,-90.43,25.43,11.4,66.67,66.67,1.467,1.76,0.0884,0.3441,68.58,1.35,0.197,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,unclear,3,2,1,66.67,67.64,2.257,22.55,0.456,53.8,0.53,1,-53.8,66.09,1.55,0,67.64,66.67,0.0,1.313,1.576,0.0668,0.3593,83.6,1.223,0.107,0.13
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,chasing_entry,106,50,56,47.17,509.82,1.179,4.81,0.088,779.98,6.92,5,-247.04,16.98,492.84,-0.1,509.92,87.74,35.85,2.513,3.267,0.0586,0.4239,55.93,2.533,0.063,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,late_entry,4,2,2,50.0,32.27,1.312,8.07,0.17,103.35,1.03,2,-103.35,-53.85,86.12,-49.5,81.77,75.0,25.0,1.515,1.97,0.0675,0.3842,46.47,1.393,0.13,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_initial,3,2,1,66.67,105.68,2.942,35.23,0.647,54.42,0.54,1,-54.42,160.1,-54.42,-54.42,160.1,33.33,33.33,1.63,2.119,0.1376,0.2253,62.19,1.29,0.277,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,third_wave_middle,6,3,3,50.0,59.42,1.391,9.9,0.142,98.13,0.97,2,-98.13,139.12,-79.7,36.35,23.07,66.67,66.67,1.467,1.907,0.0884,0.3441,68.58,1.35,0.195,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,unclear,3,2,1,66.67,77.65,2.443,25.88,0.522,53.8,0.53,1,-53.8,71.69,5.96,0,77.65,66.67,0.0,1.313,1.707,0.0668,0.3593,83.6,1.223,0.107,0.13
2026YTD,v4_without_weak_lower_tf_sl_1_3R,chasing_entry,128,59,69,46.09,436.18,1.128,3.41,0.053,787.67,7.07,6,-289.47,-97.79,533.97,25.8,410.38,84.38,29.69,2.48,3.224,0.0632,0.4079,55.53,2.48,0.078,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,late_entry,6,4,2,66.67,165.12,2.708,27.52,0.533,96.66,0.95,2,-96.66,67.7,97.42,-49.5,214.62,83.33,16.67,1.428,1.857,0.0369,0.3566,55.39,1.29,0.052,0.13
2026YTD,v4_without_weak_lower_tf_sl_1_3R,third_wave_initial,3,2,1,66.67,105.68,2.942,35.23,0.647,54.42,0.54,1,-54.42,160.1,-54.42,-54.42,160.1,33.33,33.33,1.63,2.119,0.1376,0.2253,62.19,1.29,0.277,0.43
2026YTD,v4_without_weak_lower_tf_sl_1_3R,third_wave_middle,9,4,5,44.44,21.71,1.085,2.41,0.012,105.54,1.05,2,-105.54,86.13,-64.42,36.35,-14.64,66.67,44.44,1.437,1.868,0.0933,0.4635,58.75,1.511,0.2,0.6
2026YTD,v4_without_weak_lower_tf_sl_1_3R,unclear,1,0,1,0.0,-53.8,0.0,-53.8,-1.037,53.8,0.54,1,-53.8,0,-53.8,0,-53.8,100.0,0.0,1.2,1.56,0.0624,0.2818,86.04,1.11,0.1,0.1
