period,variant,scenario,symbol,direction,month,session,regime,is_xauusd,reversal_signal_type,wave_audit_label,sl_mode,reward_r,current_result_R,current_profit,shadow_outcome,shadow_result_R,shadow_profit,tp_hit,sl_hit,same_bar_ambiguous,time_to_tp_minutes,time_to_sl_minutes,mae_R,mfe_R,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,hypothetical_lot_size,invalid_stops,sl_too_tight,sl_too_wide,not_enough_money,delta_result_R_vs_current
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.5,1.5466,71.3,tp,1.5,69.15,1,0,0,130.0,,0.2928,1.6551,4.609999999999673,4609999999.999672,6.914999999999509,6914999999.999509,0.1,0,0,0,0,-0.0466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.2,1.5466,71.3,tp,1.2,55.32,1,0,0,65.0,,0.3924,1.2326,3.4399999999996,3439999999.9995995,4.12799999999952,4127999999.9995193,0.134,0,0,0,0,-0.3466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.3,1.5466,71.3,tp,1.3,59.93,1,0,0,120.0,,0.3924,1.5145,3.4399999999996,3439999999.9995995,4.47199999999948,4471999999.999479,0.134,0,0,0,0,-0.2466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.5,1.5466,71.3,tp,1.5,69.15,1,0,0,120.0,,0.3924,1.5145,3.4399999999996,3439999999.9995995,5.1599999999994,5159999999.999399,0.134,0,0,0,0,-0.0466
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.2,1.5423,64.96000000000001,tp,1.2,50.54,1,0,0,115.0,,0.3112,1.492,4.369999999999891,4369999999.99989,5.243999999999869,5243999999.999869,0.11,0,0,0,0,-0.3423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.3,1.5423,64.96000000000001,tp,1.3,54.75,1,0,0,115.0,,0.3112,1.492,4.369999999999891,4369999999.99989,5.680999999999858,5680999999.999858,0.11,0,0,0,0,-0.2423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.5,1.5423,64.96000000000001,tp,1.5,63.18,1,0,0,145.0,,0.3112,2.1236,4.369999999999891,4369999999.99989,6.554999999999836,6554999999.999836,0.11,0,0,0,0,-0.0423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.2,1.5423,64.96000000000001,tp,1.2,50.54,1,0,0,115.0,,0.3112,1.492,4.369999999999891,4369999999.99989,5.243999999999869,5243999999.999869,0.11,0,0,0,0,-0.3423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.3,1.5423,64.96000000000001,tp,1.3,54.75,1,0,0,115.0,,0.3112,1.492,4.369999999999891,4369999999.99989,5.680999999999858,5680999999.999858,0.11,0,0,0,0,-0.2423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.5,1.5423,64.96000000000001,tp,1.5,63.18,1,0,0,145.0,,0.3112,2.1236,4.369999999999891,4369999999.99989,6.554999999999836,6554999999.999836,0.11,0,0,0,0,-0.0423
