period,variant,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
2024,v4_micro_or_candle_lower_tf_sl_1_2R,USDJPY,28,13,15,46.43,29.35,1.041,1.05,0.024,138.83,1.37,2,-99.28,29.35,0,-106.01,135.36,0.0,60.71,257.4,2.089,308.9,2.507,0.343,0.96,47.47
2024,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,160,74,86,46.25,-263.19,0.937,-1.64,0.016,1120.56,10.9,10,-491.28,0,-263.19,-45.79,-217.4,100.0,63.75,403.1,2.411,483.7,2.893,0.14,0.42,45.06
2024,v4_micro_or_candle_lower_tf_sl_1_3R,AUDJPY,1,0,1,0.0,-47.14,0.0,-47.14,-1.025,47.14,0.47,1,-47.14,-47.14,0,0,-47.14,0.0,100.0,526.0,2.54,683.8,3.302,0.13,0.13,46.0
2024,v4_micro_or_candle_lower_tf_sl_1_3R,EURJPY,22,9,13,40.91,-70.15,0.887,-3.19,-0.059,359.9,3.55,5,-236.36,-70.15,0,70.6,-140.75,0.0,54.55,280.2,2.04,364.3,2.652,0.355,0.82,47.36
2024,v4_micro_or_candle_lower_tf_sl_1_3R,EURUSD,1,0,1,0.0,-50.46,0.0,-50.46,-1.0,50.46,0.5,1,-50.46,-50.46,0,0,-50.46,0.0,100.0,174.0,2.75,226.2,3.575,0.29,0.29,50.46
2024,v4_micro_or_candle_lower_tf_sl_1_3R,GBPJPY,22,10,12,45.45,43.4,1.075,1.97,0.041,134.74,1.34,2,-102.82,43.4,0,130.01,-86.61,0.0,50.0,329.5,2.342,428.3,3.045,0.281,0.56,48.04
2024,v4_micro_or_candle_lower_tf_sl_1_3R,GBPUSD,5,2,3,40.0,-31.33,0.801,-6.27,-0.118,107.6,1.08,2,-107.6,-31.33,0,1.79,-33.12,0.0,60.0,177.0,2.282,230.1,2.967,0.288,0.4,48.5
2024,v4_micro_or_candle_lower_tf_sl_1_3R,USDJPY,28,13,15,46.43,94.89,1.133,3.39,0.072,134.88,1.32,2,-99.28,94.89,0,-82.38,177.27,0.0,60.71,257.4,2.089,334.6,2.716,0.342,0.96,47.38
2024,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,159,70,89,44.03,-306.26,0.929,-1.93,0.011,998.2,9.89,10,-488.89,0,-306.26,1.69,-307.95,100.0,63.52,403.2,2.413,524.2,3.136,0.14,0.42,45.14
2024,v4_without_weak_lower_tf_sl_1_3R,AUDJPY,2,0,2,0.0,-87.72,0.0,-43.86,-1.003,87.72,0.88,2,-87.72,-87.72,0,0,-87.72,0.0,100.0,783.0,2.985,1017.9,3.881,0.085,0.1,43.71
2024,v4_without_weak_lower_tf_sl_1_3R,EURJPY,25,9,16,36.0,-230.71,0.703,-9.23,-0.19,444.79,4.39,4,-221.54,-230.71,0,69.99,-300.7,0.0,60.0,279.8,2.078,363.7,2.701,0.336,0.81,46.62
2024,v4_without_weak_lower_tf_sl_1_3R,EURUSD,1,0,1,0.0,-48.36,0.0,-48.36,-1.0,48.36,0.48,1,-48.36,-48.36,0,0,-48.36,0.0,100.0,156.0,2.46,202.8,3.198,0.31,0.31,48.36
2024,v4_without_weak_lower_tf_sl_1_3R,GBPJPY,32,14,18,43.75,-10.36,0.988,-0.32,0.003,269.23,2.68,4,-203.49,-10.36,0,125.76,-136.12,0.0,65.62,345.3,2.267,448.9,2.947,0.288,0.87,46.83
2024,v4_without_weak_lower_tf_sl_1_3R,GBPUSD,8,2,6,25.0,-173.72,0.415,-21.72,-0.454,173.72,1.74,2,-105.35,-173.72,0,0.87,-174.59,0.0,75.0,153.9,1.816,200.0,2.361,0.325,0.43,47.3
2024,v4_without_weak_lower_tf_sl_1_3R,USDJPY,38,17,21,44.74,99.36,1.102,2.61,0.063,282.6,2.72,5,-229.48,99.36,0,-83.78,183.14,0.0,71.05,293.4,2.103,381.4,2.734,0.315,0.95,45.95
2024,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,179,77,102,43.02,-460.37,0.903,-2.57,-0.012,1119.92,11.11,11,-518.58,0,-460.37,40.62,-500.99,100.0,56.42,393.4,2.346,511.4,3.05,0.144,0.52,43.95
2025,current_thirdwave_current_sl_1_5R,AUDJPY,2,1,1,50.0,19.34,1.37,9.67,0.243,52.31,0.52,1,-52.31,19.34,0,0,19.34,0.0,100.0,559.0,2.53,838.5,3.795,0.14,0.18,49.67
2025,current_thirdwave_current_sl_1_5R,EURJPY,8,3,5,37.5,-27.41,0.888,-3.43,-0.066,244.68,2.41,5,-244.68,-27.41,0,-51.97,24.56,0.0,75.0,439.4,2.391,659.1,3.587,0.21,0.51,48.41
2025,current_thirdwave_current_sl_1_5R,EURUSD,9,3,6,33.33,-76.32,0.739,-8.48,-0.169,150.48,1.5,3,-148.06,-76.32,0,-26.95,-49.37,0.0,88.89,372.4,3.38,558.7,5.07,0.151,0.31,48.3
2025,current_thirdwave_current_sl_1_5R,GBPJPY,2,1,1,50.0,25.03,1.531,12.52,0.261,47.11,0.47,1,-47.11,25.03,0,0,25.03,0.0,100.0,970.5,2.98,1455.8,4.47,0.085,0.12,47.25
2025,current_thirdwave_current_sl_1_5R,GBPUSD,7,2,5,28.57,-107.8,0.562,-15.4,-0.29,123.76,1.24,2,-96.46,-107.8,0,-11.34,-96.46,0.0,71.43,344.7,2.996,517.1,4.494,0.18,0.34,48.04
2025,current_thirdwave_current_sl_1_5R,USDJPY,37,13,24,35.14,-243.66,0.797,-6.59,-0.122,569.75,5.64,9,-456.82,-243.66,0,-120.65,-123.01,0.0,72.97,338.2,2.848,507.2,4.273,0.255,0.8,49.08
2025,current_thirdwave_current_sl_1_5R,XAUUSD,204,83,121,40.69,-21.16,0.996,-0.1,0.025,725.27,6.83,7,-341.98,0,-21.16,-339.61,318.45,100.0,64.22,908.9,3.23,1363.4,4.844,0.067,0.26,45.03
2025,v4_micro_or_candle_lower_tf_sl_1_2R,AUDJPY,1,1,0,100.0,58.08,,58.08,1.201,0.0,0.0,0,0.0,58.08,0,0,58.08,0.0,100.0,1021.0,3.64,1225.2,4.368,0.07,0.07,48.37
2025,v4_micro_or_candle_lower_tf_sl_1_2R,EURJPY,1,0,1,0.0,-50.13,0.0,-50.13,-1.004,50.13,0.5,1,-50.13,-50.13,0,-50.13,0,0.0,100.0,248.0,1.42,297.6,1.704,0.29,0.29,49.93
2025,v4_micro_or_candle_lower_tf_sl_1_2R,EURUSD,14,4,10,28.57,-260.59,0.478,-18.61,-0.373,260.59,2.61,3,-147.56,-260.59,0,-162.5,-98.09,0.0,85.71,259.1,2.312,311.0,2.775,0.209,0.33,49.2
2025,v4_micro_or_candle_lower_tf_sl_1_2R,GBPJPY,4,1,3,25.0,-39.57,0.737,-9.89,-0.172,97.47,0.97,2,-97.47,-39.57,0,-50.92,11.35,0.0,75.0,540.8,1.968,648.9,2.361,0.205,0.47,49.58
2025,v4_micro_or_candle_lower_tf_sl_1_2R,GBPUSD,7,3,4,42.86,-26.67,0.868,-3.81,-0.072,153.98,1.53,3,-153.98,-26.67,0,72.06,-98.73,0.0,71.43,310.9,2.69,373.0,3.228,0.17,0.26,48.89
2025,v4_micro_or_candle_lower_tf_sl_1_2R,USDJPY,63,31,32,49.21,235.72,1.145,3.74,0.082,259.41,2.57,4,-205.04,235.72,0,456.31,-220.59,0.0,79.37,235.6,2.186,282.7,2.623,0.385,0.83,50.04
2025,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,247,123,124,49.8,926.77,1.153,3.75,0.101,411.64,3.91,5,-259.22,0,926.77,1124.41,-197.64,100.0,63.16,731.7,2.421,878.1,2.905,0.089,0.38,46.98
2025,v4_micro_or_candle_lower_tf_sl_1_3R,AUDJPY,1,1,0,100.0,63.06,,63.06,1.303,0.0,0.0,0,0.0,63.06,0,0,63.06,0.0,100.0,1021.0,3.64,1327.3,4.732,0.07,0.07,48.41
2025,v4_micro_or_candle_lower_tf_sl_1_3R,EURJPY,1,0,1,0.0,-50.15,0.0,-50.15,-1.004,50.15,0.5,1,-50.15,-50.15,0,-50.15,0,0.0,100.0,248.0,1.42,322.4,1.846,0.29,0.29,49.95
2025,v4_micro_or_candle_lower_tf_sl_1_3R,EURUSD,14,4,10,28.57,-235.84,0.52,-16.85,-0.336,235.84,2.36,3,-145.99,-235.84,0,-137.75,-98.09,0.0,85.71,259.1,2.312,336.9,3.006,0.206,0.33,48.17
2025,v4_micro_or_candle_lower_tf_sl_1_3R,GBPJPY,4,1,3,25.0,-35.44,0.758,-8.86,-0.172,94.48,0.94,2,-94.48,-35.44,0,-47.93,12.49,0.0,75.0,540.8,1.968,703.0,2.558,0.2,0.46,48.55
2025,v4_micro_or_candle_lower_tf_sl_1_3R,GBPUSD,7,3,4,42.86,-14.37,0.928,-2.05,-0.03,151.77,1.51,3,-151.77,-14.37,0,84.36,-98.73,0.0,71.43,310.9,2.69,404.1,3.497,0.167,0.26,48.12
2025,v4_micro_or_candle_lower_tf_sl_1_3R,USDJPY,62,27,35,43.55,-11.92,0.993,-0.19,0.002,402.97,4.03,4,-203.72,-11.92,0,323.59,-335.51,0.0,80.65,234.0,2.154,304.2,2.8,0.381,0.83,49.27
2025,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,246,118,128,47.97,1009.51,1.164,4.1,0.109,500.11,4.48,5,-259.22,0,1009.51,1103.14,-93.63,100.0,63.01,733.9,2.423,954.1,3.15,0.087,0.38,46.33
2025,v4_without_weak_lower_tf_sl_1_3R,AUDJPY,2,1,1,50.0,15.3,1.32,7.65,0.149,47.76,0.47,1,-47.76,15.3,0,0,15.3,0.0,100.0,645.5,2.67,839.1,3.471,0.165,0.26,47.99
2025,v4_without_weak_lower_tf_sl_1_3R,EURJPY,3,1,2,33.33,-32.45,0.658,-10.82,-0.232,94.9,0.94,2,-94.9,-32.45,0,-48.53,16.08,0.0,66.67,391.0,2.343,508.3,3.046,0.197,0.28,47.47
2025,v4_without_weak_lower_tf_sl_1_3R,EURUSD,15,4,11,26.67,-285.06,0.469,-19.0,-0.382,285.06,2.85,4,-191.18,-285.06,0,-137.21,-147.85,0.0,80.0,257.5,2.327,334.8,3.025,0.204,0.32,47.78
2025,v4_without_weak_lower_tf_sl_1_3R,GBPJPY,6,2,4,33.33,11.24,1.058,1.87,0.095,100.75,1.0,2,-100.75,11.24,0,-47.93,59.17,0.0,83.33,578.2,1.935,751.6,2.515,0.173,0.47,47.36
2025,v4_without_weak_lower_tf_sl_1_3R,GBPUSD,9,3,6,33.33,-110.53,0.627,-12.28,-0.247,197.53,1.97,4,-197.53,-110.53,0,84.36,-194.89,0.0,55.56,313.6,2.709,407.6,3.522,0.164,0.28,48.01
2025,v4_without_weak_lower_tf_sl_1_3R,USDJPY,85,36,49,42.35,-119.13,0.951,-1.4,-0.025,542.54,5.42,5,-250.75,-119.13,0,324.63,-443.76,0.0,85.88,241.8,2.159,314.3,2.807,0.362,0.85,48.98
2025,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,268,132,136,49.25,1638.98,1.248,6.12,0.15,504.13,4.26,6,-291.55,0,1638.98,1091.96,547.02,100.0,57.84,725.9,2.411,943.6,3.134,0.091,0.37,46.8
2026YTD,current_thirdwave_current_sl_1_5R,EURUSD,3,2,1,66.67,110.22,3.135,36.74,0.712,51.62,0.51,1,-51.62,110.22,0,0,110.22,0.0,100.0,163.0,2.207,244.5,3.31,0.33,0.44,51.57
2026YTD,current_thirdwave_current_sl_1_5R,GBPUSD,3,1,2,33.33,-21.29,0.783,-7.1,-0.168,98.09,0.97,2,-98.09,-21.29,0,0,-21.29,0.0,100.0,331.3,2.89,497.0,4.335,0.18,0.3,49.8
2026YTD,current_thirdwave_current_sl_1_5R,USDJPY,4,1,3,25.0,-79.29,0.475,-19.82,-0.381,101.21,1.01,2,-101.21,-79.29,0,-49.77,-29.52,0.0,75.0,430.8,2.822,646.1,4.234,0.21,0.31,49.38
2026YTD,current_thirdwave_current_sl_1_5R,XAUUSD,85,40,45,47.06,856.11,1.398,10.07,0.179,250.43,2.38,4,-176.67,0,856.11,153.77,702.34,100.0,57.65,2246.0,2.962,3368.9,4.443,0.033,0.11,47.26
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,EURUSD,7,4,3,57.14,89.31,1.511,12.76,0.245,174.82,1.7,3,-174.82,89.31,0,-174.82,264.13,0.0,57.14,174.9,2.366,209.8,2.839,0.351,0.61,55.74
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,GBPJPY,3,2,1,66.67,71.44,2.267,23.81,0.482,56.38,0.56,1,-56.38,71.44,0,-56.38,127.82,0.0,66.67,436.0,1.51,523.2,1.812,0.233,0.4,53.5
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,GBPUSD,5,3,2,60.0,112.9,2.078,22.58,0.413,54.36,0.54,1,-50.38,112.9,0,60.16,52.74,0.0,80.0,216.8,1.896,260.2,2.275,0.276,0.36,52.89
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,USDJPY,4,3,1,75.0,132.53,3.461,33.13,0.668,53.85,0.53,1,-53.85,132.53,0,0,132.53,0.0,100.0,370.8,2.252,444.9,2.703,0.282,0.43,51.52
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,103,51,52,49.51,515.48,1.194,5.0,0.097,561.64,5.1,6,-313.24,0,515.48,152.31,363.17,100.0,62.14,2106.0,2.451,2527.3,2.942,0.038,0.1,49.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,EURUSD,7,3,4,42.86,-12.85,0.944,-1.84,-0.026,174.82,1.72,3,-174.82,-12.85,0,-174.82,161.97,0.0,57.14,174.9,2.366,227.3,3.075,0.353,0.61,56.1
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,GBPJPY,3,2,1,66.67,79.8,2.415,26.6,0.535,56.4,0.56,1,-56.4,79.8,0,-56.4,136.2,0.0,66.67,436.0,1.51,566.8,1.963,0.233,0.4,53.51
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,GBPUSD,5,3,2,60.0,121.91,2.147,24.38,0.453,55.87,0.55,1,-50.38,121.91,0,65.92,55.99,0.0,80.0,216.8,1.896,281.8,2.465,0.278,0.37,53.19
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,USDJPY,4,3,1,75.0,145.18,3.696,36.29,0.729,53.85,0.53,1,-53.85,145.18,0,0,145.18,0.0,100.0,370.8,2.252,482.0,2.928,0.282,0.43,51.59
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,103,48,55,46.6,450.8,1.163,4.38,0.075,765.33,6.87,6,-270.45,0,450.8,97.63,353.17,100.0,62.14,2071.5,2.432,2693.0,3.161,0.037,0.1,49.1
2026YTD,v4_without_weak_lower_tf_sl_1_3R,EURUSD,10,5,5,50.0,81.11,1.291,8.11,0.141,223.71,2.17,4,-223.71,81.11,0,-171.26,252.37,0.0,70.0,145.4,2.001,189.0,2.601,0.444,1.0,54.68
2026YTD,v4_without_weak_lower_tf_sl_1_3R,GBPJPY,3,2,1,66.67,75.81,2.344,25.27,0.534,56.4,0.56,1,-56.4,75.81,0,-56.4,132.21,0.0,66.67,424.3,1.5,551.6,1.95,0.233,0.4,52.52
2026YTD,v4_without_weak_lower_tf_sl_1_3R,GBPUSD,7,3,4,42.86,16.47,1.078,2.35,0.036,161.31,1.6,3,-161.31,16.47,0,65.92,-49.45,0.0,85.71,256.1,2.376,333.0,3.088,0.234,0.34,52.95
2026YTD,v4_without_weak_lower_tf_sl_1_3R,USDJPY,6,3,3,50.0,42.75,1.274,7.12,0.152,103.53,1.03,2,-103.53,42.75,0,0,42.75,0.0,100.0,343.2,2.325,446.1,3.023,0.288,0.48,51.41
2026YTD,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,121,56,65,46.28,458.75,1.144,3.79,0.057,673.55,6.1,5,-253.57,0,458.75,119.97,338.78,100.0,67.77,2051.1,2.396,2666.4,3.115,0.037,0.11,48.12
