period,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,true_clean_candidate_v0,breakout_close_strength_directional,entry_close_distance_from_neckline_atr,false_break_return_inside_neckline,sl_atr,h4_pullback_depth_bucket,retest_quality,failure_type,winning_type
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.08.06 16:35:00,XAUUSD,LONG,79.91,2.009,neckline_break_late,0,0.224,0.018,1,1.8,50-58,shallow_retest_then_go,,retest_then_go
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.08.21 17:20:00,GBPJPY,SHORT,-52.77,-1.006,neckline_break_late,0,0.013,0.063,1,1.74,50-58,return_inside_and_fail,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,2.0,neckline_break_initial,0,0.141,0.218,1,0.97,38-42_shallow_zone,deep_retest_but_reclaim,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,-1.001,neckline_break_initial,0,0.463,0.352,1,1.62,38-42_shallow_zone,deep_retest_but_reclaim,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,2.0,neckline_break_late,0,0.255,0.487,0,1.54,42-50,no_retest_break_and_go,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.10.17 23:35:00,XAUUSD,LONG,63.94,2.0,neckline_break_initial,0,0.396,0.032,0,2.07,58-62_deep_zone,no_retest_break_and_go,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,2.0,neckline_break_initial,0,0.141,0.218,1,0.97,38-42_shallow_zone,deep_retest_but_reclaim,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,-1.001,neckline_break_initial,0,0.463,0.352,1,1.62,38-42_shallow_zone,deep_retest_but_reclaim,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,2.0,neckline_break_late,0,0.255,0.487,0,1.54,42-50,no_retest_break_and_go,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.10.20 09:20:00,USDJPY,SHORT,100.87,2.025,neckline_break_late,0,0.04,1.042,0,2.08,58-62_deep_zone,no_retest_break_and_go,,fast_follow_through
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.10.17 23:35:00,XAUUSD,LONG,63.94,2.0,neckline_break_initial,0,0.396,0.032,0,2.07,58-62_deep_zone,no_retest_break_and_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,-1.004,neckline_break_late,0,0.676,0.711,0,2.2,38-42_shallow_zone,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,2.039,neckline_break_late,0,0.976,0.519,1,1.67,38-42_shallow_zone,shallow_retest_then_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,-1.005,neckline_break_late,0,0.257,1.178,0,2.17,42-50,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,-1.0,neckline_break_late,0,0.062,0.515,1,2.16,58-62_deep_zone,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,-1.0,neckline_break_late,0,0.0,0.831,1,0.62,38-42_shallow_zone,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,-1.0,clean_nested_nwave_entry,0,0.457,0.101,1,1.02,38-42_shallow_zone,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,2.017,neckline_break_late,0,0.857,0.475,0,1.79,50-58,no_retest_break_and_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,-1.007,neckline_break_initial,0,0.846,0.461,0,1.9,58-62_deep_zone,unclear,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,-1.013,neckline_break_late,0,0.999,0.374,1,0.92,42-50,immediate_full_false_break,false_breakout,
