cohort,router_decision,candidates,wins,losses,win_rate,net,PF,avg_R,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,false_return_pct,avg_h4_fib,avg_sl_atr,avg_touch_count,avg_close_strength,avg_close_distance_atr,avg_context_score_v0,feature,bucket
2025-02_other_dirty_weak,dirty_skipped,9,0,9,0.0,-424.4,0.0,-1.0,0.43,1.13,0.0,0.0,77.78,47.91,1.592,6.89,0.32,0.31,3.67,h4_fib_bucket,42-50_mid
2025-02_other_dirty_weak,dirty_skipped,8,3,5,37.5,50.61,1.22,0.125,3.332,0.977,50.0,37.5,50.0,53.35,1.727,8.62,0.528,0.381,4.12,h4_fib_bucket,50-58_mid
2025-02_other_dirty_weak,dirty_skipped,7,2,5,28.57,-40.03,0.831,-0.143,1.594,0.793,42.86,28.57,42.86,59.68,1.72,8.14,0.194,0.346,2.71,h4_fib_bucket,58-62_deep_edge
2025-02_other_dirty_weak,weak_routed_to_retest,3,3,0,100.0,279.12,,2.0,2.09,0.331,100.0,100.0,0.0,39.71,1.92,8.0,0.763,0.96,4.0,h4_fib_bucket,38-42_shallow_edge
2025-02_other_dirty_weak,weak_routed_to_retest,3,0,3,0.0,-144.43,0.0,-1.0,0.453,1.093,0.0,0.0,100.0,48.94,1.62,6.33,0.937,0.337,6.33,h4_fib_bucket,42-50_mid
2025-02_other_dirty_weak,weak_routed_to_retest,4,2,2,50.0,98.63,2.046,0.5,5.163,0.8,50.0,50.0,50.0,52.5,1.715,8.75,0.78,0.8,5.0,h4_fib_bucket,50-58_mid
2025-02_other_dirty_weak,weak_routed_to_retest,1,0,1,0.0,-47.47,0.0,-1.0,0.0,1.022,0.0,0.0,100.0,60.98,1.9,12.0,0.64,0.37,4.0,h4_fib_bucket,58-62_deep_edge
2025-08_other_dirty_weak,dirty_skipped,5,3,2,60.0,183.2,3.038,0.8,1.323,0.868,60.0,60.0,100.0,40.71,1.892,7.0,0.398,0.386,3.2,h4_fib_bucket,38-42_shallow_edge
2025-08_other_dirty_weak,dirty_skipped,1,0,1,0.0,-48.67,0.0,-1.0,0.089,2.879,0.0,0.0,100.0,46.92,2.04,9.0,0.98,1.11,4.0,h4_fib_bucket,42-50_mid
2025-08_other_dirty_weak,dirty_skipped,5,4,1,80.0,326.91,8.19,1.4,1.856,0.59,80.0,80.0,40.0,53.66,1.856,7.8,0.448,0.224,3.4,h4_fib_bucket,50-58_mid
2025-08_other_dirty_weak,dirty_skipped,3,1,2,33.33,0.95,1.011,0.0,1.19,1.028,66.67,33.33,33.33,59.54,1.797,11.0,0.473,0.117,3.0,h4_fib_bucket,58-62_deep_edge
2025-08_other_dirty_weak,weak_routed_to_retest,2,0,2,0.0,-90.44,0.0,-1.0,0.589,1.206,0.0,0.0,100.0,39.37,1.975,9.0,0.705,0.19,2.5,h4_fib_bucket,38-42_shallow_edge
2025-08_other_dirty_weak,weak_routed_to_retest,1,0,1,0.0,-49.02,0.0,-1.0,0.085,3.287,0.0,0.0,100.0,46.92,1.69,9.0,0.53,0.92,3.0,h4_fib_bucket,42-50_mid
2025-08_other_dirty_weak,weak_routed_to_retest,1,1,0,100.0,91.72,,2.0,2.255,0.222,100.0,100.0,0.0,52.52,1.81,13.0,0.68,0.32,6.0,h4_fib_bucket,50-58_mid
2025-08_other_dirty_weak,weak_routed_to_retest,1,1,0,100.0,99.0,,2.0,2.144,0.444,100.0,100.0,100.0,60.28,1.12,7.0,0.95,0.11,5.0,h4_fib_bucket,58-62_deep_edge
2025_10_removed_loser_dirty_weak,dirty_skipped,4,0,4,0.0,-194.26,0.0,-1.0,0.455,1.095,0.0,0.0,100.0,40.05,2.157,8.25,0.43,0.22,3.25,h4_fib_bucket,38-42_shallow_edge
2025_10_removed_loser_dirty_weak,dirty_skipped,3,0,3,0.0,-137.66,0.0,-1.0,0.86,1.244,33.33,0.0,66.67,45.41,1.35,4.0,0.133,0.227,4.33,h4_fib_bucket,42-50_mid
2025_10_removed_loser_dirty_weak,dirty_skipped,2,0,2,0.0,-94.16,0.0,-1.0,1.016,1.305,50.0,0.0,50.0,53.95,1.95,7.0,0.405,0.11,3.0,h4_fib_bucket,50-58_mid
2025_10_removed_loser_dirty_weak,weak_routed_to_retest,1,0,1,0.0,-49.36,0.0,-1.0,1.412,1.932,100.0,0.0,100.0,41.78,1.62,7.0,0.7,0.49,6.0,h4_fib_bucket,38-42_shallow_edge
2025_10_removed_loser_dirty_weak,weak_routed_to_retest,2,0,2,0.0,-92.74,0.0,-1.0,0.037,1.061,0.0,0.0,100.0,45.13,1.78,3.0,0.81,0.335,6.0,h4_fib_bucket,42-50_mid
2025_10_removed_winner_dirty_weak,dirty_skipped,1,1,0,100.0,96.64,,2.0,2.05,0.925,100.0,100.0,100.0,38.36,1.3,14.0,0.1,0.43,4.0,h4_fib_bucket,38-42_shallow_edge
2025_10_removed_winner_dirty_weak,dirty_skipped,2,2,0,100.0,190.3,,2.0,2.062,0.155,100.0,100.0,50.0,56.0,1.345,7.5,0.545,0.045,4.0,h4_fib_bucket,50-58_mid
2025_10_removed_winner_dirty_weak,dirty_skipped,4,4,0,100.0,351.46,,2.0,2.161,0.447,100.0,100.0,25.0,60.81,2.035,10.25,0.603,0.485,2.0,h4_fib_bucket,58-62_deep_edge
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,2,2,0,100.0,192.36,,2.0,2.141,0.8,100.0,100.0,100.0,40.07,0.985,11.0,0.54,0.245,3.5,h4_fib_bucket,38-42_shallow_edge
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,1,1,0,100.0,100.9,,2.0,2.107,0.062,100.0,100.0,0.0,47.76,1.54,12.0,0.54,0.14,3.0,h4_fib_bucket,42-50_mid
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,1,1,0,100.0,100.3,,2.0,2.118,0.094,100.0,100.0,0.0,61.68,1.11,6.0,0.74,0.46,6.0,h4_fib_bucket,58-62_deep_edge
2026_q1_avoided_loser_dirty_weak,dirty_skipped,12,0,12,0.0,-582.83,0.0,-1.0,0.599,1.242,16.67,0.0,66.67,40.24,1.591,9.33,0.457,0.345,2.92,h4_fib_bucket,38-42_shallow_edge
2026_q1_avoided_loser_dirty_weak,dirty_skipped,16,0,16,0.0,-706.7,0.0,-1.0,0.824,1.081,43.75,0.0,68.75,45.19,1.785,6.81,0.296,0.601,4.44,h4_fib_bucket,42-50_mid
2026_q1_avoided_loser_dirty_weak,dirty_skipped,16,0,16,0.0,-759.4,0.0,-1.0,1.079,1.218,50.0,0.0,62.5,53.68,1.705,7.75,0.443,0.3,4.0,h4_fib_bucket,50-58_mid
2026_q1_avoided_loser_dirty_weak,dirty_skipped,13,0,13,0.0,-576.05,0.0,-1.0,0.812,1.293,30.77,0.0,76.92,59.5,1.912,9.23,0.502,0.356,3.08,h4_fib_bucket,58-62_deep_edge
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,4,0,4,0.0,-195.96,0.0,-1.0,0.234,1.101,0.0,0.0,75.0,41.01,1.647,10.0,0.787,0.557,4.5,h4_fib_bucket,38-42_shallow_edge
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,7,0,7,0.0,-311.04,0.0,-1.0,0.632,1.169,28.57,0.0,85.71,45.09,1.587,7.57,0.726,0.353,5.14,h4_fib_bucket,42-50_mid
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,6,0,6,0.0,-285.99,0.0,-1.0,1.045,1.416,50.0,0.0,66.67,53.1,1.617,7.17,0.847,0.222,5.0,h4_fib_bucket,50-58_mid
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,8,0,8,0.0,-354.99,0.0,-1.0,1.06,1.522,50.0,0.0,62.5,59.48,1.578,9.5,0.86,0.323,4.62,h4_fib_bucket,58-62_deep_edge
2026_q1_removed_winner_dirty_weak,dirty_skipped,4,4,0,100.0,393.79,,2.0,2.324,0.365,100.0,100.0,50.0,41.19,1.6,12.0,0.265,0.325,2.0,h4_fib_bucket,38-42_shallow_edge
2026_q1_removed_winner_dirty_weak,dirty_skipped,5,5,0,100.0,489.23,,2.0,2.451,0.474,100.0,100.0,60.0,47.43,1.362,9.8,0.348,0.5,3.6,h4_fib_bucket,42-50_mid
2026_q1_removed_winner_dirty_weak,dirty_skipped,9,9,0,100.0,883.44,,2.0,2.052,0.731,100.0,100.0,33.33,55.41,1.893,6.67,0.462,0.527,4.44,h4_fib_bucket,50-58_mid
2026_q1_removed_winner_dirty_weak,dirty_skipped,1,1,0,100.0,76.98,,2.0,2.126,0.77,100.0,100.0,100.0,58.83,0.74,14.0,0.19,0.04,1.0,h4_fib_bucket,58-62_deep_edge
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,1,1,0,100.0,92.73,,2.0,2.084,0.822,100.0,100.0,100.0,39.55,1.53,10.0,0.57,0.18,2.0,h4_fib_bucket,38-42_shallow_edge
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,2,2,0,100.0,155.46,,2.0,2.102,0.201,100.0,100.0,0.0,46.08,1.61,9.5,0.67,0.18,5.0,h4_fib_bucket,42-50_mid
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,4,4,0,100.0,387.99,,2.0,2.187,0.566,100.0,100.0,25.0,55.2,1.65,5.5,0.657,0.422,6.0,h4_fib_bucket,50-58_mid
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,3,3,0,100.0,289.76,,2.0,2.188,0.59,100.0,66.67,100.0,60.0,1.49,9.33,0.717,0.677,4.33,h4_fib_bucket,58-62_deep_edge
2025-02_other_dirty_weak,dirty_skipped,8,2,6,25.0,-81.18,0.708,-0.25,1.592,0.928,37.5,25.0,62.5,51.42,1.357,6.88,0.351,0.195,3.25,sl_atr_bucket,1.0-1.5
2025-02_other_dirty_weak,dirty_skipped,11,4,7,36.36,41.33,1.124,0.091,2.631,0.728,45.45,36.36,36.36,52.22,1.798,8.36,0.228,0.466,4.0,sl_atr_bucket,1.5-2.0
2025-02_other_dirty_weak,dirty_skipped,7,2,5,28.57,-51.74,0.778,-0.143,0.916,0.904,28.57,28.57,57.14,51.09,2.069,8.57,0.38,0.429,3.0,sl_atr_bucket,2.0+_wide
2025-02_other_dirty_weak,dirty_skipped,1,0,1,0.0,-46.98,0.0,-1.0,0.581,2.934,0.0,0.0,100.0,51.43,0.78,9.0,0.9,0.05,5.0,sl_atr_bucket,<1.0_tight
2025-02_other_dirty_weak,weak_routed_to_retest,2,0,2,0.0,-95.96,0.0,-1.0,0.498,1.627,0.0,0.0,100.0,50.12,1.38,8.5,0.955,0.17,5.0,sl_atr_bucket,1.0-1.5
2025-02_other_dirty_weak,weak_routed_to_retest,9,5,4,55.56,281.81,2.481,0.667,3.032,0.582,55.56,55.56,44.44,48.52,1.847,8.11,0.772,0.791,5.0,sl_atr_bucket,1.5-2.0
2025-08_other_dirty_weak,dirty_skipped,9,6,3,66.67,419.52,4.088,1.0,1.501,0.793,66.67,66.67,66.67,50.84,1.748,7.78,0.427,0.216,3.67,sl_atr_bucket,1.5-2.0
2025-08_other_dirty_weak,dirty_skipped,5,2,3,40.0,42.87,1.311,0.2,1.209,1.222,60.0,40.0,60.0,47.95,2.088,9.2,0.558,0.514,2.6,sl_atr_bucket,2.0+_wide
2025-08_other_dirty_weak,weak_routed_to_retest,1,1,0,100.0,99.0,,2.0,2.144,0.444,100.0,100.0,100.0,60.28,1.12,7.0,0.95,0.11,5.0,sl_atr_bucket,1.0-1.5
2025-08_other_dirty_weak,weak_routed_to_retest,4,1,3,25.0,-47.74,0.658,-0.25,0.879,1.48,25.0,25.0,75.0,44.55,1.863,10.0,0.655,0.405,3.5,sl_atr_bucket,1.5-2.0
2025_10_removed_loser_dirty_weak,dirty_skipped,1,0,1,0.0,-47.04,0.0,-1.0,0.006,1.015,0.0,0.0,100.0,43.85,1.18,3.0,0.25,0.21,4.0,sl_atr_bucket,1.0-1.5
2025_10_removed_loser_dirty_weak,dirty_skipped,1,0,1,0.0,-46.95,0.0,-1.0,1.875,1.106,100.0,0.0,0.0,56.0,1.73,9.0,0.25,0.03,2.0,sl_atr_bucket,1.5-2.0
2025_10_removed_loser_dirty_weak,dirty_skipped,6,0,6,0.0,-289.01,0.0,-1.0,0.481,1.238,0.0,0.0,83.33,43.08,2.152,7.0,0.405,0.25,3.67,sl_atr_bucket,2.0+_wide
2025_10_removed_loser_dirty_weak,dirty_skipped,1,0,1,0.0,-43.08,0.0,-1.0,1.667,1.174,100.0,0.0,100.0,45.97,0.76,5.0,0.0,0.04,4.0,sl_atr_bucket,<1.0_tight
2025_10_removed_loser_dirty_weak,weak_routed_to_retest,3,0,3,0.0,-142.1,0.0,-1.0,0.495,1.351,33.33,0.0,100.0,44.01,1.727,4.33,0.773,0.387,6.0,sl_atr_bucket,1.5-2.0
2025_10_removed_winner_dirty_weak,dirty_skipped,3,3,0,100.0,286.94,,2.0,2.058,0.412,100.0,100.0,66.67,50.12,1.33,9.67,0.397,0.173,4.0,sl_atr_bucket,1.0-1.5
2025_10_removed_winner_dirty_weak,dirty_skipped,1,1,0,100.0,94.42,,2.0,2.079,0.179,100.0,100.0,0.0,61.26,1.96,12.0,0.25,0.06,1.0,sl_atr_bucket,1.5-2.0
2025_10_removed_winner_dirty_weak,dirty_skipped,3,3,0,100.0,257.04,,2.0,2.189,0.536,100.0,100.0,33.33,60.66,2.06,9.67,0.72,0.627,2.33,sl_atr_bucket,2.0+_wide
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,2,2,0,100.0,193.06,,2.0,2.172,0.395,100.0,100.0,50.0,51.73,1.055,7.0,0.605,0.38,5.0,sl_atr_bucket,1.0-1.5
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,1,1,0,100.0,100.9,,2.0,2.107,0.062,100.0,100.0,0.0,47.76,1.54,12.0,0.54,0.14,3.0,sl_atr_bucket,1.5-2.0
2025_10_removed_winner_dirty_weak,weak_routed_to_retest,1,1,0,100.0,99.6,,2.0,2.056,0.904,100.0,100.0,100.0,38.36,0.97,14.0,0.61,0.19,3.0,sl_atr_bucket,<1.0_tight
2026_q1_avoided_loser_dirty_weak,dirty_skipped,15,0,15,0.0,-700.65,0.0,-1.0,0.579,1.142,13.33,0.0,86.67,47.37,1.322,7.33,0.357,0.217,4.33,sl_atr_bucket,1.0-1.5
2026_q1_avoided_loser_dirty_weak,dirty_skipped,19,0,19,0.0,-848.81,0.0,-1.0,0.897,1.23,31.58,0.0,73.68,52.68,1.789,9.26,0.336,0.279,3.53,sl_atr_bucket,1.5-2.0
2026_q1_avoided_loser_dirty_weak,dirty_skipped,21,0,21,0.0,-977.45,0.0,-1.0,0.992,1.164,57.14,0.0,47.62,49.84,2.121,7.57,0.522,0.694,3.43,sl_atr_bucket,2.0+_wide
2026_q1_avoided_loser_dirty_weak,dirty_skipped,2,0,2,0.0,-98.07,0.0,-1.0,0.811,1.779,50.0,0.0,100.0,40.09,0.7,10.0,0.555,0.03,3.0,sl_atr_bucket,<1.0_tight
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,6,0,6,0.0,-282.4,0.0,-1.0,1.262,1.267,66.67,0.0,100.0,52.82,1.308,7.67,0.783,0.228,4.5,sl_atr_bucket,1.0-1.5
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,17,0,17,0.0,-782.41,0.0,-1.0,0.706,1.35,29.41,0.0,58.82,51.25,1.721,8.71,0.831,0.381,4.88,sl_atr_bucket,1.5-2.0
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,1,0,1,0.0,-46.71,0.0,-1.0,0.096,1.118,0.0,0.0,100.0,43.07,2.0,5.0,0.9,0.53,6.0,sl_atr_bucket,2.0+_wide
2026_q1_avoided_loser_dirty_weak,weak_routed_to_retest,1,0,1,0.0,-36.46,0.0,-1.0,0.433,1.593,0.0,0.0,100.0,42.93,0.92,13.0,0.47,0.24,5.0,sl_atr_bucket,<1.0_tight
2026_q1_removed_winner_dirty_weak,dirty_skipped,2,2,0,100.0,197.99,,2.0,2.963,0.679,100.0,100.0,50.0,48.52,1.12,9.0,0.46,0.81,4.5,sl_atr_bucket,1.0-1.5
2026_q1_removed_winner_dirty_weak,dirty_skipped,10,10,0,100.0,982.99,,2.0,2.108,0.579,100.0,100.0,40.0,50.6,1.786,7.5,0.309,0.379,3.7,sl_atr_bucket,1.5-2.0
2026_q1_removed_winner_dirty_weak,dirty_skipped,4,4,0,100.0,387.87,,2.0,2.057,0.629,100.0,100.0,50.0,52.11,2.11,10.5,0.652,0.672,3.75,sl_atr_bucket,2.0+_wide
2026_q1_removed_winner_dirty_weak,dirty_skipped,3,3,0,100.0,274.59,,2.0,2.303,0.505,100.0,100.0,66.67,49.33,0.817,12.0,0.177,0.16,2.0,sl_atr_bucket,<1.0_tight
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,3,3,0,100.0,285.89,,2.0,2.143,0.466,100.0,66.67,66.67,58.15,1.243,7.0,0.717,0.427,5.33,sl_atr_bucket,1.0-1.5
2026_q1_removed_winner_dirty_weak,weak_routed_to_retest,7,7,0,100.0,640.05,,2.0,2.167,0.551,100.0,100.0,42.86,51.16,1.727,8.29,0.649,0.426,4.71,sl_atr_bucket,1.5-2.0
2025-02_other_dirty_weak,dirty_skipped,1,0,1,0.0,-46.27,0.0,-1.0,0.498,1.144,0.0,0.0,0.0,48.08,1.33,3.0,0.28,0.05,3.0,neckline_touch_bucket,1-4_fresh
2025-02_other_dirty_weak,dirty_skipped,1,0,1,0.0,-47.11,0.0,-1.0,0.098,1.024,0.0,0.0,100.0,54.83,1.76,13.0,0.3,0.01,4.0,neckline_touch_bucket,13+_stale
2025-02_other_dirty_weak,dirty_skipped,14,5,9,35.71,56.2,1.133,0.071,2.574,0.751,42.86,35.71,50.0,51.91,1.736,6.36,0.293,0.33,4.14,neckline_touch_bucket,5-8_moderate
2025-02_other_dirty_weak,dirty_skipped,11,3,8,27.27,-101.39,0.729,-0.182,1.094,1.092,36.36,27.27,54.55,51.39,1.682,10.09,0.382,0.46,2.82,neckline_touch_bucket,9-12_tested
2025-02_other_dirty_weak,weak_routed_to_retest,1,0,1,0.0,-47.49,0.0,-1.0,0.065,1.024,0.0,0.0,100.0,54.83,1.84,14.0,0.65,0.2,6.0,neckline_touch_bucket,13+_stale
2025-02_other_dirty_weak,weak_routed_to_retest,7,4,3,57.14,237.16,2.642,0.714,3.737,0.542,57.14,57.14,42.86,47.15,1.769,6.43,0.811,0.811,5.29,neckline_touch_bucket,5-8_moderate
2025-02_other_dirty_weak,weak_routed_to_retest,3,1,2,33.33,-3.82,0.959,0.0,0.686,1.224,33.33,33.33,66.67,50.67,1.72,10.33,0.843,0.527,4.0,neckline_touch_bucket,9-12_tested
2025-08_other_dirty_weak,dirty_skipped,2,2,0,100.0,183.04,,2.0,2.038,0.899,100.0,100.0,0.0,57.64,1.685,3.0,0.69,0.055,3.5,neckline_touch_bucket,1-4_fresh
2025-08_other_dirty_weak,dirty_skipped,1,0,1,0.0,-45.08,0.0,-1.0,0.0,1.084,0.0,0.0,100.0,61.27,1.75,18.0,0.15,0.06,3.0,neckline_touch_bucket,13+_stale
2025-08_other_dirty_weak,dirty_skipped,4,3,1,75.0,227.63,6.006,1.25,1.708,0.836,75.0,75.0,100.0,43.31,1.845,5.25,0.23,0.263,3.5,neckline_touch_bucket,5-8_moderate
2025-08_other_dirty_weak,dirty_skipped,7,3,4,42.86,96.8,1.529,0.286,1.235,1.004,57.14,42.86,57.14,49.65,1.953,10.14,0.597,0.47,3.14,neckline_touch_bucket,9-12_tested
2025-08_other_dirty_weak,weak_routed_to_retest,1,1,0,100.0,91.72,,2.0,2.255,0.222,100.0,100.0,0.0,52.52,1.81,13.0,0.68,0.32,6.0,neckline_touch_bucket,13+_stale
2025-08_other_dirty_weak,weak_routed_to_retest,1,1,0,100.0,99.0,,2.0,2.144,0.444,100.0,100.0,100.0,60.28,1.12,7.0,0.95,0.11,5.0,neckline_touch_bucket,5-8_moderate
2025-08_other_dirty_weak,weak_routed_to_retest,3,0,3,0.0,-139.46,0.0,-1.0,0.421,1.9,0.0,0.0,100.0,41.89,1.88,9.0,0.647,0.433,2.67,neckline_touch_bucket,9-12_tested
2025_10_removed_loser_dirty_weak,dirty_skipped,2,0,2,0.0,-94.58,0.0,-1.0,0.457,1.279,0.0,0.0,50.0,45.13,1.645,3.5,0.2,0.32,4.5,neckline_touch_bucket,1-4_fresh
