period,variant,atr_percentile_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2025,v4_micro_or_candle_lower_tf_sl_1_3R,p00-20,57,29,28,50.88,395.01,1.287,6.93,0.179,242.86,2.38,3,-146.82,157.55,237.46,69.98,325.03,89.47,75.44,2.228,2.896,0.1164,0.5008,49.14,2.121,0.176,0.82
2025,v4_micro_or_candle_lower_tf_sl_1_3R,p20-50,86,43,43,50.0,532.25,1.252,6.19,0.145,370.41,3.61,5,-254.01,147.57,384.68,616.67,-84.42,82.56,47.67,2.385,3.101,0.1062,0.453,59.76,2.43,0.164,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,p50-80,102,46,56,45.1,110.58,1.041,1.08,0.051,317.27,3.13,5,-247.36,-394.3,504.88,721.79,-611.21,76.47,58.82,2.377,3.09,0.0847,0.4887,53.7,2.355,0.14,0.71
2025,v4_micro_or_candle_lower_tf_sl_1_3R,p80-100,90,36,54,40.0,-312.99,0.879,-3.48,-0.068,525.57,5.22,8,-391.71,-195.48,-117.51,-133.18,-179.81,51.11,46.67,2.435,3.166,0.0959,0.452,57.67,2.401,0.132,0.52
2025,v4_without_weak_lower_tf_sl_1_3R,p00-20,67,34,33,50.75,620.95,1.381,9.27,0.217,340.07,3.34,4,-194.61,175.99,444.96,265.81,355.14,88.06,68.66,2.27,2.952,0.118,0.4755,51.4,2.161,0.178,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,p20-50,101,49,52,48.51,477.83,1.186,4.73,0.114,499.63,4.84,7,-343.55,37.33,440.5,428.02,49.81,78.22,37.62,2.344,3.047,0.1092,0.431,59.57,2.298,0.172,0.74
2025,v4_without_weak_lower_tf_sl_1_3R,p50-80,114,51,63,44.74,42.82,1.014,0.38,0.041,617.21,6.17,7,-344.46,-680.86,723.68,626.58,-583.76,71.93,51.75,2.309,3.002,0.089,0.4724,53.57,2.273,0.157,0.77
2025,v4_without_weak_lower_tf_sl_1_3R,p80-100,106,45,61,42.45,-23.25,0.992,-0.22,-0.004,650.98,6.33,13,-625.23,-53.09,29.84,-53.13,29.88,45.28,40.57,2.461,3.2,0.1006,0.4359,56.3,2.342,0.135,0.51
2026YTD,current_thirdwave_current_sl_1_5R,p00-20,16,8,8,50.0,177.62,1.445,11.1,0.236,145.43,1.45,3,-145.43,0,177.62,-53.7,231.32,100.0,37.5,2.79,4.185,0.0637,0.3486,61.61,2.694,0.049,0.09
2026YTD,current_thirdwave_current_sl_1_5R,p20-50,26,12,14,46.15,69.17,1.095,2.66,0.146,183.65,1.81,3,-143.25,0,69.17,-88.52,157.69,100.0,38.46,2.75,4.124,0.0499,0.3708,56.26,2.648,0.04,0.11
2026YTD,current_thirdwave_current_sl_1_5R,p50-80,27,15,12,55.56,548.48,2.049,20.31,0.42,164.17,1.6,4,-164.17,-14.69,563.17,322.28,226.2,88.89,62.96,2.848,4.272,0.0614,0.583,59.52,2.735,0.068,0.44
2026YTD,current_thirdwave_current_sl_1_5R,p80-100,26,9,17,34.62,70.48,1.088,2.71,-0.138,202.19,2.02,4,-202.19,24.33,46.15,-76.06,146.54,73.08,15.38,3.282,4.923,0.0544,0.3899,55.62,3.164,0.06,0.3
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,p00-20,16,8,8,50.0,104.43,1.268,6.53,0.096,107.49,1.06,2,-104.53,0,104.43,-215.3,319.73,100.0,56.25,2.651,3.181,0.0706,0.4049,52.9,2.739,0.054,0.09
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,p20-50,37,19,18,51.35,154.62,1.159,4.18,0.114,349.08,3.33,6,-313.24,60.16,94.46,112.11,42.51,97.3,32.43,2.445,2.934,0.0565,0.3875,55.69,2.356,0.055,0.32
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,p50-80,34,15,19,44.12,-71.85,0.923,-2.11,-0.029,344.05,3.38,7,-344.05,83.66,-155.51,211.52,-283.37,85.29,55.88,2.331,2.798,0.0601,0.4329,59.68,2.428,0.084,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,p80-100,35,21,14,60.0,734.46,1.979,20.98,0.377,267.47,2.43,3,-169.59,262.36,472.1,-127.06,861.52,62.86,11.43,2.283,2.74,0.0674,0.4185,57.16,2.269,0.108,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,p00-20,16,8,8,50.0,132.9,1.333,8.31,0.142,119.36,1.19,2,-119.36,0,132.9,-215.58,348.48,100.0,56.25,2.651,3.446,0.0706,0.4049,52.9,2.739,0.054,0.09
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,p20-50,36,16,20,44.44,-56.83,0.947,-1.58,0.001,412.25,3.99,6,-307.67,65.92,-122.75,10.36,-67.19,97.22,33.33,2.416,3.141,0.0566,0.3833,55.76,2.287,0.054,0.32
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,p50-80,35,15,20,42.86,-32.45,0.967,-0.93,-0.019,344.07,3.37,7,-344.07,100.1,-132.55,261.58,-294.03,85.71,54.29,2.332,3.032,0.0601,0.4382,60.24,2.423,0.083,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,p80-100,35,20,15,57.14,741.22,1.953,21.18,0.363,359.47,3.24,3,-126.95,168.02,573.2,-124.03,865.25,62.86,11.43,2.258,2.935,0.0674,0.4193,57.16,2.249,0.109,0.43
2026YTD,v4_without_weak_lower_tf_sl_1_3R,p00-20,22,10,12,45.45,80.21,1.141,3.65,0.04,259.8,2.56,5,-233.84,0,80.21,-200.75,280.96,100.0,40.91,2.482,3.226,0.0656,0.3556,55.21,2.589,0.054,0.11
2026YTD,v4_without_weak_lower_tf_sl_1_3R,p20-50,39,16,23,41.03,-182.65,0.845,-4.68,-0.095,457.91,4.46,5,-253.57,65.92,-248.57,-44.24,-138.41,97.44,28.21,2.353,3.058,0.0544,0.4199,54.65,2.244,0.054,0.32
2026YTD,v4_without_weak_lower_tf_sl_1_3R,p50-80,44,21,23,47.73,206.54,1.186,4.69,0.111,323.67,3.15,7,-323.67,64.58,141.96,323.69,-117.15,81.82,45.45,2.314,3.008,0.0659,0.431,56.78,2.381,0.111,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,p80-100,42,22,20,52.38,570.79,1.558,13.59,0.213,325.09,2.98,3,-119.08,85.64,485.15,-120.47,691.26,59.52,9.52,2.305,2.997,0.0753,0.3886,57.09,2.251,0.115,0.48
