period,variant,trend_age_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,v4_without_weak_lower_tf_sl_1_3R,00-05,36,16,20,44.44,-122.63,0.88,-3.41,-0.003,468.33,4.68,7,-358.29,12.53,-135.16,-83.51,-39.12,69.44,69.44,2.727,3.546,0.1434,0.533,61.32,2.536,0.197,0.57
2024,v4_without_weak_lower_tf_sl_1_3R,06-10,164,66,98,40.24,-725.72,0.841,-4.43,-0.065,841.49,8.35,8,-363.65,-572.5,-153.22,54.69,-780.41,63.41,40.85,2.145,2.789,0.141,0.4803,58.99,2.2,0.22,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,11-20,80,36,44,45.0,59.97,1.03,0.75,0.03,401.58,3.91,7,-328.81,243.3,-183.33,226.74,-166.77,60.0,52.5,2.33,3.029,0.1311,0.457,49.48,2.352,0.181,0.8
2024,v4_without_weak_lower_tf_sl_1_3R,21+,5,1,4,20.0,-123.5,0.311,-24.7,-0.546,123.5,1.24,2,-91.58,-134.84,11.34,-44.46,-79.04,40.0,20.0,2.176,2.829,0.1318,0.7329,45.43,2.372,0.168,0.29
2025,current_thirdwave_current_sl_1_5R,00-05,44,19,25,43.18,71.06,1.06,1.62,0.072,444.14,4.31,5,-258.26,-132.51,203.57,179.4,-108.34,77.27,61.36,3.47,5.205,0.105,0.4312,64.61,3.34,0.09,0.28
2025,current_thirdwave_current_sl_1_5R,06-10,145,58,87,40.0,-16.32,0.996,-0.11,0.018,622.04,6.17,9,-453.85,-209.82,193.5,-62.33,46.01,73.1,55.86,3.138,4.706,0.0972,0.4875,54.73,3.017,0.107,0.8
2025,current_thirdwave_current_sl_1_5R,11-20,71,29,42,40.85,-35.0,0.983,-0.49,0.022,602.42,5.74,8,-373.2,-14.43,-20.57,-381.17,346.17,78.87,64.79,3.009,4.513,0.0992,0.4499,52.97,2.892,0.106,0.45
2025,current_thirdwave_current_sl_1_5R,21+,9,0,9,0.0,-451.72,0.0,-50.19,-1.076,451.72,4.52,9,-451.72,-54.06,-397.66,-286.42,-165.3,88.89,66.67,2.721,4.082,0.0962,0.6173,33.68,2.607,0.101,0.24
2025,v4_micro_or_candle_lower_tf_sl_1_2R,00-05,51,28,23,54.9,515.58,1.463,10.11,0.226,162.5,1.58,3,-148.5,163.32,352.26,542.85,-27.27,80.39,68.63,2.507,3.008,0.0981,0.479,64.61,2.434,0.124,0.74
2025,v4_micro_or_candle_lower_tf_sl_1_2R,06-10,190,96,94,50.53,890.01,1.192,4.68,0.118,525.27,5.17,6,-307.31,-129.02,1019.03,1301.01,-411.0,70.0,51.05,2.373,2.848,0.0997,0.4802,56.0,2.358,0.164,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,11-20,88,37,51,42.05,-356.24,0.858,-4.05,-0.064,761.56,7.44,7,-349.07,-177.66,-178.58,-423.48,67.24,75.0,57.95,2.297,2.756,0.0975,0.448,50.82,2.311,0.149,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,21+,8,2,6,25.0,-205.74,0.366,-25.72,-0.537,275.24,2.75,5,-275.24,60.2,-265.94,-31.15,-174.59,87.5,62.5,2.369,2.843,0.1047,0.4528,35.19,2.079,0.12,0.2
2025,v4_micro_or_candle_lower_tf_sl_1_3R,00-05,52,28,24,53.85,582.05,1.508,11.19,0.261,246.09,2.38,4,-197.27,73.92,508.13,510.08,71.97,80.77,67.31,2.502,3.252,0.0967,0.4819,64.87,2.429,0.12,0.73
2025,v4_micro_or_candle_lower_tf_sl_1_3R,06-10,188,89,99,47.34,675.08,1.141,3.59,0.093,642.76,6.31,7,-352.58,-171.01,846.09,1136.01,-460.93,70.21,51.06,2.365,3.075,0.0997,0.4786,56.18,2.35,0.162,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,11-20,87,35,52,40.23,-357.54,0.858,-4.11,-0.065,745.78,7.34,9,-434.39,-259.37,-98.17,-370.68,13.14,74.71,57.47,2.299,2.989,0.097,0.4525,50.48,2.315,0.146,0.82
2025,v4_micro_or_candle_lower_tf_sl_1_3R,21+,8,2,6,25.0,-174.74,0.462,-21.84,-0.457,275.24,2.75,5,-275.24,71.8,-246.54,-0.15,-174.59,87.5,62.5,2.369,3.079,0.1047,0.4528,35.19,2.079,0.12,0.2
2025,v4_without_weak_lower_tf_sl_1_3R,00-05,57,29,28,50.88,456.87,1.335,8.02,0.189,255.31,2.48,5,-241.26,-4.17,461.04,515.43,-58.56,75.44,61.4,2.48,3.224,0.1008,0.4553,63.95,2.407,0.132,0.75
2025,v4_without_weak_lower_tf_sl_1_3R,06-10,215,104,111,48.37,1180.81,1.219,5.49,0.131,861.83,8.41,7,-347.73,-546.91,1727.72,1148.04,32.77,65.12,44.65,2.342,3.044,0.1039,0.4664,56.0,2.266,0.168,0.77
2025,v4_without_weak_lower_tf_sl_1_3R,11-20,106,44,62,41.51,-235.07,0.923,-2.22,-0.028,659.23,6.42,7,-343.84,-37.76,-197.31,-392.45,157.38,71.7,47.17,2.304,2.995,0.1006,0.4255,51.95,2.25,0.158,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,21+,10,2,8,20.0,-284.26,0.34,-28.43,-0.571,304.41,3.04,5,-275.24,68.21,-352.47,-3.74,-280.52,90.0,50.0,2.393,3.111,0.0997,0.4123,34.5,2.14,0.117,0.2
2026YTD,current_thirdwave_current_sl_1_5R,00-05,22,10,12,45.45,201.98,1.328,9.18,0.112,167.84,1.66,3,-128.21,-124.17,326.15,-13.42,215.4,77.27,54.55,3.098,4.647,0.0752,0.4448,63.43,2.974,0.08,0.31
2026YTD,current_thirdwave_current_sl_1_5R,06-10,46,22,24,47.83,465.47,1.421,10.12,0.212,158.67,1.52,3,-133.49,0,465.47,71.97,393.5,100.0,45.65,3.022,4.534,0.0476,0.4047,58.02,2.92,0.035,0.11
2026YTD,current_thirdwave_current_sl_1_5R,11-20,26,12,14,46.15,232.25,1.332,8.93,0.158,140.1,1.37,2,-111.63,133.81,98.44,45.45,186.8,80.77,15.38,2.6,3.9,0.0583,0.4635,53.44,2.493,0.07,0.44
2026YTD,current_thirdwave_current_sl_1_5R,21+,1,0,1,0.0,-33.95,0.0,-33.95,-1.001,33.95,0.34,1,-33.95,0,-33.95,0,-33.95,100.0,0.0,3.57,5.355,0.0284,0.641,47.86,3.48,0.01,0.01
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,00-05,17,6,11,35.29,-246.84,0.588,-14.52,-0.305,246.87,2.47,3,-150.47,23.71,-270.55,-136.17,-110.67,76.47,47.06,2.592,3.111,0.0763,0.4891,61.02,2.634,0.117,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,06-10,62,39,23,62.9,1243.47,2.064,20.06,0.424,269.17,2.43,5,-232.68,140.01,1103.46,241.93,1001.54,87.1,43.55,2.401,2.882,0.0628,0.4018,56.93,2.432,0.071,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,11-20,41,17,24,41.46,-118.57,0.905,-2.89,-0.082,685.22,6.48,9,-462.23,242.46,-361.03,-124.49,5.92,82.93,21.95,2.281,2.737,0.0583,0.3818,55.29,2.229,0.077,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,21+,2,1,1,50.0,43.6,2.284,21.8,0.1,33.95,0.34,1,-33.95,0,43.6,0,43.6,100.0,0.0,2.805,3.366,0.0174,0.6514,51.5,3.025,0.01,0.01
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,00-05,17,5,12,29.41,-325.44,0.495,-19.14,-0.402,344.49,3.44,5,-311.65,33.06,-358.5,-229.76,-95.68,76.47,47.06,2.592,3.37,0.0763,0.4891,61.02,2.634,0.117,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,06-10,63,36,27,57.14,1015.53,1.742,16.12,0.344,284.0,2.59,5,-232.7,38.9,976.63,296.34,719.19,87.3,42.86,2.4,3.119,0.0625,0.4086,57.16,2.405,0.07,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,11-20,40,17,23,42.5,44.66,1.038,1.12,-0.019,607.78,5.71,8,-390.97,262.08,-217.42,-134.25,178.91,82.5,22.5,2.23,2.899,0.0589,0.3733,55.53,2.183,0.079,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,21+,2,1,1,50.0,50.09,2.475,25.05,0.151,33.95,0.34,1,-33.95,0,50.09,0,50.09,100.0,0.0,2.805,3.647,0.0174,0.6514,51.5,3.025,0.01,0.01
2026YTD,v4_without_weak_lower_tf_sl_1_3R,00-05,19,6,13,31.58,-289.95,0.568,-15.26,-0.344,289.95,2.9,3,-135.12,-17.2,-272.75,-229.76,-60.19,73.68,42.11,2.629,3.418,0.0836,0.5049,61.73,2.624,0.115,0.6
2026YTD,v4_without_weak_lower_tf_sl_1_3R,06-10,78,42,36,53.85,1035.91,1.595,13.28,0.245,325.23,2.93,6,-287.31,6.19,1029.72,300.03,735.88,85.9,34.62,2.342,3.045,0.0629,0.3964,55.13,2.365,0.078,0.51
2026YTD,v4_without_weak_lower_tf_sl_1_3R,11-20,48,20,28,41.67,-121.16,0.915,-2.52,-0.039,544.37,5.23,6,-293.69,227.15,-348.31,-112.04,-9.12,79.17,18.75,2.224,2.891,0.0646,0.3681,55.55,2.156,0.099,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,21+,2,1,1,50.0,50.09,2.475,25.05,0.151,33.95,0.34,1,-33.95,0,50.09,0,50.09,100.0,0.0,2.805,3.647,0.0174,0.6514,51.5,3.025,0.01,0.01
