run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
C,SHORT_ONLY_5m_new_bar,02,24,7,17,29.17,-287.61,403.4,-691.01,0.584,-11.98,57.63,-40.65
C,SHORT_ONLY_5m_new_bar,03,55,23,32,41.82,199.68,1420.3,-1220.62,1.164,3.63,61.75,-38.14
C,SHORT_ONLY_5m_new_bar,04,46,15,31,32.61,-394.55,849.48,-1244.03,0.683,-8.58,56.63,-40.13
C,SHORT_ONLY_5m_new_bar,05,30,10,20,33.33,-193.22,548.93,-742.15,0.74,-6.44,54.89,-37.11
C,SHORT_ONLY_5m_new_bar,06,17,11,6,64.71,371.39,581.73,-210.34,2.766,21.85,52.88,-35.06
C,SHORT_ONLY_5m_new_bar,07,13,2,11,15.38,-281.63,112.48,-394.11,0.285,-21.66,56.24,-35.83
C,SHORT_ONLY_5m_new_bar,08,13,9,4,69.23,350.82,507.09,-156.27,3.245,26.99,56.34,-39.07
C,SHORT_ONLY_5m_new_bar,09,44,16,28,36.36,-83.64,941.9,-1025.54,0.918,-1.9,58.87,-36.63
C,SHORT_ONLY_5m_new_bar,10,62,20,42,32.26,-463.95,1180.49,-1644.44,0.718,-7.48,59.02,-39.15
C,SHORT_ONLY_5m_new_bar,11,45,17,28,37.78,-211.24,932.37,-1143.61,0.815,-4.69,54.85,-40.84
C,SHORT_ONLY_5m_new_bar,12,23,5,18,21.74,-396.39,287.34,-683.73,0.42,-17.23,57.47,-37.98
C,SHORT_ONLY_5m_new_bar,13,22,9,13,40.91,24.2,507.39,-483.19,1.05,1.1,56.38,-37.17
C,SHORT_ONLY_5m_new_bar,14,25,5,20,20.0,-448.39,301.95,-750.34,0.402,-17.94,60.39,-37.52
C,SHORT_ONLY_5m_new_bar,15,63,26,37,41.27,-40.13,1479.81,-1519.94,0.974,-0.64,56.92,-41.08
C,SHORT_ONLY_5m_new_bar,16,76,30,46,39.47,-75.47,1788.87,-1864.34,0.96,-0.99,59.63,-40.53
C,SHORT_ONLY_5m_new_bar,17,60,22,38,36.67,-163.56,1251.67,-1415.23,0.884,-2.73,56.89,-37.24
C,SHORT_ONLY_5m_new_bar,18,49,17,32,34.69,-303.2,924.43,-1227.63,0.753,-6.19,54.38,-38.36
C,SHORT_ONLY_5m_new_bar,19,18,5,13,27.78,-245.54,263.11,-508.65,0.517,-13.64,52.62,-39.13
C,SHORT_ONLY_5m_new_bar,20,15,6,9,40.0,-66.49,284.81,-351.3,0.811,-4.43,47.47,-39.03
C,SHORT_ONLY_5m_new_bar,21,15,3,12,20.0,-223.92,171.24,-395.16,0.433,-14.93,57.08,-32.93
C,SHORT_ONLY_5m_new_bar,22,17,5,12,29.41,-221.82,257.68,-479.5,0.537,-13.05,51.54,-39.96
C,SHORT_ONLY_5m_new_bar,23,9,2,7,22.22,-197.52,43.35,-240.87,0.18,-21.95,21.68,-34.41
D,LONG_ONLY_DowFractal_5m_new_bar,01,24,11,13,45.83,226.96,943.18,-716.22,1.317,9.46,85.74,-55.09
D,LONG_ONLY_DowFractal_5m_new_bar,02,24,9,15,37.5,-76.0,781.73,-857.73,0.911,-3.17,86.86,-57.18
D,LONG_ONLY_DowFractal_5m_new_bar,03,34,13,21,38.24,-64.71,1139.88,-1204.59,0.946,-1.9,87.68,-57.36
D,LONG_ONLY_DowFractal_5m_new_bar,04,38,16,22,42.11,96.34,1310.88,-1214.54,1.079,2.54,81.93,-55.21
D,LONG_ONLY_DowFractal_5m_new_bar,05,25,18,7,72.0,1055.04,1445.35,-390.31,3.703,42.2,80.3,-55.76
D,LONG_ONLY_DowFractal_5m_new_bar,06,25,11,14,44.0,98.6,890.02,-791.42,1.125,3.94,80.91,-56.53
D,LONG_ONLY_DowFractal_5m_new_bar,07,23,9,14,39.13,14.47,783.94,-769.47,1.019,0.63,87.1,-54.96
D,LONG_ONLY_DowFractal_5m_new_bar,08,25,9,16,36.0,-103.88,815.91,-919.79,0.887,-4.16,90.66,-57.49
D,LONG_ONLY_DowFractal_5m_new_bar,09,40,18,22,45.0,351.45,1537.5,-1186.05,1.296,8.79,85.42,-53.91
D,LONG_ONLY_DowFractal_5m_new_bar,10,48,21,27,43.75,197.65,1682.13,-1484.48,1.133,4.12,80.1,-54.98
D,LONG_ONLY_DowFractal_5m_new_bar,11,39,12,27,30.77,-560.99,924.13,-1485.12,0.622,-14.38,77.01,-55.0
D,LONG_ONLY_DowFractal_5m_new_bar,12,18,6,12,33.33,-161.51,503.38,-664.89,0.757,-8.97,83.9,-55.41
D,LONG_ONLY_DowFractal_5m_new_bar,13,26,14,12,53.85,488.59,1153.65,-665.06,1.735,18.79,82.4,-55.42
D,LONG_ONLY_DowFractal_5m_new_bar,14,30,15,15,50.0,375.48,1217.6,-842.12,1.446,12.52,81.17,-56.14
D,LONG_ONLY_DowFractal_5m_new_bar,15,48,16,32,33.33,-418.9,1373.78,-1792.68,0.766,-8.73,85.86,-56.02
D,LONG_ONLY_DowFractal_5m_new_bar,16,50,21,29,42.0,112.2,1706.74,-1594.54,1.07,2.24,81.27,-54.98
D,LONG_ONLY_DowFractal_5m_new_bar,17,59,26,33,44.07,288.16,2073.83,-1785.67,1.161,4.88,79.76,-54.11
D,LONG_ONLY_DowFractal_5m_new_bar,18,31,18,13,58.06,677.11,1395.03,-717.92,1.943,21.84,77.5,-55.22
D,LONG_ONLY_DowFractal_5m_new_bar,19,16,6,10,37.5,-93.47,447.14,-540.61,0.827,-5.84,74.52,-54.06
D,LONG_ONLY_DowFractal_5m_new_bar,20,16,9,7,56.25,285.35,702.21,-416.86,1.685,17.83,78.02,-59.55
D,LONG_ONLY_DowFractal_5m_new_bar,21,14,10,4,71.43,503.65,726.81,-223.16,3.257,35.98,72.68,-55.79
D,LONG_ONLY_DowFractal_5m_new_bar,22,12,7,5,58.33,220.56,538.54,-317.98,1.694,18.38,76.93,-63.6
D,LONG_ONLY_DowFractal_5m_new_bar,23,10,3,7,30.0,-162.24,263.66,-425.9,0.619,-16.22,87.89,-60.84
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,01,24,11,13,45.83,223.02,930.89,-707.87,1.315,9.29,84.63,-54.45
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,02,21,7,14,33.33,-176.08,615.04,-791.12,0.777,-8.38,87.86,-56.51
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,03,28,12,16,42.86,100.22,1005.02,-904.8,1.111,3.58,83.75,-56.55
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,04,33,15,18,45.45,260.92,1242.86,-981.94,1.266,7.91,82.86,-54.55
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,05,21,16,5,76.19,998.03,1277.77,-279.74,4.568,47.53,79.86,-55.95
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,06,22,9,13,40.91,16.94,737.21,-720.27,1.024,0.77,81.91,-55.41
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,07,20,7,13,35.0,-117.05,595.33,-712.38,0.836,-5.85,85.05,-54.8
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,08,26,9,17,34.62,-162.44,787.25,-949.69,0.829,-6.25,87.47,-55.86
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,09,32,15,17,46.88,332.8,1263.56,-930.76,1.358,10.4,84.24,-54.75
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,10,31,13,18,41.94,14.83,1006.11,-991.28,1.015,0.48,77.39,-55.07
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,11,27,8,19,29.63,-395.7,639.97,-1035.67,0.618,-14.66,80.0,-54.51
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,12,17,6,11,35.29,-112.96,481.96,-594.92,0.81,-6.64,80.33,-54.08
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,13,22,13,9,59.09,548.39,1056.7,-508.31,2.079,24.93,81.28,-56.48
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,14,28,13,15,46.43,203.92,1035.62,-831.7,1.245,7.28,79.66,-55.45
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,15,38,10,28,26.32,-696.73,857.76,-1554.49,0.552,-18.33,85.78,-55.52
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,16,32,14,18,43.75,135.27,1123.66,-988.39,1.137,4.23,80.26,-54.91
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,17,45,19,26,42.22,117.61,1494.64,-1377.03,1.085,2.61,78.67,-52.96
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,18,22,14,8,63.64,640.07,1062.12,-422.05,2.517,29.09,75.87,-52.76
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,19,14,6,8,42.86,17.75,447.14,-429.39,1.041,1.27,74.52,-53.67
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,20,13,8,5,61.54,331.21,627.69,-296.48,2.117,25.48,78.46,-59.3
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,21,14,10,4,71.43,512.44,726.76,-214.32,3.391,36.6,72.68,-53.58
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,22,11,6,5,54.55,134.59,452.57,-317.98,1.423,12.24,75.43,-63.6
E,XAUUSD_ONLY_LONG_ONLY_DowFractal_5m_new_bar,23,8,3,5,37.5,-46.53,263.66,-310.19,0.85,-5.82,87.89,-62.04
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,01,58,23,35,39.66,83.07,1621.23,-1538.16,1.054,1.43,70.49,-43.95
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,02,44,14,30,31.82,-322.79,995.17,-1317.96,0.755,-7.34,71.08,-43.93
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,03,107,40,67,37.38,-338.03,2769.44,-3107.47,0.891,-3.16,69.24,-46.38
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,04,100,42,58,42.0,174.26,2783.8,-2609.54,1.067,1.74,66.28,-44.99
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,05,69,34,35,49.28,715.83,2226.34,-1510.51,1.474,10.37,65.48,-43.16
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,06,50,26,24,52.0,573.76,1677.37,-1103.61,1.52,11.48,64.51,-45.98
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,07,37,11,26,29.73,-466.29,732.38,-1198.67,0.611,-12.6,66.58,-46.1
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,08,54,28,26,51.85,736.05,1906.6,-1170.55,1.629,13.63,68.09,-45.02
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,09,83,31,52,37.35,-210.76,2111.71,-2322.47,0.909,-2.54,68.12,-44.66
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,10,101,37,64,36.63,-380.54,2483.42,-2863.96,0.867,-3.77,67.12,-44.75
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,11,92,39,53,42.39,196.64,2587.06,-2390.42,1.082,2.14,66.33,-45.1
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,12,44,15,29,34.09,-372.85,997.77,-1370.62,0.728,-8.47,66.52,-47.26
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,13,53,27,26,50.94,578.3,1761.44,-1183.14,1.489,10.91,65.24,-45.51
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,14,65,23,42,35.38,-249.68,1610.38,-1860.06,0.866,-3.84,70.02,-44.29
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,15,124,50,74,40.32,-123.65,3483.08,-3606.73,0.966,-1.0,69.66,-48.74
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,16,134,54,80,40.3,34.08,3662.21,-3628.13,1.009,0.25,67.82,-45.35
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,17,130,53,77,40.77,500.2,3945.3,-3445.1,1.145,3.85,74.44,-44.74
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,18,75,41,34,54.67,1103.78,2611.33,-1507.55,1.732,14.72,63.69,-44.34
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,19,32,12,20,37.5,-142.06,712.54,-854.6,0.834,-4.44,59.38,-42.73
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,20,33,17,16,51.52,429.04,1145.14,-716.1,1.599,13.0,67.36,-44.76
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,21,27,12,15,44.44,21.85,732.11,-710.26,1.031,0.81,61.01,-47.35
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,22,31,14,17,45.16,122.27,878.69,-756.42,1.162,3.94,62.76,-44.5
F,BOTH_disable_USDJPY_SHORT_5m_new_bar,23,23,6,17,26.09,-424.92,333.03,-757.95,0.439,-18.47,55.51,-44.59
