period,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,retest_quality,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL,failure_type,winning_type
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,2.0,neckline_break_initial,deep_retest_but_reclaim,1,7,2.177,0.904,1,1,1,1,10.0,185.0,345.0,,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,-1.001,neckline_break_initial,deep_retest_but_reclaim,1,2,1.412,1.932,1,1,0,0,40.0,110.0,,180.0,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,2.0,neckline_break_late,no_retest_break_and_go,0,,2.181,0.062,1,1,1,1,0.0,10.0,55.0,,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.10.20 09:20:00,USDJPY,SHORT,100.87,2.025,neckline_break_late,no_retest_break_and_go,0,,2.234,0.614,1,1,1,1,10.0,160.0,165.0,,,fast_follow_through
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.10.17 23:35:00,XAUUSD,LONG,63.94,2.0,neckline_break_initial,no_retest_break_and_go,0,,2.455,0.776,1,1,1,1,2965.0,3800.0,3840.0,,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,-1.004,neckline_break_late,no_retest_break_and_go,0,,1.914,1.5,1,1,1,0,100.0,545.0,,1955.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,2.039,neckline_break_late,shallow_retest_then_go,1,2,2.69,0.566,1,1,1,1,100.0,105.0,120.0,,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,-1.005,neckline_break_late,no_retest_break_and_go,0,,1.864,1.077,1,1,1,0,3235.0,3235.0,,3335.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,-1.0,neckline_break_late,deep_retest_but_reclaim,1,2,1.22,1.032,1,1,0,0,25.0,35.0,,325.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,-1.0,neckline_break_late,immediate_full_false_break,1,0,0.0,1.013,0,0,0,0,,,,0.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,-1.0,clean_nested_nwave_entry,immediate_full_false_break,1,0,0.146,1.177,0,0,0,0,,,,30.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,2.017,neckline_break_late,no_retest_break_and_go,0,,2.149,0.304,1,1,1,1,15.0,30.0,475.0,,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,-1.007,neckline_break_initial,unclear,0,,0.11,2.009,0,0,0,0,,,,75.0,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,-1.013,neckline_break_late,immediate_full_false_break,1,1,0.433,1.593,0,0,0,0,,,,10.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2026.02.12 18:50:00,USDJPY,SHORT,-53.13,-1.011,neckline_break_late,unclear,0,,0.549,1.466,1,0,0,0,30.0,,,495.0,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2026.02.13 16:50:00,GBPJPY,SHORT,-48.41,-1.014,neckline_break_late,return_inside_and_fail,1,0,0.694,1.541,1,0,0,0,0.0,,,20.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2026.02.13 17:20:00,EURJPY,SHORT,-50.4,-1.02,neckline_break_late,no_retest_break_and_go,0,,1.717,1.113,1,1,1,0,20.0,25.0,,3835.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,13,2026.02.18 12:50:00,XAUUSD,SHORT,-42.56,-1.01,neckline_break_initial,return_inside_and_fail,1,1,0.617,1.261,1,0,0,0,55.0,,,75.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,14,2026.02.23 17:35:00,EURUSD,LONG,-47.79,-1.0,neckline_break_late,immediate_full_false_break,1,0,0.333,1.099,0,0,0,0,,,,15.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,15,2026.02.26 09:35:00,USDJPY,LONG,-47.63,-1.014,neckline_break_late,return_inside_and_fail,1,3,0.586,1.32,1,0,0,0,390.0,,,430.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,16,2026.02.27 12:35:00,XAUUSD,SHORT,-46.2,-1.011,neckline_break_initial,immediate_full_false_break,1,0,0.208,1.408,0,0,0,0,,,,80.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,17,2026.03.02 21:20:00,XAUUSD,LONG,-38.35,-1.01,neckline_break_initial,no_retest_break_and_go,0,,1.459,1.245,1,1,0,0,50.0,340.0,,650.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,18,2026.03.04 14:35:00,GBPUSD,SHORT,-47.82,-1.003,clean_nested_nwave_entry,deep_retest_but_reclaim,1,6,1.978,1.127,1,1,1,0,20.0,950.0,,3130.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,19,2026.03.11 17:35:00,EURUSD,LONG,-46.2,-1.008,neckline_break_late,immediate_full_false_break,1,0,0.382,1.076,0,0,0,0,,,,35.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,20,2026.03.18 20:50:00,GBPUSD,LONG,-45.8,-1.004,neckline_break_initial,return_inside_and_fail,1,4,0.496,1.232,0,0,0,0,,,,45.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,21,2026.03.20 09:05:00,XAUUSD,SHORT,-30.59,-1.043,neckline_break_late,no_retest_break_and_go,0,,1.146,1.274,1,1,0,0,20.0,35.0,,130.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,22,2026.03.20 11:50:00,XAUUSD,SHORT,57.29,2.004,neckline_break_late,no_retest_break_and_go,0,,2.053,0.162,1,1,1,1,40.0,55.0,125.0,,,strong_body_breakout
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,23,2026.03.24 11:20:00,GBPUSD,LONG,-47.36,-1.035,chasing_after_break,return_inside_and_fail,1,6,0.0,1.133,0,0,0,0,,,,70.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,24,2026.03.24 12:50:00,GBPUSD,LONG,-46.41,-1.0,chasing_after_break,deep_retest_but_reclaim,1,8,1.622,2.546,1,1,1,0,5.0,30.0,,195.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,25,2026.03.26 14:05:00,XAUUSD,LONG,-34.93,-1.073,clean_nested_nwave_entry,deep_retest_but_reclaim,1,8,1.019,1.812,1,1,0,0,195.0,210.0,,315.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,-1.004,neckline_break_late,no_retest_break_and_go,0,,1.914,1.5,1,1,1,0,100.0,545.0,,1955.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,2.039,neckline_break_late,shallow_retest_then_go,1,2,2.69,0.566,1,1,1,1,100.0,105.0,120.0,,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,-1.005,neckline_break_late,no_retest_break_and_go,0,,1.864,1.077,1,1,1,0,3235.0,3235.0,,3335.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,-1.0,neckline_break_late,deep_retest_but_reclaim,1,2,1.22,1.032,1,1,0,0,25.0,35.0,,325.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,-1.0,neckline_break_late,immediate_full_false_break,1,0,0.0,1.013,0,0,0,0,,,,0.0,false_breakout,
