combo,direction,enabled_conditions,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
room_to_2r + H4 MA + H1 N-wave,ALL,cond_room_to_2r+cond_h4_bias_ma+cond_h1_counter_nwave,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
room_to_2r + H4 MA + H1 N-wave,LONG,cond_room_to_2r+cond_h4_bias_ma+cond_h1_counter_nwave,4,25.0,0.69,-0.255,-45.14,145.84,1.44,1.561,0.956,100.0,100.0,25.0,4,0,-45.14,0,-0.255,0.0,2,4,GBPJPY:1;USDJPY:3,2025-01:1;2025-03:1;2025-07:1;2025-11:1,LONG:4
room_to_2r + H4 MA + H1 N-wave,SHORT,cond_room_to_2r+cond_h4_bias_ma+cond_h1_counter_nwave,9,33.33,0.979,-0.004,-6.5,156.64,1.55,1.234,1.277,77.78,55.56,33.33,0,9,0,-6.5,0.0,-0.004,5,6,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:1;USDJPY:5,2025-01:2;2025-02:2;2025-04:2;2025-06:1;2025-07:1;2025-09:1,SHORT:9
room_to_2r + H4 MA + M15 close BOS + H1 N-wave,ALL,cond_room_to_2r+cond_h4_bias_ma+cond_m15_close_bos+cond_h1_counter_nwave,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
room_to_2r + H4 MA + M15 close BOS + H1 N-wave,LONG,cond_room_to_2r+cond_h4_bias_ma+cond_m15_close_bos+cond_h1_counter_nwave,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
room_to_2r + H4 MA + M15 close BOS + H1 N-wave,SHORT,cond_room_to_2r+cond_h4_bias_ma+cond_m15_close_bos+cond_h1_counter_nwave,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,,
room_to_2r_ON,ALL,room_to_2r_ON,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
room_to_2r_ON,LONG,room_to_2r_ON,11,36.36,1.177,0.109,60.79,249.81,2.43,1.423,0.956,81.82,72.73,36.36,11,0,60.79,0,0.109,0.0,5,8,EURJPY:1;EURUSD:2;GBPJPY:2;GBPUSD:1;USDJPY:5,2025-01:1;2025-03:2;2025-04:1;2025-07:2;2025-08:1;2025-09:1;2025-10:1;2025-11:2,LONG:11
room_to_2r_ON,SHORT,room_to_2r_ON,17,35.29,1.087,0.059,48.24,157.4,1.56,1.27,1.153,70.59,47.06,35.29,0,17,0,48.24,0.0,0.059,6,7,AUDJPY:1;EURJPY:2;EURUSD:2;GBPJPY:2;GBPUSD:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:5;2025-06:1;2025-07:3;2025-09:2,SHORT:17
room_to_2r_OFF,ALL,room_to_2r_OFF,35,20.0,0.488,-0.404,-712.7,1042.09,10.09,1.079,1.099,57.14,42.86,20.0,17,18,-252.99,-459.71,-0.298,-0.505,6,12,AUDJPY:1;EURJPY:6;EURUSD:4;GBPJPY:2;GBPUSD:8;USDJPY:14,2025-01:3;2025-02:2;2025-03:4;2025-04:4;2025-05:1;2025-06:3;2025-07:1;2025-08:7;2025-09:2;2025-10:2;2025-11:4;2025-12:2,LONG:17;SHORT:18
room_to_2r_OFF,LONG,room_to_2r_OFF,17,23.53,0.607,-0.298,-252.99,492.89,4.81,1.024,1.147,47.06,35.29,23.53,17,0,-252.99,0,-0.298,0.0,5,10,AUDJPY:1;EURJPY:2;EURUSD:3;GBPUSD:2;USDJPY:9,2025-02:1;2025-03:3;2025-04:1;2025-06:2;2025-07:1;2025-08:4;2025-09:1;2025-10:2;2025-11:1;2025-12:1,LONG:17
room_to_2r_OFF,SHORT,room_to_2r_OFF,18,16.67,0.384,-0.505,-459.71,549.2,5.44,1.13,1.053,66.67,50.0,16.67,0,18,0,-459.71,0.0,-0.505,5,10,EURJPY:4;EURUSD:1;GBPJPY:2;GBPUSD:6;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:3;2025-05:1;2025-06:1;2025-08:3;2025-09:1;2025-11:3;2025-12:1,SHORT:18
