period,run,scenario,entry_selection_mode,trade_index,open_time,close_time,symbol,direction,session,month,fx_bucket,net_profit,final_result_R,label,neckline_break_label,fib_zone,h4_trend_state,h1_counter_trend_state,h4_pullback_depth_bucket,neckline_source_type,neckline_touch_count,neckline_age_bars,neckline_range_atr,entry_close_distance_from_neckline_atr,breakout_body_atr,breakout_body_ratio,breakout_wick_ratio,breakout_close_strength,immediate_retest_within_4_bars,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,mfe_bucket,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL,did_price_reverse_after_1R,did_price_reverse_after_1_5R,sl_atr,sl_atr_bucket,spread_atr,spread_atr_bucket,quality_score,failure_type,winning_type,setup_failure_layer,true_clean_candidate
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,11,2025.02.25 13:05:00,2025.02.25 17:00:11,GBPJPY,LONG,server_08_15,2025-02,FX,-48.76,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,41,4,0.973,0.21,0.042,0.121,0.879,0.22,1,1,1,1.799,1.569,1,1,1,0,0,1.5-2R,25.0,30.0,,235.0,1,1,1.33,1.0-1.5,0.1449,0.10-0.20,73.62,false_breakout,,M15_neckline_quality_problem,0
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,12,2025.02.26 19:50:00,2025.02.27 02:58:37,EURUSD,LONG,server_16_23,2025-02,FX,-54.67,-1.006,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,58-62_deep_zone,double_bottom,53,10,1.196,0.196,0.482,0.75,0.25,0.25,1,1,0,0.31,1.224,0,0,0,0,0,<0.5R,,,,425.0,0,0,1.55,1.5-2.0,0.1603,0.10-0.20,62.14,false_breakout,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,1,2025.02.04 08:05:00,2025.02.04 09:37:57,EURJPY,SHORT,server_08_15,2025-02,FX,-50.05,-1.01,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,50-58,double_top,16,7,0.685,0.97,0.393,0.564,0.436,0.368,0,0,,0.399,1.068,0,0,0,0,0,<0.5R,,,,90.0,0,0,1.83,1.5-2.0,0.1781,0.10-0.20,63.27,no_follow_through,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,2,2025.02.04 19:35:00,2025.02.04 23:02:30,EURUSD,SHORT,server_16_23,2025-02,FX,-49.3,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,58-62_deep_zone,double_top,14,3,1.137,0.089,0.024,0.038,0.962,0.165,1,1,3,0.112,0.9,0,0,0,0,0,<0.5R,,,,,0,0,1.37,1.0-1.5,0.1447,0.10-0.20,74.1,false_breakout,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,3,2025.02.06 22:35:00,2025.02.07 03:40:03,XAUUSD,LONG,server_16_23,2025-02,XAUUSD,85.05000000000001,2.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,38-42_shallow_zone,double_bottom,8,4,1.332,0.508,0.139,0.459,0.541,0.527,0,0,,2.503,0.216,1,1,1,1,0,2R+,165.0,220.0,305.0,,0,0,1.91,1.5-2.0,0.0737,<0.10,67.87,,clean_break_and_go,n/a_win,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,4,2025.02.11 18:05:00,2025.02.12 02:52:31,XAUUSD,LONG,server_16_23,2025-02,XAUUSD,-45.07,-1.002,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,39,4,1.938,0.04,0.037,0.133,0.867,0.369,1,1,7,0.28,1.094,0,0,0,0,0,<0.5R,,,,525.0,0,0,2.03,2.0+,0.0258,<0.10,108.8,false_breakout,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,5,2025.02.13 20:20:00,2025.02.13 20:40:58,GBPJPY,LONG,server_16_23,2025-02,FX,-50.82,-1.035,clean_nested_nwave_entry,clean_nested_nwave_entry,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,21,7,0.89,0.263,0.467,0.529,0.471,0.324,1,1,0,0.581,2.934,1,0,0,0,0,0.5-1R,5.0,,,20.0,0,0,0.78,<1.0,0.1492,0.10-0.20,121.99,false_breakout,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,6,2025.02.14 11:50:00,2025.02.14 18:20:48,GBPJPY,LONG,server_08_15,2025-02,FX,-49.37,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,58-62_deep_zone,double_bottom,41,8,1.346,0.401,0.18,0.696,0.304,0.107,1,1,1,1.024,1.053,1,1,0,0,0,1-1.5R,190.0,205.0,,390.0,1,0,1.92,1.5-2.0,0.1748,0.10-0.20,63.35,false_breakout,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,7,2025.02.21 06:05:00,2025.02.21 09:31:12,EURJPY,SHORT,server_00_07,2025-02,FX,-47.47,-1.004,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,42-50,double_top,9,3,0.958,0.228,0.181,0.574,0.426,0.735,0,0,,0.498,0.909,0,0,0,0,0,<0.5R,,,,,0,0,1.33,1.0-1.5,0.1397,0.10-0.20,76.11,no_follow_through,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,8,2025.02.21 10:35:00,2025.02.21 16:47:32,EURJPY,SHORT,server_08_15,2025-02,FX,97.32,2.003,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,50-58,double_top,23,3,2.361,0.349,1.536,0.951,0.049,0.049,1,0,,2.308,0.055,1,1,1,1,0,2R+,10.0,55.0,370.0,,0,0,2.2,2.0+,0.1811,0.10-0.20,104.58,,retest_then_go,n/a_win,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,9,2025.02.24 01:05:00,2025.02.24 02:53:53,XAUUSD,SHORT,server_00_07,2025-02,XAUUSD,97.58,2.009,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,58-62_deep_zone,double_top,1,13,1.701,0.597,1.446,0.671,0.329,0.146,0,1,0,2.833,0.28,1,1,1,1,0,2R+,25.0,70.0,105.0,,0,0,1.16,1.0-1.5,0.0604,<0.10,51.88,,fast_follow_through,n/a_win,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,10,2025.02.24 18:20:00,2025.02.25 01:10:06,USDJPY,SHORT,server_16_23,2025-02,FX,-51.379999999999995,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,42-50,double_top,25,10,1.612,0.406,0.412,0.66,0.34,0.068,1,1,1,0.444,1.066,0,0,0,0,0,<0.5R,,,,410.0,0,0,2.11,2.0+,0.0969,<0.10,64.42,false_breakout,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,11,2025.02.24 18:35:00,2025.02.25 10:00:12,AUDJPY,SHORT,server_16_23,2025-02,FX,95.52,2.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,38-42_shallow_zone,double_top,60,11,0.994,0.632,0.184,0.652,0.348,0.283,0,0,,2.201,0.437,1,1,1,1,0,2R+,255.0,890.0,920.0,,0,0,1.8,1.5-2.0,0.1721,0.10-0.20,54.16,,clean_break_and_go,n/a_win,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,12,2025.02.25 13:05:00,2025.02.25 17:00:11,GBPJPY,LONG,server_08_15,2025-02,FX,-48.76,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,41,4,0.973,0.21,0.042,0.121,0.879,0.22,1,1,1,1.799,1.569,1,1,1,0,0,1.5-2R,25.0,30.0,,235.0,1,1,1.33,1.0-1.5,0.1449,0.10-0.20,73.62,false_breakout,,M15_neckline_quality_problem,0
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,13,2025.02.26 19:50:00,2025.02.27 02:58:37,EURUSD,LONG,server_16_23,2025-02,FX,-54.67,-1.006,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,58-62_deep_zone,double_bottom,53,10,1.196,0.196,0.482,0.75,0.25,0.25,1,1,0,0.31,1.224,0,0,0,0,0,<0.5R,,,,425.0,0,0,1.55,1.5-2.0,0.1603,0.10-0.20,62.14,false_breakout,,M15_neckline_quality_problem,0
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,1,2025.08.06 16:35:00,2025.08.07 04:43:19,XAUUSD,LONG,server_16_23,2025-08,XAUUSD,79.91,2.009,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,18,5,1.769,0.018,0.616,0.436,0.564,0.224,1,1,0,2.185,0.247,1,1,1,1,0,2R+,15.0,30.0,725.0,,0,0,1.8,1.5-2.0,0.0468,<0.10,75.82,,retest_then_go,n/a_win,0
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,2,2025.08.21 17:20:00,2025.08.22 03:56:41,GBPJPY,SHORT,server_16_23,2025-08,FX,-52.77,-1.006,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,50-58,double_top,14,13,1.605,0.063,0.4,0.987,0.013,0.013,1,1,0,0.616,0.991,1,0,0,0,0,0.5-1R,400.0,,,,0,0,1.74,1.5-2.0,0.1996,0.10-0.20,63.21,false_breakout,,M15_neckline_quality_problem,0
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,1,2025.08.06 16:35:00,2025.08.07 04:43:19,XAUUSD,LONG,server_16_23,2025-08,XAUUSD,79.91,2.009,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,50-58,double_bottom,18,5,1.769,0.018,0.616,0.436,0.564,0.224,1,1,0,2.185,0.247,1,1,1,1,0,2R+,15.0,30.0,725.0,,0,0,1.8,1.5-2.0,0.0468,<0.10,75.82,,retest_then_go,n/a_win,0
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,2,2025.08.21 17:20:00,2025.08.22 03:56:41,GBPJPY,SHORT,server_16_23,2025-08,FX,-52.77,-1.006,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,50-58,double_top,14,13,1.605,0.063,0.4,0.987,0.013,0.013,1,1,0,0.616,0.991,1,0,0,0,0,0.5-1R,400.0,,,,0,0,1.74,1.5-2.0,0.1996,0.10-0.20,63.21,false_breakout,,M15_neckline_quality_problem,0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,1,2025.10.02 06:00:00,2025.10.02 11:49:35,XAUUSD,LONG,server_00_07,2025-10,XAUUSD,99.6,2.0,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,38-42_shallow_zone,double_bottom,56,4,0.702,0.218,0.218,0.789,0.211,0.141,1,1,7,2.177,0.904,1,1,1,1,0,2R+,10.0,185.0,345.0,,0,0,0.97,<1.0,0.0351,<0.10,100.39,,retest_then_go,n/a_win,0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,2,2025.10.10 15:05:00,2025.10.10 18:05:47,XAUUSD,SHORT,server_08_15,2025-10,XAUUSD,-49.4,-1.001,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,38-42_shallow_zone,double_top,27,6,1.213,0.352,0.131,0.338,0.662,0.463,1,1,2,1.412,1.932,1,1,0,0,0,1-1.5R,40.0,110.0,,180.0,1,0,1.62,1.5-2.0,0.0249,<0.10,98.84,false_breakout,,M15_neckline_quality_problem,0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,3,2025.10.16 16:35:00,2025.10.16 17:33:39,USDJPY,SHORT,server_16_23,2025-10,FX,98.56,2.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,42-50,double_top,34,8,1.852,0.487,0.609,0.745,0.255,0.255,1,0,,2.181,0.062,1,1,1,1,0,2R+,0.0,10.0,55.0,,0,0,1.54,1.5-2.0,0.1736,0.10-0.20,66.82,,retest_then_go,n/a_win,0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,4,2025.10.17 23:35:00,2025.10.20 15:35:45,XAUUSD,LONG,server_16_23,2025-10,XAUUSD,63.94,2.0,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,58-62_deep_zone,double_bottom,21,5,2.052,0.032,0.113,0.543,0.457,0.396,1,0,,2.455,0.776,1,1,1,1,0,2R+,2965.0,3800.0,3840.0,,0,0,2.07,2.0+,0.0192,<0.10,103.36,,retest_then_go,n/a_win,0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,1,2025.10.02 06:00:00,2025.10.02 11:49:35,XAUUSD,LONG,server_00_07,2025-10,XAUUSD,99.6,2.0,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,38-42_shallow_zone,double_bottom,56,4,0.702,0.218,0.218,0.789,0.211,0.141,1,1,7,2.177,0.904,1,1,1,1,0,2R+,10.0,185.0,345.0,,0,0,0.97,<1.0,0.0351,<0.10,100.39,,retest_then_go,n/a_win,0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,2,2025.10.10 15:05:00,2025.10.10 18:05:47,XAUUSD,SHORT,server_08_15,2025-10,XAUUSD,-49.4,-1.001,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,38-42_shallow_zone,double_top,27,6,1.213,0.352,0.131,0.338,0.662,0.463,1,1,2,1.412,1.932,1,1,0,0,0,1-1.5R,40.0,110.0,,180.0,1,0,1.62,1.5-2.0,0.0249,<0.10,98.84,false_breakout,,M15_neckline_quality_problem,0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,3,2025.10.16 16:35:00,2025.10.16 17:33:39,USDJPY,SHORT,server_16_23,2025-10,FX,98.56,2.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,42-50,double_top,34,8,1.852,0.487,0.609,0.745,0.255,0.255,1,0,,2.181,0.062,1,1,1,1,0,2R+,0.0,10.0,55.0,,0,0,1.54,1.5-2.0,0.1736,0.10-0.20,66.82,,retest_then_go,n/a_win,0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,4,2025.10.20 09:20:00,2025.10.20 12:08:20,USDJPY,SHORT,server_08_15,2025-10,FX,100.87,2.025,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,58-62_deep_zone,double_top,27,14,0.874,1.042,0.611,0.586,0.414,0.04,0,0,,2.234,0.614,1,1,1,1,0,2R+,10.0,160.0,165.0,,0,0,2.08,2.0+,0.1583,0.10-0.20,43.3,,fast_follow_through,n/a_win,0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,ALL_SCORE_PASSING,5,2025.10.17 23:35:00,2025.10.20 15:35:45,XAUUSD,LONG,server_16_23,2025-10,XAUUSD,63.94,2.0,neckline_break_initial,neckline_break_initial,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,58-62_deep_zone,double_bottom,21,5,2.052,0.032,0.113,0.543,0.457,0.396,1,0,,2.455,0.776,1,1,1,1,0,2R+,2965.0,3800.0,3840.0,,0,0,2.07,2.0+,0.0192,<0.10,103.36,,retest_then_go,n/a_win,0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,1,2026.01.14 20:05:00,2026.01.16 04:40:12,USDJPY,LONG,server_16_23,2026-01,FX,-43.419999999999995,-1.004,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,38-42_shallow_zone,double_bottom,23,4,1.339,0.711,0.413,0.676,0.324,0.676,0,0,,1.914,1.5,1,1,1,0,0,1.5-2R,100.0,545.0,,1955.0,1,1,2.2,2.0+,0.1487,0.10-0.20,66.48,target_too_far,,SL_TP_design_problem,0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,2,2026.01.16 15:35:00,2026.01.16 17:39:05,GBPUSD,SHORT,server_08_15,2026-01,FX,99.94,2.039,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,38-42_shallow_zone,double_top,27,7,0.961,0.519,0.325,0.61,0.39,0.976,1,1,2,2.69,0.566,1,1,1,1,0,2R+,100.0,105.0,120.0,,0,0,1.67,1.5-2.0,0.1937,0.10-0.20,64.78,,retest_then_go,n/a_win,0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,3,2026.01.16 18:05:00,2026.01.19 01:43:29,GBPUSD,SHORT,server_16_23,2026-01,FX,-48.94,-1.005,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,42-50,double_top,24,4,0.851,1.178,0.545,0.743,0.257,0.257,0,0,,1.864,1.077,1,1,1,0,0,1.5-2R,3235.0,3235.0,,3335.0,1,1,2.17,2.0+,0.1481,0.10-0.20,65.61,target_too_far,,SL_TP_design_problem,0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,4,2026.01.21 16:05:00,2026.01.21 21:31:09,GBPUSD,LONG,server_16_23,2026-01,FX,-47.96,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,58-62_deep_zone,double_bottom,7,3,1.495,0.515,1.059,0.823,0.177,0.062,1,1,2,1.22,1.032,1,1,0,0,0,1-1.5R,25.0,35.0,,325.0,1,0,2.16,2.0+,0.1483,0.10-0.20,68.92,false_breakout,,M15_neckline_quality_problem,0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,5,2026.01.28 13:05:00,2026.01.28 13:08:17,GBPUSD,LONG,server_08_15,2026-01,FX,-49.28,-1.0,neckline_break_late,neckline_break_late,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,38-42_shallow_zone,double_bottom,17,3,1.298,0.831,1.016,0.984,0.016,0.0,0,1,0,0.0,1.013,0,0,0,0,0,<0.5R,,,,0.0,0,0,0.62,<1.0,0.1538,0.10-0.20,64.01,false_breakout,,M15_neckline_quality_problem,0
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,BEST_ONLY,6,2026.01.28 20:05:00,2026.01.28 20:38:13,GBPUSD,LONG,server_16_23,2026-01,FX,-48.0,-1.0,clean_nested_nwave_entry,clean_nested_nwave_entry,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,38-42_shallow_zone,double_bottom,47,3,0.824,0.101,0.085,0.348,0.652,0.457,1,1,0,0.146,1.177,0,0,0,0,0,<0.5R,,,,30.0,0,0,1.02,1.0-1.5,0.0959,<0.10,122.13,false_breakout,,M15_neckline_quality_problem,0
