period,variant,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,EURUSD,7,4,3,57.14,89.31,1.511,12.76,0.245,174.82,1.7,3,-174.82,89.31,0,-174.82,264.13,0.0,42.86,2.366,2.839,0.1856,0.4578,53.79,1.997,0.351,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,GBPJPY,3,2,1,66.67,71.44,2.267,23.81,0.482,56.38,0.56,1,-56.38,71.44,0,-56.38,127.82,0.0,33.33,1.51,1.812,0.1477,0.4401,63.69,1.32,0.233,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,GBPUSD,5,3,2,60.0,112.9,2.078,22.58,0.413,54.36,0.54,1,-50.38,112.9,0,60.16,52.74,0.0,20.0,1.896,2.275,0.1587,0.3373,67.59,1.874,0.276,0.36
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,USDJPY,4,3,1,75.0,132.53,3.461,33.13,0.668,53.85,0.53,1,-53.85,132.53,0,0,132.53,0.0,0.0,2.252,2.703,0.1404,0.6833,59.38,1.975,0.282,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,103,51,52,49.51,515.48,1.194,5.0,0.097,561.64,5.1,6,-313.24,0,515.48,152.31,363.17,100.0,37.86,2.451,2.942,0.0439,0.4003,56.25,2.503,0.038,0.1
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,EURUSD,7,3,4,42.86,-12.85,0.944,-1.84,-0.026,174.82,1.72,3,-174.82,-12.85,0,-174.82,161.97,0.0,42.86,2.366,3.075,0.1856,0.4578,53.79,1.997,0.353,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,GBPJPY,3,2,1,66.67,79.8,2.415,26.6,0.535,56.4,0.56,1,-56.4,79.8,0,-56.4,136.2,0.0,33.33,1.51,1.963,0.1477,0.4401,63.69,1.32,0.233,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,GBPUSD,5,3,2,60.0,121.91,2.147,24.38,0.453,55.87,0.55,1,-50.38,121.91,0,65.92,55.99,0.0,20.0,1.896,2.465,0.1587,0.3373,67.59,1.874,0.278,0.37
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,USDJPY,4,3,1,75.0,145.18,3.696,36.29,0.729,53.85,0.53,1,-53.85,145.18,0,0,145.18,0.0,0.0,2.252,2.928,0.1404,0.6833,59.38,1.975,0.282,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,103,48,55,46.6,450.8,1.163,4.38,0.075,765.33,6.87,6,-270.45,0,450.8,97.63,353.17,100.0,37.86,2.432,3.161,0.044,0.4014,56.51,2.471,0.037,0.1
2026YTD,v4_without_weak_lower_tf_sl_1_3R,EURUSD,10,5,5,50.0,81.11,1.291,8.11,0.141,223.71,2.17,4,-223.71,81.11,0,-171.26,252.37,0.0,30.0,2.001,2.601,0.1863,0.4081,52.17,1.777,0.444,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,GBPJPY,3,2,1,66.67,75.81,2.344,25.27,0.534,56.4,0.56,1,-56.4,75.81,0,-56.4,132.21,0.0,33.33,1.5,1.95,0.1488,0.4401,63.69,1.31,0.233,0.4
2026YTD,v4_without_weak_lower_tf_sl_1_3R,GBPUSD,7,3,4,42.86,16.47,1.078,2.35,0.036,161.31,1.6,3,-161.31,16.47,0,65.92,-49.45,0.0,14.29,2.376,3.088,0.1687,0.3516,62.27,2.257,0.234,0.34
2026YTD,v4_without_weak_lower_tf_sl_1_3R,USDJPY,6,3,3,50.0,42.75,1.274,7.12,0.152,103.53,1.03,2,-103.53,42.75,0,0,42.75,0.0,0.0,2.325,3.023,0.1583,0.6712,58.37,2.147,0.288,0.48
2026YTD,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,121,56,65,46.28,458.75,1.144,3.79,0.057,673.55,6.1,5,-253.57,0,458.75,119.97,338.78,100.0,32.23,2.396,3.115,0.0429,0.3934,55.73,2.425,0.037,0.11
