open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,context,run,variant,scenario,signal_mode,trade_index,time,event,entry_price,sl,tp,mid_tf_structure_sl,lower_tf_reversal_sl,mid_tf_structure_sl_atr,lower_tf_reversal_sl_atr,lower_tf_reversal_sl_status,result_R,regime,session,scan_interval,entry_selection_mode,v4_signal_mode,v4_signal_mode_pass,v4_signal_mode_blocked,higher_tf,higher_structure_state,mid_tf,pullback_depth_pct,pullback_depth_atr,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name,month,hour,is_xauusd
2025.08.15 02:40:00,2025.08.15 03:04:52,XAUUSD,SHORT,0.24,3335.76,3332.63,24,25,0.0,0.0,75.12,75.12,10252.43,tp 3332.64,24.87,2025.08.15 02:40:00,2025.08.15 03:00:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,12,2025.08.15 02:39:59,order_sent,3335.76,3337.84,3332.64,3337.84,3335.67,1.90,-0.08,invalid_stops,1.5048,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,LL_LH,PERIOD_M15,70.01,4.01,1.72,16.83,PERIOD_M5,3333.36,3333.36,1,2.19,240.0,late,70.00,1.90,2.08,1.50,0.1828,,,true,,true,,0.00,false,0.00,1,3.26,candle_reversal,,19,1,2.19,16.83,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,02,XAUUSD
2025.08.15 03:10:00,2025.08.15 03:54:02,XAUUSD,SHORT,0.19,3335.24,3337.85,26,27,0.0,0.0,-49.59,-49.59,10202.84,sl 3337.84,44.03,2025.08.15 03:10:00,2025.08.15 03:50:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,13,2025.08.15 03:09:59,order_sent,3335.24,3337.84,3331.34,3337.84,3336.79,2.18,1.30,valid,-1.0038,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,LL_LH,PERIOD_M15,70.01,4.03,2.01,21.49,PERIOD_M5,3334.76,3334.76,1,0.40,48.0,acceptable,95.00,2.18,2.60,1.50,0.1676,,,true,,true,,35.00,false,2.80,1,2.37,candle_reversal,,24,1,0.40,21.49,64.00,95.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,03,XAUUSD
2025.08.15 04:25:00,2025.08.15 04:29:42,XAUUSD,SHORT,0.34,3335.32,3336.82,28,29,0.0,0.0,-51.0,-51.0,10151.84,sl 3336.78,4.7,2025.08.15 04:25:00,2025.08.15 04:25:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,14,2025.08.15 04:24:59,order_sent,3335.32,3336.78,3333.13,3336.78,3338.91,0.81,1.98,valid,-1.0274,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,LL_LH,PERIOD_M15,60.61,3.05,0.70,11.37,PERIOD_M5,3335.15,3335.15,1,0.09,17.0,early,80.00,0.81,1.46,1.50,0.1050,,,true,,true,,35.00,false,1.65,1,0.48,candle_reversal,,5,1,0.09,11.37,82.00,80.00,third_wave_initial,clean_pullback_and_near_reclaim,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,04,XAUUSD
2025.08.20 18:35:00,2025.08.20 23:06:02,USDJPY,SHORT,0.24,147.137,147.448,30,31,0.0,0.0,-50.62,-50.62,10101.22,sl 147.447,271.03,2025.08.20 18:35:00,2025.08.20 23:05:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,15,2025.08.20 18:34:59,order_sent,147.137,147.447,146.672,147.447,147.264,3.66,1.50,valid,-1.0032,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,LL_LH,PERIOD_M15,53.43,2.01,3.48,53.25,PERIOD_M5,146.950,146.950,1,2.21,187.0,late,70.00,3.66,0.310,1.50,0.1769,,,true,,true,,0.00,false,0.00,1,3.26,candle_reversal,,24,1,2.21,53.25,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,18,FX
2025.08.21 06:45:00,2025.08.21 06:53:25,XAUUSD,LONG,0.22,3342.5,3340.22,32,33,0.0,0.0,-50.16,-50.16,10051.06,sl 3340.23,8.42,2025.08.21 06:45:00,2025.08.21 06:50:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,16,2025.08.21 06:44:59,order_sent,3342.50,3340.23,3345.91,3340.23,3340.23,1.88,1.88,valid,-1.0044,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,HH_HL,PERIOD_M15,37.68,4.51,1.73,6.64,PERIOD_M5,3344.80,3344.80,1,1.91,230.0,late,70.00,1.88,2.27,1.50,0.1578,,,true,,true,,0.00,false,0.00,1,1.91,candle_reversal,,15,1,1.91,6.64,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,06,XAUUSD
2025.08.21 10:05:00,2025.08.21 10:37:43,XAUUSD,LONG,0.2,3336.51,3340.42,34,35,0.0,0.0,78.2,78.2,10129.26,tp 3340.17,32.72,2025.08.21 10:05:00,2025.08.21 10:35:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,17,2025.08.21 10:04:59,order_sent,3336.51,3334.07,3340.17,3334.07,3334.07,1.58,1.58,valid,1.6025,REGIME_TREND_UP,server_08_15,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,HH_HL,PERIOD_M15,57.34,8.39,1.45,7.18,PERIOD_M5,3337.93,3337.93,1,0.92,142.0,late,70.00,1.58,2.44,1.50,0.1228,,,true,,true,,0.00,false,0.00,1,0.92,candle_reversal,,7,1,0.92,7.18,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,10,XAUUSD
2025.08.21 12:45:00,2025.08.21 13:33:47,XAUUSD,LONG,0.25,3339.58,3337.57,36,37,0.0,0.0,-50.25,-50.25,10079.01,sl 3337.58,48.78,2025.08.21 12:45:00,2025.08.21 13:30:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,18,2025.08.21 12:44:59,order_sent,3339.58,3337.58,3342.58,3337.58,3337.58,1.51,1.51,valid,-1.005,REGIME_TREND_UP,server_08_15,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,HH_HL,PERIOD_M15,80.46,5.42,1.37,10.08,PERIOD_M5,3340.00,3340.00,1,0.32,42.0,acceptable,70.00,1.51,2.00,1.50,0.1439,,,true,,true,,0.00,false,0.37,1,0.79,candle_reversal,,11,1,0.32,10.08,18.00,70.00,unclear,mixed_audit_conditions,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,12,XAUUSD
2025.08.25 14:05:00,2025.08.25 14:46:35,XAUUSD,LONG,0.21,3367.24,3370.77,38,39,0.0,0.0,74.13,74.13,10153.14,tp 3370.74,41.58,2025.08.25 14:05:00,2025.08.25 14:45:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,19,2025.08.25 14:04:59,order_sent,3367.24,3364.91,3370.74,3364.91,3364.74,1.77,1.90,valid,1.515,REGIME_TREND_UP,server_08_15,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,HH_HL,PERIOD_M15,69.73,2.10,1.63,31.75,PERIOD_M5,3367.23,3367.23,1,0.01,1.0,early,70.00,1.77,2.33,1.50,0.1445,,,true,,true,,0.00,false,0.00,1,0.64,candle_reversal,,19,1,0.01,31.75,18.00,70.00,third_wave_initial,clean_pullback_and_near_reclaim,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,14,XAUUSD
2025.08.26 21:40:00,2025.08.26 22:07:43,XAUUSD,LONG,0.25,3384.33,3387.56,40,41,0.0,0.0,80.75,80.75,10233.89,tp 3387.38,27.72,2025.08.26 21:40:00,2025.08.26 22:05:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,20,2025.08.26 21:39:59,order_sent,3384.33,3382.30,3387.38,3382.30,3380.03,1.70,3.59,valid,1.5911,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,HH_HL,PERIOD_M15,36.02,2.53,1.53,9.58,PERIOD_M5,3383.25,3383.25,1,0.90,108.0,late,65.00,1.70,2.03,1.50,0.1671,,,true,,true,,0.00,false,0.94,1,0.60,candle_reversal,,6,1,0.90,9.58,64.00,65.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,21,XAUUSD
2025.08.29 06:10:00,2025.08.29 07:23:01,XAUUSD,LONG,0.12,3411.8,3407.66,43,44,0.0,0.0,-49.68,-49.68,10184.21,sl 3407.68,73.02,2025.08.29 06:10:00,2025.08.29 07:20:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,21,2025.08.29 06:09:59,order_sent,3411.80,3407.68,3417.98,3407.68,3408.90,2.86,2.01,valid,-1.0049,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,HH_HL,PERIOD_M15,52.73,6.44,2.72,13.54,PERIOD_M5,3413.91,3413.91,1,1.47,211.0,late,70.00,2.86,4.12,1.50,0.1389,,,true,,true,,0.00,false,0.00,1,1.49,candle_reversal,,18,1,1.47,13.54,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,06,XAUUSD
2025.08.28 17:45:00,2025.08.29 13:56:01,USDJPY,SHORT,0.26,146.96,147.241,42,45,0.0,-3.12,-52.74,-52.739999999999995,10131.47,sl 147.241,1211.02,2025.08.28 17:45:00,2025.08.29 13:55:00,2025-08,2025 comparison sample,D,v4_candle_reversal_only,ThirdWave_v4_candle_reversal_only_BOTH_all_5m,V4_SIGNAL_CANDLE_REVERSAL_ONLY,22,2025.08.28 17:44:59,order_sent,146.960,147.241,146.539,147.241,147.241,3.67,3.67,valid,-1.0,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,LL_LH,PERIOD_M15,71.64,2.92,3.47,44.63,PERIOD_M5,146.869,146.869,1,1.19,91.0,late,70.00,3.67,0.281,1.50,0.1959,,,true,,true,,0.00,false,0.00,1,1.19,candle_reversal,,14,1,1.19,44.63,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,17,FX
2025.08.01 01:05:00,2025.08.01 01:46:23,XAUUSD,SHORT,0.14,3291.52,3295.04,2,3,0.0,0.0,-49.28,-49.28,9950.72,sl 3295.01,41.38,2025.08.01 01:05:00,2025.08.01 01:45:00,2025-08,2025 comparison sample,E,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,1,2025.08.01 01:04:59,order_sent,3291.52,3295.01,3286.29,3295.01,3295.01,2.39,2.39,valid,-1.0086,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,true,false,PERIOD_H1,LL_LH,PERIOD_M15,24.07,2.08,2.26,15.44,PERIOD_M5,3290.06,3290.06,1,1.00,146.0,late,85.00,2.39,3.49,1.50,0.1231,,,true,,true,,0.00,false,1.05,1,1.13,candle_reversal,,24,1,1.00,15.44,46.00,85.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,01,XAUUSD
2025.08.01 02:10:00,2025.08.01 02:59:03,XAUUSD,SHORT,0.18,3292.32,3288.27,4,5,0.0,0.0,72.9,72.9,10023.62,tp 3288.27,49.05,2025.08.01 02:10:00,2025.08.01 02:55:00,2025-08,2025 comparison sample,E,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,2,2025.08.01 02:10:00,order_sent,3292.32,3295.02,3288.27,3295.02,3295.29,1.87,2.05,valid,1.5,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,true,false,PERIOD_H1,LL_LH,PERIOD_M15,24.07,2.08,1.74,11.71,PERIOD_M5,3293.53,3293.53,1,0.84,121.0,unclear,65.00,1.87,2.70,1.50,0.1314,,,true,,true,,35.00,false,1.28,1,0.32,candle_reversal,,1,1,0.84,11.71,64.00,65.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,02,XAUUSD
2025.08.01 04:40:00,2025.08.01 06:09:37,XAUUSD,SHORT,0.08,3288.16,3294.19,7,8,0.0,0.0,-48.24,-48.24,9975.38,sl 3294.02,89.62,2025.08.01 04:40:00,2025.08.01 06:05:00,2025-08,2025 comparison sample,E,v4_micro_or_candle,ThirdWave_v4_micro_or_candle_BOTH_all_5m,V4_SIGNAL_MICRO_OR_CANDLE,3,2025.08.01 04:39:59,order_sent,3288.16,3294.02,3279.37,3294.02,3294.02,2.60,2.60,valid,-1.029,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,true,false,PERIOD_H1,LL_LH,PERIOD_M15,19.40,1.23,2.52,26.45,PERIOD_M5,3288.77,3288.77,1,0.27,61.0,acceptable,90.00,2.60,5.86,1.50,0.0844,,,true,,true,,20.00,false,1.01,1,0.24,micro_break,,11,1,0.27,26.45,64.00,90.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal,2025-08,04,XAUUSD
