period,scenario,branch,entry_selection_mode,trades,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,false_break_pct,reached_1R_pct,reached_2R_pct,fx_net,xauusd_net,long_net,short_net,elapsed_seconds
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_router,ALL_SCORE_PASSING,1,100.0,93.96,,93.96,2.0,0.0,0.0,100.0,100.0,100.0,0,93.96,93.96,0,52.6
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_router,BEST_ONLY,1,100.0,93.96,,93.96,2.0,0.0,0.0,100.0,100.0,100.0,0,93.96,93.96,0,52.7
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,5,80.0,313.57,7.348,62.71,1.405,49.4,0.49,40.0,100.0,80.0,199.43,114.14,163.54,150.03,52.5
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,instant_breakout,BEST_ONLY,4,75.0,212.7,5.306,53.17,1.25,49.4,0.49,50.0,100.0,75.0,98.56,114.14,163.54,49.16,62.7
2025-10,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_confirmation,ALL_SCORE_PASSING,1,100.0,99.6,,99.6,2.0,0.0,0.0,100.0,100.0,100.0,0,99.6,99.6,0,52.6
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,retest_confirmation,BEST_ONLY,1,100.0,99.6,,99.6,2.0,0.0,0.0,100.0,100.0,100.0,0,99.6,99.6,0,62.7
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,breakout_quality_router,ALL_SCORE_PASSING,6,16.67,-139.9,0.4,-23.32,-0.505,233.35,2.33,83.33,50.0,16.67,-56.38,-83.52,-87.02,-52.88,123.8
2026-Q1,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,breakout_quality_router,BEST_ONLY,6,16.67,-139.9,0.4,-23.32,-0.505,233.35,2.33,83.33,50.0,16.67,-56.38,-83.52,-87.02,-52.88,133.9
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,instant_breakout,ALL_SCORE_PASSING,27,14.81,-716.68,0.33,-26.54,-0.564,773.2,7.69,59.26,51.85,18.52,-473.66,-243.02,-516.66,-200.02,123.8
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,instant_breakout,BEST_ONLY,25,12.0,-763.08,0.251,-30.52,-0.649,819.6,8.15,64.0,48.0,12.0,-520.06,-243.02,-515.34,-247.74,123.8
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,retest_confirmation,ALL_SCORE_PASSING,17,17.65,-347.97,0.457,-20.47,-0.481,347.97,3.48,58.82,52.94,17.65,-146.16,-201.81,-123.55,-224.42,123.8
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,retest_confirmation,BEST_ONLY,15,13.33,-401.16,0.324,-26.74,-0.612,401.16,4.01,66.67,53.33,13.33,-199.35,-201.81,-123.55,-277.61,134.0
