period,variant,month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-08,30,11,19,36.67,-318.5,0.648,-10.62,-0.2,454.54,4.48,5,-254.44,55.4,-373.9,-257.35,-61.15,60.0,73.33,2.283,2.74,0.1321,0.5048,54.5,2.286,0.153,0.33
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-09,20,10,10,50.0,68.15,1.148,3.41,0.099,103.95,1.03,2,-82.48,-25.87,94.02,57.34,10.81,75.0,35.0,2.077,2.492,0.1477,0.4089,62.29,2.099,0.204,0.43
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-10,22,12,10,54.55,177.13,1.402,8.05,0.2,125.35,1.25,2,-89.51,0,177.13,340.83,-163.7,100.0,72.73,2.649,3.178,0.1328,0.4918,57.3,2.622,0.129,0.21
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-11,31,18,13,58.06,320.96,1.526,10.35,0.277,94.67,0.95,2,-92.4,33.8,287.16,246.83,74.13,74.19,35.48,2.25,2.7,0.1295,0.6026,57.01,2.255,0.186,0.68
2024,v4_micro_or_candle_lower_tf_sl_1_2R,2024-12,16,7,9,43.75,-139.45,0.67,-8.72,-0.097,209.12,2.08,3,-140.0,-79.66,-59.79,-126.82,-12.63,75.0,62.5,2.408,2.89,0.1511,0.4884,53.16,2.451,0.175,0.48
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-01,32,13,19,40.62,-122.05,0.873,-3.81,-0.069,257.97,2.56,5,-255.66,-125.05,3.0,-8.96,-113.09,28.12,78.12,2.464,3.203,0.154,0.5526,54.61,2.589,0.337,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-02,9,6,3,66.67,238.39,2.63,26.49,0.537,96.61,0.95,2,-96.61,285.85,-47.46,143.33,95.06,11.11,44.44,2.407,3.129,0.1544,0.3135,64.91,2.354,0.289,0.4
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-03,17,5,12,29.41,-295.64,0.521,-17.39,-0.307,377.82,3.75,6,-317.53,-235.03,-60.61,-63.04,-232.6,58.82,58.82,2.234,2.904,0.1428,0.5034,57.45,2.348,0.262,0.71
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-04,13,6,7,46.15,47.85,1.143,3.68,0.086,234.98,2.32,5,-234.98,0,47.85,-89.37,137.22,100.0,84.62,2.525,3.282,0.0961,0.5545,59.32,2.555,0.108,0.26
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-05,13,2,11,15.38,-404.92,0.236,-31.15,-0.665,435.57,4.34,9,-435.57,30.65,-435.57,-184.88,-220.04,69.23,46.15,1.907,2.479,0.1112,0.4735,59.04,2.122,0.174,0.33
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-06,13,6,7,46.15,70.65,1.226,5.43,0.206,140.62,1.41,3,-140.62,0,70.65,53.21,17.44,100.0,46.15,2.452,3.188,0.1455,0.3614,59.9,2.352,0.169,0.37
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-07,24,11,13,45.83,-39.81,0.942,-1.66,0.003,254.23,2.54,4,-184.02,10.52,-50.33,-143.7,103.89,62.5,37.5,2.347,3.051,0.1415,0.5162,49.36,2.418,0.173,0.48
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-08,29,10,19,34.48,-334.06,0.632,-11.52,-0.215,455.87,4.5,5,-254.44,15.46,-349.52,-174.64,-159.42,62.07,72.41,2.263,2.942,0.1304,0.5081,54.86,2.272,0.154,0.33
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-09,20,10,10,50.0,110.81,1.239,5.54,0.147,103.95,1.02,2,-82.48,-20.17,130.98,76.71,34.1,75.0,35.0,2.048,2.662,0.147,0.4067,62.27,2.066,0.206,0.43
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-10,21,11,10,52.38,180.44,1.41,8.59,0.212,121.36,1.21,2,-89.51,0,180.44,337.98,-157.54,100.0,71.43,2.67,3.47,0.1333,0.4774,57.28,2.648,0.129,0.21
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-11,31,17,14,54.84,294.52,1.449,9.5,0.258,185.25,1.85,4,-185.25,52.46,242.06,285.13,9.39,74.19,35.48,2.25,2.925,0.1295,0.6026,57.01,2.255,0.186,0.68
2024,v4_micro_or_candle_lower_tf_sl_1_3R,2024-12,16,7,9,43.75,-113.23,0.732,-7.08,-0.062,187.08,1.86,3,-140.0,-75.48,-37.75,-110.06,-3.17,75.0,62.5,2.408,3.131,0.1511,0.4884,53.16,2.451,0.175,0.48
2024,v4_without_weak_lower_tf_sl_1_3R,2024-01,40,14,26,35.0,-407.25,0.685,-10.18,-0.196,503.99,5.0,7,-349.29,-328.4,-78.85,-13.63,-393.62,32.5,62.5,2.311,3.005,0.1529,0.5042,55.03,2.407,0.345,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,2024-02,11,7,4,63.64,242.8,2.252,22.07,0.465,97.38,0.95,2,-96.58,290.26,-47.46,136.85,105.95,9.09,36.36,2.258,2.936,0.1599,0.306,63.82,2.237,0.305,0.43
2024,v4_without_weak_lower_tf_sl_1_3R,2024-03,21,6,15,28.57,-404.71,0.48,-19.27,-0.355,507.87,5.03,9,-486.54,-292.77,-111.94,-63.75,-340.96,52.38,47.62,2.162,2.81,0.1505,0.4732,54.77,2.26,0.28,0.61
2024,v4_without_weak_lower_tf_sl_1_3R,2024-04,13,6,7,46.15,29.1,1.091,2.24,0.06,218.66,2.16,5,-218.66,0,29.1,-78.82,107.92,100.0,84.62,2.615,3.4,0.095,0.5518,60.72,2.596,0.1,0.25
2024,v4_without_weak_lower_tf_sl_1_3R,2024-05,14,2,12,14.29,-438.31,0.214,-31.31,-0.689,465.26,4.64,10,-465.26,26.95,-465.26,-181.54,-256.77,71.43,42.86,1.848,2.402,0.1109,0.4564,61.07,2.034,0.171,0.32
2024,v4_without_weak_lower_tf_sl_1_3R,2024-06,14,6,8,42.86,5.34,1.015,0.38,0.109,135.35,1.35,3,-135.35,0,5.34,48.73,-43.39,100.0,42.86,2.331,3.031,0.1457,0.3904,59.39,2.227,0.171,0.35
2024,v4_without_weak_lower_tf_sl_1_3R,2024-07,26,14,12,53.85,213.05,1.362,8.19,0.198,230.07,2.3,4,-166.27,174.24,38.81,-117.86,330.91,61.54,34.62,2.37,3.082,0.1341,0.498,47.42,2.352,0.156,0.47
2024,v4_without_weak_lower_tf_sl_1_3R,2024-08,33,14,19,42.42,-38.52,0.957,-1.17,0.01,285.36,2.78,4,-181.44,144.97,-183.49,-174.5,135.98,57.58,63.64,2.368,3.078,0.128,0.5217,54.94,2.31,0.138,0.28
2024,v4_without_weak_lower_tf_sl_1_3R,2024-09,31,14,17,45.16,30.27,1.039,0.98,0.032,257.78,2.58,5,-226.03,-21.23,51.5,80.6,-50.33,61.29,22.58,2.018,2.624,0.1547,0.3678,61.76,2.015,0.207,0.42
2024,v4_without_weak_lower_tf_sl_1_3R,2024-10,22,12,10,54.55,237.81,1.537,10.81,0.261,121.36,1.21,2,-89.51,0,237.81,337.98,-100.17,100.0,68.18,2.63,3.419,0.1327,0.4644,56.3,2.604,0.132,0.24
2024,v4_without_weak_lower_tf_sl_1_3R,2024-11,42,17,25,40.48,-201.85,0.822,-4.81,-0.074,391.19,3.91,7,-316.55,-320.77,118.92,272.76,-474.61,66.67,26.19,2.128,2.767,0.1305,0.6028,56.27,2.148,0.195,0.65
2024,v4_without_weak_lower_tf_sl_1_3R,2024-12,18,7,11,38.89,-179.61,0.633,-9.98,-0.148,265.87,2.64,4,-172.59,-124.76,-54.85,-93.36,-86.25,72.22,55.56,2.365,3.075,0.1483,0.4769,54.19,2.389,0.179,0.47
2025,current_thirdwave_current_sl_1_5R,2025-01,20,9,11,45.0,38.47,1.068,1.92,0.122,260.1,2.55,5,-260.1,-27.75,66.22,41.95,-3.48,85.0,75.0,2.913,4.37,0.1255,0.409,54.31,2.784,0.123,0.26
2025,current_thirdwave_current_sl_1_5R,2025-02,19,12,7,63.16,525.2,2.567,27.64,0.586,102.46,0.99,2,-96.12,102.97,422.23,237.09,288.11,84.21,52.63,3.389,5.084,0.1081,0.5727,61.84,3.263,0.103,0.32
2025,current_thirdwave_current_sl_1_5R,2025-03,22,4,18,18.18,-586.58,0.343,-26.66,-0.544,641.27,6.39,9,-451.53,-327.42,-259.16,-396.73,-189.85,59.09,59.09,3.352,5.028,0.1285,0.4281,52.36,3.217,0.148,0.51
2025,current_thirdwave_current_sl_1_5R,2025-04,48,20,28,41.67,20.57,1.015,0.43,0.04,270.91,2.63,6,-288.2,-117.91,138.48,81.43,-60.86,33.33,56.25,3.05,4.574,0.1127,0.4948,54.4,2.917,0.124,0.34
2025,current_thirdwave_current_sl_1_5R,2025-05,23,8,15,34.78,-192.03,0.742,-8.35,-0.153,429.42,4.21,6,-291.87,-239.08,47.05,-8.25,-183.78,69.57,52.17,3.157,4.735,0.0952,0.5717,49.36,3.033,0.122,0.41
2025,current_thirdwave_current_sl_1_5R,2025-06,17,7,10,41.18,13.84,1.029,0.81,-0.002,219.12,2.14,4,-175.34,24.75,-10.91,-110.77,124.61,88.24,29.41,3.221,4.831,0.0905,0.3474,50.43,3.104,0.093,0.33
2025,current_thirdwave_current_sl_1_5R,2025-07,26,10,16,38.46,43.46,1.056,1.67,0.062,177.36,1.77,3,-150.74,49.64,-6.18,-225.48,268.94,84.62,53.85,2.964,4.446,0.1308,0.4867,58.84,2.828,0.137,0.45
2025,current_thirdwave_current_sl_1_5R,2025-08,11,4,7,36.36,-50.57,0.846,-4.6,-0.087,235.29,2.33,5,-235.29,76.22,-126.79,-62.4,11.83,90.91,54.55,2.835,4.253,0.1122,0.4424,63.91,2.715,0.156,0.8
2025,current_thirdwave_current_sl_1_5R,2025-09,19,5,14,26.32,-327.04,0.494,-17.21,-0.348,411.61,4.1,7,-341.98,0,-327.04,-131.27,-195.77,100.0,63.16,3.188,4.783,0.083,0.4665,53.33,3.083,0.066,0.12
2025,current_thirdwave_current_sl_1_5R,2025-10,22,11,11,50.0,237.79,1.521,10.81,0.252,142.58,1.41,3,-117.61,47.76,190.03,126.14,111.65,81.82,77.27,3.426,5.139,0.0749,0.4992,50.8,3.312,0.075,0.33
2025,current_thirdwave_current_sl_1_5R,2025-11,23,11,12,47.83,142.6,1.263,6.2,0.2,172.34,1.7,4,-172.34,0,142.6,129.72,12.88,100.0,60.87,3.087,4.631,0.051,0.4847,56.88,2.989,0.041,0.08
2025,current_thirdwave_current_sl_1_5R,2025-12,19,5,14,26.32,-297.69,0.53,-15.67,-0.348,414.46,4.12,6,-263.25,0,-297.69,-231.95,-65.74,100.0,78.95,3.179,4.768,0.0563,0.3873,60.76,3.083,0.044,0.07
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-01,24,11,13,45.83,-72.77,0.887,-3.03,0.004,310.08,3.06,4,-194.27,-38.43,-34.34,12.78,-85.55,87.5,83.33,2.103,2.524,0.117,0.3987,58.09,2.15,0.162,0.53
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-02,21,13,8,61.9,343.92,1.864,16.38,0.368,149.3,1.45,3,-149.3,20.47,323.45,67.08,276.84,80.95,42.86,2.447,2.936,0.1073,0.5429,55.17,2.459,0.139,0.5
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-03,26,11,15,42.31,-119.23,0.841,-4.59,-0.074,446.58,4.41,7,-358.23,-189.37,70.14,163.43,-282.66,69.23,61.54,2.318,2.781,0.1181,0.4831,52.78,2.178,0.183,0.51
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-04,57,24,33,42.11,-177.42,0.889,-3.11,-0.057,394.31,3.92,9,-440.66,-114.39,-63.03,-19.44,-157.98,40.35,57.89,2.465,2.959,0.1071,0.5166,55.75,2.445,0.147,0.53
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-05,23,11,12,47.83,4.22,1.007,0.18,0.046,179.1,1.76,3,-148.82,81.36,-77.14,-53.98,58.2,69.57,30.43,2.687,3.224,0.0927,0.4947,47.89,2.41,0.142,0.6
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-06,28,14,14,50.0,127.96,1.18,4.57,0.116,212.87,2.07,3,-175.87,-26.6,154.56,121.84,6.12,75.0,25.0,2.305,2.766,0.0978,0.3693,57.4,2.317,0.179,0.73
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-07,25,10,15,40.0,-142.83,0.805,-5.71,-0.121,259.72,2.58,4,-197.03,38.99,-181.82,161.85,-304.68,68.0,48.0,2.456,2.947,0.1246,0.5267,58.02,2.304,0.199,0.75
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-08,25,13,12,52.0,167.76,1.281,6.71,0.151,152.57,1.49,3,-152.57,-142.21,309.97,217.04,-49.28,80.0,52.0,2.22,2.664,0.1281,0.3501,55.75,2.064,0.201,0.6
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-09,26,16,10,61.54,410.0,1.815,15.77,0.357,147.08,1.47,3,-147.08,62.51,347.49,375.04,34.96,96.15,69.23,2.309,2.771,0.0894,0.4874,55.26,2.571,0.117,0.54
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-10,25,12,13,48.0,73.36,1.118,2.93,0.055,173.59,1.72,3,-135.84,137.67,-64.31,52.28,21.08,76.0,76.0,2.647,3.177,0.074,0.5284,50.11,2.468,0.126,0.62
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-11,33,17,16,51.52,174.26,1.219,5.28,0.13,250.79,2.45,4,-207.26,67.55,106.71,115.56,58.7,90.91,51.52,2.191,2.629,0.0577,0.5248,55.11,2.295,0.111,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,2025-12,24,11,13,45.83,54.38,1.084,2.27,0.052,336.41,3.36,6,-306.41,19.29,35.09,175.75,-121.37,83.33,70.83,2.31,2.772,0.0776,0.3708,63.57,2.46,0.146,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-01,24,11,13,45.83,-12.13,0.981,-0.51,0.056,292.64,2.89,4,-194.27,-34.45,22.32,68.32,-80.45,87.5,83.33,2.103,2.734,0.117,0.3987,58.09,2.15,0.163,0.54
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-02,21,11,10,52.38,177.13,1.354,8.43,0.217,149.3,1.47,3,-149.3,-86.46,263.59,-20.75,197.88,80.95,42.86,2.447,3.181,0.1073,0.5429,55.17,2.459,0.137,0.49
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-03,26,10,16,38.46,-187.39,0.764,-7.21,-0.122,527.03,5.2,8,-404.82,-176.61,-10.78,87.2,-274.59,69.23,61.54,2.318,3.013,0.1181,0.4831,52.78,2.178,0.181,0.51
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-04,57,24,33,42.11,-68.14,0.957,-1.2,-0.012,391.71,3.89,9,-438.06,-49.75,-18.39,50.28,-118.42,40.35,57.89,2.465,3.205,0.1071,0.5166,55.75,2.445,0.145,0.52
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-05,23,9,14,39.13,-167.54,0.752,-7.28,-0.114,275.62,2.74,4,-207.22,-116.71,-50.83,-162.15,-5.39,69.57,30.43,2.687,3.493,0.0927,0.4947,47.89,2.41,0.138,0.59
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-06,28,13,15,46.43,90.98,1.123,3.25,0.08,207.22,2.02,3,-129.75,-4.13,95.11,136.73,-45.75,75.0,25.0,2.305,2.997,0.0978,0.3693,57.4,2.317,0.175,0.71
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-07,24,9,15,37.5,-145.35,0.795,-6.06,-0.131,240.45,2.4,4,-191.12,-8.3,-137.05,128.05,-273.4,70.83,45.83,2.385,3.1,0.1221,0.5243,59.28,2.235,0.193,0.72
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-08,24,12,12,50.0,176.58,1.304,7.36,0.162,144.96,1.41,3,-144.96,-135.62,312.2,203.58,-27.0,79.17,50.0,2.225,2.893,0.1276,0.3624,54.72,2.068,0.197,0.58
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-09,26,16,10,61.54,488.35,2.017,18.78,0.418,141.58,1.42,3,-141.58,66.74,421.61,436.33,52.02,96.15,69.23,2.309,3.002,0.0894,0.4874,55.26,2.571,0.114,0.53
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-10,25,12,13,48.0,132.2,1.213,5.29,0.105,163.61,1.62,3,-135.84,153.99,-21.79,98.88,33.32,76.0,76.0,2.647,3.441,0.074,0.5284,50.11,2.468,0.124,0.61
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-11,33,16,17,48.48,149.19,1.178,4.52,0.112,244.61,2.38,4,-207.26,78.56,70.63,47.75,101.44,90.91,51.52,2.194,2.852,0.0576,0.5232,55.9,2.298,0.11,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,2025-12,24,11,13,45.83,90.97,1.141,3.79,0.091,325.27,3.25,6,-305.17,28.08,62.89,201.04,-110.07,83.33,70.83,2.31,3.004,0.0776,0.3708,63.57,2.46,0.144,0.82
2025,v4_without_weak_lower_tf_sl_1_3R,2025-01,32,13,19,40.62,-183.52,0.805,-5.73,-0.066,430.22,4.22,7,-343.93,-76.68,-106.84,68.09,-251.61,81.25,62.5,2.166,2.815,0.127,0.38,56.82,2.136,0.17,0.52
2025,v4_without_weak_lower_tf_sl_1_3R,2025-02,24,14,10,58.33,380.09,1.785,15.84,0.358,178.75,1.74,3,-144.09,4.16,375.93,-11.2,391.29,70.83,37.5,2.272,2.954,0.1093,0.5165,54.03,2.23,0.174,0.6
2025,v4_without_weak_lower_tf_sl_1_3R,2025-03,30,10,20,33.33,-366.1,0.625,-12.2,-0.239,658.9,6.5,11,-543.31,-275.99,-90.11,89.23,-455.33,66.67,53.33,2.315,3.009,0.118,0.447,51.99,2.254,0.182,0.52
2025,v4_without_weak_lower_tf_sl_1_3R,2025-04,69,28,41,40.58,-163.72,0.914,-2.37,-0.036,644.57,6.3,14,-671.58,-144.49,-19.23,37.56,-201.28,33.33,47.83,2.419,3.145,0.1133,0.4928,55.61,2.384,0.153,0.51
2025,v4_without_weak_lower_tf_sl_1_3R,2025-05,27,11,16,40.74,-140.94,0.816,-5.22,-0.069,371.78,3.65,5,-259.97,-209.02,68.08,-146.96,6.02,59.26,25.93,2.571,3.342,0.1014,0.496,49.77,2.287,0.169,0.58
2025,v4_without_weak_lower_tf_sl_1_3R,2025-06,34,17,17,50.0,229.22,1.273,6.74,0.16,253.69,2.43,4,-222.6,69.38,159.84,136.73,92.49,70.59,20.59,2.311,3.004,0.1009,0.356,53.92,2.251,0.182,0.77
2025,v4_without_weak_lower_tf_sl_1_3R,2025-07,29,12,17,41.38,75.98,1.095,2.62,0.055,204.48,2.04,3,-151.15,-52.05,128.03,117.32,-41.34,72.41,37.93,2.322,3.019,0.1211,0.5207,62.77,2.178,0.19,0.74
2025,v4_without_weak_lower_tf_sl_1_3R,2025-08,26,14,12,53.85,298.11,1.498,11.47,0.25,150.74,1.45,3,-150.74,-137.11,435.22,201.13,96.98,80.77,46.15,2.188,2.845,0.1264,0.3519,54.18,2.021,0.193,0.48
2025,v4_without_weak_lower_tf_sl_1_3R,2025-09,29,18,11,62.07,574.09,2.042,19.8,0.43,147.08,1.47,3,-147.08,69.26,504.83,432.34,141.75,96.55,62.07,2.314,3.008,0.0852,0.4545,58.01,2.432,0.114,0.55
2025,v4_without_weak_lower_tf_sl_1_3R,2025-10,29,14,15,48.28,155.01,1.21,5.35,0.112,196.99,1.93,3,-135.84,49.22,105.79,91.65,63.36,72.41,65.52,2.611,3.395,0.0784,0.5301,52.64,2.365,0.139,0.63
2025,v4_without_weak_lower_tf_sl_1_3R,2025-11,31,15,16,48.39,136.81,1.165,4.41,0.104,313.99,3.05,5,-278.63,154.16,-17.35,28.93,107.88,87.1,54.84,2.352,3.058,0.0632,0.479,56.17,2.254,0.113,0.75
2025,v4_without_weak_lower_tf_sl_1_3R,2025-12,28,13,15,46.43,123.32,1.159,4.4,0.098,319.15,3.17,6,-319.15,28.53,94.79,222.46,-99.14,85.71,60.71,2.314,3.009,0.0723,0.3692,59.57,2.405,0.136,0.85
2026YTD,current_thirdwave_current_sl_1_5R,2026-01,21,10,11,47.62,243.37,1.475,11.59,0.222,277.88,2.67,6,-277.88,-101.21,344.58,152.74,90.63,90.48,71.43,2.96,4.44,0.0493,0.5487,56.54,2.848,0.051,0.27
2026YTD,current_thirdwave_current_sl_1_5R,2026-02,18,7,11,38.89,129.28,1.268,7.18,0.027,145.39,1.42,4,-198.96,98.5,30.78,-45.58,174.86,83.33,50.0,3.156,4.733,0.0492,0.3931,60.9,3.051,0.047,0.3
2026YTD,current_thirdwave_current_sl_1_5R,2026-03,21,10,11,47.62,237.56,1.454,11.31,0.196,193.39,1.87,4,-193.39,12.35,225.21,-19.32,256.88,76.19,23.81,2.965,4.447,0.0652,0.4151,59.53,2.848,0.084,0.44
2026YTD,current_thirdwave_current_sl_1_5R,2026-04,10,4,6,40.0,4.12,1.014,0.41,-0.012,159.46,1.57,3,-145.43,0,4.12,46.6,-42.48,100.0,40.0,3.183,4.774,0.0616,0.4984,56.41,3.081,0.037,0.09
2026YTD,current_thirdwave_current_sl_1_5R,2026-05,21,11,10,52.38,199.74,1.361,9.51,0.252,159.77,1.54,3,-159.77,0,199.74,-30.44,230.18,100.0,19.05,2.635,3.953,0.06,0.3637,55.96,2.531,0.046,0.11
2026YTD,current_thirdwave_current_sl_1_5R,2026-06,4,2,2,50.0,51.68,1.542,12.92,0.226,55.44,0.55,1,-55.44,0,51.68,0,51.68,100.0,0.0,2.493,3.739,0.0566,0.2902,57.31,2.4,0.048,0.07
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,2026-01,20,15,5,75.0,734.85,3.994,36.74,0.769,125.06,1.19,2,-125.06,195.4,539.45,149.22,585.63,75.0,50.0,2.338,2.806,0.0614,0.4521,52.82,2.397,0.087,0.43
