variant,sl_mode,reward_r,reversal_signal_type,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_micro_break_only,CURRENT_SL,1.3,micro_break,68,68,33,35,48.53,337.65,1.201,4.97,0.116,233.11,2.22,48.53,50.0,0,0,0,0,0.804,1.1,14859878970.588,19317842661.765,0.103
v4_micro_break_only,CURRENT_SL,1.5,micro_break,68,68,30,38,44.12,305.59,1.168,4.49,0.103,233.11,2.22,44.12,54.41,0,0,0,0,0.834,1.145,14859878970.588,22289818455.882,0.103
v4_micro_break_only,LOWER_TF_REVERSAL_SL,1.2,micro_break,68,57,33,24,57.89,684.65,1.624,12.01,0.285,106.84,1.01,45.59,30.88,0,0,9,2,0.746,1.021,13470821929.825,16164986315.789,0.101
v4_micro_break_only,LOWER_TF_REVERSAL_SL,1.3,micro_break,68,57,30,27,52.63,536.84,1.439,9.42,0.219,132.16,1.24,41.18,35.29,0,0,9,2,0.786,1.09,13470821929.825,17512068508.772,0.101
v4_micro_break_only,LOWER_TF_REVERSAL_SL,1.5,micro_break,68,57,27,30,47.37,425.83,1.313,7.47,0.175,173.84,1.7,35.29,39.71,0,0,9,2,0.829,1.147,13470821929.825,20206232894.737,0.101
v4_micro_break_only,MID_TF_STRUCTURE_SL,1.2,micro_break,68,68,36,32,52.94,459.32,1.296,6.75,0.165,233.11,2.22,52.94,45.59,1,0,0,0,0.77,1.024,14859878970.588,17831854764.706,0.103
v4_micro_break_only,MID_TF_STRUCTURE_SL,1.3,micro_break,68,68,33,35,48.53,337.65,1.201,4.97,0.116,233.11,2.22,48.53,50.0,0,0,0,0,0.804,1.1,14859878970.588,19317842661.765,0.103
v4_micro_break_only,MID_TF_STRUCTURE_SL,1.5,micro_break,68,68,30,38,44.12,305.59,1.168,4.49,0.103,233.11,2.22,44.12,54.41,0,0,0,0,0.834,1.145,14859878970.588,22289818455.882,0.103
v4_micro_or_candle,CURRENT_SL,1.2,candle_reversal,104,104,55,49,52.88,1188.87,1.511,11.43,0.163,490.9,4.23,52.88,47.12,0,0,0,0,0.762,1.004,16917542115.385,20301050538.462,0.119
v4_micro_or_candle,CURRENT_SL,1.2,micro_break,38,38,24,14,63.16,696.91,1.988,18.34,0.389,154.0,1.48,63.16,36.84,0,0,0,0,0.716,1.109,12252916842.105,14703500210.526,0.121
v4_micro_or_candle,CURRENT_SL,1.3,candle_reversal,104,104,52,52,50.0,1142.83,1.462,10.99,0.15,579.38,4.97,50.0,50.0,0,0,0,0,0.787,1.062,16917542115.385,21992804750.0,0.119
v4_micro_or_candle,CURRENT_SL,1.3,micro_break,38,38,23,15,60.53,686.24,1.902,18.06,0.392,154.0,1.47,60.53,39.47,0,0,0,0,0.725,1.196,12252916842.105,15928791894.737,0.121
v4_micro_or_candle,CURRENT_SL,1.5,candle_reversal,104,104,48,56,46.15,1221.47,1.459,11.74,0.154,549.82,4.7,46.15,53.85,0,0,0,0,0.823,1.144,16917542115.385,25376313173.077,0.119
v4_micro_or_candle,CURRENT_SL,1.5,micro_break,38,38,22,16,57.89,779.33,1.959,20.51,0.447,187.45,1.78,57.89,42.11,0,0,0,0,0.729,1.263,12252916842.105,18379375263.158,0.121
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,1.2,candle_reversal,104,88,48,40,54.55,1079.74,1.586,12.27,0.206,446.57,3.91,44.23,35.58,0,3,11,2,0.708,0.986,15826460568.182,18991752681.818,0.127
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,1.2,micro_break,38,33,22,11,66.67,836.24,2.791,25.34,0.489,96.31,0.96,55.26,23.68,0,0,4,1,0.672,1.097,9695345151.515,11634414181.818,0.118
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,1.3,candle_reversal,104,88,46,42,52.27,1086.19,1.559,12.34,0.206,446.57,3.92,42.31,37.5,0,3,11,2,0.735,1.039,15826460568.182,20574398738.636,0.127
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,1.3,micro_break,38,33,21,12,63.64,812.09,2.555,24.61,0.483,96.31,0.96,52.63,26.32,0,0,4,1,0.681,1.175,9695345151.515,12603948696.97,0.118
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,1.5,candle_reversal,104,88,39,49,44.32,698.28,1.306,7.94,0.107,494.59,4.45,34.62,44.23,0,3,11,2,0.82,1.092,15826460568.182,23739690852.273,0.127
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,1.5,micro_break,38,33,20,13,60.61,848.25,2.477,25.7,0.51,96.31,0.96,47.37,28.95,0,0,4,1,0.687,1.254,9695345151.515,14543017727.273,0.118
v4_micro_or_candle,MID_TF_STRUCTURE_SL,1.2,candle_reversal,104,104,55,49,52.88,1188.87,1.511,11.43,0.163,490.9,4.23,52.88,47.12,0,0,0,0,0.762,1.004,16917542115.385,20301050538.462,0.119
v4_micro_or_candle,MID_TF_STRUCTURE_SL,1.2,micro_break,38,38,24,14,63.16,696.91,1.988,18.34,0.389,154.0,1.48,63.16,36.84,0,0,0,0,0.716,1.109,12252916842.105,14703500210.526,0.121
v4_micro_or_candle,MID_TF_STRUCTURE_SL,1.3,candle_reversal,104,104,52,52,50.0,1142.83,1.462,10.99,0.15,579.38,4.97,50.0,50.0,0,0,0,0,0.787,1.062,16917542115.385,21992804750.0,0.119
v4_micro_or_candle,MID_TF_STRUCTURE_SL,1.3,micro_break,38,38,23,15,60.53,686.24,1.902,18.06,0.392,154.0,1.47,60.53,39.47,0,0,0,0,0.725,1.196,12252916842.105,15928791894.737,0.121
v4_micro_or_candle,MID_TF_STRUCTURE_SL,1.5,candle_reversal,104,104,48,56,46.15,1221.47,1.459,11.74,0.154,549.82,4.7,46.15,53.85,0,0,0,0,0.823,1.144,16917542115.385,25376313173.077,0.119
v4_micro_or_candle,MID_TF_STRUCTURE_SL,1.5,micro_break,38,38,22,16,57.89,779.33,1.959,20.51,0.447,187.45,1.78,57.89,42.11,0,0,0,0,0.729,1.263,12252916842.105,18379375263.158,0.121
v4_without_weak_signals,CURRENT_SL,1.2,candle_reversal,94,94,48,46,51.06,888.53,1.404,9.45,0.123,388.9,3.47,51.06,48.94,0,0,0,0,0.793,1.009,16250823297.872,19500987957.447,0.118
v4_without_weak_signals,CURRENT_SL,1.2,early_lower_high,41,41,21,20,51.22,243.89,1.228,5.95,0.127,298.82,2.85,51.22,46.34,0,0,0,0,0.741,0.941,18324739756.098,21989687707.317,0.173
v4_without_weak_signals,CURRENT_SL,1.2,micro_break,31,31,21,10,67.74,733.23,2.536,23.65,0.49,96.98,0.92,67.74,32.26,0,0,0,0,0.668,1.14,9994816774.194,11993780129.032,0.127
v4_without_weak_signals,CURRENT_SL,1.3,candle_reversal,94,94,45,49,47.87,807.21,1.344,8.59,0.101,475.96,4.25,47.87,52.13,0,0,0,0,0.821,1.064,16250823297.872,21126070287.234,0.118
v4_without_weak_signals,CURRENT_SL,1.3,early_lower_high,41,41,19,22,46.34,129.06,1.111,3.15,0.066,273.47,2.64,46.34,51.22,0,0,0,0,0.781,0.981,18324739756.098,23822161682.927,0.173
v4_without_weak_signals,CURRENT_SL,1.3,micro_break,31,31,21,10,67.74,834.12,2.747,26.91,0.558,96.98,0.92,67.74,32.26,0,0,0,0,0.668,1.235,9994816774.194,12993261806.452,0.127
v4_without_weak_signals,CURRENT_SL,1.5,candle_reversal,94,94,43,51,45.74,1063.0,1.435,11.31,0.144,443.59,3.88,45.74,54.26,0,0,0,0,0.838,1.142,16250823297.872,24376234946.809,0.118
v4_without_weak_signals,CURRENT_SL,1.5,early_lower_high,41,41,19,22,46.34,328.33,1.282,8.01,0.158,222.77,2.13,46.34,51.22,0,0,0,0,0.781,1.075,18324739756.098,27487109634.146,0.173
v4_without_weak_signals,CURRENT_SL,1.5,micro_break,31,31,20,11,64.52,906.36,2.713,29.24,0.613,136.51,1.29,64.52,35.48,0,0,0,0,0.674,1.305,9994816774.194,14992225161.29,0.127
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.2,candle_reversal,94,80,43,37,53.75,915.1,1.532,11.44,0.189,361.46,3.24,43.62,36.17,0,3,10,1,0.724,0.985,15422187750.0,18506625300.0,0.119
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.2,early_lower_high,41,38,19,19,50.0,246.16,1.27,6.48,0.111,281.46,2.69,46.34,41.46,0,0,2,1,0.756,0.991,13428929736.842,16114715684.211,0.177
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.2,micro_break,31,27,19,8,70.37,774.02,3.293,28.67,0.576,96.31,0.96,58.06,19.35,0,0,3,1,0.609,1.091,10039439629.63,12047327555.556,0.12
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.3,candle_reversal,94,80,41,39,51.25,897.58,1.493,11.22,0.183,361.46,3.25,41.49,38.3,0,3,10,1,0.753,1.042,15422187750.0,20048844075.0,0.119
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.3,early_lower_high,41,38,18,20,47.37,227.4,1.236,5.98,0.101,265.45,2.54,43.9,43.9,0,0,2,1,0.778,1.033,13428929736.842,17457608657.895,0.177
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.3,micro_break,31,27,19,8,70.37,861.43,3.552,31.9,0.642,96.31,0.96,58.06,19.35,0,0,3,1,0.609,1.173,10039439629.63,13051271518.519,0.12
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.5,candle_reversal,94,80,36,44,45.0,709.43,1.345,8.87,0.124,388.36,3.53,35.11,43.62,0,3,10,1,0.821,1.089,15422187750.0,23133281625.0,0.119
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.5,early_lower_high,41,38,18,20,47.37,403.66,1.419,10.62,0.19,233.43,2.21,41.46,43.9,0,0,2,1,0.778,1.159,13428929736.842,20143394605.263,0.177
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,1.5,micro_break,31,27,18,9,66.67,876.38,3.251,32.46,0.661,96.31,0.96,51.61,22.58,0,0,3,1,0.616,1.256,10039439629.63,15059159444.444,0.12
v4_without_weak_signals,MID_TF_STRUCTURE_SL,1.2,candle_reversal,94,94,48,46,51.06,888.53,1.404,9.45,0.123,388.9,3.47,51.06,48.94,0,0,0,0,0.793,1.009,16250823297.872,19500987957.447,0.118
v4_without_weak_signals,MID_TF_STRUCTURE_SL,1.2,early_lower_high,41,41,21,20,51.22,243.89,1.228,5.95,0.127,298.82,2.85,51.22,46.34,0,0,0,0,0.741,0.941,18324739756.098,21989687707.317,0.173
