period,scenario,symbol,direction,net_profit,result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_1R,time_to_2R,time_to_SL,false_break_return_inside_neckline,retest_quality,failure_type,winning_type
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURUSD,LONG,98.55,2.017,2.149,0.304,1,1,1,1,30.0,475.0,,0,not_applicable,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,-70.76,-1.007,0.11,2.009,0,0,0,0,,,75.0,0,not_applicable,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-36.92,-1.013,0.433,1.593,0,0,0,0,,,10.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,USDJPY,SHORT,-53.13,-1.011,0.549,1.466,1,0,0,0,,,495.0,0,not_applicable,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPJPY,SHORT,-48.41,-1.014,0.694,1.541,1,0,0,0,,,20.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURJPY,SHORT,-50.4,-1.02,1.717,1.113,1,1,1,0,25.0,,3835.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-42.56,-1.01,0.617,1.261,1,0,0,0,,,75.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURUSD,LONG,-47.79,-1.0,0.333,1.099,0,0,0,0,,,15.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,USDJPY,LONG,-47.63,-1.014,0.586,1.32,1,0,0,0,,,430.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-46.2,-1.011,0.208,1.408,0,0,0,0,,,80.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,-38.35,-1.01,1.459,1.245,1,1,0,0,340.0,,650.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,SHORT,-47.82,-1.003,1.978,1.127,1,1,1,0,950.0,,3130.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,EURUSD,LONG,-46.2,-1.008,0.382,1.076,0,0,0,0,,,35.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-45.8,-1.004,0.496,1.232,0,0,0,0,,,45.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-30.59,-1.043,1.146,1.274,1,1,0,0,35.0,,130.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,57.29,2.004,2.053,0.162,1,1,1,1,55.0,125.0,,0,not_applicable,,strong_body_breakout
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-47.36,-1.035,0.0,1.133,0,0,0,0,,,70.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-46.41,-1.0,1.622,2.546,1,1,1,0,30.0,,195.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,-34.93,-1.073,1.019,1.812,1,1,0,0,210.0,,315.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,-43.42,-1.004,1.914,1.5,1,1,1,0,545.0,,1955.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,SHORT,99.94,2.039,2.69,0.566,1,1,1,1,105.0,120.0,,1,not_applicable,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,SHORT,-48.94,-1.005,1.864,1.077,1,1,1,0,3235.0,,3335.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-47.96,-1.0,1.22,1.032,1,1,0,0,35.0,,325.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-49.28,-1.0,0.0,1.013,0,0,0,0,,,0.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-48.0,-1.0,0.146,1.177,0,0,0,0,,,30.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURUSD,LONG,98.55,2.017,2.149,0.304,1,1,1,1,30.0,475.0,,0,not_applicable,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,-50.76,-1.006,2.068,0.892,1,1,1,1,80.0,170.0,,0,not_applicable,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,-70.76,-1.007,0.11,2.009,0,0,0,0,,,75.0,0,not_applicable,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,-36.92,-1.013,0.433,1.593,0,0,0,0,,,10.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,-50.72,-1.011,0.549,1.466,1,0,0,0,,,495.0,0,not_applicable,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPJPY,SHORT,-48.41,-1.014,0.694,1.541,1,0,0,0,,,20.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,-50.96,-1.018,1.348,1.097,1,1,0,0,335.0,,3865.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURUSD,SHORT,96.63,2.005,2.293,0.678,1,1,1,1,825.0,6630.0,,0,not_applicable,,clean_break_and_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,-42.56,-1.01,0.617,1.261,1,0,0,0,,,75.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURUSD,LONG,-47.79,-1.0,0.333,1.099,0,0,0,0,,,15.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,-47.63,-1.014,0.586,1.32,1,0,0,0,,,430.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,-46.2,-1.011,0.208,1.408,0,0,0,0,,,80.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,-38.35,-1.01,1.459,1.245,1,1,0,0,340.0,,650.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,SHORT,-47.82,-1.003,1.978,1.127,1,1,1,0,950.0,,3130.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,EURUSD,LONG,-47.52,-1.008,0.382,1.076,0,0,0,0,,,35.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-45.8,-1.004,0.496,1.232,0,0,0,0,,,45.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,-30.59,-1.043,1.146,1.274,1,1,0,0,35.0,,130.0,0,not_applicable,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,57.29,2.004,2.053,0.162,1,1,1,1,55.0,125.0,,0,not_applicable,,strong_body_breakout
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-47.36,-1.035,0.0,1.133,0,0,0,0,,,70.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-46.41,-1.0,1.622,2.546,1,1,1,0,30.0,,195.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,-34.93,-1.073,1.019,1.812,1,1,0,0,210.0,,315.0,1,not_applicable,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,GBPUSD,SHORT,-49.51,-1.005,1.958,1.08,1,1,1,0,3205.0,,3305.0,0,shallow_retest_then_go,target_too_far,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-47.96,-1.0,1.22,1.032,1,1,0,0,35.0,,325.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,GBPUSD,LONG,-48.0,-1.0,0.146,1.177,0,0,0,0,,,30.0,1,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,EURUSD,LONG,98.55,2.017,2.149,0.304,1,1,1,1,30.0,475.0,,0,shallow_retest_then_go,,retest_then_go
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,USDJPY,SHORT,-51.27,-1.011,0.531,1.46,1,0,0,0,,,480.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,GBPJPY,SHORT,-48.41,-1.014,0.694,1.541,1,0,0,0,,,20.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,EURJPY,SHORT,-50.27,-1.02,1.61,1.108,1,1,1,0,245.0,,3820.0,0,shallow_retest_then_go,target_too_far,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-47.76,-1.003,0.549,1.385,1,0,0,0,,,35.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,USDJPY,LONG,-47.63,-1.014,0.586,1.32,1,0,0,0,,,430.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-44.95,-1.018,0.086,1.531,0,0,0,0,,,35.0,1,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,-43.58,-1.01,1.158,1.217,1,1,0,0,340.0,,635.0,0,shallow_retest_then_go,target_too_far,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,GBPUSD,SHORT,93.45,2.021,2.446,0.837,1,1,1,1,860.0,1010.0,,1,shallow_retest_then_go,,retest_then_go
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,GBPUSD,SHORT,-48.3,-1.01,0.072,1.077,0,0,0,0,,,50.0,1,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,SHORT,-30.59,-1.043,1.146,1.274,1,1,0,0,35.0,,130.0,0,shallow_retest_then_go,target_too_far,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,XAUUSD,LONG,-34.93,-1.073,1.019,1.812,1,1,0,0,210.0,,315.0,1,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPUSD,SHORT,-49.51,-1.005,1.958,1.08,1,1,1,0,3205.0,,3305.0,0,shallow_retest_then_go,target_too_far,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-47.96,-1.0,1.22,1.032,1,1,0,0,35.0,,325.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPUSD,LONG,-48.0,-1.0,0.146,1.177,0,0,0,0,,,30.0,1,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURUSD,LONG,98.55,2.017,2.149,0.304,1,1,1,1,30.0,475.0,,0,shallow_retest_then_go,,retest_then_go
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,-47.64,-1.003,0.473,1.029,0,0,0,0,,,260.0,0,shallow_retest_then_go,no_follow_through,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,USDJPY,SHORT,-51.27,-1.011,0.531,1.46,1,0,0,0,,,480.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPJPY,SHORT,-48.41,-1.014,0.694,1.541,1,0,0,0,,,20.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURJPY,SHORT,-50.27,-1.02,1.61,1.108,1,1,1,0,245.0,,3820.0,0,shallow_retest_then_go,target_too_far,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,EURUSD,SHORT,100.83,2.005,2.293,0.678,1,1,1,1,825.0,6630.0,,0,shallow_retest_then_go,,h1_counter_trend_exhausted
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,-47.76,-1.003,0.549,1.385,1,0,0,0,,,35.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,USDJPY,LONG,-47.63,-1.014,0.586,1.32,1,0,0,0,,,430.0,1,shallow_retest_then_go,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,SHORT,-44.95,-1.018,0.086,1.531,0,0,0,0,,,35.0,1,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,XAUUSD,LONG,-43.58,-1.01,1.158,1.217,1,1,0,0,340.0,,635.0,0,shallow_retest_then_go,target_too_far,
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,GBPUSD,SHORT,93.45,2.021,2.446,0.837,1,1,1,1,860.0,1010.0,,1,shallow_retest_then_go,,retest_then_go
