time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score
2026.01.21 16:04:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.34319,1.34101,1.34755,0.22,0.00218,2.00,218.0,2.16,436.0,4.31,1.34267,1.34411,1.34116,3,0.51,2.01,0.1483,15.0,68.92
2026.01.21 16:04:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.34319,1.34101,1.34755,0.22,0.00218,2.00,218.0,2.16,436.0,4.31,1.34267,1.34411,1.34116,3,0.51,2.01,0.1483,15.0,68.92
2026.01.21 16:19:59,order_blocked,GBPUSD,LONG,server_16_23,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.34256,1.34098,1.34572,0.31,0.00158,2.00,158.0,1.46,316.0,2.91,1.34267,1.34361,1.34116,4,0.10,1.29,0.1658,18.0,73.88
2026.01.21 17:19:59,order_blocked,GBPUSD,LONG,server_16_23,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.34412,1.34204,1.34828,0.24,0.00208,2.00,208.0,1.64,416.0,3.28,1.34433,1.34505,1.34219,4,0.17,1.52,0.1184,15.0,73.10
2026.01.28 13:04:59,order_attempt,GBPUSD,LONG,server_08_15,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.37814,1.37737,1.37968,0.64,0.00077,2.00,77.0,0.62,154.0,1.25,1.37917,1.37921,1.37756,3,0.83,0.47,0.1538,19.0,64.01
2026.01.28 13:04:59,order_sent,GBPUSD,LONG,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.37814,1.37737,1.37968,0.64,0.00077,2.00,77.0,0.62,154.0,1.25,1.37917,1.37921,1.37756,3,0.83,0.47,0.1538,19.0,64.01
2026.01.28 20:04:59,order_attempt,GBPUSD,LONG,server_16_23,0,,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,clean_nested_nwave_entry,1.37888,1.37696,1.38272,0.25,0.00192,2.00,192.0,1.02,384.0,2.05,1.37869,1.37887,1.37714,3,0.10,0.93,0.0959,18.0,122.13
2026.01.28 20:04:59,order_sent,GBPUSD,LONG,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,clean_nested_nwave_entry,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,clean_nested_nwave_entry,1.37888,1.37696,1.38272,0.25,0.00192,2.00,192.0,1.02,384.0,2.05,1.37869,1.37887,1.37714,3,0.10,0.93,0.0959,18.0,122.13
2026.01.29 01:04:59,order_attempt,EURUSD,LONG,server_00_07,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.19569,1.19388,1.19931,0.27,0.00181,2.00,181.0,1.79,362.0,3.58,1.19521,1.19541,1.19408,6,0.47,1.59,0.1976,20.0,68.77
2026.01.29 01:04:59,order_sent,EURUSD,LONG,server_00_07,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_late,1.19569,1.19388,1.19931,0.27,0.00181,2.00,181.0,1.79,362.0,3.58,1.19521,1.19541,1.19408,6,0.47,1.59,0.1976,20.0,68.77
2026.01.29 03:04:59,order_attempt,USDJPY,SHORT,server_00_07,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.257,153.433,152.905,0.44,0.176,2.00,176.0,1.23,352.0,2.46,153.313,153.085,153.413,8,0.39,1.09,0.1397,20.0,67.83
2026.01.29 03:04:59,order_sent,USDJPY,SHORT,server_00_07,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.257,153.433,152.905,0.44,0.176,2.00,176.0,1.23,352.0,2.46,153.313,153.085,153.413,8,0.39,1.09,0.1397,20.0,67.83
2026.01.29 03:19:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.298,153.433,153.028,0.55,0.135,2.00,135.0,0.88,270.0,1.75,153.313,153.246,153.413,9,0.10,0.75,0.1297,20.0,69.36
2026.01.29 03:34:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.221,153.433,152.797,0.35,0.212,2.00,212.0,1.32,424.0,2.64,153.313,153.265,153.413,10,0.57,1.20,0.1246,20.0,61.65
2026.01.29 03:49:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.187,153.433,152.695,0.30,0.246,2.00,246.0,1.51,492.0,3.03,153.313,153.152,153.413,11,0.77,1.39,0.1230,20.0,57.23
2026.01.29 04:49:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.108,153.406,152.512,0.25,0.298,2.00,298.0,1.55,596.0,3.10,153.127,153.094,153.384,3,0.10,1.44,0.1144,22.0,73.96
2026.01.29 05:04:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.130,153.405,152.580,0.27,0.275,2.00,275.0,1.55,550.0,3.09,153.127,153.105,153.384,4,0.02,1.43,0.1181,21.0,74.94
2026.01.29 05:19:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.057,153.404,152.363,0.21,0.347,2.00,347.0,1.99,694.0,3.98,153.127,153.063,153.384,5,0.40,1.88,0.1147,20.0,70.32
2026.01.29 05:34:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,153.047,153.405,152.331,0.21,0.358,2.00,358.0,2.15,716.0,4.31,153.127,153.030,153.384,6,0.48,2.03,0.1263,21.0,67.37
2026.01.29 05:49:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_initial,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_initial,152.977,153.194,152.543,0.35,0.217,2.00,217.0,1.33,434.0,2.66,153.023,152.967,153.173,3,0.28,1.20,0.1288,21.0,101.76
